* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2024 11:57:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	111.680	175.4908
20.600000	111.659	174.9146
20.900000	111.629	174.4035
21.200001	111.597	173.9056
21.400000	111.577	173.5764
21.799999	111.541	172.9147
22.000000	111.525	172.5802
22.400000	111.494	171.9081
22.700001	111.471	171.4112
23.000000	111.447	170.9303
23.299999	111.422	170.4710
23.600000	111.397	170.0335
24.000000	111.363	169.4730
24.299999	111.337	169.0585
24.700001	111.301	168.5020
25.000000	111.273	168.0816
25.400000	111.234	167.5255
25.799999	111.193	166.9866
26.200001	111.154	166.4687
26.500000	111.127	166.0890
26.900000	111.093	165.5837
27.200001	111.068	165.2017
27.600000	111.032	164.6940
28.000000	110.993	164.2038
28.500000	110.940	163.6396
29.000000	110.890	163.1258
29.500000	110.844	162.6231
30.000000	110.799	162.0925
30.400000	110.760	161.6477
30.700001	110.729	161.3131
31.100000	110.686	160.8799
31.500000	110.643	160.4675
32.000000	110.593	159.9724
32.500000	110.546	159.4846
33.000000	110.497	159.0055
33.500000	110.446	158.5491
34.000000	110.394	158.1171
34.500000	110.343	157.6922
35.000000	110.292	157.2588
35.500000	110.241	156.8212
36.000000	110.190	156.3953
36.500000	110.140	155.9892
37.000000	110.091	155.5983
37.500000	110.042	155.2168
38.200001	109.972	154.6961
38.700001	109.921	154.3288
39.500000	109.840	153.7358
40.000000	109.789	153.3711
40.599998	109.728	152.9584
41.200001	109.670	152.5679
41.799999	109.612	152.1790
42.500000	109.541	151.7265
43.099998	109.479	151.3606
43.700001	109.420	151.0127
44.400002	109.355	150.5972
45.000000	109.298	150.2312
45.500000	109.247	149.9409
46.200001	109.175	149.5743
46.799999	109.115	149.2771
47.500000	109.047	148.9149
48.200001	108.978	148.5389
48.700001	108.930	148.2775
49.400002	108.863	147.9332
50.000000	108.807	147.6591
50.799999	108.733	147.3171
51.500000	108.669	147.0136
52.200001	108.602	146.6878
53.000000	108.522	146.3323
53.799999	108.448	146.0248
54.500000	108.389	145.7490
55.200001	108.324	145.4676
56.000000	108.244	145.1824
57.000000	108.149	144.7837
58.000000	108.051	144.3609
59.000000	107.968	144.0547
60.000000	107.888	143.7311
60.799999	107.810	143.4941
61.500000	107.744	143.3080
62.200001	107.686	143.0898
63.000000	107.621	142.8170
64.000000	107.533	142.5389
65.000000	107.445	142.3268
66.000000	107.362	142.0620
67.000000	107.278	141.7557
68.000000	107.195	141.4917
69.000000	107.111	141.2598
70.000000	107.029	141.0703
71.000000	106.951	140.8483
72.000000	106.867	140.6274
73.000000	106.786	140.4365
74.000000	106.705	140.2225
75.000000	106.623	140.0501
76.199997	106.531	139.8358
77.500000	106.432	139.6219
78.800003	106.334	139.3935
80.000000	106.242	139.2034
81.199997	106.147	139.0370
82.500000	106.056	138.8925
83.800003	105.961	138.6693
85.000000	105.862	138.5267
86.199997	105.778	138.4328
87.500000	105.690	138.2507
88.500000	105.618	138.1452
90.000000	105.516	137.9768
91.199997	105.435	137.8675
92.500000	105.346	137.7629
93.800003	105.260	137.6507
95.000000	105.175	137.5653
96.199997	105.096	137.4870
97.500000	105.007	137.3674
98.800003	104.921	137.3275
100.000000	104.845	137.2678
101.500000	104.753	137.1506
103.000000	104.656	137.0807
104.400002	104.565	137.0058
106.000000	104.470	136.9834
107.500000	104.379	136.9392
109.000000	104.289	136.8605
110.599998	104.197	136.8242
112.000000	104.111	136.8110
113.800003	104.009	136.7513
115.000000	103.938	136.7538
117.199997	103.815	136.7170
118.000000	103.768	136.7037
120.599998	103.633	136.7290
122.000000	103.546	136.7249
124.099998	103.429	136.7462
125.000000	103.384	136.7721
126.500000	103.294	136.7539
128.000000	103.234	136.7493
131.500000	103.047	136.8671
132.000000	103.014	136.8199
134.000000	102.926	136.8660
