* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2024 11:55:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	111.389	172.4031
20.600000	111.362	171.8427
20.900000	111.329	171.3411
21.200001	111.296	170.8458
21.400000	111.275	170.5162
21.799999	111.235	169.8569
22.000000	111.217	169.5284
22.400000	111.180	168.8802
22.700001	111.152	168.4080
23.000000	111.123	167.9510
23.299999	111.094	167.5088
23.600000	111.063	167.0778
24.000000	111.022	166.5109
24.299999	110.991	166.0857
24.700001	110.949	165.5161
25.000000	110.917	165.0910
25.400000	110.874	164.5369
25.799999	110.831	164.0073
26.200001	110.789	163.5046
26.500000	110.757	163.1409
26.900000	110.715	162.6643
27.200001	110.683	162.3083
27.600000	110.639	161.8332
28.000000	110.594	161.3596
28.500000	110.539	160.7746
29.000000	110.486	160.1969
29.500000	110.436	159.6243
30.000000	110.384	159.0661
30.400000	110.340	158.6423
30.700001	110.305	158.3430
31.100000	110.257	157.9687
31.500000	110.210	157.6144
32.000000	110.152	157.1793
32.500000	110.096	156.7357
33.000000	110.041	156.2804
33.500000	109.986	155.8210
34.000000	109.931	155.3670
34.500000	109.875	154.9250
35.000000	109.819	154.4991
35.500000	109.763	154.0900
36.000000	109.708	153.6947
36.500000	109.653	153.3093
37.000000	109.598	152.9310
37.500000	109.544	152.5590
38.200001	109.467	152.0483
38.700001	109.411	151.6933
39.500000	109.321	151.1511
40.000000	109.265	150.8268
40.599998	109.200	150.4430
41.200001	109.134	150.0636
41.799999	109.070	149.6944
42.500000	108.997	149.2713
43.099998	108.934	148.9060
43.700001	108.870	148.5534
44.400002	108.793	148.1874
45.000000	108.730	147.8951
45.500000	108.679	147.6386
46.200001	108.603	147.2557
46.799999	108.536	146.9353
47.500000	108.461	146.5873
48.200001	108.390	146.2493
48.700001	108.340	146.0137
49.400002	108.268	145.7036
50.000000	108.207	145.4466
50.799999	108.128	145.0887
51.500000	108.057	144.7833
52.200001	107.989	144.5254
53.000000	107.916	144.2439
53.799999	107.837	143.9075
54.500000	107.758	143.6418
55.200001	107.689	143.4394
56.000000	107.623	143.1529
57.000000	107.518	142.7729
58.000000	107.417	142.5575
59.000000	107.331	142.1752
60.000000	107.229	141.8446
60.799999	107.161	141.6669
61.500000	107.100	141.4592
62.200001	107.031	141.2679
63.000000	106.957	141.0844
64.000000	106.868	140.8064
