* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 22, 2025 4:17:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.758	27.0796
20.600000	103.764	26.3926
20.900000	103.767	25.8250
21.200001	103.774	25.2779
21.400000	103.783	24.9030
21.799999	103.805	24.1000
22.000000	103.816	23.6712
22.400000	103.834	22.7880
22.700001	103.840	22.1437
23.000000	103.843	21.5436
23.299999	103.845	20.9968
23.600000	103.850	20.4933
24.000000	103.860	19.8493
24.299999	103.870	19.3594
24.700001	103.881	18.6804
25.000000	103.886	18.1601
25.400000	103.886	17.4737
25.799999	103.885	16.8125
26.200001	103.884	16.1738
26.500000	103.885	15.7017
26.900000	103.887	15.0777
27.200001	103.887	14.6182
27.600000	103.887	14.0287
28.000000	103.888	13.4710
28.500000	103.891	12.8011
29.000000	103.894	12.1235
29.500000	103.893	11.4230
30.000000	103.885	10.7231
30.400000	103.874	10.1830
30.700001	103.865	9.7928
31.100000	103.855	9.2891
31.500000	103.846	8.7993
32.000000	103.834	8.2070
32.500000	103.824	7.6413
33.000000	103.815	7.0917
33.500000	103.807	6.5348
34.000000	103.798	5.9614
34.500000	103.785	5.3939
35.000000	103.769	4.8643
35.500000	103.756	4.3769
36.000000	103.747	3.9040
36.500000	103.737	3.4199
37.000000	103.723	2.9255
37.500000	103.706	2.4351
38.200001	103.680	1.7603
38.700001	103.663	1.2801
39.500000	103.635	0.5389
40.000000	103.619	0.1116
40.599998	103.599	-0.3762
41.200001	103.579	-0.8615
41.799999	103.555	-1.3510
42.500000	103.528	-1.9244
43.099998	103.505	-2.4185
43.700001	103.483	-2.9014
44.400002	103.457	-3.4265
45.000000	103.437	-3.8579
45.500000	103.423	-4.2266
46.200001	103.399	-4.7502
46.799999	103.372	-5.1599
47.500000	103.340	-5.5758
48.200001	103.309	-6.0089
48.700001	103.283	-6.3570
49.400002	103.248	-6.8347
50.000000	103.234	-7.2183
50.799999	103.220	-7.7988
51.500000	103.168	-8.2517
52.200001	103.093	-8.4054
53.000000	103.061	-8.5788
53.799999	103.054	-9.3035
54.500000	103.016	-9.9874
55.200001	102.983	-10.3413
56.000000	102.966	-10.6732
57.000000	102.903	-11.1864
58.000000	102.853	-11.6492
59.000000	102.821	-12.2391
60.000000	102.779	-12.6256
60.799999	102.748	-12.9833
61.500000	102.706	-13.3547
62.200001	102.664	-13.6698
63.000000	102.626	-14.0168
64.000000	102.573	-14.4501
65.000000	102.524	-14.8247
66.000000	102.486	-15.2532
67.000000	102.438	-15.6892
68.000000	102.386	-16.0415
69.000000	102.341	-16.4441
70.000000	102.287	-16.8307
71.000000	102.238	-17.1365
72.000000	102.183	-17.4736
73.000000	102.140	-17.8068
74.000000	102.096	-18.2673
75.000000	102.037	-18.3574
76.199997	102.022	-18.4501
77.500000	101.941	-19.0861
78.800003	101.875	-19.5921
80.000000	101.817	-19.9999
81.199997	101.745	-20.2690
82.500000	101.688	-20.6422
83.800003	101.630	-20.9898
85.000000	101.570	-21.2526
86.199997	101.512	-21.5410
87.500000	101.454	-21.8468
88.500000	101.403	-22.0668
90.000000	101.333	-22.4075
91.199997	101.279	-22.6695
92.500000	101.217	-22.9251
93.800003	101.155	-23.1601
95.000000	101.100	-23.3985
96.199997	101.046	-23.6393
97.500000	100.987	-23.8750
98.800003	100.925	-24.0829
100.000000	100.872	-24.2801
101.500000	100.801	-24.5256
103.000000	100.736	-24.7507
104.400002	100.674	-24.9775
106.000000	100.603	-25.1948
107.500000	100.536	-25.3999
109.000000	100.470	-25.5989
110.599998	100.401	-25.7877
112.000000	100.340	-25.9605
113.800003	100.262	-26.1689
115.000000	100.209	-26.3017
117.199997	100.117	-26.5282
118.000000	100.081	-26.6145
120.599998	99.973	-26.8344
122.000000	99.912	-26.9811
124.099998	99.826	-27.1543
125.000000	99.790	-27.2209
126.500000	99.726	-27.3335
128.000000	99.664	-27.4386
131.500000	99.521	-27.6571
132.000000	99.500	-27.6839
134.000000	99.417	-27.8015
136.000000	99.339	-27.8754
138.000000	99.258	-27.9436
140.000000	99.180	-28.0016
143.000000	99.068	-28.0803
145.000000	98.992	-28.1114
147.500000	98.902	-28.1727
150.000000	98.806	-28.2216
152.500000	98.716	-28.2483
155.000000	98.622	-28.2685
157.500000	98.529	-28.2812
160.000000	98.432	-28.2374
162.500000	98.338	-28.2200
