* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 22, 2025 4:21:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.873	29.0789
20.600000	102.898	28.3415
20.900000	102.920	27.7004
21.200001	102.942	27.0668
21.400000	102.956	26.6405
21.799999	102.979	25.7884
22.000000	102.986	25.3729
22.400000	102.993	24.5868
22.700001	102.996	24.0458
23.000000	103.000	23.5351
23.299999	103.007	23.0332
23.600000	103.016	22.5184
24.000000	103.028	21.7966
24.299999	103.036	21.2395
24.700001	103.042	20.5065
25.000000	103.046	19.9796
25.400000	103.053	19.3068
25.799999	103.060	18.6482
26.200001	103.065	17.9918
26.500000	103.064	17.5082
26.900000	103.058	16.8938
27.200001	103.053	16.4608
27.600000	103.051	15.9028
28.000000	103.056	15.3337
28.500000	103.065	14.5778
29.000000	103.067	13.8211
29.500000	103.061	13.1473
30.000000	103.058	12.5708
30.400000	103.061	12.1296
30.700001	103.064	11.7798
31.100000	103.067	11.2749
31.500000	103.063	10.7445
32.000000	103.050	10.0981
32.500000	103.035	9.5044
33.000000	103.025	8.9521
33.500000	103.017	8.4156
34.000000	103.009	7.8835
34.500000	103.001	7.3503
35.000000	102.993	6.8062
35.500000	102.981	6.2548
36.000000	102.965	5.7289
36.500000	102.949	5.2627
37.000000	102.938	4.8438
37.500000	102.932	4.4145
38.200001	102.921	3.7286
38.700001	102.904	3.2204
39.500000	102.874	2.4982
40.000000	102.864	2.0787
40.599998	102.853	1.5555
41.200001	102.832	1.0472
41.799999	102.807	0.5956
42.500000	102.784	0.0831
43.099998	102.765	-0.3850
43.700001	102.744	-0.8374
44.400002	102.723	-1.3416
45.000000	102.704	-1.8035
45.500000	102.681	-2.1867
46.200001	102.647	-2.6552
46.799999	102.627	-3.0313
47.500000	102.604	-3.5043
48.200001	102.572	-3.9507
48.700001	102.550	-4.2558
49.400002	102.523	-4.7474
50.000000	102.498	-5.1859
50.799999	102.476	-5.6853
51.500000	102.457	-6.1282
52.200001	102.405	-6.5076
53.000000	102.346	-6.7011
53.799999	102.342	-7.1232
54.500000	102.326	-7.8494
55.200001	102.275	-8.4062
56.000000	102.235	-8.6267
57.000000	102.221	-8.9431
58.000000	102.184	-9.4258
59.000000	102.142	-9.9672
60.000000	102.092	-10.4863
60.799999	102.055	-10.8613
61.500000	102.022	-11.2079
62.200001	101.986	-11.5443
63.000000	101.951	-11.8795
64.000000	101.922	-12.3268
65.000000	101.874	-12.8013
66.000000	101.820	-13.0896
67.000000	101.784	-13.5238
68.000000	101.728	-13.9846
69.000000	101.694	-14.2584
70.000000	101.656	-14.6437
71.000000	101.601	-14.9257
72.000000	101.565	-15.2890
73.000000	101.504	-15.6836
74.000000	101.448	-15.9176
75.000000	101.406	-16.2811
76.199997	101.349	-16.6798
77.500000	101.302	-17.0723
78.800003	101.236	-17.4178
80.000000	101.188	-17.7421
81.199997	101.127	-18.0856
82.500000	101.075	-18.3927
83.800003	101.017	-18.7569
85.000000	100.962	-19.0326
86.199997	100.909	-19.3177
87.500000	100.852	-19.6200
88.500000	100.805	-19.8622
90.000000	100.738	-20.1800
91.199997	100.686	-20.4158
92.500000	100.628	-20.6898
93.800003	100.571	-20.9322
95.000000	100.520	-21.1650
96.199997	100.465	-21.3893
97.500000	100.412	-21.6386
98.800003	100.354	-21.8286
100.000000	100.302	-22.0249
101.500000	100.233	-22.2827
103.000000	100.171	-22.4990
104.400002	100.111	-22.7148
106.000000	100.044	-22.9449
107.500000	99.980	-23.1480
109.000000	99.917	-23.3367
110.599998	99.852	-23.5451
112.000000	99.791	-23.7009
113.800003	99.718	-23.9108
115.000000	99.668	-24.0307
117.199997	99.581	-24.2539
118.000000	99.550	-24.3430
120.599998	99.447	-24.5472
122.000000	99.386	-24.7109
124.099998	99.304	-24.8632
125.000000	99.270	-24.9299
126.500000	99.212	-25.0628
128.000000	99.154	-25.1648
131.500000	99.019	-25.3914
132.000000	98.999	-25.4176
134.000000	98.924	-25.5528
136.000000	98.849	-25.6337
138.000000	98.773	-25.7302
140.000000	98.698	-25.8136
143.000000	98.586	-25.9317
145.000000	98.512	-26.0084
147.500000	98.421	-26.0661
150.000000	98.330	-26.1237
152.500000	98.236	-26.1411
155.000000	98.150	-26.1691
157.500000	98.062	-26.1512
160.000000	97.979	-26.1628
162.500000	97.889	-26.1291
165.000000	97.812	-26.1494
167.500000	97.725	-26.1315
170.000000	97.641	-26.1193
172.500000	97.547	-26.0863
175.000000	97.455	-26.0648
177.500000	97.356	-25.9861
180.000000	97.250	-25.8797
182.500000	97.144	-25.7006
185.000000	97.029	-25.4325
187.500000	96.913	-25.0169
190.000000	96.799	-24.3790
192.500000	96.708	-23.5019
195.000000	96.673	-22.3446
197.500000	96.737	-21.2876
200.000000	96.868	-20.7607
203.000000	97.013	-21.0028
206.000000	97.058	-21.7077
209.000000	97.031	-22.3429
212.000000	96.968	-22.7894
214.000000	96.918	-22.9961
218.000000	96.812	-23.2676
220.000000	96.760	-23.3033
224.000000	96.656	-23.3482
227.000000	96.578	-23.3543
230.000000	96.507	-23.2932
233.000000	96.436	-23.2330
236.000000	96.366	-23.1177
240.000000	96.278	-23.0319
243.000000	96.210	-22.8797
247.000000	96.125	-22.7195
250.000000	96.065	-22.5712
254.000000	95.987	-22.3878
258.000000	95.911	-22.1847
262.000000	95.837	-21.9889
265.000000	95.783	-21.8108
269.000000	95.711	-21.5886
272.000000	95.658	-21.4177
276.000000	95.589	-21.1709
280.000000	95.522	-20.9329
285.000000	95.442	-20.6161
290.000000	95.362	-20.3200
295.000000	95.288	-19.9738
300.000000	95.213	-19.6318
304.000000	95.161	-19.3860
307.000000	95.119	-19.1940
311.000000	95.064	-18.9289
315.000000	95.013	-18.6824
320.000000	94.945	-18.3543
325.000000	94.880	-18.0227
330.000000	94.816	-17.6950
335.000000	94.756	-17.3571
340.000000	94.695	-17.0076
345.000000	94.634	-16.6564
