* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2024 3:33:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.595795	28.4844
20.600000	104.621315	27.6708
20.900000	104.643990	26.9071
21.200001	104.667564	26.1151
21.400000	104.683502	25.5718
21.799999	104.713409	24.4797
22.000000	104.726547	23.9500
22.400000	104.749390	22.9606
22.700001	104.765381	22.2991
23.000000	104.782593	21.6989
23.299999	104.802170	21.1350
23.600000	104.823662	20.5740
24.000000	104.851501	19.7800
24.299999	104.868141	19.1352
24.700001	104.881165	18.2221
25.000000	104.883926	17.5249
25.400000	104.883820	16.6203
25.799999	104.884247	15.7745
26.200001	104.890915	14.9886
26.500000	104.900536	14.4247
26.900000	104.916344	13.6839
27.200001	104.927216	13.1267
27.600000	104.936035	12.3814
28.000000	104.936829	11.6443
28.500000	104.930489	10.7523
29.000000	104.925751	9.8857
29.500000	104.928619	9.0121
30.000000	104.935814	8.1139
30.400000	104.939316	7.3975
30.700001	104.938698	6.8815
31.100000	104.933609	6.2412
31.500000	104.925789	5.6565
32.000000	104.915558	4.9679
32.500000	104.905609	4.2700
33.000000	104.894287	3.5305
33.500000	104.881546	2.7616
34.000000	104.869965	1.9960
34.500000	104.861534	1.2593
35.000000	104.855415	0.5659
35.500000	104.849426	-0.0802
36.000000	104.842224	-0.6924
36.500000	104.832985	-1.2994
37.000000	104.820404	-1.9260
37.500000	104.803574	-2.5722
38.200001	104.776154	-3.4671
38.700001	104.758217	-4.0793
39.500000	104.734352	-5.0293
40.000000	104.718796	-5.6151
40.599998	104.697220	-6.3030
41.200001	104.673965	-6.9737
41.799999	104.649033	-7.6356
42.500000	104.615143	-8.3857
43.099998	104.584091	-8.9880
43.700001	104.557556	-9.5688
44.400002	104.533684	-10.2806
45.000000	104.512199	-10.9265
45.500000	104.490334	-11.4533
46.200001	104.457268	-12.1379
46.799999	104.430115	-12.7062
47.500000	104.395645	-13.3885
48.200001	104.356964	-14.0466
48.700001	104.333061	-14.4809
49.400002	104.308304	-15.0965
50.000000	104.284233	-15.6664
50.799999	104.236946	-16.3941
51.500000	104.198067	-16.9388
52.200001	104.171967	-17.4883
53.000000	104.138680	-18.1741
53.799999	104.092407	-18.8311
54.500000	104.051056	-19.3779
55.200001	104.013336	-19.9209
56.000000	103.974579	-20.5303
57.000000	103.912659	-21.2743
58.000000	103.838776	-21.8842
59.000000	103.802032	-22.6316
60.000000	103.749283	-23.5434
60.799999	103.699326	-24.0063
61.500000	103.672760	-24.3809
62.200001	103.638275	-24.8877
63.000000	103.579315	-25.4525
64.000000	103.522118	-26.0447
65.000000	103.470657	-26.6959
66.000000	103.410095	-27.2810
67.000000	103.360802	-27.8639
68.000000	103.304359	-28.4623
69.000000	103.243713	-28.9947
70.000000	103.191223	-29.5593
71.000000	103.137794	-30.1584
72.000000	103.079643	-30.6860
73.000000	103.022507	-31.1691
74.000000	102.967178	-31.6867
75.000000	102.912460	-32.2227
76.199997	102.848244	-32.8404
77.500000	102.774559	-33.4693
78.800003	102.698944	-34.0767
80.000000	102.631561	-34.6178
81.199997	102.569611	-35.1844
82.500000	102.494026	-35.7689
83.800003	102.425293	-36.3315
85.000000	102.361328	-36.8512
86.199997	102.297623	-37.3478
87.500000	102.223831	-37.8623
88.500000	102.171806	-38.2566
90.000000	102.092636	-38.8307
91.199997	102.020775	-39.3035
92.500000	101.954224	-39.7643
93.800003	101.888329	-40.2771
95.000000	101.827606	-40.6826
96.199997	101.766914	-41.1116
97.500000	101.698990	-41.5276
98.800003	101.616714	-41.9153
100.000000	101.568588	-42.3585
101.500000	101.485855	-42.8635
103.000000	101.417458	-43.3685
104.400002	101.340714	-43.7453
106.000000	101.266693	-44.2857
107.500000	101.191223	-44.6731
109.000000	101.116760	-45.1546
110.599998	101.043503	-45.5675
112.000000	100.973770	-45.9958
113.800003	100.891174	-46.4105
115.000000	100.828171	-46.7812
117.199997	100.724571	-47.3049
118.000000	100.679863	-47.5194
120.599998	100.564476	-48.3522
122.000000	100.513306	-48.4218
124.099998	100.405098	-48.9398
125.000000	100.362793	-49.1655
126.500000	100.300362	-49.5185
128.000000	100.243301	-49.8307
131.500000	100.082542	-50.5608
132.000000	100.065216	-50.6819
134.000000	99.984955	-51.0234
136.000000	99.883827	-51.4304
138.000000	99.819649	-51.9092
140.000000	99.722961	-52.1467
143.000000	99.622757	-52.7574
145.000000	99.515099	-53.1361
147.500000	99.433372	-53.4640
150.000000	99.333916	-53.9624
152.500000	99.229057	-54.2888
155.000000	99.138206	-54.7102
157.500000	99.030312	-55.1108
160.000000	98.961685	-55.5552
162.500000	98.878563	-55.8280
165.000000	98.782257	-56.2182
167.500000	98.695793	-56.5441
170.000000	98.604469	-56.8078
172.500000	98.517166	-57.2255
175.000000	98.427986	-57.4883
177.500000	98.342148	-57.6984
180.000000	98.192734	-58.8591
182.500000	98.205597	-58.3111
185.000000	98.112976	-58.5693
187.500000	98.025284	-58.7890
190.000000	97.950943	-58.9604
192.500000	97.871544	-59.1765
195.000000	97.795502	-59.3462
197.500000	97.725471	-59.4776
200.000000	97.660866	-59.6105
203.000000	97.587547	-59.7213
206.000000	97.522026	-59.8316
209.000000	97.473381	-59.9460
212.000000	97.437912	-60.1508
214.000000	97.413124	-60.3386
218.000000	97.363220	-60.7826
220.000000	97.330910	-60.9989
224.000000	97.260841	-61.4512
227.000000	97.210724	-61.8832
230.000000	97.156601	-62.2320
233.000000	97.095116	-62.6198
236.000000	97.039780	-62.9756
240.000000	96.947403	-63.4360
243.000000	96.897476	-63.7283
247.000000	96.817909	-64.1360
250.000000	96.755615	-64.4232
254.000000	96.677765	-64.8001
258.000000	96.597115	-65.1451
262.000000	96.523514	-65.4838
265.000000	96.467651	-65.7163
269.000000	96.394478	-66.0504
272.000000	96.341324	-66.2589
276.000000	96.275986	-66.5788
