* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 1, 2024 5:05:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.999	26.7137
20.299999	100.015	25.9999
20.600000	100.027	25.3061
20.900000	100.035	24.6455
21.200001	100.043	24.0231
21.400000	100.049	23.6255
21.799999	100.065	22.8458
22.000000	100.074	22.4517
22.400000	100.091	21.6422
22.700001	100.100	21.0222
23.000000	100.102	20.4113
23.299999	100.100	19.8308
23.600000	100.096	19.2937
24.000000	100.094	18.6382
24.299999	100.097	18.1662
24.700001	100.107	17.5201
25.000000	100.115	17.0082
25.400000	100.120	16.3001
25.799999	100.117	15.6044
26.200001	100.109	14.9593
26.500000	100.103	14.5131
26.900000	100.100	13.9463
27.200001	100.101	13.5226
27.600000	100.104	12.9393
28.000000	100.105	12.3356
28.500000	100.099	11.5815
29.000000	100.088	10.8654
29.500000	100.076	10.1970
30.000000	100.066	9.5599
30.400000	100.060	9.0592
30.700001	100.056	8.6844
31.100000	100.051	8.1835
31.500000	100.044	7.6819
32.000000	100.034	7.0588
32.500000	100.021	6.4486
33.000000	100.007	5.8596
33.500000	99.991	5.2937
34.000000	99.975	4.7467
34.500000	99.959	4.2143
35.000000	99.943	3.6974
35.500000	99.926	3.1992
36.000000	99.911	2.7156
36.500000	99.898	2.2340
37.000000	99.885	1.7450
37.500000	99.869	1.2530
38.200001	99.843	0.5831
38.700001	99.823	0.1229
39.500000	99.791	-0.5959
40.000000	99.769	-1.0301
40.599998	99.743	-1.5272
41.200001	99.720	-2.0136
41.799999	99.697	-2.5094
42.500000	99.667	-3.0872
43.099998	99.639	-3.5573
43.700001	99.612	-4.0101
44.400002	99.580	-4.5390
45.000000	99.550	-4.9795
45.500000	99.524	-5.3200
46.200001	99.493	-5.7659
46.799999	99.470	-6.1565
47.500000	99.443	-6.6448
48.200001	99.410	-7.1371
48.700001	99.384	-7.4678
49.400002	99.349	-7.8999
50.000000	99.322	-8.2653
50.799999	99.284	-8.7703
51.500000	99.246	-9.1982
52.200001	99.209	-9.5819
53.000000	99.171	-10.0016
53.799999	99.136	-10.4337
54.500000	99.106	-10.8268
55.200001	99.072	-11.2455
56.000000	99.023	-11.6811
57.000000	98.973	-12.1354
58.000000	98.923	-12.7056
59.000000	98.857	-13.1349
60.000000	98.816	-13.5719
60.799999	98.769	-13.9680
61.500000	98.733	-14.2200
62.200001	98.709	-14.5462
63.000000	98.660	-14.9819
64.000000	98.598	-15.2720
65.000000	98.565	-15.6918
66.000000	98.498	-16.1145
67.000000	98.451	-16.3863
68.000000	98.403	-16.8000
69.000000	98.344	-17.1344
70.000000	98.293	-17.4623
71.000000	98.241	-17.7996
72.000000	98.190	-18.1314
73.000000	98.140	-18.4711
74.000000	98.085	-18.7950
75.000000	98.036	-19.0590
76.199997	97.982	-19.4510
77.500000	97.907	-19.8115
78.800003	97.842	-20.1447
80.000000	97.778	-20.4301
81.199997	97.720	-20.7422
82.500000	97.648	-21.0518
83.800003	97.587	-21.3449
85.000000	97.525	-21.6239
86.199997	97.468	-21.8848
87.500000	97.402	-22.1686
88.500000	97.352	-22.3636
90.000000	97.276	-22.6531
91.199997	97.217	-22.8601
92.500000	97.155	-23.0792
93.800003	97.094	-23.3120
95.000000	97.035	-23.5107
96.199997	96.977	-23.7037
97.500000	96.915	-23.8925
98.800003	96.853	-24.0999
100.000000	96.795	-24.2625
101.500000	96.725	-24.4534
103.000000	96.657	-24.6495
104.400002	96.593	-24.8144
106.000000	96.519	-25.0217
107.500000	96.450	-25.1614
109.000000	96.383	-25.3225
110.599998	96.313	-25.4849
112.000000	96.251	-25.5986
113.800003	96.171	-25.7683
115.000000	96.117	-25.8707
117.199997	96.026	-26.0450
118.000000	95.989	-26.1123
120.599998	95.874	-26.2936
122.000000	95.820	-26.3552
124.099998	95.732	-26.4659
125.000000	95.694	-26.5182
126.500000	95.632	-26.5777
128.000000	95.572	-26.6630
131.500000	95.430	-26.7837
132.000000	95.409	-26.7898
134.000000	95.331	-26.8515
136.000000	95.252	-26.8771
138.000000	95.172	-26.9196
140.000000	95.097	-26.9510
143.000000	94.982	-26.9429
145.000000	94.908	-26.9179
147.500000	94.818	-26.8644
150.000000	94.731	-26.7970
152.500000	94.653	-26.7086
155.000000	94.577	-26.6436
157.500000	94.504	-26.5980
160.000000	94.429	-26.5465
162.500000	94.357	-26.4476
165.000000	94.285	-26.4263
167.500000	94.222	-26.3391
170.000000	94.160	-26.3061
172.500000	94.086	-26.2897
175.000000	94.016	-26.2894
177.500000	93.942	-26.2352
180.000000	93.860	-26.2096
182.500000	93.798	-26.1230
185.000000	93.731	-26.0435
187.500000	93.661	-25.9488
190.000000	93.592	-25.8445
192.500000	93.527	-25.7395
195.000000	93.456	-25.6189
197.500000	93.394	-25.4811
200.000000	93.328	-25.3445
203.000000	93.253	-25.1640
206.000000	93.181	-24.9865
209.000000	93.113	-24.7844
212.000000	93.049	-24.5851
214.000000	93.005	-24.4334
218.000000	92.924	-24.2169
220.000000	92.883	-24.0894
224.000000	92.806	-23.8778
227.000000	92.748	-23.7076
230.000000	92.692	-23.5165
233.000000	92.635	-23.3586
236.000000	92.575	-23.2159
240.000000	92.496	-22.9173
243.000000	92.441	-22.7622
247.000000	92.366	-22.5227
250.000000	92.309	-22.3163
254.000000	92.236	-22.0655
258.000000	92.168	-21.7841
262.000000	92.099	-21.5162
265.000000	92.049	-21.3105
269.000000	91.984	-21.0456
272.000000	91.937	-20.8072
276.000000	91.870	-20.5424
280.000000	91.811	-20.2444
285.000000	91.735	-19.8702
290.000000	91.663	-19.5251
295.000000	91.592	-19.1399
300.000000	91.519	-18.7782
304.000000	91.468	-18.4551
307.000000	91.430	-18.2197
311.000000	91.375	-17.9208
315.000000	91.324	-17.6106
320.000000	91.262	-17.2342
325.000000	91.200	-16.8064
330.000000	91.140	-16.4264
335.000000	91.084	-16.0036
340.000000	91.032	-15.6143
345.000000	90.979	-15.2160
350.000000	90.929	-14.7898
355.000000	90.884	-14.3498
360.000000	90.838	-13.9633
365.000000	90.796	-13.5655
370.000000	90.756	-13.1709
375.000000	90.712	-12.7805
382.000000	90.659	-12.2858
387.000000	90.617	-11.8977
395.000000	90.559	-11.2893
400.000000	90.517	-10.9220
406.000000	90.472	-10.4576
412.000000	90.427	-10.0032
418.000000	90.385	-9.5422
425.000000	90.340	-8.9878
431.000000	90.301	-8.5677
437.000000	90.260	-8.0741
444.000000	90.221	-7.5489
450.000000	90.187	-7.0915
455.000000	90.158	-6.6918
462.000000	90.119	-6.1557
468.000000	90.090	-5.7163
475.000000	90.056	-5.1713
482.000000	90.021	-4.6429
487.000000	89.998	-4.2804
494.000000	89.969	-3.7343
500.000000	89.943	-3.2920
508.000000	89.909	-2.6600
515.000000	89.885	-2.1604
522.000000	89.859	-1.6382
530.000000	89.833	-1.0217
538.000000	89.810	-0.4487
545.000000	89.788	0.0888
552.000000	89.766	0.5927
560.000000	89.745	1.1809
570.000000	89.721	1.9269
580.000000	89.694	2.6607
590.000000	89.682	3.4063
600.000000	89.658	4.1243
608.000000	89.646	4.7285
615.000000	89.638	5.2216
622.000000	89.626	5.7745
630.000000	89.619	6.3336
640.000000	89.604	7.0780
650.000000	89.601	7.7843
660.000000	89.601	8.5227
670.000000	89.592	9.2390
680.000000	89.586	9.9818
690.000000	89.586	10.7074
700.000000	89.590	11.4096
710.000000	89.592	12.1371
720.000000	89.596	12.8678
730.000000	89.609	13.6078
740.000000	89.623	14.2821
750.000000	89.629	15.0361
762.000000	89.650	15.8752
775.000000	89.674	16.7991
788.000000	89.699	17.7386
800.000000	89.731	18.5882
812.000000	89.760	19.4407
825.000000	89.797	20.3636
838.000000	89.839	21.2605
850.000000	89.888	22.0858
862.000000	89.926	22.9094
875.000000	89.982	23.7955
885.000000	90.028	24.5135
900.000000	90.101	25.4940
912.000000	90.164	26.2699
925.000000	90.234	27.1242
938.000000	90.311	27.9210
950.000000	90.386	28.6879
962.000000	90.464	29.4120
975.000000	90.549	30.1602
988.000000	90.643	30.8877
1000.000000	90.728	31.5560
1015.000000	90.843	32.3274
1030.000000	90.961	33.0881
1044.000000	91.072	33.7611
1060.000000	91.203	34.4545
1075.000000	91.330	35.0908
1090.000000	91.457	35.6718
1106.000000	91.597	36.2117
1120.000000	91.720	36.7063
1138.000000	91.877	37.2374
1150.000000	91.978	37.5775
1172.000000	92.172	38.1053
1180.000000	92.240	38.2865
1206.000000	92.458	38.8188
1220.000000	92.579	39.0573
1241.000000	92.753	39.3532
1250.000000	92.827	39.5057
1265.000000	92.948	39.6856
1280.000000	93.068	39.8248
1315.000000	93.345	40.1406
1320.000000	93.381	40.1858
1340.000000	93.536	40.3113
1360.000000	93.688	40.4009
1380.000000	93.837	40.4753
1400.000000	93.989	40.5171
1430.000000	94.212	40.5686
1450.000000	94.360	40.5749
1475.000000	94.552	40.5399
1500.000000	94.740	40.4354
1525.000000	94.939	40.2581
1550.000000	95.134	40.0009
1575.000000	95.321	39.6574
1600.000000	95.512	39.2299
1625.000000	95.691	38.7413
1650.000000	95.871	38.1641
1675.000000	96.045	37.5169
1700.000000	96.212	36.7839
1725.000000	96.371	35.9726
1750.000000	96.521	35.0809
1775.000000	96.661	34.1542
1800.000000	96.794	33.1803
1825.000000	96.925	32.1173
1850.000000	97.051	30.9343
1875.000000	97.159	29.6396
1900.000000	97.240	28.1893
1925.000000	97.299	26.6741
1950.000000	97.321	25.1429
1975.000000	97.317	23.6640
2000.000000	97.285	22.2244
2030.000000	97.222	20.6321
2060.000000	97.135	19.1935
2090.000000	97.031	17.8714
2120.000000	96.911	16.6568
2140.000000	96.827	15.9450
2180.000000	96.641	14.6785
2200.000000	96.547	14.1579
2240.000000	96.365	13.2781
2270.000000	96.242	12.6784
2300.000000	96.121	12.0656
2330.000000	95.992	11.4251
2360.000000	95.849	10.8036
2400.000000	95.633	10.0681
2430.000000	95.463	9.6794
2470.000000	95.230	9.3112
2500.000000	95.060	9.1240
2540.000000	94.831	8.9489
2580.000000	94.592	8.8394
2620.000000	94.331	8.8139
2650.000000	94.117	8.9456
2690.000000	93.815	9.4490
2720.000000	93.587	10.0892
2760.000000	93.313	11.3521
2800.000000	93.083	12.9374
2850.000000	92.883	15.1787
2900.000000	92.780	17.4976
2950.000000	92.765	19.6013
3000.000000	92.807	21.3081
3040.000000	92.854	22.3498
3070.000000	92.885	23.0290
3110.000000	92.913	23.7590
3150.000000	92.928	24.4751
3200.000000	92.924	25.3812
3250.000000	92.923	26.4409
3300.000000	92.949	27.5921
3350.000000	93.003	28.6760
3400.000000	93.070	29.6793
3450.000000	93.158	30.5500
3500.000000	93.251	31.3133
3550.000000	93.349	31.9773
3600.000000	93.451	32.5468
3650.000000	93.565	32.9714
3700.000000	93.687	33.2931
3750.000000	93.804	33.4138
3820.000000	93.946	33.2610
3870.000000	94.011	33.0345
3950.000000	94.062	32.6992
4000.000000	94.072	32.6553
4060.000000	94.103	32.8003
4120.000000	94.166	32.9143
4180.000000	94.250	32.7928
4250.000000	94.334	32.2571
4310.000000	94.369	31.5215
4370.000000	94.351	30.7782
4440.000000	94.266	30.1120
4500.000000	94.186	29.7926
4550.000000	94.125	29.5427
4620.000000	94.029	29.1768
4680.000000	93.923	28.8160
4750.000000	93.748	28.5037
4820.000000	93.517	28.4812
4870.000000	93.333	28.6771
4940.000000	93.038	29.4913
5000.000000	92.769	30.8228
5080.000000	92.469	33.9836
5150.000000	92.448	37.8571
5220.000000	92.712	41.2165
5300.000000	93.171	43.4922
5380.000000	93.638	44.2334
5450.000000	93.984	44.0251
5520.000000	94.242	43.3448
5600.000000	94.432	42.5343
5700.000000	94.624	41.9519
5800.000000	94.862	41.2854
5900.000000	95.084	39.9104
6000.000000	95.209	38.1226
6080.000000	95.225	36.7290
6150.000000	95.207	35.7182
6220.000000	95.170	34.8778
6300.000000	95.120	34.0637
6400.000000	95.052	33.3067
6500.000000	94.987	32.7650
6600.000000	94.939	32.3617
6700.000000	94.913	32.1262
6800.000000	94.923	31.8984
6900.000000	94.967	31.5896
7000.000000	95.053	31.1693
7100.000000	95.163	30.3956
7200.000000	95.297	29.1901
7300.000000	95.418	27.3989
7400.000000	95.492	24.9223
7500.000000	95.455	21.7302
7620.000000	95.146	17.5098
7750.000000	94.409	14.1648
7880.000000	93.419	14.1561
8000.000000	92.718	19.1104
8120.000000	93.088	25.0751
8250.000000	93.903	24.6695
8380.000000	94.214	21.0571
8500.000000	94.178	17.8508
8620.000000	94.003	15.4312
8750.000000	93.760	13.6148
8850.000000	93.597	12.6933
9000.000000	93.425	11.7117
9120.000000	93.371	10.9309
9250.000000	93.368	9.7856
9380.000000	93.423	8.3006
9500.000000	93.495	6.5160
9620.000000	93.599	4.4077
9750.000000	93.745	1.4646
9880.000000	93.935	-2.4024
10000.000000	94.080	-7.2140
10150.000000	94.064	-14.9605
10300.000000	93.657	-23.7475
10440.000000	92.899	-31.4393
10600.000000	91.719	-38.3868
10750.000000	90.472	-42.5535
10900.000000	89.226	-44.7497
11060.000000	87.992	-45.1667
11200.000000	87.105	-43.9933
11380.000000	86.254	-41.6690
11500.000000	85.881	-40.1471
11720.000000	85.408	-38.1561
11800.000000	85.286	-37.6558
12060.000000	84.954	-36.0350
12200.000000	84.866	-34.8955
12410.000000	84.977	-32.5783
12500.000000	85.143	-31.6411
12650.000000	85.610	-30.8180
12800.000000	86.210	-31.1371
13150.000000	87.933	-36.7833
13200.000000	88.171	-38.0962
13400.000000	89.217	-44.6470
13600.000000	90.238	-53.6628
13800.000000	91.058	-65.1974
14000.000000	91.522	-78.4645
14300.000000	91.463	-97.7056
14500.000000	91.258	-108.7432
14750.000000	91.115	-120.6277
15000.000000	91.293	-132.0613
15250.000000	92.005	-143.8851
15500.000000	93.284	-158.5359
15750.000000	95.113	-178.6316
16000.000000	97.203	152.0532
16250.000000	98.487	111.3167
16500.000000	97.860	67.0120
16750.000000	96.215	27.8470
17000.000000	94.554	-8.0657
17250.000000	92.987	-43.9363
17500.000000	91.452	-80.6036
17750.000000	90.065	-118.9911
18000.000000	88.659	-161.2504
18250.000000	86.897	153.1642
18500.000000	84.795	106.1175
18750.000000	82.448	57.2315
19000.000000	80.164	6.0443
19250.000000	78.009	-49.2681
19500.000000	76.144	-112.4586
19750.000000	73.998	172.3235
