* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 1, 2024 5:08:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.957	24.7185
20.299999	99.968	24.0508
20.600000	99.977	23.3919
20.900000	99.985	22.7508
21.200001	99.991	22.1362
21.400000	99.995	21.7429
21.799999	100.006	20.9843
22.000000	100.012	20.6113
22.400000	100.028	19.8616
22.700001	100.039	19.2893
23.000000	100.047	18.7139
23.299999	100.051	18.1481
23.600000	100.052	17.6052
24.000000	100.051	16.9286
24.299999	100.051	16.4500
24.700001	100.055	15.8278
25.000000	100.058	15.3595
25.400000	100.060	14.7298
25.799999	100.059	14.1107
26.200001	100.055	13.5206
26.500000	100.052	13.0967
26.900000	100.049	12.5413
27.200001	100.048	12.1231
27.600000	100.043	11.5661
28.000000	100.036	11.0291
28.500000	100.028	10.4091
29.000000	100.030	9.8053
29.500000	100.036	9.1383
30.000000	100.033	8.3994
30.400000	100.017	7.8205
30.700001	100.000	7.4331
31.100000	99.977	6.9935
31.500000	99.964	6.6068
32.000000	99.959	6.1051
32.500000	99.956	5.5331
33.000000	99.944	4.9404
33.500000	99.925	4.3931
34.000000	99.908	3.8883
34.500000	99.895	3.3811
35.000000	99.881	2.8608
35.500000	99.862	2.3576
36.000000	99.845	1.8839
36.500000	99.831	1.4106
37.000000	99.816	0.9126
37.500000	99.796	0.4095
38.200001	99.761	-0.2341
38.700001	99.739	-0.6506
39.500000	99.706	-1.3052
40.000000	99.684	-1.6973
40.599998	99.661	-2.1315
41.200001	99.647	-2.5787
41.799999	99.631	-3.0929
42.500000	99.596	-3.7098
43.099998	99.559	-4.1521
43.700001	99.528	-4.5300
44.400002	99.503	-4.9991
45.000000	99.479	-5.4416
45.500000	99.455	-5.8112
46.200001	99.417	-6.3120
46.799999	99.381	-6.7104
47.500000	99.341	-7.1076
48.200001	99.313	-7.4810
48.700001	99.296	-7.7895
49.400002	99.266	-8.2666
50.000000	99.233	-8.6473
50.799999	99.190	-9.0927
51.500000	99.155	-9.4717
52.200001	99.121	-9.8440
53.000000	99.084	-10.2596
53.799999	99.047	-10.6775
54.500000	99.014	-11.0291
55.200001	98.982	-11.3765
56.000000	98.942	-11.7813
57.000000	98.889	-12.2323
58.000000	98.845	-12.6581
59.000000	98.797	-13.1572
60.000000	98.736	-13.5964
60.799999	98.693	-13.8924
61.500000	98.659	-14.1805
62.200001	98.621	-14.4708
63.000000	98.578	-14.7607
64.000000	98.533	-15.1500
65.000000	98.480	-15.5590
66.000000	98.427	-15.8974
67.000000	98.381	-16.2512
68.000000	98.328	-16.6295
69.000000	98.273	-16.9467
70.000000	98.226	-17.2661
71.000000	98.173	-17.6228
72.000000	98.116	-17.9085
73.000000	98.068	-18.1835
74.000000	98.019	-18.4800
75.000000	97.968	-18.7639
76.199997	97.908	-19.0742
77.500000	97.841	-19.4443
78.800003	97.771	-19.7404
80.000000	97.713	-20.0230
81.199997	97.654	-20.3060
82.500000	97.590	-20.6131
83.800003	97.525	-20.8793
85.000000	97.468	-21.1342
86.199997	97.407	-21.3597
87.500000	97.347	-21.6023
88.500000	97.298	-21.7999
90.000000	97.224	-22.0781
91.199997	97.165	-22.2709
92.500000	97.106	-22.4972
93.800003	97.042	-22.7009
95.000000	96.988	-22.8787
96.199997	96.931	-23.0532
97.500000	96.870	-23.2366
98.800003	96.810	-23.3981
100.000000	96.755	-23.5650
101.500000	96.685	-23.7377
103.000000	96.618	-23.9137
104.400002	96.556	-24.0723
106.000000	96.481	-24.2379
107.500000	96.417	-24.3772
109.000000	96.350	-24.5280
110.599998	96.280	-24.6628
112.000000	96.221	-24.7832
113.800003	96.145	-24.8925
115.000000	96.092	-24.9875
117.199997	95.997	-25.1225
118.000000	95.965	-25.1708
120.599998	95.845	-25.2926
122.000000	95.802	-25.4045
124.099998	95.719	-25.4857
125.000000	95.683	-25.5206
126.500000	95.624	-25.5655
128.000000	95.563	-25.6013
131.500000	95.427	-25.7156
132.000000	95.408	-25.7255
134.000000	95.333	-25.7474
136.000000	95.260	-25.7461
138.000000	95.186	-25.7476
140.000000	95.109	-25.7470
143.000000	95.011	-25.7350
145.000000	94.956	-25.6770
147.500000	94.857	-25.7075
150.000000	94.794	-25.5800
152.500000	94.720	-25.6061
155.000000	94.645	-25.6106
157.500000	94.568	-25.6061
160.000000	94.488	-25.5887
162.500000	94.408	-25.5141
165.000000	94.334	-25.5160
167.500000	94.257	-25.3983
170.000000	94.180	-25.3054
172.500000	94.105	-25.1863
175.000000	94.038	-25.0870
177.500000	93.972	-24.9335
180.000000	93.925	-24.7316
182.500000	93.853	-24.6378
185.000000	93.800	-24.5363
187.500000	93.743	-24.4443
190.000000	93.688	-24.3909
192.500000	93.627	-24.2826
195.000000	93.566	-24.2219
197.500000	93.511	-24.1197
200.000000	93.454	-24.0072
203.000000	93.382	-23.8863
206.000000	93.316	-23.7376
209.000000	93.252	-23.5758
212.000000	93.187	-23.4470
214.000000	93.143	-23.3356
218.000000	93.058	-23.1269
220.000000	93.014	-23.0189
224.000000	92.933	-22.7967
227.000000	92.871	-22.6377
230.000000	92.809	-22.4493
233.000000	92.751	-22.2514
236.000000	92.698	-22.0744
240.000000	92.611	-21.8564
243.000000	92.560	-21.6280
247.000000	92.492	-21.3646
250.000000	92.437	-21.1431
254.000000	92.367	-20.8775
258.000000	92.304	-20.5923
262.000000	92.234	-20.3053
265.000000	92.189	-20.1049
269.000000	92.123	-19.8009
272.000000	92.077	-19.5772
276.000000	92.019	-19.2816
280.000000	91.963	-18.9986
285.000000	91.888	-18.6163
290.000000	91.819	-18.2231
295.000000	91.759	-17.8605
