* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 5:57:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.826	-153.7826
20.299999	107.839	-154.4504
20.600000	107.855	-155.1088
20.900000	107.874	-155.7701
21.200001	107.894	-156.4397
21.400000	107.907	-156.8917
21.799999	107.931	-157.8103
22.000000	107.942	-158.2767
22.400000	107.958	-159.2177
22.700001	107.964	-159.9189
23.000000	107.966	-160.6029
23.299999	107.963	-161.2598
23.600000	107.959	-161.8857
24.000000	107.952	-162.6799
24.299999	107.947	-163.2554
24.700001	107.939	-164.0023
25.000000	107.931	-164.5402
25.400000	107.919	-165.2121
25.799999	107.911	-165.8297
26.200001	107.912	-166.4246
26.500000	107.917	-166.8872
26.900000	107.925	-167.5531
27.200001	107.927	-168.0864
27.600000	107.921	-168.8035
28.000000	107.906	-169.4794
28.500000	107.884	-170.2356
29.000000	107.871	-170.9495
29.500000	107.859	-171.6900
30.000000	107.840	-172.4411
30.400000	107.819	-173.0001
30.700001	107.804	-173.3821
31.100000	107.788	-173.8604
31.500000	107.780	-174.3498
32.000000	107.771	-175.0254
32.500000	107.750	-175.7394
33.000000	107.716	-176.3917
33.500000	107.682	-176.9353
34.000000	107.660	-177.4308
34.500000	107.647	-177.9706
35.000000	107.631	-178.5746
35.500000	107.603	-179.1794
36.000000	107.569	-179.7182
36.500000	107.540	179.8037
37.000000	107.518	179.3236
37.500000	107.498	178.8026
38.200001	107.458	178.0645
38.700001	107.426	177.5884
39.500000	107.383	176.8773
40.000000	107.360	176.4148
40.599998	107.328	175.8574
41.200001	107.293	175.3289
41.799999	107.259	174.8189
42.500000	107.215	174.2573
43.099998	107.179	173.8455
43.700001	107.154	173.4515
44.400002	107.129	172.8968
45.000000	107.092	172.3894
45.500000	107.055	172.0308
46.200001	107.014	171.5991
46.799999	106.986	171.1656
47.500000	106.938	170.5934
48.200001	106.876	170.1245
48.700001	106.838	169.8582
49.400002	106.799	169.4548
50.000000	106.765	169.0565
50.799999	106.714	168.5403
51.500000	106.672	168.1044
52.200001	106.626	167.6733
53.000000	106.576	167.2780
53.799999	106.549	166.8853
54.500000	106.524	166.3671
55.200001	106.464	165.8297
56.000000	106.376	165.5151
57.000000	106.317	165.3447
58.000000	106.277	164.9042
59.000000	106.204	164.4476
60.000000	106.141	164.1519
