* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 6:08:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.795	-156.0266
20.299999	108.803	-156.7245
20.600000	108.813	-157.4051
20.900000	108.823	-158.0799
21.200001	108.833	-158.7567
21.400000	108.839	-159.2097
21.799999	108.846	-160.1113
22.000000	108.848	-160.5545
22.400000	108.849	-161.4169
22.700001	108.848	-162.0405
23.000000	108.847	-162.6485
23.299999	108.846	-163.2470
23.600000	108.845	-163.8400
24.000000	108.842	-164.6207
24.299999	108.838	-165.1933
24.700001	108.833	-165.9341
25.000000	108.829	-166.4754
25.400000	108.825	-167.1893
25.799999	108.821	-167.9046
26.200001	108.813	-168.6175
26.500000	108.805	-169.1403
26.900000	108.792	-169.8079
27.200001	108.782	-170.2842
27.600000	108.770	-170.8967
28.000000	108.759	-171.4991
28.500000	108.746	-172.2513
29.000000	108.729	-172.9904
29.500000	108.709	-173.6985
30.000000	108.689	-174.3796
30.400000	108.674	-174.9169
30.700001	108.662	-175.3190
31.100000	108.644	-175.8516
31.500000	108.625	-176.3736
32.000000	108.599	-177.0043
32.500000	108.573	-177.6112
33.000000	108.547	-178.1998
33.500000	108.522	-178.7768
34.000000	108.498	-179.3507
34.500000	108.473	-179.9254
35.000000	108.445	179.5097
35.500000	108.415	178.9730
36.000000	108.385	178.4695
36.500000	108.360	177.9808
37.000000	108.335	177.4841
37.500000	108.309	176.9793
38.200001	108.266	176.3022
38.700001	108.235	175.8566
39.500000	108.191	175.1603
40.000000	108.163	174.7058
40.599998	108.124	174.1587
41.200001	108.080	173.6518
41.799999	108.038	173.1923
42.500000	107.995	172.6624
43.099998	107.959	172.1803
43.700001	107.916	171.7026
44.400002	107.864	171.2098
45.000000	107.828	170.8190
45.500000	107.802	170.4625
46.200001	107.759	169.9013
46.799999	107.709	169.4485
47.500000	107.651	169.0377
48.200001	107.610	168.6494
48.700001	107.582	168.3154
49.400002	107.532	167.8464
50.000000	107.489	167.5290
50.799999	107.454	167.0620
51.500000	107.409	166.4786
52.200001	107.326	166.0258
53.000000	107.254	165.8903
53.799999	107.240	165.6275
54.500000	107.211	165.1259
55.200001	107.150	164.7219
56.000000	107.094	164.4310
57.000000	107.033	163.9720
58.000000	106.967	163.5958
59.000000	106.911	163.1018
60.000000	106.822	162.6847
60.799999	106.772	162.5036
61.500000	106.739	162.2363
62.200001	106.695	161.9324
63.000000	106.642	161.6609
64.000000	106.584	161.2944
65.000000	106.518	160.9466
66.000000	106.458	160.6252
67.000000	106.393	160.2821
68.000000	106.327	160.0051
69.000000	106.266	159.7308
70.000000	106.208	159.4427
71.000000	106.145	159.1376
72.000000	106.077	158.8942
73.000000	106.018	158.6737
74.000000	105.959	158.4279
75.000000	105.899	158.2048
76.199997	105.827	157.9128
77.500000	105.741	157.6566
78.800003	105.669	157.4307
80.000000	105.601	157.1981
81.199997	105.532	156.9758
82.500000	105.460	156.7769
83.800003	105.389	156.5389
85.000000	105.318	156.3674
86.199997	105.252	156.1931
87.500000	105.179	156.0233
88.500000	105.125	155.8890
90.000000	105.044	155.7014
91.199997	104.980	155.5708
92.500000	104.913	155.4232
93.800003	104.846	155.2944
95.000000	104.784	155.1727
96.199997	104.723	155.0838
97.500000	104.659	154.9529
98.800003	104.594	154.8684
100.000000	104.536	154.7640
101.500000	104.462	154.6694
103.000000	104.388	154.5740
104.400002	104.324	154.5052
106.000000	104.249	154.4175
107.500000	104.179	154.3553
109.000000	104.112	154.2927
110.599998	104.040	154.2259
112.000000	103.976	154.1890
113.800003	103.900	154.1226
115.000000	103.848	154.1114
117.199997	103.757	154.1107
118.000000	103.722	154.0822
120.599998	103.631	154.0908
122.000000	103.556	154.0580
124.099998	103.473	154.0450
125.000000	103.438	154.0620
126.500000	103.381	154.0452
128.000000	103.323	154.0605
131.500000	103.192	154.0959
132.000000	103.174	154.1069
134.000000	103.099	154.1388
136.000000	103.029	154.1887
138.000000	102.960	154.2476
140.000000	102.891	154.2915
143.000000	102.787	154.3728
145.000000	102.724	154.4417
147.500000	102.640	154.5457
150.000000	102.560	154.6332
152.500000	102.479	154.7270
155.000000	102.406	154.8427
157.500000	102.331	154.9713
160.000000	102.256	155.1060
162.500000	102.183	155.2021
165.000000	102.110	155.3635
167.500000	102.038	155.4721
170.000000	101.972	155.6060
172.500000	101.905	155.7820
175.000000	101.834	155.9704
177.500000	101.767	156.1415
180.000000	101.663	156.2943
182.500000	101.637	156.4261
185.000000	101.582	156.6199
187.500000	101.522	156.8303
190.000000	101.458	157.0441
192.500000	101.397	157.2360
195.000000	101.341	157.4427
197.500000	101.285	157.7018
200.000000	101.229	157.9546
203.000000	101.169	158.2861
206.000000	101.118	158.6433
209.000000	101.078	158.9957
212.000000	101.046	159.2612
214.000000	101.027	159.4122
218.000000	100.979	159.6444
220.000000	100.952	159.7482
224.000000	100.893	159.9487
227.000000	100.849	160.1183
230.000000	100.798	160.3052
233.000000	100.757	160.4853
236.000000	100.717	160.6579
240.000000	100.662	161.0969
243.000000	100.619	161.1237
247.000000	100.558	161.3044
250.000000	100.516	161.5015
254.000000	100.455	161.7425
258.000000	100.400	161.9992
262.000000	100.341	162.2720
265.000000	100.301	162.4778
269.000000	100.245	162.7703
272.000000	100.206	162.9932
276.000000	100.154	163.2792
280.000000	100.102	163.5759
285.000000	100.044	163.9418
290.000000	99.986	164.3098
295.000000	99.931	164.6979
300.000000	99.875	165.0948
304.000000	99.837	165.3709
307.000000	99.805	165.6169
311.000000	99.765	165.9119
315.000000	99.726	166.2131
320.000000	99.683	166.5786
325.000000	99.635	166.9852
330.000000	99.595	167.3629
335.000000	99.554	167.7649
340.000000	99.517	168.1169
345.000000	99.484	168.4866
350.000000	99.451	168.8251
355.000000	99.415	169.1714
360.000000	99.385	169.4865
365.000000	99.348	169.8343
370.000000	99.312	170.1456
375.000000	99.280	170.4743
382.000000	99.233	170.9525
387.000000	99.202	171.2894
395.000000	99.152	171.8276
400.000000	99.120	172.1617
406.000000	99.084	172.5585
412.000000	99.049	172.9593
418.000000	99.016	173.3757
425.000000	98.976	173.8206
431.000000	98.946	174.2500
437.000000	98.914	174.6468
444.000000	98.881	175.0954
450.000000	98.854	175.5151
455.000000	98.833	175.8434
462.000000	98.802	176.3065
468.000000	98.780	176.6891
475.000000	98.750	177.1348
482.000000	98.723	177.6038
487.000000	98.701	177.8998
494.000000	98.675	178.3509
500.000000	98.651	178.7499
508.000000	98.623	179.2651
515.000000	98.595	179.7210
522.000000	98.576	-179.8121
530.000000	98.547	-179.2901
538.000000	98.525	-178.7821
545.000000	98.502	-178.3383
