* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 22, 2024 1:56:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.698	-163.9760
20.600000	109.688	-164.6489
20.900000	109.672	-165.2308
21.200001	109.661	-165.7832
21.400000	109.658	-166.1410
21.799999	109.660	-166.8511
22.000000	109.664	-167.2112
22.400000	109.675	-167.9482
22.700001	109.680	-168.5108
23.000000	109.678	-169.0664
23.299999	109.670	-169.5967
23.600000	109.658	-170.0864
24.000000	109.641	-170.6703
24.299999	109.633	-171.0726
24.700001	109.632	-171.6006
25.000000	109.634	-172.0114
25.400000	109.633	-172.5797
25.799999	109.622	-173.1335
26.200001	109.601	-173.6289
26.500000	109.583	-173.9588
26.900000	109.563	-174.3857
27.200001	109.552	-174.7364
27.600000	109.540	-175.2844
28.000000	109.523	-175.9080
28.500000	109.494	-176.6801
29.000000	109.466	-177.3157
29.500000	109.455	-177.8252
30.000000	109.459	-178.3354
30.400000	109.458	-178.7933
30.700001	109.450	-179.1537
31.100000	109.429	-179.6219
31.500000	109.404	179.9457
32.000000	109.376	179.4304
32.500000	109.355	178.8962
33.000000	109.330	178.3644
33.500000	109.301	177.9097
34.000000	109.278	177.5446
34.500000	109.267	177.1792
35.000000	109.258	176.7222
35.500000	109.235	176.1934
36.000000	109.196	175.6978
36.500000	109.152	175.3013
37.000000	109.115	174.9654
37.500000	109.087	174.6082
38.200001	109.049	174.0199
38.700001	109.021	173.5758
39.500000	108.986	172.8723
40.000000	108.970	172.4167
40.599998	108.941	171.8831
41.200001	108.898	171.4657
41.799999	108.860	171.1954
42.500000	108.839	170.8820
43.099998	108.827	170.4625
43.700001	108.797	169.9852
44.400002	108.749	169.5581
45.000000	108.714	169.2592
45.500000	108.686	168.9545
46.200001	108.629	168.4607
46.799999	108.575	168.0877
47.500000	108.534	167.6811
48.200001	108.505	167.1843
48.700001	108.474	166.8386
49.400002	108.418	166.5271
50.000000	108.381	166.3657
50.799999	108.351	166.0324
51.500000	108.320	165.5944
52.200001	108.285	165.1656
53.000000	108.249	164.7334
53.799999	108.200	164.3055
54.500000	108.132	164.0306
55.200001	108.069	163.9117
56.000000	108.038	163.6971
57.000000	107.998	163.1035
58.000000	107.938	162.6880
59.000000	107.887	162.3017
60.000000	107.795	162.0413
60.799999	107.750	161.9421
61.500000	107.730	161.6245
62.200001	107.691	161.2210
63.000000	107.640	160.9699
64.000000	107.601	160.7576
65.000000	107.539	160.3660
66.000000	107.466	160.0934
67.000000	107.421	159.7217
68.000000	107.349	159.3735
69.000000	107.324	159.1778
70.000000	107.262	158.7007
71.000000	107.186	158.4782
72.000000	107.147	157.6262
73.000000	107.075	157.7809
74.000000	107.200	158.3152
75.000000	107.041	157.2527
76.199997	106.645	157.5862
77.500000	106.711	157.9367
78.800003	106.740	157.0353
80.000000	106.584	157.0491
81.199997	106.679	156.8965
82.500000	106.538	156.5243
83.800003	106.529	155.8987
85.000000	106.449	155.4471
86.199997	106.386	155.8917
87.500000	106.228	155.3870
88.500000	106.161	155.3886
90.000000	106.243	154.5193
91.199997	106.026	154.6357
92.500000	106.075	155.0280
93.800003	105.965	154.4609
95.000000	105.918	154.7230
96.199997	105.882	154.4855
97.500000	105.810	154.0667
98.800003	105.717	154.0977
100.000000	105.710	154.2867
101.500000	105.561	153.9604
103.000000	105.467	153.8393
104.400002	105.470	153.6981
106.000000	105.473	152.8796
107.500000	105.326	153.5535
109.000000	105.221	152.8599
110.599998	105.233	153.4211
112.000000	105.108	153.0735
113.800003	105.030	153.3105
115.000000	104.915	152.8151
117.199997	104.945	152.9659
118.000000	104.834	153.1870
120.599998	104.818	153.0322
122.000000	104.759	152.8988
124.099998	104.658	153.1039
125.000000	104.608	152.5919
126.500000	104.452	152.9941
128.000000	104.499	152.5562
131.500000	104.322	152.8669
132.000000	104.271	153.0994
134.000000	104.256	151.9208
136.000000	104.156	152.7629
138.000000	104.053	152.9129
140.000000	104.093	153.0339
143.000000	103.904	153.2505
145.000000	103.899	153.3788
147.500000	103.765	153.2938
150.000000	103.656	153.5585
152.500000	103.599	153.7225
155.000000	103.451	153.2769
157.500000	103.488	152.9810
160.000000	103.370	153.9907
162.500000	103.332	153.5966
165.000000	103.241	153.9484
167.500000	103.179	154.3511
170.000000	102.963	153.9769
172.500000	102.978	154.1932
175.000000	102.958	153.8532
177.500000	102.792	154.4683
180.000000	102.588	155.8030
182.500000	102.581	155.1302
185.000000	102.582	154.9246
187.500000	102.468	154.8694
190.000000	102.373	155.1272
192.500000	102.407	155.0292
195.000000	102.406	155.9170
197.500000	102.387	155.5735
200.000000	102.407	156.2886
203.000000	102.341	156.4007
206.000000	102.331	156.5211
209.000000	102.084	156.6974
212.000000	102.125	157.3630
214.000000	102.063	157.2813
218.000000	101.951	157.6600
220.000000	101.998	157.5555
224.000000	101.804	157.9556
227.000000	101.817	158.4036
230.000000	101.749	158.4965
233.000000	101.782	158.9282
236.000000	101.605	158.6499
240.000000	101.556	159.3197
243.000000	101.486	159.2322
247.000000	101.486	159.5564
250.000000	101.473	159.7873
254.000000	101.255	159.9040
258.000000	101.297	160.8068
262.000000	101.224	160.6124
265.000000	101.096	160.8683
269.000000	101.118	161.5289
272.000000	101.064	161.9744
276.000000	100.976	162.3818
280.000000	100.907	161.9661
285.000000	100.871	163.0143
290.000000	100.816	163.9198
295.000000	100.714	164.2305
300.000000	100.646	164.6126
304.000000	100.644	164.6091
307.000000	100.648	165.5414
311.000000	100.604	165.0235
315.000000	100.570	166.3011
320.000000	100.621	166.2327
325.000000	100.570	166.8773
330.000000	100.511	165.8936
335.000000	100.436	167.0719
340.000000	100.293	167.6765
345.000000	100.265	167.6603
350.000000	100.309	168.2720
355.000000	100.226	169.2606
360.000000	100.127	169.4139
365.000000	100.197	169.4471
370.000000	100.140	170.1546
375.000000	100.091	170.2771
382.000000	100.027	171.3290
387.000000	100.033	171.7239
395.000000	99.944	171.8386
400.000000	99.919	172.4880
406.000000	99.897	173.2655
412.000000	99.878	173.0843
418.000000	99.808	174.1877
425.000000	99.793	174.2224
431.000000	99.800	174.9230
437.000000	99.808	175.1861
444.000000	99.694	175.4841
450.000000	99.672	176.1972
455.000000	99.631	176.2947
462.000000	99.630	177.2774
468.000000	99.587	177.5560
475.000000	99.566	178.5624
482.000000	99.583	178.8486
487.000000	99.536	178.9204
494.000000	99.593	179.8799
500.000000	99.518	-179.5761
508.000000	99.488	-179.1391
515.000000	99.460	-178.6571
522.000000	99.412	-178.5003
530.000000	99.413	-177.3696
538.000000	99.421	-177.0414
545.000000	99.394	-176.8108
552.000000	99.374	-175.9430
560.000000	99.441	-175.5465
570.000000	99.335	-174.6406
580.000000	99.394	-173.7958
590.000000	99.296	-173.6490
600.000000	99.339	-172.2159
608.000000	99.429	-171.3212
615.000000	99.285	-171.6519
622.000000	99.313	-170.4734
630.000000	99.344	-170.6073
640.000000	99.290	-169.8278
650.000000	99.307	-168.7548
660.000000	99.277	-168.1668
670.000000	99.357	-167.1027
680.000000	99.376	-166.5939
690.000000	99.333	-165.7665
700.000000	99.346	-165.1595
710.000000	99.376	-164.5379
720.000000	99.354	-163.5922
730.000000	99.367	-163.0262
740.000000	99.411	-162.5744
750.000000	99.419	-161.5341
762.000000	99.505	-160.8262
775.000000	99.481	-159.5810
788.000000	99.551	-158.5861
800.000000	99.599	-157.9184
812.000000	99.638	-156.9462
825.000000	99.711	-156.1753
838.000000	99.783	-155.0789
850.000000	99.847	-154.1185
862.000000	99.878	-153.3869
875.000000	99.996	-152.6908
885.000000	100.051	-152.1500
900.000000	100.149	-151.0966
912.000000	100.254	-150.2878
925.000000	100.329	-149.5028
938.000000	100.478	-148.7855
950.000000	100.568	-148.0864
962.000000	100.678	-147.6199
975.000000	100.776	-146.9824
988.000000	100.907	-146.4698
1000.000000	101.039	-146.1705
1015.000000	101.176	-145.6283
1030.000000	101.300	-145.0855
1044.000000	101.462	-144.8606
1060.000000	101.618	-144.5300
1075.000000	101.769	-144.6702
1090.000000	101.898	-144.5305
1106.000000	102.029	-145.0182
1120.000000	102.098	-145.1698
1138.000000	102.177	-145.4060
1150.000000	102.219	-145.5642
1172.000000	102.248	-146.0641
1180.000000	102.232	-146.0509
1206.000000	102.190	-146.1225
1220.000000	102.126	-146.2126
1241.000000	102.032	-145.4296
1250.000000	102.002	-145.1876
1265.000000	101.958	-144.3272
1280.000000	101.934	-143.4886
1315.000000	101.980	-140.9545
1320.000000	101.995	-140.6436
1340.000000	102.055	-139.1578
1360.000000	102.177	-138.0207
1380.000000	102.339	-136.3931
1400.000000	102.496	-135.0175
1430.000000	102.832	-133.9415
1450.000000	103.035	-133.1514
1475.000000	103.298	-132.4588
1500.000000	103.565	-131.7771
1525.000000	103.782	-131.2982
1550.000000	104.046	-130.9125
1575.000000	104.266	-130.4901
1600.000000	104.481	-130.0936
1625.000000	104.738	-129.9088
1650.000000	105.000	-129.7636
1675.000000	105.241	-129.6071
1700.000000	105.478	-129.7368
1725.000000	105.720	-129.5881
1750.000000	105.975	-129.7236
1775.000000	106.221	-129.7921
1800.000000	106.468	-130.1605
1825.000000	106.745	-130.4844
1850.000000	107.003	-130.9022
1875.000000	107.254	-131.4741
1900.000000	107.504	-132.1567
1925.000000	107.785	-132.9088
1950.000000	108.031	-133.9054
1975.000000	108.287	-135.1120
2000.000000	108.540	-136.5654
2030.000000	108.749	-138.5765
2060.000000	108.937	-140.6754
2090.000000	109.094	-142.7769
2120.000000	109.208	-144.9879
2140.000000	109.261	-146.3998
