* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 22, 2024 1:53:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.133	-161.2612
20.600000	109.149	-161.8724
20.900000	109.156	-162.4732
21.200001	109.156	-163.1134
21.400000	109.152	-163.5544
21.799999	109.134	-164.4257
22.000000	109.121	-164.8369
22.400000	109.097	-165.5897
22.700001	109.084	-166.1020
23.000000	109.078	-166.5988
23.299999	109.077	-167.1089
23.600000	109.076	-167.6468
24.000000	109.069	-168.3868
24.299999	109.058	-168.9189
24.700001	109.042	-169.5474
25.000000	109.035	-169.9579
25.400000	109.040	-170.4723
25.799999	109.053	-171.0250
26.200001	109.060	-171.6407
26.500000	109.053	-172.1109
26.900000	109.025	-172.6752
27.200001	108.998	-173.0215
27.600000	108.967	-173.4084
28.000000	108.951	-173.8038
28.500000	108.946	-174.4573
29.000000	108.935	-175.2761
29.500000	108.906	-176.0666
30.000000	108.876	-176.6573
30.400000	108.867	-177.0074
30.700001	108.869	-177.2573
31.100000	108.875	-177.6375
31.500000	108.874	-178.0867
32.000000	108.851	-178.6794
32.500000	108.813	-179.2198
33.000000	108.780	-179.7100
33.500000	108.759	179.7795
34.000000	108.741	179.2321
34.500000	108.718	178.7208
35.000000	108.696	178.3053
35.500000	108.684	177.9326
36.000000	108.675	177.4913
36.500000	108.651	176.9674
37.000000	108.605	176.4892
37.500000	108.553	176.1783
38.200001	108.520	175.8925
38.700001	108.522	175.5554
39.500000	108.502	174.7060
40.000000	108.462	174.2013
40.599998	108.412	173.7540
41.200001	108.380	173.3613
41.799999	108.355	172.9107
42.500000	108.319	172.3543
43.099998	108.285	171.9145
43.700001	108.253	171.5050
44.400002	108.218	171.0609
45.000000	108.185	170.7233
45.500000	108.157	170.4678
46.200001	108.119	170.1162
46.799999	108.093	169.7676
47.500000	108.068	169.2582
48.200001	108.028	168.7507
48.700001	107.992	168.5167
49.400002	107.954	168.3698
50.000000	107.938	168.2096
50.799999	107.908	167.7684
51.500000	107.867	167.3178
52.200001	107.825	166.8633
53.000000	107.748	166.3662
53.799999	107.649	166.2209
54.500000	107.618	166.2250
55.200001	107.631	165.8572
56.000000	107.614	165.1247
57.000000	107.531	164.5486
58.000000	107.435	164.3254
59.000000	107.398	163.8987
60.000000	107.334	162.8768
60.799999	107.207	162.7738
61.500000	107.172	163.3122
62.200001	107.213	163.3978
63.000000	107.204	162.7498
64.000000	107.128	162.2855
65.000000	107.135	161.8941
66.000000	107.038	161.1892
67.000000	106.905	161.2177
68.000000	106.886	161.0978
69.000000	106.847	160.4758
70.000000	106.755	159.9144
71.000000	106.685	159.8123
72.000000	106.698	159.7494
73.000000	106.666	159.3231
74.000000	106.572	159.1124
75.000000	106.541	159.2597
76.199997	106.600	158.7910
77.500000	106.474	158.1082
78.800003	106.459	158.0327
80.000000	106.326	157.2099
81.199997	106.175	157.3999
82.500000	106.073	158.1019
83.800003	106.111	158.1292
85.000000	105.950	156.7568
86.199997	105.891	156.9094
87.500000	105.848	156.7744
88.500000	105.774	156.8510
90.000000	105.716	156.4900
91.199997	105.653	156.2507
92.500000	105.588	156.3569
93.800003	105.587	155.7645
95.000000	105.475	155.8511
96.199997	105.436	155.7780
97.500000	105.372	155.8405
98.800003	105.292	155.6146
100.000000	105.228	155.5087
101.500000	105.216	154.9558
103.000000	105.137	155.1096
104.400002	105.004	155.0934
106.000000	104.902	154.7642
107.500000	104.965	155.1136
109.000000	104.820	154.3416
110.599998	104.780	154.8289
112.000000	104.693	154.6567
113.800003	104.608	154.6373
115.000000	104.621	154.4824
117.199997	104.476	154.7188
118.000000	104.462	154.4453
120.599998	104.317	154.8741
122.000000	104.277	153.8916
124.099998	104.271	153.7672
125.000000	104.184	153.6841
126.500000	104.072	153.9344
128.000000	104.046	154.4898
131.500000	103.926	153.8370
132.000000	103.880	153.6756
134.000000	103.803	154.4879
136.000000	103.795	153.9921
138.000000	103.693	154.3115
140.000000	103.716	154.5284
143.000000	103.494	154.6336
145.000000	103.432	154.2467
147.500000	103.458	154.5244
150.000000	103.307	153.8816
152.500000	103.096	154.4124
155.000000	103.087	155.0955
157.500000	103.016	154.3828
160.000000	102.904	154.6504
162.500000	102.861	154.5175
165.000000	102.755	155.5276
167.500000	102.543	156.5334
170.000000	102.627	157.1811
172.500000	102.600	157.5464
175.000000	102.686	158.0256
177.500000	102.534	157.1612
180.000000	102.451	157.3911
182.500000	102.383	156.5728
185.000000	102.385	156.8483
187.500000	102.322	156.6739
190.000000	102.243	157.2595
192.500000	102.210	157.2021
195.000000	102.185	157.7404
197.500000	102.040	158.2520
200.000000	102.019	157.3804
203.000000	101.979	157.7403
206.000000	101.879	158.2018
209.000000	101.851	158.3480
212.000000	101.752	158.5663
