* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2024 3:18:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.045097	-173.6376
20.600000	104.039497	-174.2027
20.900000	104.027580	-174.7408
21.200001	104.012917	-175.3110
21.400000	104.002029	-175.7120
21.799999	103.977066	-176.5519
22.000000	103.962723	-176.9803
22.400000	103.930290	-177.8230
22.700001	103.903702	-178.4130
23.000000	103.877060	-178.9501
23.299999	103.852364	-179.4310
23.600000	103.831146	-179.8648
24.000000	103.808823	179.5984
24.299999	103.795090	179.2028
24.700001	103.777351	178.6628
25.000000	103.762665	178.2463
25.400000	103.740707	177.6807
25.799999	103.717285	177.1068
26.200001	103.693077	176.5198
26.500000	103.673370	176.0690
26.900000	103.642570	175.4666
27.200001	103.615234	175.0306
27.600000	103.575203	174.4985
28.000000	103.536285	174.0321
28.500000	103.497139	173.5042
29.000000	103.467972	172.9573
29.500000	103.438751	172.3582
30.000000	103.401520	171.7516
30.400000	103.367523	171.2969
30.700001	103.342110	170.9768
31.100000	103.310120	170.5641
31.500000	103.279495	170.1502
32.000000	103.239906	169.6293
32.500000	103.198135	169.1266
33.000000	103.157608	168.6509
33.500000	103.119888	168.1798
34.000000	103.081284	167.6943
34.500000	103.037964	167.2083
35.000000	102.991257	166.7507
35.500000	102.946091	166.3282
36.000000	102.905411	165.9216
36.500000	102.867859	165.5120
37.000000	102.829926	165.0972
37.500000	102.788849	164.6857
38.200001	102.725266	164.1325
38.700001	102.677925	163.7583
39.500000	102.606316	163.1784
40.000000	102.565216	162.8141
40.599998	102.517120	162.3816
41.200001	102.468811	161.9706
41.799999	102.419838	161.5764
42.500000	102.359497	161.1176
43.099998	102.304543	160.7335
43.700001	102.250954	160.3723
44.400002	102.194077	159.9648
45.000000	102.146469	159.6176
45.500000	102.104851	159.3409
46.200001	102.045097	158.9801
46.799999	101.994797	158.6719
47.500000	101.935966	158.2923
48.200001	101.876137	157.9144
48.700001	101.834320	157.6580
49.400002	101.777367	157.3108
50.000000	101.728027	157.0204
50.799999	101.661140	156.6523
51.500000	101.603485	156.3421
52.200001	101.545662	156.0355
53.000000	101.478073	155.7028
53.799999	101.412064	155.3887
54.500000	101.356377	155.1088
55.200001	101.300148	154.8291
56.000000	101.235062	154.5365
57.000000	101.154251	154.1902
58.000000	101.070984	153.8454
59.000000	100.994560	153.5232
60.000000	100.918907	153.1879
60.799999	100.850487	152.9749
61.500000	100.793991	152.8199
62.200001	100.741096	152.6288
63.000000	100.678345	152.3951
64.000000	100.605301	152.1675
65.000000	100.538063	151.9371
66.000000	100.465668	151.7008
67.000000	100.395317	151.4513
68.000000	100.324692	151.1941
69.000000	100.255844	150.9734
70.000000	100.188377	150.7672
71.000000	100.117714	150.5647
72.000000	100.044739	150.3770
73.000000	99.975876	150.1931
74.000000	99.908707	149.9968
75.000000	99.840378	149.8227
76.199997	99.759575	149.6427
77.500000	99.674660	149.4630
78.800003	99.587601	149.2501
80.000000	99.508507	149.0732
81.199997	99.432648	148.9343
82.500000	99.352211	148.7954
83.800003	99.263840	148.6102
85.000000	99.187645	148.4938
86.199997	99.114899	148.3765
87.500000	99.035637	148.2500
88.500000	98.976318	148.1761
90.000000	98.887009	148.0616
91.199997	98.812447	147.9717
92.500000	98.737167	147.8687
93.800003	98.660225	147.7962
95.000000	98.591995	147.7354
96.199997	98.526161	147.6678
97.500000	98.452370	147.6182
98.800003	98.378128	147.5621
100.000000	98.313690	147.5097
101.500000	98.230560	147.4562
103.000000	98.152191	147.4263
104.400002	98.078300	147.3901
