* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2024 3:19:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.708183	-175.7330
20.600000	103.669449	-176.5711
20.900000	103.624870	-177.0801
21.200001	103.594910	-177.3623
21.400000	103.589775	-177.4633
21.799999	103.615776	-177.6082
22.000000	103.642288	-177.7124
22.400000	103.704193	-178.0548
22.700001	103.740448	-178.4362
23.000000	103.757797	-178.8879
23.299999	103.753342	-179.3673
23.600000	103.729660	-179.8434
24.000000	103.678452	179.5405
24.299999	103.633362	179.0768
24.700001	103.572990	178.4268
25.000000	103.531219	177.9095
25.400000	103.483498	177.1979
25.799999	103.447311	176.5060
26.200001	103.423325	175.8809
26.500000	103.412186	175.4724
26.900000	103.402824	175.0056
27.200001	103.396889	174.6989
27.600000	103.385559	174.3066
28.000000	103.365623	173.8848
28.500000	103.323334	173.2628
29.000000	103.263382	172.5496
29.500000	103.197906	171.8240
30.000000	103.144592	171.1639
30.400000	103.116531	170.6945
30.700001	103.102249	170.3681
31.100000	103.086212	169.9540
31.500000	103.066231	169.5552
32.000000	103.029190	169.0669
32.500000	102.979736	168.5713
33.000000	102.924698	168.0499
33.500000	102.871292	167.5087
34.000000	102.824959	166.9775
34.500000	102.786942	166.4799
35.000000	102.752663	166.0188
35.500000	102.714966	165.5880
36.000000	102.669785	165.1822
36.500000	102.618744	164.7914
37.000000	102.566521	164.4005
37.500000	102.516815	164.0011
38.200001	102.454102	163.4406
38.700001	102.413429	163.0483
39.500000	102.347672	162.4284
40.000000	102.301598	162.0489
40.599998	102.242188	161.6178
41.200001	102.184219	161.2171
41.799999	102.131836	160.8347
42.500000	102.076370	160.3965
43.099998	102.028946	160.0255
43.700001	101.977707	159.6617
44.400002	101.912666	159.2517
45.000000	101.855759	158.9096
45.500000	101.810043	158.6248
46.200001	101.749496	158.2234
46.799999	101.698975	157.8858
47.500000	101.638870	157.5179
48.200001	101.577545	157.1794
48.700001	101.533997	156.9402
49.400002	101.473007	156.5904
50.000000	101.420303	156.2905
50.799999	101.352036	155.9238
51.500000	101.294601	155.6284
52.200001	101.236237	155.3455
53.000000	101.169662	155.0241
53.799999	101.102600	154.6778
54.500000	101.040276	154.3985
55.200001	100.981697	154.1812
56.000000	100.922531	153.9247
57.000000	100.836662	153.5615
58.000000	100.753372	153.2577
59.000000	100.676575	152.8347
60.000000	100.581665	152.5035
60.799999	100.521393	152.3430
61.500000	100.472404	152.1292
62.200001	100.412666	151.9123
63.000000	100.350273	151.7456
64.000000	100.290306	151.4859
65.000000	100.214142	151.2328
66.000000	100.136696	151.0605
67.000000	100.057510	150.7910
68.000000	99.978249	150.5456
69.000000	99.911308	150.3361
70.000000	99.837845	150.1658
71.000000	99.765800	150.0095
72.000000	99.693199	149.7518
73.000000	99.616302	149.5486
74.000000	99.552246	149.4157
75.000000	99.485390	149.2354
76.199997	99.399963	149.0600
77.500000	99.314850	148.8632
78.800003	99.217720	148.7136
80.000000	99.132812	148.5492
81.199997	99.056740	148.4238
82.500000	98.985535	148.2869
83.800003	98.893898	148.1680
85.000000	98.812202	148.0010
86.199997	98.735992	147.8807
87.500000	98.663246	147.7954
88.500000	98.601570	147.7965
90.000000	98.510750	147.6221
91.199997	98.430847	147.5820
92.500000	98.367134	147.5010
93.800003	98.285278	147.4191
95.000000	98.217354	147.3776
96.199997	98.148979	147.3393
97.500000	98.075607	147.2766
98.800003	98.000092	147.2476
100.000000	97.936768	147.2212
101.500000	97.852814	147.1515
103.000000	97.778275	147.1275
104.400002	97.703850	147.1098
106.000000	97.618584	147.0811
107.500000	97.538338	147.0730
109.000000	97.468414	147.0726
110.599998	97.385956	147.0747
112.000000	97.316284	147.0698
113.800003	97.227783	147.1132
115.000000	97.169128	147.1329
117.199997	97.068100	147.1451
118.000000	97.029541	147.1866
120.599998	96.900818	147.2216
122.000000	96.855316	147.3320
124.099998	96.753410	147.3391
125.000000	96.714462	147.3586
126.500000	96.652290	147.4290
128.000000	96.591133	147.4608
131.500000	96.438179	147.6257
132.000000	96.419121	147.6530
134.000000	96.341034	147.7313
136.000000	96.259918	147.8067
138.000000	96.181549	147.9404
140.000000	96.106659	147.9926
143.000000	95.989571	148.2250
145.000000	95.917397	148.3927
147.500000	95.829231	148.5260
150.000000	95.745361	148.6959
152.500000	95.663132	148.8243
155.000000	95.578491	148.9962
157.500000	95.485313	149.1895
160.000000	95.399269	149.3423
162.500000	95.318062	149.5352
165.000000	95.231857	149.6864
167.500000	95.162193	149.8776
170.000000	95.079971	150.1384
172.500000	95.004265	150.3481
175.000000	94.913391	150.5607
177.500000	94.840408	150.8209
180.000000	94.755310	151.0378
182.500000	94.682869	151.3589
185.000000	94.600464	151.6582
187.500000	94.528023	152.0655
