* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 23, 2025 12:51:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 4x sweep
* Measurement: proto L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.965	168.5716
20.600000	100.950	167.8924
20.900000	100.931	167.3057
21.200001	100.910	166.7272
21.400000	100.894	166.3390
21.799999	100.854	165.5778
22.000000	100.831	165.2210
22.400000	100.784	164.5810
22.700001	100.758	164.1556
23.000000	100.748	163.7270
23.299999	100.753	163.2311
23.600000	100.766	162.6171
24.000000	100.775	161.6124
24.299999	100.759	160.7989
24.700001	100.704	159.8056
25.000000	100.647	159.2220
25.400000	100.572	158.6717
25.799999	100.521	158.2279
26.200001	100.494	157.6724
26.500000	100.479	157.1139
26.900000	100.452	156.2334
27.200001	100.424	155.5547
27.600000	100.389	154.7368
28.000000	100.370	154.0408
28.500000	100.369	153.2421
29.000000	100.364	152.4330
29.500000	100.325	151.6882
30.000000	100.265	151.0909
30.400000	100.221	150.6501
30.700001	100.195	150.2690
31.100000	100.163	149.6490
31.500000	100.126	148.9501
32.000000	100.072	148.1344
32.500000	100.027	147.4764
33.000000	99.999	146.8578
33.500000	99.967	146.1460
34.000000	99.910	145.4089
34.500000	99.839	144.8083
35.000000	99.788	144.3420
35.500000	99.770	143.8217
36.000000	99.759	143.1217
36.500000	99.722	142.3442
37.000000	99.661	141.6879
37.500000	99.602	141.2134
38.200001	99.558	140.5998
38.700001	99.540	140.0285
39.500000	99.485	138.9588
40.000000	99.430	138.3223
40.599998	99.357	137.6217
41.200001	99.289	136.9250
41.799999	99.227	136.1956
42.500000	99.158	135.3710
43.099998	99.107	134.7581
43.700001	99.068	134.1960
44.400002	99.022	133.4941
45.000000	98.970	132.8624
45.500000	98.918	132.3652
46.200001	98.848	131.7106
46.799999	98.794	131.1277
47.500000	98.733	130.4204
48.200001	98.674	129.7528
48.700001	98.636	129.3051
49.400002	98.583	128.6891
50.000000	98.533	128.1663
50.799999	98.464	127.4619
51.500000	98.406	126.8068
52.200001	98.346	126.1536
53.000000	98.279	125.5085
53.799999	98.222	124.8934
54.500000	98.169	124.2407
55.200001	98.100	123.5707
56.000000	98.030	122.9749
57.000000	97.977	122.2155
58.000000	97.879	121.4407
59.000000	97.797	120.9281
60.000000	97.750	120.0295
60.799999	97.678	119.3254
61.500000	97.625	118.8697
62.200001	97.581	118.3163
63.000000	97.503	117.6361
64.000000	97.411	117.0063
65.000000	97.347	116.2999
66.000000	97.270	115.5837
67.000000	97.199	114.9203
68.000000	97.127	114.2373
69.000000	97.058	113.5485
70.000000	96.988	112.8203
71.000000	96.916	112.1283
72.000000	96.843	111.4759
73.000000	96.771	110.8937
74.000000	96.714	110.3130
75.000000	96.652	109.6655
76.199997	96.557	108.9915
77.500000	96.470	108.2507
78.800003	96.396	107.4585
80.000000	96.321	106.8348
81.199997	96.239	106.2065
82.500000	96.152	105.3065
83.800003	96.054	104.5180
85.000000	95.990	103.9538
86.199997	95.929	103.1537
87.500000	95.840	102.5571
88.500000	95.778	102.1501
90.000000	95.692	101.2406
91.199997	95.629	100.5616
92.500000	95.544	99.9830
93.800003	95.444	99.4124
95.000000	95.380	98.8311
96.199997	95.317	98.3948
97.500000	95.250	97.8177
98.800003	95.174	97.1374
100.000000	95.126	96.4351
101.500000	95.039	95.7798
103.000000	94.960	95.2027
104.400002	94.877	94.3593
106.000000	94.791	94.0236
107.500000	94.725	93.0695
109.000000	94.667	92.4607
110.599998	94.564	91.7046
112.000000	94.462	91.3653
113.800003	94.357	90.3765
115.000000	94.324	89.9929
117.199997	94.284	89.0323
118.000000	94.287	88.6359
