* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2024 4:18:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.422791	-127.7540
20.299999	103.489746	-128.3035
20.600000	103.572487	-128.8484
20.900000	103.668549	-129.4335
21.200001	103.773232	-130.0997
21.400000	103.844116	-130.6060
21.799999	103.974510	-131.7704
22.000000	104.027657	-132.4112
22.400000	104.100983	-133.7252
22.700001	104.126289	-134.6335
23.000000	104.134514	-135.3968
23.299999	104.138824	-135.9841
23.600000	104.153206	-136.4204
24.000000	104.202965	-136.9048
24.299999	104.260902	-137.3127
24.700001	104.348038	-138.0192
25.000000	104.406113	-138.6601
25.400000	104.462547	-139.5736
25.799999	104.498199	-140.4389
26.200001	104.526550	-141.2067
26.500000	104.549828	-141.7371
26.900000	104.584869	-142.4286
27.200001	104.611984	-142.9509
27.600000	104.646378	-143.6420
28.000000	104.680038	-144.3083
28.500000	104.726952	-145.1176
29.000000	104.778168	-145.9637
29.500000	104.821861	-146.8650
30.000000	104.850098	-147.7421
30.400000	104.866432	-148.3723
30.700001	104.879936	-148.8030
31.100000	104.903000	-149.3511
31.500000	104.930031	-149.9074
32.000000	104.961365	-150.6287
32.500000	104.984879	-151.3391
33.000000	105.004616	-151.9981
33.500000	105.026794	-152.6175
34.000000	105.051910	-153.2340
34.500000	105.076599	-153.8608
35.000000	105.098991	-154.4874
35.500000	105.119690	-155.1065
36.000000	105.139038	-155.7207
36.500000	105.156532	-156.3294
37.000000	105.172218	-156.9288
37.500000	105.186394	-157.5199
38.200001	105.201805	-158.3329
38.700001	105.209229	-158.8841
39.500000	105.223648	-159.6987
40.000000	105.237053	-160.2083
40.599998	105.249695	-160.8492
41.200001	105.253761	-161.4572
41.799999	105.261047	-161.9827
42.500000	105.288330	-162.6114
43.099998	105.311340	-163.2792
43.700001	105.312996	-163.9752
44.400002	105.302696	-164.6263
45.000000	105.308884	-165.1036
45.500000	105.320953	-165.5596
46.200001	105.321960	-166.2692
46.799999	105.305954	-166.7781
47.500000	105.299942	-167.2062
48.200001	105.320381	-167.6950
48.700001	105.331589	-168.1718
49.400002	105.316994	-168.8593
50.000000	105.293022	-169.2893
50.799999	105.292061	-169.7841
51.500000	105.294472	-170.4503
52.200001	105.249657	-171.1095
53.000000	105.197495	-171.3884
53.799999	105.226181	-171.6283
54.500000	105.258476	-172.2209
55.200001	105.249954	-172.8432
56.000000	105.239975	-173.3262
57.000000	105.251549	-174.0001
58.000000	105.241592	-174.6725
59.000000	105.241852	-175.2508
60.000000	105.239182	-175.9139
60.799999	105.226639	-176.4208
61.500000	105.215492	-176.8368
62.200001	105.204681	-177.2559
63.000000	105.189026	-177.7330
64.000000	105.169907	-178.2848
65.000000	105.157379	-178.8544
66.000000	105.138573	-179.4426
67.000000	105.118752	-179.9863
68.000000	105.099854	179.4745
69.000000	105.078880	178.9509
70.000000	105.055923	178.4402
