* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2024 4:17:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.771790	-131.9100
20.299999	103.839279	-132.6943
20.600000	103.900665	-133.5040
20.900000	103.953888	-134.3146
21.200001	103.999382	-135.0999
21.400000	104.026596	-135.5992
21.799999	104.078079	-136.5334
22.000000	104.104172	-136.9714
22.400000	104.159538	-137.8066
22.700001	104.204529	-138.4172
23.000000	104.251762	-139.0288
23.299999	104.299850	-139.6500
23.600000	104.347198	-140.2845
24.000000	104.406586	-141.1497
24.299999	104.446747	-141.8065
24.700001	104.493057	-142.6789
25.000000	104.522362	-143.3187
25.400000	104.555389	-144.1383
25.799999	104.584206	-144.9111
26.200001	104.611725	-145.6411
26.500000	104.632599	-146.1677
26.900000	104.660988	-146.8522
27.200001	104.682518	-147.3563
27.600000	104.711426	-148.0192
28.000000	104.740776	-148.6754
28.500000	104.777924	-149.4990
29.000000	104.812645	-150.3397
29.500000	104.840775	-151.1863
30.000000	104.861626	-152.0023
30.400000	104.876007	-152.6171
30.700001	104.887383	-153.0591
31.100000	104.904236	-153.6364
31.500000	104.921875	-154.2129
32.000000	104.942032	-154.9313
32.500000	104.959419	-155.6290
33.000000	104.976929	-156.3006
33.500000	104.995819	-156.9667
34.000000	105.012787	-157.6415
34.500000	105.024658	-158.3077
35.000000	105.033241	-158.9388
35.500000	105.042984	-159.5369
36.000000	105.055069	-160.1301
36.500000	105.066284	-160.7344
37.000000	105.073776	-161.3364
37.500000	105.078369	-161.9161
38.200001	105.084763	-162.6899
38.700001	105.090416	-163.2309
39.500000	105.099518	-164.0937
40.000000	105.103966	-164.6348
40.599998	105.105690	-165.2808
41.200001	105.103226	-165.8981
41.799999	105.100998	-166.4723
42.500000	105.103775	-167.1234
43.099998	105.107323	-167.7010
43.700001	105.106903	-168.2853
44.400002	105.102493	-168.9399
45.000000	105.098778	-169.4799
45.500000	105.095657	-169.9264
46.200001	105.089188	-170.5438
46.799999	105.082123	-171.0531
47.500000	105.074890	-171.6271
48.200001	105.068359	-172.2011
48.700001	105.062050	-172.6111
49.400002	105.050987	-173.1634
50.000000	105.042755	-173.6177
50.799999	105.032867	-174.2368
51.500000	105.018204	-174.7791
52.200001	105.001038	-175.2655
53.000000	104.990860	-175.7915
53.799999	104.983284	-176.3813
54.500000	104.967667	-176.9079
55.200001	104.949127	-177.3885
56.000000	104.931602	-177.9179
57.000000	104.908417	-178.5854
58.000000	104.883362	-179.2238
59.000000	104.859016	-179.8411
60.000000	104.836006	179.5507
60.799999	104.815941	179.0580
61.500000	104.795631	178.6397
62.200001	104.775139	178.2408
63.000000	104.752762	177.7928
64.000000	104.723846	177.2331
65.000000	104.692627	176.6864
66.000000	104.661049	176.1544
67.000000	104.627411	175.6310
68.000000	104.593987	175.1393
69.000000	104.562767	174.6389
70.000000	104.526451	174.1485
71.000000	104.491943	173.6894
72.000000	104.456200	173.2238
73.000000	104.419693	172.7844
74.000000	104.382477	172.3379
75.000000	104.342285	171.9314
76.199997	104.299835	171.4445
77.500000	104.246941	170.9496
78.800003	104.202423	170.4817
80.000000	104.156708	170.0586
81.199997	104.115959	169.6725
82.500000	104.073967	169.2327
83.800003	104.029694	168.7941
85.000000	103.987991	168.3924
86.199997	103.946228	168.0111
