* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 19, 2024 5:24:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: deep L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.053024	-8.3427
20.600000	102.048073	-9.0910
20.900000	102.035759	-9.7682
21.200001	102.022614	-10.4450
21.400000	102.014771	-10.8996
21.799999	102.002228	-11.8163
22.000000	101.997360	-12.2754
22.400000	101.989120	-13.1851
22.700001	101.982712	-13.8513
23.000000	101.974869	-14.4997
23.299999	101.964691	-15.1304
23.600000	101.951767	-15.7461
24.000000	101.930389	-16.5513
24.299999	101.912231	-17.1492
24.700001	101.887291	-17.9467
25.000000	101.869347	-18.5496
25.400000	101.847282	-19.3619
25.799999	101.826813	-20.1769
26.200001	101.806808	-20.9780
26.500000	101.791901	-21.5600
26.900000	101.772644	-22.3098
27.200001	101.758842	-22.8602
27.600000	101.740067	-23.5983
28.000000	101.718048	-24.3537
28.500000	101.682037	-25.3059
29.000000	101.640045	-26.2131
29.500000	101.603119	-27.0558
30.000000	101.577988	-27.8922
30.400000	101.561378	-28.6006
30.700001	101.545723	-29.1532
31.100000	101.516708	-29.8851
31.500000	101.480804	-30.5647
32.000000	101.438797	-31.3231
32.500000	101.410477	-32.0544
33.000000	101.388992	-32.8562
33.500000	101.357925	-33.7199
34.000000	101.311844	-34.5389
34.500000	101.262527	-35.2454
35.000000	101.224167	-35.8910
35.500000	101.197311	-36.5780
36.000000	101.170860	-37.3487
36.500000	101.136353	-38.1647
37.000000	101.094223	-38.9681
37.500000	101.048569	-39.7303
38.200001	100.983200	-40.7151
38.700001	100.938499	-41.3537
39.500000	100.880089	-42.3134
40.000000	100.852074	-42.9438
40.599998	100.818222	-43.7795
41.200001	100.775040	-44.6695
41.799999	100.722046	-45.5424
42.500000	100.658066	-46.4929
43.099998	100.605881	-47.2774
43.700001	100.551010	-48.0397
44.400002	100.484787	-48.8276
45.000000	100.440529	-49.4226
45.500000	100.414749	-49.9522
46.200001	100.374512	-50.8182
46.799999	100.321991	-51.5773
47.500000	100.256714	-52.3658
48.200001	100.205246	-53.1536
48.700001	100.169846	-53.7648
49.400002	100.114868	-54.6057
50.000000	100.071152	-55.2793
50.799999	100.015686	-56.1926
51.500000	99.954643	-56.9758
52.200001	99.891304	-57.6806
53.000000	99.829659	-58.5099
53.799999	99.765167	-59.3921
54.500000	99.709137	-60.0986
55.200001	99.662056	-60.7828
56.000000	99.605560	-61.6277
57.000000	99.521492	-62.7194
58.000000	99.434021	-63.7570
59.000000	99.353287	-64.5734
60.000000	99.290352	-65.4034
60.799999	99.226402	-66.2441
61.500000	99.165802	-67.0004
62.200001	99.114517	-67.7587
63.000000	99.052170	-68.6034
64.000000	98.964424	-69.4552
65.000000	98.898430	-70.3178
66.000000	98.833374	-71.3189
67.000000	98.768906	-72.2182
68.000000	98.694016	-73.0311
69.000000	98.610573	-73.7462
70.000000	98.537605	-74.5427
71.000000	98.460419	-75.4508
72.000000	98.384216	-76.3778
73.000000	98.314552	-77.2689
74.000000	98.253693	-78.0499
75.000000	98.193436	-78.7873
76.199997	98.105606	-79.7245
77.500000	98.010475	-80.7771
78.800003	97.925301	-81.8319
80.000000	97.844681	-82.7376
81.199997	97.764694	-83.6632
82.500000	97.677086	-84.6598
83.800003	97.593201	-85.6304
85.000000	97.515442	-86.5120
86.199997	97.437134	-87.3973
87.500000	97.353989	-88.3476
88.500000	97.292641	-89.0700
90.000000	97.197670	-90.1265
91.199997	97.124474	-90.9491
92.500000	97.043221	-91.8698
93.800003	96.964050	-92.7759
95.000000	96.891563	-93.5958
96.199997	96.823792	-94.3812
97.500000	96.744461	-95.2663
98.800003	96.669075	-96.1328
100.000000	96.603195	-96.9480
101.500000	96.516586	-97.8717
103.000000	96.435295	-98.8620
104.400002	96.355957	-99.7762
106.000000	96.267159	-100.7894
107.500000	96.188141	-101.7065
109.000000	96.110184	-102.6639
110.599998	96.023666	-103.6386
112.000000	95.950737	-104.5061
113.800003	95.857887	-105.5838
115.000000	95.800255	-106.2997
117.199997	95.686516	-107.5922
118.000000	95.651474	-108.0656
120.599998	95.522041	-109.5419
122.000000	95.457001	-110.3801
124.099998	95.362015	-111.5328
125.000000	95.320633	-112.0264
126.500000	95.252213	-112.8311
128.000000	95.185257	-113.6618
131.500000	95.045044	-115.4967
132.000000	95.024376	-115.7527
134.000000	94.953865	-116.8041
136.000000	94.887978	-117.9046
138.000000	94.820549	-119.0180
140.000000	94.747643	-120.1084
143.000000	94.635384	-121.7794
145.000000	94.564156	-122.8444
147.500000	94.474678	-124.1417
150.000000	94.389297	-125.4314
152.500000	94.307640	-126.6916
155.000000	94.223434	-127.9189
157.500000	94.149712	-129.1842
160.000000	94.073776	-130.4196
162.500000	94.004128	-131.6573
165.000000	93.932518	-132.8685
167.500000	93.861412	-134.1174
170.000000	93.795609	-135.3295
172.500000	93.729454	-136.5444
175.000000	93.664436	-137.7337
177.500000	93.597168	-138.9308
180.000000	93.557732	-140.2605
182.500000	93.478638	-141.2429
185.000000	93.417564	-142.4086
187.500000	93.357765	-143.5284
190.000000	93.301025	-144.6371
192.500000	93.242790	-145.7296
195.000000	93.192612	-146.8282
197.500000	93.140671	-147.8766
200.000000	93.092865	-148.9506
203.000000	93.042648	-150.2153
206.000000	92.994621	-151.4665
209.000000	92.949760	-152.7370
212.000000	92.898743	-154.0106
214.000000	92.870071	-154.8278
218.000000	92.810448	-156.4885
220.000000	92.781097	-157.2969
224.000000	92.724472	-158.9062
227.000000	92.686623	-160.0814
230.000000	92.644867	-161.2626
233.000000	92.610184	-162.4596
236.000000	92.576752	-163.5727
240.000000	92.562286	-165.0375
243.000000	92.501389	-166.2348
247.000000	92.463951	-167.7235
250.000000	92.438454	-168.8035
254.000000	92.400726	-170.2717
258.000000	92.369682	-171.7109
262.000000	92.340401	-173.0836
265.000000	92.321365	-174.1392
269.000000	92.292862	-175.4683
272.000000	92.279449	-176.4824
276.000000	92.264786	-177.7898
280.000000	92.250824	-179.1079
285.000000	92.239777	179.2440
290.000000	92.224144	177.5552
295.000000	92.205246	175.9370
300.000000	92.167305	174.2284
304.000000	92.187920	173.1479
307.000000	92.180664	172.2132
311.000000	92.174606	170.9915
315.000000	92.173706	169.7769
320.000000	92.160461	168.2850
325.000000	92.154015	166.8067
330.000000	92.148109	165.3510
335.000000	92.142227	163.9893
340.000000	92.131294	162.5914
345.000000	92.131149	161.2345
350.000000	92.128265	159.9461
355.000000	92.128448	158.6735
360.000000	92.138924	157.3575
365.000000	92.132927	156.1755
370.000000	92.135551	154.9740
375.000000	92.140015	153.7943
382.000000	92.151947	152.1972
387.000000	92.161636	151.0368
395.000000	92.184196	149.2595
400.000000	92.195168	148.1462
406.000000	92.215942	146.8407
412.000000	92.232330	145.5311
418.000000	92.240929	144.2656
425.000000	92.262741	142.8292
431.000000	92.269615	141.5872
437.000000	92.285583	140.4189
444.000000	92.298836	139.0723
450.000000	92.309631	137.9276
455.000000	92.323929	137.0262
462.000000	92.335022	135.8137
468.000000	92.349823	134.7350
475.000000	92.363739	133.5740
482.000000	92.376526	132.4255
487.000000	92.389099	131.5989
494.000000	92.406433	130.4909
500.000000	92.417030	129.5457
508.000000	92.435631	128.3518
515.000000	92.452904	127.3314
522.000000	92.468521	126.3336
530.000000	92.484703	125.2213
538.000000	92.500816	124.1460
545.000000	92.522667	123.2206
552.000000	92.537331	122.3210
560.000000	92.552223	121.3271
570.000000	92.575096	120.1171
580.000000	92.593147	118.9536
590.000000	92.618324	117.8083
600.000000	92.638100	116.6278
608.000000	92.657394	115.9340
615.000000	92.672775	115.2177
622.000000	92.686546	114.5503
630.000000	92.705658	113.7580
640.000000	92.725960	112.8411
650.000000	92.749855	111.9468
660.000000	92.805542	111.0664
670.000000	92.792320	110.2670
680.000000	92.815742	109.4932
690.000000	92.835510	108.7253
700.000000	92.862198	107.9749
710.000000	92.881622	107.2889
720.000000	92.899338	106.4557
730.000000	92.933662	105.9115
740.000000	92.958176	105.2931
750.000000	92.982285	104.7029
762.000000	93.017181	104.0349
