* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 19, 2024 5:22:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: deep R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.713966	-7.5351
20.600000	101.712059	-8.2904
20.900000	101.703430	-8.9782
21.200001	101.693771	-9.6672
21.400000	101.687912	-10.1298
21.799999	101.678001	-11.0611
22.000000	101.673691	-11.5269
22.400000	101.665100	-12.4496
22.700001	101.657394	-13.1249
23.000000	101.647934	-13.7808
23.299999	101.636490	-14.4160
23.600000	101.623367	-15.0325
24.000000	101.604294	-15.8338
24.299999	101.589676	-16.4277
24.700001	101.570572	-17.2215
25.000000	101.556473	-17.8225
25.400000	101.537323	-18.6302
25.799999	101.517006	-19.4348
26.200001	101.495499	-20.2229
26.500000	101.479126	-20.7987
26.900000	101.457825	-21.5489
27.200001	101.442398	-22.1035
27.600000	101.421844	-22.8394
28.000000	101.400192	-23.5706
28.500000	101.370903	-24.4656
29.000000	101.341179	-25.3285
29.500000	101.313202	-26.1732
30.000000	101.285324	-27.0286
30.400000	101.260315	-27.7252
30.700001	101.239120	-28.2470
31.100000	101.208603	-28.9283
31.500000	101.178223	-29.5852
32.000000	101.144165	-30.3821
32.500000	101.114090	-31.1766
33.000000	101.083183	-31.9763
33.500000	101.048233	-32.7627
34.000000	101.011002	-33.5194
34.500000	100.974976	-34.2551
35.000000	100.940857	-34.9920
35.500000	100.906609	-35.7375
36.000000	100.870621	-36.4805
36.500000	100.833389	-37.2108
37.000000	100.795738	-37.9319
37.500000	100.757126	-38.6483
38.200001	100.700790	-39.6249
38.700001	100.661613	-40.2874
39.500000	100.606903	-41.3185
40.000000	100.574562	-41.9837
40.599998	100.530357	-42.8026
41.200001	100.480530	-43.6023
41.799999	100.432297	-44.3697
42.500000	100.380730	-45.2686
43.099998	100.332932	-46.0469
43.700001	100.279785	-46.7830
44.400002	100.222778	-47.5813
45.000000	100.182487	-48.2845
45.500000	100.149101	-48.9069
46.200001	100.095627	-49.7766
46.799999	100.047867	-50.4736
47.500000	99.996086	-51.2664
48.200001	99.942810	-52.0753
48.700001	99.902313	-52.6330
49.400002	99.851913	-53.3646
50.000000	99.817131	-54.0164
50.799999	99.759438	-54.9786
51.500000	99.689163	-55.7620
52.200001	99.628540	-56.4371
53.000000	99.580521	-57.2958
53.799999	99.518372	-58.2127
54.500000	99.459908	-58.8812
55.200001	99.413422	-59.5525
56.000000	99.348480	-60.4356
57.000000	99.259659	-61.4647
58.000000	99.195267	-62.5284
59.000000	99.124290	-63.4834
60.000000	99.059273	-64.3342
60.799999	98.996017	-65.0129
61.500000	98.948578	-65.5958
62.200001	98.909012	-66.2856
63.000000	98.854324	-67.1173
64.000000	98.786896	-68.1257
65.000000	98.690979	-69.1145
66.000000	98.610321	-69.8015
67.000000	98.556915	-70.7400
68.000000	98.467300	-71.6030
69.000000	98.412773	-72.4010
70.000000	98.338722	-73.3786
71.000000	98.262444	-74.1727
72.000000	98.202248	-75.0330
73.000000	98.129143	-75.8714
74.000000	98.060059	-76.6727
75.000000	97.990997	-77.5078
76.199997	97.907639	-78.4696
77.500000	97.825211	-79.4759
78.800003	97.736542	-80.5142
80.000000	97.657684	-81.4439
81.199997	97.580353	-82.3772
82.500000	97.497475	-83.3784
83.800003	97.412842	-84.3550
85.000000	97.339294	-85.2471
86.199997	97.262779	-86.1391
