* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2025 6:53:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.754	-168.2139
20.600000	101.751	-169.0698
20.900000	101.746	-169.8139
21.200001	101.744	-170.5420
21.400000	101.745	-171.0302
21.799999	101.748	-172.0247
22.000000	101.749	-172.5291
22.400000	101.747	-173.5340
22.700001	101.741	-174.2637
23.000000	101.731	-174.9630
23.299999	101.721	-175.6340
23.600000	101.711	-176.2885
24.000000	101.699	-177.1623
24.299999	101.690	-177.8296
24.700001	101.675	-178.7305
25.000000	101.662	-179.3985
25.400000	101.643	179.7433
25.799999	101.626	178.9307
26.200001	101.613	178.1490
26.500000	101.606	177.5695
26.900000	101.595	176.7987
27.200001	101.584	176.2264
27.600000	101.565	175.4874
28.000000	101.542	174.7863
28.500000	101.514	173.9521
29.000000	101.488	173.1245
29.500000	101.460	172.2793
30.000000	101.427	171.4343
30.400000	101.399	170.7785
30.700001	101.379	170.3018
31.100000	101.355	169.6800
31.500000	101.333	169.0616
32.000000	101.306	168.2840
32.500000	101.276	167.5104
33.000000	101.243	166.7597
33.500000	101.209	166.0395
34.000000	101.176	165.3428
34.500000	101.145	164.6594
35.000000	101.114	163.9827
35.500000	101.083	163.3099
36.000000	101.049	162.6398
36.500000	101.012	161.9731
37.000000	100.975	161.3141
37.500000	100.939	160.6688
38.200001	100.890	159.8001
38.700001	100.856	159.2097
39.500000	100.800	158.3146
40.000000	100.763	157.7711
40.599998	100.719	157.1057
41.200001	100.677	156.4088
41.799999	100.633	155.6985
42.500000	100.581	154.9087
43.099998	100.535	154.2837
43.700001	100.490	153.6813
44.400002	100.436	152.9737
45.000000	100.390	152.3625
45.500000	100.355	151.8555
46.200001	100.308	151.1601
46.799999	100.264	150.5983
47.500000	100.208	149.9970
48.200001	100.153	149.4100
48.700001	100.118	148.9583
49.400002	100.070	148.2708
50.000000	100.028	147.6813
50.799999	99.968	146.9879
51.500000	99.918	146.4572
52.200001	99.868	145.9201
53.000000	99.806	145.2715
53.799999	99.745	144.6091
54.500000	99.696	144.0143
55.200001	99.647	143.4327
56.000000	99.590	142.8134
57.000000	99.514	142.0447
58.000000	99.427	141.3556
59.000000	99.360	140.7030
60.000000	99.297	139.9289
60.799999	99.238	139.3679
61.500000	99.193	138.9218
62.200001	99.150	138.4449
63.000000	99.093	137.8918
64.000000	99.022	137.2747
65.000000	98.954	136.6699
66.000000	98.877	136.0712
67.000000	98.807	135.4850
68.000000	98.744	134.8455
69.000000	98.675	134.2540
70.000000	98.608	133.7179
71.000000	98.542	133.1506
72.000000	98.476	132.5617
73.000000	98.407	132.0225
74.000000	98.345	131.5296
75.000000	98.282	130.9816
76.199997	98.202	130.3884
77.500000	98.124	129.6744
78.800003	98.036	129.0733
80.000000	97.970	128.5162
81.199997	97.896	127.9810
82.500000	97.819	127.3372
83.800003	97.736	126.7334
85.000000	97.665	126.2070
86.199997	97.593	125.6814
87.500000	97.516	125.1246
88.500000	97.461	124.7084
90.000000	97.377	124.0629
91.199997	97.308	123.5730
92.500000	97.234	123.0504
93.800003	97.160	122.5487
95.000000	97.095	122.0876
96.199997	97.031	121.6169
97.500000	96.963	121.1378
98.800003	96.893	120.6593
100.000000	96.826	120.2182
101.500000	96.751	119.6769
103.000000	96.671	119.1608
104.400002	96.599	118.6761
106.000000	96.520	118.1461
107.500000	96.447	117.6608
109.000000	96.370	117.1535
110.599998	96.294	116.6724
112.000000	96.227	116.2339
113.800003	96.143	115.6845
115.000000	96.088	115.3392
117.199997	95.988	114.6872
118.000000	95.955	114.4595
120.599998	95.838	113.8543
122.000000	95.770	113.3652
124.099998	95.685	112.8232
125.000000	95.643	112.5963
126.500000	95.583	112.1997
128.000000	95.526	111.8639
131.500000	95.393	111.0363
132.000000	95.374	110.9234
134.000000	95.309	110.4549
136.000000	95.245	109.9663
138.000000	95.180	109.4765
140.000000	95.110	108.9589
143.000000	95.008	108.2016
145.000000	94.941	107.7275
147.500000	94.856	107.1643
150.000000	94.770	106.6185
152.500000	94.694	106.0750
155.000000	94.616	105.5896
157.500000	94.545	105.0614
160.000000	94.486	104.5824
162.500000	94.416	104.0644
165.000000	94.356	103.5464
167.500000	94.288	103.0075
170.000000	94.226	102.4924
172.500000	94.160	101.9679
175.000000	94.097	101.4476
177.500000	94.031	100.9897
180.000000	93.971	100.4454
182.500000	93.912	100.0369
185.000000	93.847	99.5658
187.500000	93.792	99.1203
190.000000	93.737	98.6812
192.500000	93.679	98.2522
195.000000	93.623	97.8220
197.500000	93.576	97.3976
200.000000	93.518	96.9894
203.000000	93.459	96.5121
206.000000	93.398	96.0255
209.000000	93.347	95.5407
212.000000	93.289	95.0966
214.000000	93.254	94.7899
218.000000	93.182	94.1898
220.000000	93.150	93.8594
224.000000	93.083	93.2844
227.000000	93.038	92.8454
230.000000	92.988	92.4311
233.000000	92.943	92.0103
236.000000	92.898	91.6024
240.000000	92.843	91.0121
243.000000	92.799	90.6534
247.000000	92.747	90.1184
250.000000	92.708	89.7408
254.000000	92.654	89.2202
258.000000	92.604	88.7346
262.000000	92.557	88.2767
265.000000	92.522	87.9306
269.000000	92.478	87.4843
272.000000	92.448	87.1774
276.000000	92.410	86.7693
280.000000	92.378	86.3657
285.000000	92.346	85.8880
290.000000	92.323	85.3501
295.000000	92.300	84.7579
300.000000	92.271	84.1611
304.000000	92.248	83.6935
307.000000	92.230	83.3439
311.000000	92.205	82.8677
315.000000	92.183	82.4279
320.000000	92.156	81.8808
325.000000	92.123	81.3520
330.000000	92.095	80.7966
335.000000	92.066	80.2720
340.000000	92.043	79.7784
345.000000	92.016	79.2849
350.000000	91.993	78.8158
355.000000	91.971	78.3289
360.000000	91.948	77.8851
365.000000	91.925	77.4067
370.000000	91.902	76.9469
375.000000	91.885	76.5136
382.000000	91.857	75.9086
387.000000	91.838	75.4949
395.000000	91.811	74.8116
400.000000	91.789	74.4318
406.000000	91.769	73.9923
412.000000	91.752	73.5580
418.000000	91.732	73.1740
425.000000	91.716	72.6922
431.000000	91.708	72.2725
437.000000	91.700	71.9088
444.000000	91.688	71.4622
450.000000	91.685	71.0508
455.000000	91.686	70.7408
462.000000	91.677	70.2878
468.000000	91.675	69.8900
475.000000	91.675	69.4742
482.000000	91.669	69.0139
487.000000	91.665	68.7177
494.000000	91.660	68.2800
500.000000	91.656	67.9045
508.000000	91.654	67.4440
515.000000	91.651	67.0484
522.000000	91.646	66.6655
530.000000	91.643	66.1884
538.000000	91.634	65.7755
545.000000	91.635	65.3992
552.000000	91.630	65.0498
560.000000	91.629	64.6671
570.000000	91.621	64.1537
580.000000	91.615	63.7230
590.000000	91.610	63.2646
600.000000	91.606	62.8066
608.000000	91.601	62.5170
615.000000	91.597	62.2321
622.000000	91.593	61.9450
630.000000	91.589	61.6636
640.000000	91.583	61.2972
650.000000	91.581	60.9728
660.000000	91.575	60.6505
670.000000	91.570	60.3024
680.000000	91.569	60.0274
690.000000	91.562	59.7375
700.000000	91.558	59.4749
710.000000	91.559	59.2517
720.000000	91.555	59.0159
730.000000	91.552	58.8058
740.000000	91.553	58.5970
750.000000	91.553	58.4203
762.000000	91.544	58.2542
775.000000	91.551	58.0092
788.000000	91.554	57.8912
800.000000	91.559	57.7257
812.000000	91.563	57.6316
825.000000	91.575	57.5216
838.000000	91.587	57.4272
850.000000	91.601	57.3712
862.000000	91.618	57.3403
875.000000	91.637	57.2997
885.000000	91.657	57.2361
900.000000	91.691	57.1936
912.000000	91.715	57.2079
925.000000	91.753	57.1725
938.000000	91.785	57.1260
950.000000	91.824	57.1237
962.000000	91.864	57.0800
975.000000	91.912	57.0484
988.000000	91.956	56.9973
1000.000000	92.007	56.9281
1015.000000	92.068	56.8681
1030.000000	92.124	56.7748
1044.000000	92.184	56.6584
1060.000000	92.254	56.5152
1075.000000	92.325	56.3390
1090.000000	92.392	56.1518
1106.000000	92.470	55.9218
1120.000000	92.537	55.6841
1138.000000	92.619	55.3752
1150.000000	92.676	55.1327
1172.000000	92.775	54.6337
1180.000000	92.808	54.4632
1206.000000	92.913	53.8087
1220.000000	92.967	53.4442
1241.000000	93.045	52.8842
1250.000000	93.074	52.6253
1265.000000	93.123	52.2255
1280.000000	93.171	51.7941
1315.000000	93.267	50.7759
1320.000000	93.284	50.6725
1340.000000	93.330	50.1209
1360.000000	93.376	49.5595
1380.000000	93.420	49.0364
1400.000000	93.463	48.5211
1430.000000	93.522	47.7627
1450.000000	93.559	47.2513
1475.000000	93.614	46.6717
1500.000000	93.668	46.0723
1525.000000	93.723	45.4915
1550.000000	93.780	44.9380
1575.000000	93.847	44.3549
1600.000000	93.917	43.7982
1625.000000	93.992	43.2232
1650.000000	94.076	42.6265
1675.000000	94.166	42.0037
1700.000000	94.264	41.3364
1725.000000	94.368	40.6582
1750.000000	94.479	39.9468
1775.000000	94.604	39.1536
1800.000000	94.731	38.2840
1825.000000	94.866	37.3909
1850.000000	95.014	36.3571
1875.000000	95.161	35.2501
1900.000000	95.312	34.0528
1925.000000	95.473	32.7344
1950.000000	95.633	31.2933
1975.000000	95.785	29.7425
2000.000000	95.939	28.0685
2030.000000	96.114	25.8770
2060.000000	96.274	23.5278
2090.000000	96.419	21.0449
2120.000000	96.540	18.4359
2140.000000	96.604	16.6435
2180.000000	96.698	13.0150
2200.000000	96.729	11.1837
2240.000000	96.756	7.5959
2270.000000	96.752	4.9633
2300.000000	96.731	2.4238
2330.000000	96.703	-0.0193
2360.000000	96.667	-2.2977
2400.000000	96.612	-5.2097
2430.000000	96.575	-7.3041
2470.000000	96.533	-9.9470
2500.000000	96.512	-11.8569
2540.000000	96.495	-14.3354
2580.000000	96.495	-16.8015
2620.000000	96.506	-19.2230
