* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2025 6:55:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.843	-168.4174
20.600000	101.844	-169.2541
20.900000	101.838	-170.0253
21.200001	101.830	-170.7967
21.400000	101.825	-171.3086
21.799999	101.816	-172.3160
22.000000	101.813	-172.8071
22.400000	101.807	-173.7591
22.700001	101.804	-174.4475
23.000000	101.800	-175.1199
23.299999	101.795	-175.7830
23.600000	101.789	-176.4429
24.000000	101.778	-177.3221
24.299999	101.768	-177.9792
24.700001	101.754	-178.8452
25.000000	101.743	-179.4819
25.400000	101.729	179.6902
25.799999	101.714	178.8878
26.200001	101.697	178.1098
26.500000	101.683	177.5403
26.900000	101.664	176.7930
27.200001	101.650	176.2333
27.600000	101.634	175.4726
28.000000	101.622	174.6836
28.500000	101.604	173.6681
29.000000	101.577	172.6855
29.500000	101.539	171.8178
30.000000	101.496	171.0941
30.400000	101.465	170.5801
30.700001	101.445	170.1960
31.100000	101.421	169.6495
31.500000	101.399	169.0512
32.000000	101.369	168.2623
32.500000	101.337	167.4846
33.000000	101.307	166.7469
33.500000	101.278	166.0370
34.000000	101.246	165.3422
34.500000	101.208	164.6691
35.000000	101.171	164.0168
35.500000	101.138	163.3567
36.000000	101.107	162.6667
36.500000	101.070	161.9750
37.000000	101.028	161.3392
37.500000	100.988	160.7729
38.200001	100.942	159.9865
38.700001	100.909	159.3756
39.500000	100.845	158.4324
40.000000	100.811	157.9089
40.599998	100.783	157.2418
41.200001	100.749	156.4670
41.799999	100.694	155.7080
42.500000	100.624	155.0216
43.099998	100.585	154.5137
43.700001	100.554	153.9236
44.400002	100.500	153.1711
45.000000	100.444	152.5826
45.500000	100.402	152.1195
46.200001	100.353	151.4322
46.799999	100.308	150.8261
47.500000	100.253	150.1868
48.200001	100.204	149.5858
48.700001	100.169	149.1292
49.400002	100.113	148.4783
50.000000	100.065	147.9671
50.799999	100.010	147.3311
51.500000	99.963	146.7604
52.200001	99.910	146.1958
53.000000	99.847	145.5605
53.799999	99.787	144.8962
54.500000	99.734	144.3286
55.200001	99.682	143.8117
56.000000	99.626	143.2522
57.000000	99.551	142.4931
58.000000	99.457	141.7376
59.000000	99.383	141.1525
60.000000	99.340	140.4301
60.799999	99.284	139.7949
61.500000	99.226	139.3384
62.200001	99.171	138.9114
63.000000	99.111	138.4120
64.000000	99.044	137.7937
65.000000	98.978	137.1310
66.000000	98.903	136.5394
67.000000	98.833	135.9880
68.000000	98.762	135.4208
69.000000	98.694	134.8545
70.000000	98.631	134.2884
71.000000	98.568	133.7112
72.000000	98.495	133.1659
73.000000	98.426	132.6694
74.000000	98.362	132.1375
75.000000	98.296	131.6203
76.199997	98.224	131.0283
77.500000	98.142	130.4029
78.800003	98.060	129.7789
80.000000	97.978	129.1947
81.199997	97.904	128.6100
82.500000	97.823	128.0450
83.800003	97.748	127.4809
85.000000	97.675	126.9695
86.199997	97.602	126.4551
87.500000	97.524	125.9184
88.500000	97.466	125.4917
90.000000	97.379	124.9024
91.199997	97.308	124.4154
92.500000	97.235	123.8913
93.800003	97.163	123.3760
95.000000	97.097	122.9441
96.199997	97.033	122.5065
97.500000	96.959	122.0376
98.800003	96.887	121.5714
100.000000	96.821	121.1554
101.500000	96.747	120.6503
103.000000	96.668	120.1304
104.400002	96.594	119.6539
106.000000	96.508	119.1514
107.500000	96.433	118.6583
109.000000	96.362	118.2057
110.599998	96.283	117.7144
112.000000	96.214	117.2881
113.800003	96.127	116.7412
115.000000	96.070	116.4130
117.199997	95.970	115.8022
118.000000	95.936	115.6113
