* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2024 1:49:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.550323	-176.0661
20.600000	103.549995	-176.5888
20.900000	103.549469	-177.1198
21.200001	103.548538	-177.7220
21.400000	103.546371	-178.1602
21.799999	103.536057	-179.0749
22.000000	103.527931	-179.5246
22.400000	103.508385	179.6410
22.700001	103.494492	179.0971
23.000000	103.483627	178.6176
23.299999	103.476105	178.1799
23.600000	103.470177	177.7547
24.000000	103.459358	177.1669
24.299999	103.445633	176.6997
24.700001	103.418304	176.0510
25.000000	103.393356	175.5613
25.400000	103.359985	174.9232
25.799999	103.333008	174.3089
26.200001	103.315002	173.7129
26.500000	103.305847	173.2745
26.900000	103.295212	172.7053
27.200001	103.286011	172.2948
27.600000	103.270905	171.7721
28.000000	103.253716	171.2656
28.500000	103.231949	170.6132
29.000000	103.209740	169.9000
29.500000	103.184464	169.1418
30.000000	103.156036	168.4039
30.400000	103.133316	167.8611
30.700001	103.117226	167.4825
31.100000	103.096481	167.0028
31.500000	103.074265	166.5360
32.000000	103.041664	165.9644
32.500000	103.005768	165.4138
33.000000	102.973236	164.8796
33.500000	102.947601	164.3352
34.000000	102.924767	163.7633
34.500000	102.897865	163.1819
35.000000	102.864281	162.6273
35.500000	102.826965	162.1136
36.000000	102.789986	161.6196
36.500000	102.754402	161.1173
37.000000	102.719055	160.6017
37.500000	102.683762	160.0875
38.200001	102.637375	159.3912
38.700001	102.607269	158.9039
39.500000	102.558517	158.1285
40.000000	102.524269	157.6694
40.599998	102.481964	157.1787
41.200001	102.445786	156.7326
41.799999	102.416512	156.2478
42.500000	102.374390	155.5707
43.099998	102.320122	154.9895
43.700001	102.262222	154.5280
44.400002	102.218407	154.0715
45.000000	102.194771	153.5811
45.500000	102.164597	153.1011
46.200001	102.098709	152.5087
46.799999	102.044769	152.1636
47.500000	102.008209	151.7826
48.200001	101.979141	151.2566
48.700001	101.948006	150.8341
49.400002	101.893280	150.2813
50.000000	101.845673	149.8460
50.799999	101.786255	149.2996
51.500000	101.743073	148.8649
52.200001	101.709366	148.4198
53.000000	101.662872	147.8563
53.799999	101.598320	147.3415
54.500000	101.543030	146.9567
55.200001	101.495033	146.5675
56.000000	101.444412	146.1159
57.000000	101.388519	145.5224
58.000000	101.320068	144.8954
59.000000	101.256615	144.4369
60.000000	101.211205	143.8871
60.799999	101.152046	143.3799
61.500000	101.095512	142.9986
62.200001	101.047882	142.6134
63.000000	100.994987	142.1596
64.000000	100.931290	141.6664
65.000000	100.867729	141.1578
66.000000	100.797531	140.6791
67.000000	100.737473	140.2210
68.000000	100.676582	139.7429
69.000000	100.614883	139.2924
70.000000	100.556160	138.8448
71.000000	100.494545	138.4010
72.000000	100.430687	137.9724
73.000000	100.369560	137.5387
74.000000	100.310997	137.1135
75.000000	100.251564	136.7019
76.199997	100.178665	136.2635
77.500000	100.107941	135.7282
78.800003	100.024567	135.2219
80.000000	99.957726	134.7718
81.199997	99.887253	134.3455
82.500000	99.818848	133.8739
83.800003	99.744972	133.4178
85.000000	99.682358	133.0057
86.199997	99.614693	132.6104
87.500000	99.543884	132.1940
88.500000	99.489250	131.8599
90.000000	99.411270	131.3909
91.199997	99.350105	131.0064
92.500000	99.281364	130.6010
93.800003	99.214973	130.2218
95.000000	99.154732	129.8833
96.199997	99.095383	129.5203
97.500000	99.030533	129.1421
98.800003	98.968842	128.8095
100.000000	98.911598	128.4705
101.500000	98.838638	128.0523
103.000000	98.768204	127.6446
104.400002	98.704971	127.2849
106.000000	98.635437	126.8932
107.500000	98.561005	126.5004
109.000000	98.492493	126.1344
110.599998	98.425774	125.7567
112.000000	98.363869	125.4152
113.800003	98.286186	125.0326
115.000000	98.230743	124.7446
117.199997	98.143692	124.2877
118.000000	98.110245	124.0997
120.599998	98.007660	123.5377
122.000000	97.946533	123.2601
124.099998	97.864967	122.8333
125.000000	97.831375	122.6597
126.500000	97.769516	122.3251
128.000000	97.721420	122.0378
131.500000	97.592728	121.3644
132.000000	97.574966	121.2700
134.000000	97.504631	120.8857
136.000000	97.432480	120.5161
138.000000	97.364555	120.1483
140.000000	97.299683	119.8086
143.000000	97.196533	119.2719
145.000000	97.133316	118.9426
147.500000	97.054520	118.5190
150.000000	96.980606	118.1512
152.500000	96.893822	117.7094
155.000000	96.828911	117.3374
157.500000	96.757393	116.9554
160.000000	96.684509	116.5707
162.500000	96.608299	116.2519
165.000000	96.545654	115.8535
167.500000	96.481873	115.5305
170.000000	96.417732	115.1676
172.500000	96.355659	114.8290
175.000000	96.299469	114.4734
177.500000	96.239220	114.1369
180.000000	96.195061	113.7828
182.500000	96.125229	113.4815
185.000000	96.068756	113.1459
187.500000	96.011253	112.8268
190.000000	95.956757	112.5150
192.500000	95.901375	112.1949
195.000000	95.850731	111.9114
197.500000	95.795517	111.6269
200.000000	95.747650	111.3572
203.000000	95.690491	111.0329
206.000000	95.633316	110.7711
209.000000	95.585663	110.4760
212.000000	95.542313	110.2075
214.000000	95.520195	110.0289
218.000000	95.478363	109.5922
220.000000	95.453033	109.3318
224.000000	95.408226	108.8168
227.000000	95.367218	108.4012
230.000000	95.324600	108.0286
233.000000	95.281509	107.6781
236.000000	95.242294	107.3031
240.000000	95.195068	106.8192
243.000000	95.149651	106.5083
247.000000	95.099037	106.0509
250.000000	95.062355	105.7252
254.000000	95.016121	105.3236
258.000000	94.967628	104.8995
262.000000	94.922371	104.5036
265.000000	94.891716	104.1765
