* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2024 1:50:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.761734	-167.3313
20.600000	102.759628	-168.0230
20.900000	102.753242	-168.6342
21.200001	102.748398	-169.2435
21.400000	102.746780	-169.6566
21.799999	102.746216	-170.5007
22.000000	102.746292	-170.9266
22.400000	102.746017	-171.7654
22.700001	102.745277	-172.3642
23.000000	102.745163	-172.9301
23.299999	102.746796	-173.4684
23.600000	102.750679	-173.9931
24.000000	102.757744	-174.7015
24.299999	102.761696	-175.2518
24.700001	102.761063	-176.0065
25.000000	102.754982	-176.5703
25.400000	102.740997	-177.2925
25.799999	102.725296	-177.9687
26.200001	102.712410	-178.6175
26.500000	102.704979	-179.1069
26.900000	102.695099	-179.7807
27.200001	102.685234	179.7004
27.600000	102.667175	179.0158
28.000000	102.645584	178.3697
28.500000	102.621078	177.6341
29.000000	102.604645	176.9428
29.500000	102.592400	176.2516
30.000000	102.577156	175.5601
30.400000	102.562408	175.0210
30.700001	102.551521	174.6225
31.100000	102.538376	174.0812
31.500000	102.524536	173.5090
32.000000	102.499207	172.7677
32.500000	102.462631	172.0771
33.000000	102.426689	171.5060
33.500000	102.406677	171.0105
34.000000	102.403008	170.4651
34.500000	102.400299	169.8065
35.000000	102.384972	169.0929
35.500000	102.358276	168.4146
36.000000	102.329102	167.7972
36.500000	102.300232	167.2182
37.000000	102.269089	166.6779
37.500000	102.237816	166.1953
38.200001	102.203964	165.5505
38.700001	102.181427	165.0306
39.500000	102.125389	164.1657
40.000000	102.087807	163.7010
40.599998	102.058022	163.1537
41.200001	102.031387	162.5179
41.799999	101.989403	161.9005
42.500000	101.942917	161.3735
43.099998	101.927063	160.9300
43.700001	101.909966	160.3304
44.400002	101.858917	159.6197
45.000000	101.810028	159.1513
45.500000	101.779694	158.7794
46.200001	101.738319	158.1727
46.799999	101.693817	157.6465
47.500000	101.649109	157.0836
48.200001	101.616493	156.4907
48.700001	101.591324	156.0681
49.400002	101.553101	155.5450
50.000000	101.518951	155.1110
50.799999	101.462006	154.5057
51.500000	101.417107	154.0026
52.200001	101.395355	153.4356
53.000000	101.365021	152.6928
53.799999	101.306732	152.1568
54.500000	101.258430	151.8459
55.200001	101.213676	151.4436
56.000000	101.152542	150.8769
57.000000	101.091843	150.2111
58.000000	101.046631	149.5084
59.000000	100.979057	148.8879
60.000000	100.921829	148.3732
60.799999	100.886421	147.8615
61.500000	100.844391	147.3814
62.200001	100.793304	146.9750
63.000000	100.738335	146.5880
64.000000	100.678970	146.0762
65.000000	100.622330	145.4876
66.000000	100.567085	144.8916
67.000000	100.514221	144.3485
68.000000	100.455536	143.8588
69.000000	100.395164	143.3911
70.000000	100.337433	142.8661
71.000000	100.279076	142.3768
72.000000	100.224800	141.9348
73.000000	100.165161	141.4868
74.000000	100.111168	141.0414
75.000000	100.061066	140.5419
76.199997	99.991486	139.9970
77.500000	99.919395	139.4220
78.800003	99.848022	138.8951
80.000000	99.786270	138.3926
81.199997	99.717194	137.9118
82.500000	99.650963	137.3747
83.800003	99.581673	136.8715
85.000000	99.517014	136.4136
86.199997	99.453903	135.9845
87.500000	99.389778	135.4947
88.500000	99.338821	135.1460
90.000000	99.265015	134.6220
91.199997	99.205101	134.2214
92.500000	99.143059	133.7779
93.800003	99.080238	133.3389
95.000000	99.025146	132.9312
96.199997	98.965080	132.5191
97.500000	98.903763	132.1322
98.800003	98.842285	131.6792
100.000000	98.786957	131.3553
101.500000	98.716141	130.8711
103.000000	98.652702	130.4254
104.400002	98.578598	130.0474
106.000000	98.504997	129.5060
107.500000	98.450584	129.1875
109.000000	98.369171	128.6854
110.599998	98.320831	128.2434
112.000000	98.243828	127.9807
113.800003	98.171326	127.3960
115.000000	98.125351	127.2313
117.199997	98.023399	126.6006
118.000000	98.002144	126.4721
120.599998	97.893814	125.8284
122.000000	97.845474	125.4280
124.099998	97.760841	125.0010
125.000000	97.727638	124.7816
126.500000	97.667984	124.4296
128.000000	97.615356	124.1119
131.500000	97.486900	123.3543
132.000000	97.468834	123.2505
134.000000	97.394730	122.8223
136.000000	97.328476	122.4225
138.000000	97.255539	122.0115
140.000000	97.189095	121.6295
143.000000	97.089752	121.0380
145.000000	97.022949	120.6677
147.500000	96.941574	120.2184
150.000000	96.866516	119.7598
152.500000	96.785057	119.3396
155.000000	96.714005	118.8722
157.500000	96.637886	118.4545
160.000000	96.566338	118.0368
162.500000	96.493866	117.6025
165.000000	96.428848	117.2324
167.500000	96.361656	116.8391
170.000000	96.292465	116.4490
172.500000	96.229691	116.0833
175.000000	96.167885	115.6944
177.500000	96.102158	115.3177
180.000000	96.059196	114.9423
182.500000	95.982758	114.6030
185.000000	95.926270	114.2422
187.500000	95.866753	113.8842
190.000000	95.810028	113.5424
192.500000	95.755989	113.1900
195.000000	95.701645	112.8717
197.500000	95.647606	112.5297
200.000000	95.594345	112.1895
203.000000	95.536560	111.8155
206.000000	95.476723	111.4490
209.000000	95.418007	111.1005
212.000000	95.360779	110.7459
214.000000	95.323875	110.4986
218.000000	95.251060	110.0481
220.000000	95.218796	109.8096
224.000000	95.149498	109.4163
227.000000	95.102135	109.0706
230.000000	95.056839	108.7393
233.000000	95.015579	108.4341
236.000000	94.973221	108.1157
240.000000	94.918510	107.7105
243.000000	94.881500	107.3877
247.000000	94.834549	106.9590
250.000000	94.801918	106.6422
254.000000	94.758186	106.1908
258.000000	94.714424	105.7449
262.000000	94.668869	105.3044
265.000000	94.636841	104.9761
269.000000	94.594353	104.5620
272.000000	94.560333	104.2072
276.000000	94.518242	103.7776
280.000000	94.474838	103.3585
285.000000	94.427536	102.8568
290.000000	94.375809	102.3498
295.000000	94.329422	101.8614
300.000000	94.281601	101.4196
304.000000	94.249001	100.9831
307.000000	94.220718	100.7023
311.000000	94.187546	100.3209
315.000000	94.157593	99.9549
320.000000	94.116646	99.4969
325.000000	94.080597	99.0616
330.000000	94.045135	98.6268
335.000000	94.009933	98.1570
340.000000	93.971703	97.7324
345.000000	93.945145	97.3251
350.000000	93.911430	96.8993
355.000000	93.882599	96.5085
360.000000	93.853622	96.1022
365.000000	93.821648	95.6534
370.000000	93.796463	95.2870
375.000000	93.770500	94.8859
382.000000	93.738419	94.3428
387.000000	93.717911	93.9840
395.000000	93.681175	93.3562
400.000000	93.664627	92.9733
406.000000	93.640335	92.5300
412.000000	93.617386	92.0677
418.000000	93.594353	91.6158
425.000000	93.565971	91.1216
431.000000	93.541206	90.6742
437.000000	93.519791	90.2509
444.000000	93.493111	89.7752
450.000000	93.467773	89.3429
455.000000	93.452583	89.0173
462.000000	93.426750	88.5677
468.000000	93.402405	88.1643
475.000000	93.374641	87.7587
482.000000	93.356049	87.3293
487.000000	93.336823	87.0321
494.000000	93.313057	86.6414
500.000000	93.293617	86.2615
508.000000	93.271774	85.8500
515.000000	93.244972	85.4813
522.000000	93.225174	85.0851
530.000000	93.199203	84.6995
538.000000	93.171165	84.3131
545.000000	93.152077	83.9702
552.000000	93.125328	83.6735
560.000000	93.103554	83.2976
570.000000	93.073654	82.8831
580.000000	93.044296	82.4900
590.000000	93.012192	82.1270
600.000000	92.989510	81.7598
608.000000	92.964401	81.5046
615.000000	92.944122	81.3148
622.000000	92.923225	81.0906
630.000000	92.902367	80.8788
640.000000	92.876160	80.6005
650.000000	92.852188	80.3873
660.000000	92.826569	80.1624
670.000000	92.802002	79.9807
680.000000	92.780128	79.8017
690.000000	92.761078	79.6852
700.000000	92.741455	79.5550
710.000000	92.721901	79.4555
720.000000	92.706940	79.3648
730.000000	92.694595	79.3303
740.000000	92.680328	79.2777
750.000000	92.672333	79.2404
762.000000	92.658966	79.2532
775.000000	92.655762	79.2752
788.000000	92.647873	79.3440
800.000000	92.649544	79.3941
812.000000	92.657127	79.4818
825.000000	92.662300	79.6004
838.000000	92.675751	79.7289
850.000000	92.690567	79.8375
862.000000	92.713310	79.9826
875.000000	92.738815	80.1466
885.000000	92.763916	80.2625
900.000000	92.799362	80.4564
912.000000	92.840462	80.6134
925.000000	92.888229	80.8061
938.000000	92.931686	80.9648
950.000000	92.983276	81.1050
962.000000	93.034302	81.2588
975.000000	93.097412	81.3945
988.000000	93.161804	81.5016
1000.000000	93.228455	81.5901
1015.000000	93.311363	81.6818
1030.000000	93.400742	81.7503
1044.000000	93.489304	81.7924
1060.000000	93.591385	81.7874
1075.000000	93.688278	81.7417
1090.000000	93.783974	81.6338
1106.000000	93.892326	81.5135
1120.000000	93.983360	81.3503
1138.000000	94.098946	81.0995
1150.000000	94.175743	80.9114
1172.000000	94.310753	80.4832
1180.000000	94.362686	80.3252
1206.000000	94.510223	79.7109
1220.000000	94.585930	79.3577
1241.000000	94.695374	78.7783
1250.000000	94.738976	78.5388
1265.000000	94.809654	78.0951
1280.000000	94.877525	77.6458
1315.000000	95.021576	76.5820
1320.000000	95.039185	76.4125
1340.000000	95.115097	75.7999
1360.000000	95.177925	75.1700
1380.000000	95.240311	74.5519
1400.000000	95.301537	73.9067
1430.000000	95.383240	72.9613
1450.000000	95.436127	72.3368
1475.000000	95.494392	71.5754
