* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2026 8:35:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: re-measure L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	115.370	-166.6677
20.299999	115.374	-167.3734
20.600000	115.379	-168.0725
20.900000	115.384	-168.7734
21.200001	115.389	-169.4782
21.400000	115.390	-169.9476
21.799999	115.388	-170.8714
22.000000	115.386	-171.3196
22.400000	115.379	-172.1824
22.700001	115.374	-172.8018
23.000000	115.371	-173.4063
23.299999	115.369	-174.0053
23.600000	115.367	-174.6059
24.000000	115.364	-175.4106
24.299999	115.359	-176.0105
24.700001	115.349	-176.7926
25.000000	115.340	-177.3601
25.400000	115.328	-178.0917
25.799999	115.316	-178.8026
26.200001	115.305	-179.5017
26.500000	115.297	179.9793
26.900000	115.285	179.2957
27.200001	115.276	178.7903
27.600000	115.263	178.1270
28.000000	115.250	177.4744
28.500000	115.232	176.6724
29.000000	115.213	175.8860
29.500000	115.194	175.1152
30.000000	115.174	174.3582
30.400000	115.157	173.7618
30.700001	115.143	173.3203
31.100000	115.125	172.7398
31.500000	115.107	172.1690
32.000000	115.083	171.4684
32.500000	115.058	170.7825
33.000000	115.032	170.1128
33.500000	115.007	169.4587
34.000000	114.982	168.8157
34.500000	114.957	168.1799
35.000000	114.931	167.5524
35.500000	114.904	166.9362
36.000000	114.877	166.3317
36.500000	114.850	165.7369
37.000000	114.822	165.1519
37.500000	114.794	164.5785
38.200001	114.755	163.7928
38.700001	114.727	163.2380
39.500000	114.680	162.3613
40.000000	114.650	161.8295
40.599998	114.614	161.2112
41.200001	114.580	160.6027
41.799999	114.546	159.9921
42.500000	114.504	159.2862
43.099998	114.466	158.7040
43.700001	114.431	158.1395
44.400002	114.391	157.4805
45.000000	114.355	156.9170
45.500000	114.324	156.4599
46.200001	114.281	155.8374
46.799999	114.246	155.3048
47.500000	114.202	154.6890
48.200001	114.157	154.1020
48.700001	114.126	153.6969
49.400002	114.084	153.1296
50.000000	114.048	152.6414
50.799999	113.999	151.9998
51.500000	113.955	151.4478
52.200001	113.912	150.9059
53.000000	113.863	150.3021
53.799999	113.815	149.7011
54.500000	113.773	149.1749
55.200001	113.728	148.6671
56.000000	113.680	148.1124
57.000000	113.621	147.4096
58.000000	113.558	146.7228
59.000000	113.498	146.0740
60.000000	113.437	145.4092
60.799999	113.387	144.9032
61.500000	113.346	144.4703
62.200001	113.306	144.0217
63.000000	113.257	143.5124
64.000000	113.196	142.9086
65.000000	113.137	142.3105
66.000000	113.077	141.7211
67.000000	113.016	141.1626
68.000000	112.958	140.6264
69.000000	112.902	140.0868
70.000000	112.845	139.5442
71.000000	112.786	139.0047
72.000000	112.727	138.4815
73.000000	112.669	137.9667
74.000000	112.612	137.4584
75.000000	112.556	136.9612
76.199997	112.490	136.3837
77.500000	112.420	135.7621
78.800003	112.348	135.1568
80.000000	112.283	134.6055
81.199997	112.217	134.0719
82.500000	112.148	133.5039
83.800003	112.080	132.9353
85.000000	112.016	132.4230
86.199997	111.954	131.9261
87.500000	111.887	131.3931
88.500000	111.836	130.9871
90.000000	111.759	130.3998
91.199997	111.699	129.9357
92.500000	111.635	129.4361
93.800003	111.571	128.9494
95.000000	111.514	128.5088
96.199997	111.456	128.0700
97.500000	111.393	127.6034
98.800003	111.332	127.1510
100.000000	111.276	126.7303
101.500000	111.206	126.2171
103.000000	111.138	125.7104
104.400002	111.075	125.2502
106.000000	111.004	124.7371
107.500000	110.938	124.2484
109.000000	110.872	123.7827
110.599998	110.804	123.2896
112.000000	110.745	122.8595
113.800003	110.669	122.3188
115.000000	110.618	121.9757
117.199997	110.528	121.3414
118.000000	110.497	121.1138
120.599998	110.389	120.3958
122.000000	110.336	119.9983
124.099998	110.255	119.4379
125.000000	110.221	119.2012
126.500000	110.165	118.8068
128.000000	110.108	118.4178
131.500000	109.978	117.5356
132.000000	109.960	117.4131
134.000000	109.888	116.9367
136.000000	109.819	116.4611
138.000000	109.752	115.9974
140.000000	109.685	115.5397
143.000000	109.587	114.8572
145.000000	109.523	114.4130
147.500000	109.445	113.8600
150.000000	109.369	113.3152
152.500000	109.294	112.7893
155.000000	109.219	112.2655
157.500000	109.145	111.7529
160.000000	109.072	111.2539
162.500000	109.000	110.7706
165.000000	108.930	110.2833
167.500000	108.862	109.8193
170.000000	108.797	109.3675
172.500000	108.733	108.9303
175.000000	108.671	108.5131
177.500000	108.612	108.0900
180.000000	108.561	107.6716
182.500000	108.505	107.2988
185.000000	108.454	106.8848
187.500000	108.407	106.4652
190.000000	108.362	106.0316
192.500000	108.319	105.5942
195.000000	108.274	105.1423
197.500000	108.230	104.6764
200.000000	108.182	104.2272
203.000000	108.125	103.6850
206.000000	108.065	103.1581
209.000000	108.005	102.6485
212.000000	107.948	102.1456
214.000000	107.908	101.8225
218.000000	107.831	101.2034
220.000000	107.794	100.9014
224.000000	107.720	100.3194
227.000000	107.668	99.8940
230.000000	107.618	99.4796
233.000000	107.570	99.0557
236.000000	107.524	98.6570
240.000000	107.461	98.1442
243.000000	107.421	97.7136
247.000000	107.364	97.1589
250.000000	107.322	96.7617
254.000000	107.263	96.2421
258.000000	107.207	95.7260
262.000000	107.152	95.2313
265.000000	107.113	94.8582
269.000000	107.060	94.3837
272.000000	107.021	94.0438
276.000000	106.971	93.5775
280.000000	106.922	93.1333
285.000000	106.862	92.5915
290.000000	106.804	92.0605
295.000000	106.748	91.5459
300.000000	106.692	91.0550
304.000000	106.650	90.6544
307.000000	106.619	90.3840
311.000000	106.579	90.0240
315.000000	106.539	89.6531
320.000000	106.491	89.2343
325.000000	106.445	88.8293
330.000000	106.401	88.4498
335.000000	106.359	88.0708
340.000000	106.318	87.7105
345.000000	106.282	87.3812
350.000000	106.248	87.0637
355.000000	106.217	86.7497
360.000000	106.191	86.4341
365.000000	106.166	86.1369
370.000000	106.141	85.8264
375.000000	106.116	85.5197
382.000000	106.082	85.1024
387.000000	106.059	84.8385
395.000000	106.024	84.4365
400.000000	106.005	84.1933
406.000000	105.984	83.9381
412.000000	105.968	83.7037
418.000000	105.953	83.4709
425.000000	105.941	83.2065
431.000000	105.933	83.0054
437.000000	105.928	82.8147
444.000000	105.927	82.5813
450.000000	105.926	82.3995
455.000000	105.928	82.2419
462.000000	105.935	82.0460
468.000000	105.941	81.8755
475.000000	105.954	81.6975
482.000000	105.969	81.5138
487.000000	105.980	81.3939
494.000000	106.000	81.2223
500.000000	106.019	81.0735
508.000000	106.049	80.8896
515.000000	106.080	80.7300
522.000000	106.110	80.5748
530.000000	106.151	80.3857
538.000000	106.193	80.2054
545.000000	106.234	80.0226
552.000000	106.277	79.8417
560.000000	106.329	79.6375
570.000000	106.398	79.3545
580.000000	106.472	79.0585
590.000000	106.546	78.7352
600.000000	106.625	78.3894
608.000000	106.688	78.1033
615.000000	106.747	77.8361
622.000000	106.805	77.5435
630.000000	106.872	77.2120
640.000000	106.956	76.7552
650.000000	107.038	76.2638
660.000000	107.120	75.7431
670.000000	107.202	75.1718
680.000000	107.280	74.5762
690.000000	107.354	73.9416
700.000000	107.424	73.2814
710.000000	107.488	72.5879
720.000000	107.544	71.8666
730.000000	107.593	71.1457
740.000000	107.634	70.3895
750.000000	107.667	69.6442
762.000000	107.694	68.7456
775.000000	107.710	67.8025
788.000000	107.710	66.9019
800.000000	107.699	66.1223
812.000000	107.679	65.3993
825.000000	107.650	64.6890
838.000000	107.610	64.0803
850.000000	107.573	63.5775
862.000000	107.531	63.1669
875.000000	107.487	62.8090
885.000000	107.453	62.5850
900.000000	107.406	62.3535
912.000000	107.372	62.2308
925.000000	107.341	62.1518
938.000000	107.316	62.1398
950.000000	107.300	62.1637
962.000000	107.292	62.2214
975.000000	107.288	62.3175
988.000000	107.294	62.4232
1000.000000	107.305	62.5387
1015.000000	107.328	62.6770
1030.000000	107.359	62.8353
1044.000000	107.396	62.9622
1060.000000	107.447	63.0844
1075.000000	107.500	63.1746
1090.000000	107.558	63.2426
1106.000000	107.625	63.2882
1120.000000	107.687	63.2868
1138.000000	107.769	63.2598
1150.000000	107.823	63.2108
1172.000000	107.925	63.0735
1180.000000	107.962	63.0160
1206.000000	108.080	62.7530
1220.000000	108.141	62.5873
1241.000000	108.229	62.3082
1250.000000	108.264	62.1853
1265.000000	108.325	61.9694
1280.000000	108.379	61.7461
1315.000000	108.500	61.2132
1320.000000	108.515	61.1310
1340.000000	108.581	60.8324
1360.000000	108.641	60.5496
1380.000000	108.702	60.2621
1400.000000	108.761	59.9995
1430.000000	108.849	59.6008
1450.000000	108.906	59.3517
1475.000000	108.980	59.0393
1500.000000	109.055	58.7422
1525.000000	109.134	58.4367
1550.000000	109.214	58.1372
1575.000000	109.297	57.8230
1600.000000	109.382	57.4933
1625.000000	109.470	57.1532
1650.000000	109.563	56.7960
1675.000000	109.657	56.4055
1700.000000	109.755	55.9907
1725.000000	109.855	55.5470
1750.000000	109.958	55.0587
1775.000000	110.065	54.5162
1800.000000	110.172	53.9346
1825.000000	110.280	53.2831
1850.000000	110.390	52.5818
1875.000000	110.500	51.8159
1900.000000	110.609	50.9760
1925.000000	110.714	50.0714
1950.000000	110.817	49.0895
1975.000000	110.914	48.0128
2000.000000	111.006	46.8774
2030.000000	111.102	45.3975
2060.000000	111.186	43.8235
2090.000000	111.250	42.1563
2120.000000	111.293	40.4146
2140.000000	111.309	39.2189
2180.000000	111.309	36.7986
2200.000000	111.292	35.5874
2240.000000	111.226	33.2061
2270.000000	111.150	31.4857
2300.000000	111.053	29.8596
2330.000000	110.941	28.3479
2360.000000	110.817	26.9756
2400.000000	110.644	25.3364
2430.000000	110.512	24.2434
2470.000000	110.340	22.9460
2500.000000	110.217	22.0717
2540.000000	110.056	21.0184
2580.000000	109.902	20.1033
2620.000000	109.758	19.3119
2650.000000	109.663	18.7944
2690.000000	109.550	18.1814
2720.000000	109.478	17.7774
2760.000000	109.400	17.2704
2800.000000	109.342	16.8118
2850.000000	109.300	16.2425
2900.000000	109.292	15.6414
2950.000000	109.315	14.9936
3000.000000	109.367	14.2570
3040.000000	109.427	13.5820
3070.000000	109.483	13.0150
