* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2026 8:51:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: re-measure R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	115.280	-167.0934
20.299999	115.287	-167.8465
20.600000	115.291	-168.5954
20.900000	115.293	-169.3333
21.200001	115.292	-170.0538
21.400000	115.290	-170.5222
21.799999	115.286	-171.4322
22.000000	115.284	-171.8757
22.400000	115.279	-172.7457
22.700001	115.275	-173.3871
23.000000	115.270	-174.0194
23.299999	115.265	-174.6407
23.600000	115.258	-175.2488
24.000000	115.249	-176.0385
24.299999	115.242	-176.6176
24.700001	115.233	-177.3788
25.000000	115.226	-177.9448
25.400000	115.216	-178.6931
25.799999	115.204	-179.4287
26.200001	115.190	179.8541
26.500000	115.179	179.3287
26.900000	115.165	178.6410
27.200001	115.154	178.1316
27.600000	115.140	177.4586
28.000000	115.124	176.7949
28.500000	115.103	175.9851
29.000000	115.081	175.1988
29.500000	115.060	174.4279
30.000000	115.038	173.6651
30.400000	115.020	173.0627
30.700001	115.005	172.6186
31.100000	114.985	172.0388
31.500000	114.966	171.4717
32.000000	114.941	170.7745
32.500000	114.916	170.0862
33.000000	114.889	169.4113
33.500000	114.862	168.7543
34.000000	114.836	168.1121
34.500000	114.809	167.4766
35.000000	114.782	166.8468
35.500000	114.753	166.2299
36.000000	114.724	165.6310
36.500000	114.696	165.0435
37.000000	114.668	164.4566
37.500000	114.638	163.8710
38.200001	114.593	163.0829
38.700001	114.562	162.5524
39.500000	114.519	161.7114
40.000000	114.492	161.1664
40.599998	114.456	160.5124
41.200001	114.417	159.8887
41.799999	114.379	159.2890
42.500000	114.337	158.5885
43.099998	114.299	157.9927
43.700001	114.260	157.4193
44.400002	114.216	156.7702
45.000000	114.180	156.2165
45.500000	114.148	155.7591
46.200001	114.104	155.1332
46.799999	114.066	154.6088
47.500000	114.023	154.0064
48.200001	113.979	153.4119
48.700001	113.948	152.9921
49.400002	113.903	152.4153
50.000000	113.866	151.9304
50.799999	113.815	151.2854
51.500000	113.768	150.7321
52.200001	113.722	150.2067
53.000000	113.674	149.6091
53.799999	113.623	148.9937
54.500000	113.574	148.4879
55.200001	113.529	148.0215
56.000000	113.485	147.4758
57.000000	113.426	146.7592
58.000000	113.361	146.0699
59.000000	113.297	145.4296
60.000000	113.240	144.7955
60.799999	113.192	144.2566
61.500000	113.146	143.8032
62.200001	113.100	143.3872
63.000000	113.053	142.9135
64.000000	112.993	142.3014
65.000000	112.932	141.7188
66.000000	112.874	141.1368
67.000000	112.813	140.5621
68.000000	112.753	140.0178
69.000000	112.695	139.4724
70.000000	112.636	138.9406
71.000000	112.578	138.4183
72.000000	112.520	137.9000
73.000000	112.462	137.3978
74.000000	112.405	136.9005
75.000000	112.348	136.4049
76.199997	112.280	135.8273
77.500000	112.208	135.2205
78.800003	112.137	134.6176
80.000000	112.072	134.0723
81.199997	112.006	133.5340
82.500000	111.936	132.9733
83.800003	111.868	132.4160
85.000000	111.805	131.9113
86.199997	111.742	131.4166
87.500000	111.676	130.8955
88.500000	111.626	130.4915
90.000000	111.549	129.8978
91.199997	111.488	129.4429
92.500000	111.424	128.9501
93.800003	111.361	128.4671
95.000000	111.302	128.0171
96.199997	111.244	127.5874
97.500000	111.182	127.1231
98.800003	111.122	126.6785
100.000000	111.067	126.2604
101.500000	110.997	125.7505
103.000000	110.929	125.2506
104.400002	110.866	124.7932
106.000000	110.794	124.2762
107.500000	110.729	123.8033
109.000000	110.665	123.3380
110.599998	110.596	122.8365
112.000000	110.535	122.4257
113.800003	110.461	121.9041
115.000000	110.412	121.5464
117.199997	110.323	120.9085
118.000000	110.287	120.6771
120.599998	110.189	119.9701
122.000000	110.133	119.6005
124.099998	110.052	119.0499
125.000000	110.019	118.8197
126.500000	109.963	118.4361
128.000000	109.908	118.0546
131.500000	109.784	117.1774
132.000000	109.766	117.0569
134.000000	109.698	116.5707
136.000000	109.628	116.0916
138.000000	109.561	115.6182
140.000000	109.496	115.1589
143.000000	109.399	114.4729
145.000000	109.338	114.0211
147.500000	109.261	113.4828
150.000000	109.186	112.9427
152.500000	109.112	112.4119
155.000000	109.043	111.8961
157.500000	108.978	111.3733
160.000000	108.904	110.8851
162.500000	108.837	110.3914
165.000000	108.771	109.9082
167.500000	108.707	109.4184
170.000000	108.643	108.9363
172.500000	108.582	108.4627
175.000000	108.524	108.0131
177.500000	108.465	107.5491
180.000000	108.414	107.0930
182.500000	108.352	106.6536
