* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 8, 2024 4:15:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.367	-170.2880
20.600000	106.371	-170.9224
20.900000	106.367	-171.4976
21.200001	106.361	-172.0728
21.400000	106.357	-172.4579
21.799999	106.349	-173.2245
22.000000	106.345	-173.6006
22.400000	106.336	-174.3268
22.700001	106.330	-174.8418
23.000000	106.324	-175.3327
23.299999	106.319	-175.8065
23.600000	106.314	-176.2721
24.000000	106.306	-176.8940
24.299999	106.299	-177.3654
24.700001	106.288	-177.9986
25.000000	106.279	-178.4724
25.400000	106.267	-179.0975
25.799999	106.254	-179.7126
26.200001	106.242	179.6836
26.500000	106.232	179.2401
26.900000	106.217	178.6665
27.200001	106.204	178.2527
27.600000	106.186	177.7234
28.000000	106.169	177.2140
28.500000	106.148	176.5891
29.000000	106.128	175.9613
29.500000	106.106	175.3296
30.000000	106.083	174.7048
30.400000	106.063	174.2163
30.700001	106.047	173.8576
31.100000	106.026	173.3881
31.500000	106.006	172.9269
32.000000	105.980	172.3613
32.500000	105.954	171.8094
33.000000	105.928	171.2720
33.500000	105.902	170.7462
34.000000	105.876	170.2278
34.500000	105.848	169.7161
35.000000	105.819	169.2137
35.500000	105.789	168.7225
36.000000	105.760	168.2395
36.500000	105.730	167.7605
37.000000	105.700	167.2852
37.500000	105.670	166.8179
38.200001	105.627	166.1855
38.700001	105.597	165.7502
39.500000	105.550	165.0750
40.000000	105.520	164.6604
40.599998	105.484	164.1638
41.200001	105.447	163.6696
41.799999	105.409	163.1907
42.500000	105.365	162.6590
43.099998	105.328	162.2076
43.700001	105.290	161.7455
44.400002	105.243	161.2161
45.000000	105.204	160.7899
45.500000	105.174	160.4439
46.200001	105.131	159.9603
46.799999	105.089	159.5677
47.500000	105.040	159.1501
48.200001	104.998	158.7183
48.700001	104.969	158.3749
49.400002	104.924	157.8832
50.000000	104.883	157.4954
50.799999	104.828	157.0178
51.500000	104.782	156.5997
52.200001	104.737	156.1826
53.000000	104.688	155.7240
53.799999	104.637	155.2901
54.500000	104.589	154.9322
55.200001	104.542	154.5753
56.000000	104.491	154.1324
57.000000	104.426	153.5842
58.000000	104.362	153.1258
59.000000	104.297	152.6174
60.000000	104.222	152.1306
60.799999	104.176	151.8035
61.500000	104.141	151.4865
62.200001	104.098	151.1600
63.000000	104.044	150.8278
64.000000	103.981	150.4138
65.000000	103.917	149.9829
66.000000	103.853	149.5828
67.000000	103.793	149.1833
68.000000	103.732	148.8058
69.000000	103.673	148.4364
70.000000	103.606	148.0338
71.000000	103.539	147.7135
72.000000	103.486	147.3875
73.000000	103.424	147.0179
74.000000	103.363	146.6909
75.000000	103.305	146.3504
76.199997	103.231	145.9732
77.500000	103.151	145.5830
78.800003	103.078	145.2007
80.000000	103.008	144.8454
81.199997	102.937	144.5419
82.500000	102.865	144.1685
83.800003	102.790	143.7975
85.000000	102.725	143.4991
86.199997	102.657	143.2032
87.500000	102.586	142.8913
88.500000	102.532	142.6458
90.000000	102.448	142.2985
91.199997	102.383	142.0247
92.500000	102.314	141.7422
93.800003	102.246	141.4678
95.000000	102.182	141.2158
96.199997	102.119	140.9714
97.500000	102.053	140.7138
98.800003	101.988	140.4626
100.000000	101.927	140.2413
101.500000	101.850	139.9755
103.000000	101.776	139.7055
104.400002	101.707	139.4656
106.000000	101.627	139.1951
107.500000	101.555	138.9580
109.000000	101.481	138.7289
110.599998	101.412	138.4882
112.000000	101.341	138.2618
113.800003	101.264	138.0030
115.000000	101.201	137.8968
117.199997	101.105	137.5415
118.000000	101.084	137.4763
120.599998	100.932	137.4816
122.000000	100.887	136.8805
124.099998	100.807	136.7700
125.000000	100.761	136.6660
126.500000	100.705	136.4556
128.000000	100.637	136.3866
131.500000	100.504	136.0150
132.000000	100.483	135.9600
134.000000	100.404	135.7618
136.000000	100.325	135.5909
138.000000	100.247	135.4333
140.000000	100.178	135.2708
143.000000	100.060	135.0464
145.000000	99.988	134.8319
147.500000	99.900	134.6891
150.000000	99.815	134.5120
152.500000	99.728	134.2618
155.000000	99.642	134.3287
157.500000	99.559	134.0174
160.000000	99.479	133.9130
162.500000	99.397	133.7481
165.000000	99.304	133.7437
