* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 8, 2024 4:16:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.679	-167.5137
20.600000	105.684	-168.1202
20.900000	105.681	-168.6751
21.200001	105.677	-169.2334
21.400000	105.674	-169.6086
21.799999	105.670	-170.3578
22.000000	105.669	-170.7254
22.400000	105.668	-171.4309
22.700001	105.667	-171.9239
23.000000	105.667	-172.3862
23.299999	105.667	-172.8262
23.600000	105.667	-173.2573
24.000000	105.665	-173.8413
24.299999	105.661	-174.2946
24.700001	105.652	-174.9162
25.000000	105.644	-175.3847
25.400000	105.636	-175.9993
25.799999	105.633	-176.5988
26.200001	105.635	-177.1915
26.500000	105.638	-177.6362
26.900000	105.638	-178.2234
27.200001	105.632	-178.6488
27.600000	105.618	-179.1775
28.000000	105.597	-179.6545
28.500000	105.572	179.8000
29.000000	105.553	179.2530
29.500000	105.539	178.6648
30.000000	105.528	178.0445
30.400000	105.518	177.5489
30.700001	105.510	177.1876
31.100000	105.498	176.7229
31.500000	105.485	176.2746
32.000000	105.465	175.7306
32.500000	105.443	175.2007
33.000000	105.420	174.6804
33.500000	105.400	174.1610
34.000000	105.381	173.6378
34.500000	105.362	173.1179
35.000000	105.341	172.6162
35.500000	105.318	172.1410
36.000000	105.296	171.6834
36.500000	105.275	171.2252
37.000000	105.254	170.7556
37.500000	105.232	170.2822
38.200001	105.200	169.6520
38.700001	105.178	169.2363
39.500000	105.145	168.5839
40.000000	105.124	168.1574
40.599998	105.093	167.6428
41.200001	105.061	167.1559
41.799999	105.033	166.6924
42.500000	105.001	166.1476
43.099998	104.970	165.6821
43.700001	104.937	165.2386
44.400002	104.904	164.7250
45.000000	104.876	164.2552
45.500000	104.849	163.8590
46.200001	104.805	163.3599
46.799999	104.770	162.9948
47.500000	104.737	162.5705
48.200001	104.704	162.1011
48.700001	104.678	161.7620
49.400002	104.642	161.3084
50.000000	104.611	160.9158
50.799999	104.566	160.3831
51.500000	104.528	159.9547
52.200001	104.501	159.5279
53.000000	104.467	158.9967
53.799999	104.416	158.5546
54.500000	104.373	158.2535
55.200001	104.336	157.8877
56.000000	104.285	157.4037
57.000000	104.228	156.8878
58.000000	104.180	156.3611
59.000000	104.121	155.9136
60.000000	104.075	155.4551
60.799999	104.032	154.9934
61.500000	103.987	154.6376
62.200001	103.947	154.3259
63.000000	103.904	153.9500
64.000000	103.849	153.4783
65.000000	103.796	153.0230
66.000000	103.742	152.6032
67.000000	103.691	152.2107
68.000000	103.635	151.7714
69.000000	103.577	151.3630
70.000000	103.531	150.9466
71.000000	103.475	150.5391
72.000000	103.420	150.2174
73.000000	103.368	149.8144
74.000000	103.307	149.4272
75.000000	103.257	149.1092
76.199997	103.197	148.6745
77.500000	103.125	148.2377
78.800003	103.057	147.8127
80.000000	102.996	147.4120
81.199997	102.939	147.0305
82.500000	102.871	146.6104
83.800003	102.797	146.2711
85.000000	102.738	145.9129
86.199997	102.678	145.5482
87.500000	102.611	145.1987
88.500000	102.561	144.9290
90.000000	102.486	144.5343
91.199997	102.423	144.2120
92.500000	102.358	143.8960
93.800003	102.295	143.5563
95.000000	102.237	143.2642
96.199997	102.182	142.9721
97.500000	102.119	142.6959
98.800003	102.056	142.3985
100.000000	101.999	142.1329
101.500000	101.929	141.8210
103.000000	101.856	141.5161
104.400002	101.791	141.2303
106.000000	101.714	140.9099
107.500000	101.654	140.6325
109.000000	101.581	140.3364
110.599998	101.515	140.0733
112.000000	101.452	139.7961
