* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 2:59:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 000 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.457	170.5713
20.600000	103.443	169.6931
20.900000	103.423	168.8860
21.200001	103.402	168.0725
21.400000	103.387	167.5285
21.799999	103.359	166.4545
22.000000	103.346	165.9314
22.400000	103.324	164.9154
22.700001	103.310	164.1674
23.000000	103.299	163.4134
23.299999	103.286	162.6418
23.600000	103.269	161.8541
24.000000	103.236	160.8106
24.299999	103.205	160.0661
24.700001	103.162	159.1554
25.000000	103.134	158.5272
25.400000	103.108	157.7202
25.799999	103.089	156.8870
26.200001	103.070	155.9945
26.500000	103.050	155.2928
26.900000	103.015	154.3449
27.200001	102.984	153.6439
27.600000	102.941	152.7384
28.000000	102.902	151.8716
28.500000	102.860	150.8452
29.000000	102.824	149.8812
29.500000	102.790	148.9549
30.000000	102.748	148.0207
30.400000	102.704	147.2559
30.700001	102.664	146.6816
31.100000	102.607	145.9329
31.500000	102.551	145.2109
32.000000	102.494	144.3188
32.500000	102.451	143.3955
33.000000	102.407	142.4490
33.500000	102.354	141.5404
34.000000	102.295	140.7042
34.500000	102.239	139.8969
35.000000	102.187	139.0461
35.500000	102.133	138.1428
36.000000	102.074	137.2560
36.500000	102.014	136.4525
37.000000	101.960	135.7248
37.500000	101.911	135.0055
38.200001	101.839	133.9225
38.700001	101.776	133.1151
39.500000	101.669	131.8708
40.000000	101.609	131.1265
40.599998	101.542	130.2402
41.200001	101.474	129.3747
41.799999	101.406	128.5487
42.500000	101.329	127.5939
43.099998	101.256	126.7604
43.700001	101.176	125.9669
44.400002	101.090	125.1154
45.000000	101.028	124.3569
45.500000	100.976	123.6775
46.200001	100.894	122.7581
46.799999	100.824	122.0535
47.500000	100.752	121.1976
48.200001	100.664	120.2442
48.700001	100.588	119.6096
49.400002	100.493	118.8668
50.000000	100.435	118.2315
50.799999	100.356	117.2405
51.500000	100.264	116.4143
52.200001	100.178	115.7186
53.000000	100.099	114.8559
53.799999	100.003	113.9059
54.500000	99.904	113.2270
55.200001	99.823	112.6255
56.000000	99.745	111.7612
57.000000	99.623	110.6351
58.000000	99.510	109.7565
59.000000	99.396	108.8520
60.000000	99.262	107.9771
60.799999	99.166	107.2596
61.500000	99.091	106.5911
62.200001	99.025	105.9119
63.000000	98.949	105.1309
64.000000	98.833	104.2857
65.000000	98.718	103.5613
66.000000	98.605	102.6811
67.000000	98.487	101.8443
68.000000	98.388	101.1218
69.000000	98.281	100.3159
70.000000	98.158	99.5179
71.000000	98.059	98.7624
72.000000	97.968	98.0143
73.000000	97.866	97.3366
74.000000	97.758	96.6126
75.000000	97.646	95.9119
76.199997	97.528	95.1455
77.500000	97.392	94.2585
78.800003	97.264	93.3994
80.000000	97.146	92.6474
81.199997	97.033	91.8981
82.500000	96.893	91.0755
83.800003	96.775	90.3444
85.000000	96.662	89.6504
86.199997	96.552	88.9467
87.500000	96.421	88.2425
88.500000	96.335	87.6716
90.000000	96.195	86.8638
91.199997	96.093	86.2671
92.500000	95.971	85.5714
93.800003	95.850	84.9481
95.000000	95.766	84.2831
96.199997	95.651	83.5266
97.500000	95.552	83.0442
98.800003	95.450	82.4731
100.000000	95.343	82.0061
101.500000	95.213	81.2793
103.000000	95.097	80.6581
104.400002	94.990	80.0341
106.000000	94.856	79.3320
107.500000	94.733	78.7120
109.000000	94.628	78.0585
110.599998	94.493	77.4599
112.000000	94.387	77.0647
113.800003	94.267	76.3027
115.000000	94.175	75.9026
117.199997	94.022	75.0623
118.000000	93.966	74.8753
120.599998	93.769	73.8350
122.000000	93.698	73.4732
124.099998	93.552	72.7687
125.000000	93.489	72.5194
126.500000	93.408	72.0883
128.000000	93.299	71.7020
131.500000	93.065	70.7281
132.000000	93.041	70.6509
134.000000	92.896	70.0334
136.000000	92.798	69.6497
138.000000	92.704	69.0641
140.000000	92.649	68.5250
143.000000	92.446	67.8588
145.000000	92.339	67.5342
147.500000	92.242	66.4008
150.000000	92.176	66.2000
152.500000	92.008	65.3022
155.000000	91.901	64.7071
157.500000	91.786	64.3129
160.000000	91.679	63.6323
162.500000	91.558	63.0994
165.000000	91.467	62.7018
167.500000	91.384	62.0645
170.000000	91.247	61.6088
172.500000	91.149	61.0126
175.000000	91.077	60.7208
177.500000	90.937	60.1952
180.000000	90.875	59.7398
182.500000	90.786	59.3256
185.000000	90.713	59.0699
187.500000	90.617	58.5206
190.000000	90.546	58.2001
192.500000	90.463	57.7786
195.000000	90.374	57.3688
197.500000	90.294	57.1059
200.000000	90.239	56.2843
203.000000	90.132	56.3486
206.000000	90.043	55.7667
209.000000	89.963	55.5907
212.000000	89.806	55.2031
214.000000	89.796	54.8188
218.000000	89.696	54.3806
220.000000	89.671	54.1148
224.000000	89.561	53.6225
227.000000	89.462	53.2980
230.000000	89.380	52.9360
233.000000	89.356	52.7820
236.000000	89.272	52.4648
240.000000	89.187	52.0832
243.000000	89.106	51.7155
247.000000	89.035	51.3970
250.000000	88.987	51.0995
254.000000	88.903	50.7648
258.000000	88.840	50.4365
262.000000	88.807	50.1645
265.000000	88.721	50.0787
269.000000	88.630	49.7410
272.000000	88.590	49.5491
276.000000	88.534	49.2045
280.000000	88.472	48.9790
285.000000	88.389	48.6636
290.000000	88.354	48.2833
295.000000	88.285	48.2388
300.000000	88.211	47.9076
304.000000	88.159	47.6734
307.000000	88.127	47.4732
311.000000	88.079	47.3465
315.000000	88.029	47.1867
320.000000	87.985	46.9776
