* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 2:56:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP-100
* Measurement: 000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.731	174.0642
20.600000	102.724	173.1454
20.900000	102.708	172.3438
21.200001	102.690	171.5596
21.400000	102.678	171.0334
21.799999	102.652	169.9513
22.000000	102.639	169.3919
22.400000	102.609	168.2464
22.700001	102.587	167.3843
23.000000	102.565	166.5383
23.299999	102.547	165.7191
23.600000	102.534	164.9270
24.000000	102.524	163.8967
24.299999	102.517	163.1293
24.700001	102.501	162.1077
25.000000	102.479	161.3570
25.400000	102.435	160.4094
25.799999	102.383	159.5429
26.200001	102.339	158.7233
26.500000	102.318	158.0876
26.900000	102.304	157.1439
27.200001	102.297	156.3508
27.600000	102.278	155.2439
28.000000	102.240	154.2116
28.500000	102.177	153.2213
29.000000	102.127	152.5523
29.500000	102.108	151.9135
30.000000	102.097	150.9840
30.400000	102.068	150.0050
30.700001	102.030	149.2068
31.100000	101.962	148.1721
31.500000	101.891	147.2546
32.000000	101.822	146.2649
32.500000	101.777	145.3413
33.000000	101.736	144.4092
33.500000	101.683	143.4899
34.000000	101.621	142.6130
34.500000	101.560	141.7493
35.000000	101.503	140.8517
35.500000	101.449	139.9234
36.000000	101.396	139.0128
36.500000	101.344	138.1518
37.000000	101.295	137.3276
37.500000	101.244	136.5134
38.200001	101.162	135.3873
38.700001	101.098	134.6134
39.500000	101.002	133.4107
40.000000	100.948	132.6333
40.599998	100.882	131.6593
41.200001	100.810	130.7068
41.799999	100.737	129.8413
42.500000	100.661	128.8988
43.099998	100.598	128.0588
43.700001	100.525	127.1932
44.400002	100.433	126.2385
45.000000	100.362	125.4680
45.500000	100.309	124.8223
46.200001	100.234	123.9067
46.799999	100.163	123.1386
47.500000	100.075	122.2558
48.200001	99.983	121.3824
48.700001	99.917	120.7842
49.400002	99.836	119.9550
50.000000	99.770	119.1937
50.799999	99.670	118.1628
51.500000	99.585	117.3596
52.200001	99.520	116.5700
53.000000	99.439	115.5974
53.799999	99.333	114.7430
54.500000	99.247	114.0739
55.200001	99.167	113.2892
56.000000	99.061	112.3587
57.000000	98.942	111.4497
58.000000	98.851	110.5303
59.000000	98.737	109.5468
60.000000	98.611	108.5770
60.799999	98.510	107.8087
61.500000	98.430	107.1715
62.200001	98.360	106.5177
63.000000	98.276	105.7139
64.000000	98.147	104.7864
65.000000	98.024	104.0419
66.000000	97.924	103.1972
67.000000	97.811	102.3090
68.000000	97.707	101.5661
69.000000	97.616	100.7626
70.000000	97.506	99.9530
71.000000	97.393	99.2589
72.000000	97.290	98.5064
73.000000	97.178	97.7250
74.000000	97.075	97.0455
75.000000	96.972	96.3143
76.199997	96.845	95.5028
77.500000	96.715	94.5559
78.800003	96.575	93.8021
80.000000	96.472	92.9722
81.199997	96.349	92.1934
82.500000	96.222	91.4398
83.800003	96.090	90.6112
85.000000	95.977	89.8662
86.199997	95.853	89.2112
87.500000	95.744	88.5001
88.500000	95.652	87.8797
90.000000	95.509	87.1053
91.199997	95.403	86.3880
92.500000	95.292	85.7207
93.800003	95.173	85.0599
95.000000	95.066	84.4009
96.199997	94.957	83.7673
97.500000	94.871	83.3639
98.800003	94.754	82.5150
100.000000	94.616	82.0753
101.500000	94.521	81.2671
103.000000	94.415	80.7461
104.400002	94.279	80.0407
106.000000	94.172	79.3209
107.500000	94.050	78.8147
109.000000	93.930	78.1726
110.599998	93.816	77.5598
112.000000	93.706	76.9783
113.800003	93.584	76.3386
115.000000	93.497	75.8892
117.199997	93.333	75.0615
118.000000	93.274	74.7434
120.599998	93.113	73.9783
122.000000	92.995	73.4967
124.099998	92.870	72.8255
125.000000	92.807	72.6300
126.500000	92.715	72.0204
128.000000	92.613	71.6600
131.500000	92.429	70.5728
132.000000	92.396	70.4056
134.000000	92.230	69.7119
136.000000	92.175	69.4561
138.000000	92.049	68.8073
140.000000	91.940	68.4810
143.000000	91.760	67.6586
145.000000	91.679	67.1500
147.500000	91.545	66.6319
150.000000	91.441	65.6734
152.500000	91.343	64.9460
155.000000	91.202	64.5698
157.500000	91.062	64.0311
160.000000	90.967	63.5882
162.500000	90.872	63.0226
165.000000	90.766	62.6780
167.500000	90.692	62.1254
170.000000	90.565	61.7143
172.500000	90.452	61.2258
175.000000	90.377	60.6542
177.500000	90.275	60.1577
180.000000	90.155	59.7346
182.500000	90.098	59.3937
185.000000	89.998	59.0615
187.500000	89.929	58.5487
190.000000	89.827	58.1628
192.500000	89.762	57.8008
195.000000	89.690	57.3789
197.500000	89.566	56.9213
200.000000	89.569	56.5203
203.000000	89.410	56.2582
206.000000	89.373	55.7874
209.000000	89.265	55.0472
212.000000	89.196	55.0067
214.000000	89.154	54.6973
218.000000	89.063	54.2407
220.000000	88.973	53.9918
224.000000	88.895	53.5946
227.000000	88.813	53.1066
230.000000	88.751	52.8856
233.000000	88.674	52.6335
236.000000	88.605	52.2674
240.000000	88.533	51.8781
243.000000	88.475	51.5690
247.000000	88.379	51.1490
250.000000	88.333	50.9107
254.000000	88.265	50.6235
258.000000	88.175	50.3004
262.000000	88.128	50.0211
265.000000	88.070	49.7271
269.000000	88.002	49.3954
272.000000	87.949	49.2121
276.000000	87.896	48.9426
280.000000	87.838	48.6935
285.000000	87.756	48.4860
290.000000	87.690	48.0881
295.000000	87.635	47.7979
300.000000	87.564	47.4883
304.000000	87.505	47.4128
307.000000	87.472	47.2916
311.000000	87.435	47.1146
315.000000	87.396	46.8014
320.000000	87.330	46.7191
325.000000	87.300	46.4010
330.000000	87.251	46.2829
335.000000	87.201	46.0851
340.000000	87.148	45.9182
345.000000	87.100	45.8121
350.000000	87.072	45.6235
355.000000	87.033	45.5759
360.000000	86.997	45.4233
365.000000	86.957	45.3554
370.000000	86.935	45.1914
375.000000	86.903	45.1673
382.000000	86.862	45.1130
387.000000	86.843	45.0096
395.000000	86.797	44.8884
400.000000	86.772	45.0310
406.000000	86.745	44.8720
412.000000	86.725	44.7343
418.000000	86.710	44.6793
425.000000	86.682	44.6888
431.000000	86.666	44.6764
437.000000	86.643	44.6358
444.000000	86.635	44.6816
450.000000	86.602	44.5668
455.000000	86.596	44.5535
462.000000	86.598	44.6225
468.000000	86.574	44.6969
475.000000	86.564	44.6832
482.000000	86.551	44.7758
487.000000	86.550	44.8990
494.000000	86.540	44.9253
500.000000	86.537	44.9198
508.000000	86.540	45.0946
515.000000	86.540	45.1427
522.000000	86.540	45.2203
530.000000	86.553	45.3233
538.000000	86.552	45.4587
545.000000	86.551	45.5333
552.000000	86.561	45.6582
560.000000	86.568	45.7748
570.000000	86.579	45.9757
580.000000	86.604	46.1648
590.000000	86.620	46.3713
600.000000	86.659	46.4692
608.000000	86.666	46.6340
615.000000	86.680	46.8924
622.000000	86.701	46.9994
630.000000	86.731	47.1821
640.000000	86.754	47.3977
650.000000	86.792	47.4349
660.000000	86.820	47.7833
670.000000	86.867	47.8956
680.000000	86.905	48.2021
690.000000	86.940	48.3780
700.000000	86.981	48.5854
710.000000	87.030	48.7730
720.000000	87.071	48.9413
730.000000	87.115	49.0920
740.000000	87.149	49.3580
750.000000	87.205	49.4596
762.000000	87.258	49.7669
775.000000	87.309	50.0335
788.000000	87.377	50.2568
800.000000	87.435	50.4987
812.000000	87.490	50.6905
825.000000	87.561	50.9678
838.000000	87.627	51.2118
850.000000	87.676	51.5342
862.000000	87.749	51.7212
875.000000	87.824	52.0528
885.000000	87.879	52.2354
900.000000	87.962	52.5686
912.000000	88.047	52.8050
925.000000	88.123	53.0853
938.000000	88.218	53.4223
950.000000	88.290	53.5581
962.000000	88.390	53.9127
975.000000	88.469	54.0744
988.000000	88.582	54.3932
1000.000000	88.695	54.5028
1015.000000	88.801	54.8787
1030.000000	88.934	55.0743
1044.000000	89.061	55.2426
1060.000000	89.213	55.3351
1075.000000	89.349	55.3980
1090.000000	89.492	55.3565
1106.000000	89.642	55.2484
1120.000000	89.771	55.1522
1138.000000	89.922	54.9386
1150.000000	90.023	54.7586
1172.000000	90.203	54.4170
1180.000000	90.265	54.2761
1206.000000	90.459	53.7477
1220.000000	90.558	53.4727
1241.000000	90.697	53.0073
1250.000000	90.762	52.8005
1265.000000	90.844	52.4742
1280.000000	90.935	52.1192
1315.000000	91.128	51.2728
1320.000000	91.149	51.1262
1340.000000	91.252	50.6946
1360.000000	91.344	50.1935
1380.000000	91.430	49.6937
1400.000000	91.509	49.2701
1430.000000	91.629	48.5605
1450.000000	91.705	48.0759
1475.000000	91.788	47.5241
1500.000000	91.867	46.9607
1525.000000	91.944	46.4476
1550.000000	92.022	45.9053
1575.000000	92.086	45.3731
1600.000000	92.152	44.8538
1625.000000	92.210	44.3614
1650.000000	92.263	43.8519
1675.000000	92.317	43.3639
1700.000000	92.366	42.8931
1725.000000	92.414	42.3965
1750.000000	92.456	41.9199
1775.000000	92.490	41.4895
1800.000000	92.522	41.0462
1825.000000	92.557	40.5949
1850.000000	92.583	40.1848
1875.000000	92.607	39.8508
1900.000000	92.618	39.3987
1925.000000	92.645	39.1038
1950.000000	92.661	38.7393
1975.000000	92.661	38.5195
2000.000000	92.684	38.0894
2030.000000	92.696	38.0212
2060.000000	92.719	37.7943
2090.000000	92.738	37.6281
2120.000000	92.773	37.4363
2140.000000	92.792	37.3250
2180.000000	92.830	37.0365
2200.000000	92.844	36.9094
2240.000000	92.874	36.7207
2270.000000	92.902	36.6285
2300.000000	92.928	36.5105
2330.000000	92.971	36.5034
2360.000000	93.014	36.4585
2400.000000	93.085	36.4470
2430.000000	93.138	36.3827
2470.000000	93.223	36.2834
2500.000000	93.294	36.1973
2540.000000	93.398	35.9509
2580.000000	93.496	35.6710
2620.000000	93.602	35.3218
2650.000000	93.680	35.0206
2690.000000	93.783	34.5924
2720.000000	93.859	34.2313
2760.000000	93.959	33.7147
2800.000000	94.053	33.1441
2850.000000	94.176	32.3564
2900.000000	94.303	31.5337
2950.000000	94.444	30.6693
3000.000000	94.572	29.7816
3040.000000	94.719	28.6644
3070.000000	94.815	27.7903
3110.000000	94.920	26.5028
3150.000000	95.004	25.1142
3200.000000	95.102	23.2590
3250.000000	95.161	21.3210
3300.000000	95.203	19.1906
3350.000000	95.207	16.9661
3400.000000	95.178	14.6836
3450.000000	95.090	12.2133
3500.000000	94.940	9.8196
3550.000000	94.708	7.5528
3600.000000	94.394	5.6270
3650.000000	94.032	4.3750
3700.000000	93.655	3.7401
3750.000000	93.328	3.8426
3820.000000	92.963	4.7060
3870.000000	92.804	5.4933
3950.000000	92.669	6.6820
4000.000000	92.778	6.8600
4060.000000	92.609	7.3783
4120.000000	92.591	7.4456
4180.000000	92.578	7.3913
4250.000000	92.551	7.1614
4310.000000	92.520	6.9554
4370.000000	92.492	6.7204
4440.000000	92.451	6.4352
4500.000000	92.408	6.0919
4550.000000	92.370	5.8316
4620.000000	92.328	5.4283
4680.000000	92.279	5.0067
4750.000000	92.215	4.5231
4820.000000	92.141	3.8841
4870.000000	92.077	3.4234
