* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 8:51:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.092	170.8728
20.600000	99.058	169.8327
20.900000	99.019	168.8941
21.200001	98.985	167.9603
21.400000	98.967	167.3326
21.799999	98.944	166.0574
22.000000	98.937	165.4137
22.400000	98.924	164.1406
22.700001	98.909	163.2329
23.000000	98.887	162.3898
23.299999	98.858	161.6165
23.600000	98.824	160.8957
24.000000	98.773	159.9492
24.299999	98.733	159.1948
24.700001	98.675	158.0836
25.000000	98.626	157.1862
25.400000	98.557	155.9785
25.799999	98.492	154.8655
26.200001	98.445	153.9073
26.500000	98.424	153.2721
26.900000	98.411	152.4585
27.200001	98.402	151.8224
27.600000	98.376	150.9071
28.000000	98.323	149.9383
28.500000	98.224	148.7376
29.000000	98.122	147.6057
29.500000	98.043	146.5095
30.000000	97.991	145.3981
30.400000	97.957	144.5116
30.700001	97.927	143.8738
31.100000	97.878	143.0863
31.500000	97.818	142.3749
32.000000	97.733	141.5524
32.500000	97.649	140.7354
33.000000	97.576	139.8651
33.500000	97.518	138.9194
34.000000	97.468	137.9171
34.500000	97.414	136.9169
35.000000	97.345	135.9976
35.500000	97.265	135.1973
36.000000	97.185	134.4700
36.500000	97.111	133.7225
37.000000	97.041	132.9020
37.500000	96.969	132.0399
38.200001	96.869	130.8959
38.700001	96.806	130.1511
39.500000	96.717	128.9717
40.000000	96.656	128.2096
40.599998	96.567	127.3262
41.200001	96.472	126.5248
41.799999	96.386	125.7597
42.500000	96.300	124.7968
43.099998	96.225	123.9206
43.700001	96.143	123.1148
44.400002	96.046	122.3414
45.000000	95.970	121.7276
45.500000	95.909	121.1627
46.200001	95.817	120.2714
46.799999	95.732	119.4915
47.500000	95.632	118.6798
48.200001	95.539	118.0143
48.700001	95.478	117.5717
49.400002	95.393	116.8615
50.000000	95.313	116.1541
50.799999	95.208	115.2105
51.500000	95.140	114.3936
52.200001	95.074	113.4984
53.000000	94.962	112.5227
53.799999	94.837	111.7841
54.500000	94.751	111.1987
55.200001	94.677	110.5477
56.000000	94.586	109.8166
57.000000	94.475	108.9804
58.000000	94.367	107.9673
59.000000	94.228	107.0143
60.000000	94.108	106.4048
60.799999	94.027	105.8475
61.500000	93.945	105.2770
62.200001	93.866	104.6785
63.000000	93.786	103.8842
64.000000	93.678	102.8971
