* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 8, 2026, 2:07:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.148	-171.8674
20.299999	110.142	-172.2381
20.600000	110.139	-172.5779
20.900000	110.140	-172.9087
21.200001	110.144	-173.2503
21.400000	110.147	-173.4883
21.799999	110.149	-173.9769
22.000000	110.149	-174.2189
22.400000	110.147	-174.6848
22.700001	110.147	-175.0192
23.000000	110.149	-175.3548
23.299999	110.153	-175.7076
23.600000	110.156	-176.0858
24.000000	110.153	-176.6152
24.299999	110.144	-177.0012
24.700001	110.127	-177.4570
25.000000	110.115	-177.7448
25.400000	110.108	-178.0811
25.799999	110.113	-178.4260
26.200001	110.123	-178.8320
26.500000	110.127	-179.1781
26.900000	110.124	-179.6559
27.200001	110.115	-179.9928
27.600000	110.099	179.6193
28.000000	110.085	179.2968
28.500000	110.078	178.9263
29.000000	110.077	178.5251
29.500000	110.073	178.0941
30.000000	110.064	177.6773
30.400000	110.058	177.3624
30.700001	110.054	177.1257
31.100000	110.049	176.7924
31.500000	110.042	176.4368
32.000000	110.025	175.9951
32.500000	110.002	175.6021
33.000000	109.983	175.2563
33.500000	109.971	174.9087
34.000000	109.959	174.5275
34.500000	109.942	174.1374
35.000000	109.923	173.7810
35.500000	109.907	173.4583
36.000000	109.898	173.1271
36.500000	109.889	172.7611
37.000000	109.875	172.3816
37.500000	109.858	172.0239
38.200001	109.836	171.5606
38.700001	109.821	171.2297
39.500000	109.794	170.7093
40.000000	109.777	170.4075
40.599998	109.761	170.0386
41.200001	109.742	169.6400
41.799999	109.714	169.2645
42.500000	109.684	168.9109
43.099998	109.670	168.5992
43.700001	109.654	168.2094
44.400002	109.619	167.7618
45.000000	109.588	167.4727
45.500000	109.571	167.2486
46.200001	109.551	166.8669
46.799999	109.528	166.5149
47.500000	109.500	166.1408
48.200001	109.475	165.7409
48.700001	109.451	165.4396
49.400002	109.412	165.0949
50.000000	109.389	164.8528
50.799999	109.369	164.4330
51.500000	109.336	164.0120
52.200001	109.294	163.6983
53.000000	109.262	163.4385
53.799999	109.245	163.1184
54.500000	109.226	162.7469
55.200001	109.191	162.3726
56.000000	109.146	162.0750
57.000000	109.114	161.7437
58.000000	109.081	161.2587
59.000000	109.035	160.7988
60.000000	108.986	160.3380
60.799999	108.941	160.0257
61.500000	108.909	159.7762
62.200001	108.878	159.5010
63.000000	108.841	159.2015
64.000000	108.800	158.8318
65.000000	108.753	158.4319
66.000000	108.709	158.1056
67.000000	108.667	157.7185
68.000000	108.618	157.4083
69.000000	108.585	157.0314
70.000000	108.521	156.6313
71.000000	108.475	156.4174
72.000000	108.426	156.0217
73.000000	108.369	155.8478
74.000000	108.347	155.4677
75.000000	108.273	155.0862
76.199997	108.233	154.8095
77.500000	108.145	154.3083
78.800003	108.102	154.0462
80.000000	108.031	153.6357
81.199997	107.987	153.3723
82.500000	107.917	152.9549
83.800003	107.857	152.6280
85.000000	107.792	152.3303
86.199997	107.736	152.0325
87.500000	107.670	151.7157
88.500000	107.621	151.4680
90.000000	107.549	151.1337
91.199997	107.489	150.8081
92.500000	107.422	150.5443
93.800003	107.356	150.2634
95.000000	107.302	150.0529
96.199997	107.242	149.7567
97.500000	107.174	149.5538
98.800003	107.109	149.2874
100.000000	107.045	149.0952
101.500000	106.970	148.8279
103.000000	106.894	148.5645
104.400002	106.829	148.3282
106.000000	106.747	148.0352
107.500000	106.672	147.8282
109.000000	106.605	147.5938
110.599998	106.516	147.3631
112.000000	106.450	147.0758
113.800003	106.361	146.9822
115.000000	106.306	146.7296
117.199997	106.193	146.5571
118.000000	106.149	146.4979
120.599998	106.046	146.2614
122.000000	105.945	145.9692
124.099998	105.837	145.7636
125.000000	105.795	145.6980
126.500000	105.727	145.5068
128.000000	105.651	145.4645
131.500000	105.482	145.1871
132.000000	105.457	145.1650
134.000000	105.366	145.0610
136.000000	105.269	144.8981
138.000000	105.172	144.7973
140.000000	105.074	144.7620
143.000000	104.932	144.5707
145.000000	104.835	144.5889
147.500000	104.721	144.4176
150.000000	104.601	144.4253
152.500000	104.488	144.4321
155.000000	104.374	144.3408
157.500000	104.241	144.3178
160.000000	104.133	144.3363
162.500000	104.029	144.3210
165.000000	103.916	144.4384
167.500000	103.806	144.4716
170.000000	103.694	144.5394
172.500000	103.575	144.6079
175.000000	103.461	144.7527
177.500000	103.349	144.8731
180.000000	103.237	145.0669
182.500000	103.122	145.2862
185.000000	103.011	145.5815
187.500000	102.901	145.9044
190.000000	102.805	146.4370
192.500000	102.721	146.8982
195.000000	102.682	147.4257
197.500000	102.660	147.6984
200.000000	102.621	147.8192
203.000000	102.559	147.7933
206.000000	102.475	147.7543
209.000000	102.381	147.8324
212.000000	102.277	148.0168
214.000000	102.207	148.0702
218.000000	102.076	148.3539
220.000000	102.006	148.5500
224.000000	101.870	148.7518
227.000000	101.793	149.1117
230.000000	101.709	149.4460
233.000000	101.612	149.7967
236.000000	101.521	150.1440
240.000000	101.442	150.6362
243.000000	101.332	150.9970
247.000000	101.232	151.5140
250.000000	101.147	151.8147
254.000000	101.046	152.2628
258.000000	100.968	152.8242
262.000000	100.872	153.3568
265.000000	100.803	153.7596
269.000000	100.722	154.3455
272.000000	100.661	154.6740
276.000000	100.582	155.2108
280.000000	100.508	155.7613
285.000000	100.412	156.4693
290.000000	100.330	157.1041
295.000000	100.254	157.8272
300.000000	100.155	158.5681
304.000000	100.113	159.0850
307.000000	100.068	159.5017
311.000000	100.014	160.0438
315.000000	99.961	160.6298
320.000000	99.897	161.3406
325.000000	99.841	162.0649
330.000000	99.786	162.8055
335.000000	99.742	163.5573
340.000000	99.700	164.3252
345.000000	99.667	165.0861
350.000000	99.654	165.8135
355.000000	99.639	166.4749
360.000000	99.624	167.1367
365.000000	99.613	167.6090
370.000000	99.599	168.1556
375.000000	99.579	168.6519
382.000000	99.550	169.4386
387.000000	99.540	169.9935
395.000000	99.530	170.8608
400.000000	99.532	171.3392
406.000000	99.522	171.8198
412.000000	99.510	172.3001
418.000000	99.500	172.7287
425.000000	99.468	173.2433
431.000000	99.449	173.8148
437.000000	99.430	174.2561
444.000000	99.410	174.9298
450.000000	99.396	175.4325
455.000000	99.378	175.9835
462.000000	99.364	176.4969
468.000000	99.347	177.0447
475.000000	99.340	177.6488
482.000000	99.331	178.3030
487.000000	99.328	178.6633
494.000000	99.317	179.2751
500.000000	99.316	179.7632
508.000000	99.319	-179.6057
515.000000	99.317	-179.0410
522.000000	99.315	-178.5020
530.000000	99.315	-177.8924
538.000000	99.318	-177.2940
545.000000	99.322	-176.7748
552.000000	99.326	-176.2673
560.000000	99.328	-175.6988
570.000000	99.335	-174.9913
580.000000	99.342	-174.2795
590.000000	99.352	-173.6061
600.000000	99.384	-172.8848
608.000000	99.365	-172.4137
615.000000	99.375	-171.9645
622.000000	99.381	-171.4849
630.000000	99.388	-170.9698
640.000000	99.401	-170.3558
650.000000	99.412	-169.6882
660.000000	99.442	-169.0352
670.000000	99.444	-168.4504
680.000000	99.456	-167.8083
690.000000	99.473	-167.1904
700.000000	99.487	-166.5535
710.000000	99.509	-165.9546
720.000000	99.499	-165.4203
730.000000	99.541	-164.7259
740.000000	99.564	-164.1053
750.000000	99.584	-163.4932
762.000000	99.608	-162.7484
775.000000	99.645	-161.9743
788.000000	99.670	-161.1383
800.000000	99.706	-160.3875
812.000000	99.745	-159.6439
825.000000	99.787	-158.8446
838.000000	99.835	-158.0587
850.000000	99.880	-157.2978
862.000000	99.927	-156.5534
875.000000	99.981	-155.7682
885.000000	100.031	-155.1437
900.000000	100.117	-154.3620
912.000000	100.168	-153.5344
925.000000	100.240	-152.7890
938.000000	100.319	-152.0314
950.000000	100.394	-151.3806
962.000000	100.471	-150.6998
975.000000	100.564	-150.0159
988.000000	100.661	-149.3653
1000.000000	100.751	-148.7586
1015.000000	100.869	-148.0703
1030.000000	100.990	-147.4182
1044.000000	101.109	-146.8887
1060.000000	101.246	-146.2968
1075.000000	101.375	-145.8217
1090.000000	101.505	-145.3830
1106.000000	101.645	-144.9725
1120.000000	101.769	-144.6689
1138.000000	101.923	-144.3507
1150.000000	102.025	-144.1771
1172.000000	102.205	-143.9251
1180.000000	102.267	-143.8579
1206.000000	102.469	-143.6979
1220.000000	102.571	-143.6552
1241.000000	102.714	-143.6406
1250.000000	102.774	-143.6456
1265.000000	102.870	-143.6690
1280.000000	102.959	-143.7142
1315.000000	103.154	-143.8422
1320.000000	103.191	-143.8324
1340.000000	103.277	-143.9477
1360.000000	103.368	-144.0548
1380.000000	103.441	-144.1913
1400.000000	103.530	-144.2244
1430.000000	103.643	-144.3307
1450.000000	103.711	-144.4018
1475.000000	103.792	-144.4689
1500.000000	103.860	-144.4809
1525.000000	103.941	-144.5471
1550.000000	104.011	-144.5639
1575.000000	104.079	-144.5595
1600.000000	104.146	-144.5495
1625.000000	104.211	-144.5246
1650.000000	104.273	-144.4953
1675.000000	104.335	-144.4521
1700.000000	104.400	-144.4045
1725.000000	104.461	-144.3398
1750.000000	104.524	-144.2950
1775.000000	104.584	-144.2293
1800.000000	104.651	-144.1395
1825.000000	104.706	-144.1010
1850.000000	104.770	-144.0273
1875.000000	104.832	-143.9634
1900.000000	104.895	-143.9023
1925.000000	104.959	-143.8551
1950.000000	105.026	-143.8267
1975.000000	105.088	-143.8066
2000.000000	105.150	-143.7970
2030.000000	105.222	-143.7730
2060.000000	105.295	-143.7693
2090.000000	105.364	-143.7735
2120.000000	105.433	-143.7649
2140.000000	105.480	-143.7715
2180.000000	105.572	-143.8088
2200.000000	105.618	-143.8304
2240.000000	105.703	-143.8868
2270.000000	105.768	-143.9483
2300.000000	105.830	-144.0009
2330.000000	105.892	-144.0656
2360.000000	105.952	-144.1415
2400.000000	106.029	-144.2437
2430.000000	106.085	-144.3314
2470.000000	106.158	-144.4633
2500.000000	106.210	-144.5686
2540.000000	106.280	-144.7063
2580.000000	106.344	-144.8533
2620.000000	106.405	-145.0049
2650.000000	106.451	-145.1126
2690.000000	106.510	-145.2737
2720.000000	106.551	-145.3939
2760.000000	106.607	-145.5345
2800.000000	106.661	-145.7016
2850.000000	106.725	-145.9215
2900.000000	106.786	-146.1323
2950.000000	106.843	-146.3523
3000.000000	106.898	-146.6026
3040.000000	106.939	-146.7460
3070.000000	106.970	-146.8578
3110.000000	107.011	-147.0241
3150.000000	107.048	-147.2074
3200.000000	107.088	-147.4183
3250.000000	107.128	-147.5205
3300.000000	107.182	-147.5262
3350.000000	107.258	-147.6176
3400.000000	107.347	-147.8332
3450.000000	107.432	-148.1602
3500.000000	107.517	-148.5884
3550.000000	107.590	-149.0528
3600.000000	107.663	-149.6185
3650.000000	107.728	-150.1862
3700.000000	107.789	-150.8587
3750.000000	107.841	-151.6032
3820.000000	107.896	-152.7571
3870.000000	107.921	-153.6566
3950.000000	107.930	-155.1723
4000.000000	107.918	-156.1684
4060.000000	107.879	-157.3898
4120.000000	107.813	-158.6216
4180.000000	107.725	-159.8249
4250.000000	107.588	-161.1825
4310.000000	107.447	-162.2739
4370.000000	107.279	-163.2780
4440.000000	107.058	-164.2961
4500.000000	106.852	-165.0388
4550.000000	106.665	-165.5041
4620.000000	106.388	-165.9994
4680.000000	106.147	-166.1927
4750.000000	105.854	-166.2314
4820.000000	105.562	-166.0012
4870.000000	105.356	-165.7043
4940.000000	105.077	-165.0482
5000.000000	104.845	-164.2942
5080.000000	104.562	-163.0142
5150.000000	104.343	-161.6320
5220.000000	104.157	-160.0371
5300.000000	103.997	-158.0040
5380.000000	103.896	-155.8267
5450.000000	103.871	-153.8293
5520.000000	103.899	-151.8451
5600.000000	104.024	-149.7714
5700.000000	104.287	-147.5528
5800.000000	104.645	-146.2103
5900.000000	105.053	-145.9798
6000.000000	105.426	-146.9524
6080.000000	105.649	-148.4390
6150.000000	105.756	-150.1077
6220.000000	105.778	-151.8598
6300.000000	105.703	-153.7639
6400.000000	105.488	-155.5970
6500.000000	105.211	-156.6813
6600.000000	104.921	-157.0475
6700.000000	104.665	-156.7307
6800.000000	104.461	-155.9447
6900.000000	104.333	-154.8761
7000.000000	104.279	-153.5678
7100.000000	104.307	-152.2580
7200.000000	104.429	-151.0210
7300.000000	104.635	-150.1015
7400.000000	104.909	-149.6255
7500.000000	105.249	-149.5406
7620.000000	105.731	-150.5418
7750.000000	106.332	-153.0387
7880.000000	106.809	-157.9588
8000.000000	107.005	-163.9570
8120.000000	106.850	-170.4914
8250.000000	106.284	-176.7565
8380.000000	105.472	179.2230
8500.000000	104.718	177.8057
8620.000000	104.155	177.8874
8750.000000	103.866	178.0953
8850.000000	103.764	177.0468
9000.000000	103.426	173.5956
9120.000000	102.870	170.9818
9250.000000	102.130	169.3959
9380.000000	101.404	169.2577
9500.000000	100.780	169.9467
9620.000000	100.266	171.2129
9750.000000	99.792	172.9128
9880.000000	99.430	174.8834
10000.000000	99.183	176.7191
10150.000000	98.995	178.9706
10300.000000	98.924	-178.9684
10440.000000	98.965	-177.4312
10600.000000	99.122	-176.2204
10750.000000	99.363	-175.7487
10900.000000	99.687	-176.0779
11060.000000	100.092	-177.5103
11200.000000	100.446	-179.7567
11380.000000	100.833	176.0751
11500.000000	101.027	172.8503
11720.000000	101.268	166.7215
11800.000000	101.367	164.4999
12060.000000	101.787	156.3796
12200.000000	102.053	150.6955
12410.000000	102.258	140.3158
12500.000000	102.242	135.6010
12650.000000	102.078	127.8708
12800.000000	101.814	120.5524
13150.000000	101.156	105.6982
13200.000000	101.081	103.7504
13400.000000	100.865	95.8564
13600.000000	100.810	87.4550
13800.000000	100.873	77.7745
14000.000000	100.951	66.2072
14300.000000	100.818	44.9736
14500.000000	100.291	28.8479
14750.000000	99.042	8.9631
15000.000000	97.368	-8.6589
15250.000000	95.628	-23.4297
15500.000000	93.996	-36.7441
15750.000000	92.582	-49.1821
16000.000000	91.443	-61.9739
16250.000000	90.560	-75.6685
16500.000000	89.954	-91.0215
16750.000000	89.670	-108.0773
17000.000000	89.784	-128.2676
17250.000000	90.375	-152.9451
17500.000000	91.258	175.3140
17750.000000	91.734	135.3375
18000.000000	91.248	91.9722
18250.000000	90.305	52.9029
18500.000000	91.013	10.9779
18750.000000	90.835	-42.2759
19000.000000	90.555	-96.8151
19250.000000	90.773	-157.6221
19500.000000	90.524	124.6914
19750.000000	89.031	40.0454
