* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 8, 2026, 2:01:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.144	-172.5482
20.299999	110.147	-172.9378
20.600000	110.152	-173.3344
20.900000	110.157	-173.7509
21.200001	110.160	-174.1864
21.400000	110.158	-174.4793
21.799999	110.149	-175.0385
22.000000	110.142	-175.2933
22.400000	110.130	-175.7508
22.700001	110.127	-176.0686
23.000000	110.129	-176.3957
23.299999	110.134	-176.7561
23.600000	110.137	-177.1572
24.000000	110.131	-177.7253
24.299999	110.117	-178.1330
24.700001	110.092	-178.5968
25.000000	110.075	-178.8766
25.400000	110.063	-179.1945
25.799999	110.065	-179.5249
26.200001	110.072	-179.9245
26.500000	110.075	179.7311
26.900000	110.071	179.2530
27.200001	110.062	178.9111
27.600000	110.047	178.5022
28.000000	110.035	178.1373
28.500000	110.026	177.6935
29.000000	110.018	177.2247
29.500000	110.007	176.7464
30.000000	109.991	176.2933
30.400000	109.978	175.9530
30.700001	109.970	175.7035
31.100000	109.960	175.3690
31.500000	109.949	175.0295
32.000000	109.933	174.6062
32.500000	109.916	174.1959
33.000000	109.899	173.7994
33.500000	109.882	173.4080
34.000000	109.865	173.0158
34.500000	109.847	172.6281
35.000000	109.827	172.2545
35.500000	109.809	171.8961
36.000000	109.793	171.5402
36.500000	109.777	171.1747
37.000000	109.759	170.8046
37.500000	109.739	170.4459
38.200001	109.711	169.9682
38.700001	109.692	169.6268
39.500000	109.658	169.0783
40.000000	109.635	168.7605
40.599998	109.610	168.4022
41.200001	109.588	168.0316
41.799999	109.564	167.6439
42.500000	109.532	167.2152
43.099998	109.507	166.8697
43.700001	109.483	166.5117
44.400002	109.451	166.0949
45.000000	109.423	165.7733
45.500000	109.403	165.5121
46.200001	109.377	165.1091
46.799999	109.349	164.7510
47.500000	109.312	164.3820
48.200001	109.281	164.0325
48.700001	109.259	163.7609
49.400002	109.223	163.3858
50.000000	109.191	163.1056
50.799999	109.157	162.7283
51.500000	109.126	162.3501
52.200001	109.086	161.9957
53.000000	109.043	161.6576
53.799999	109.009	161.3112
54.500000	108.979	160.9741
55.200001	108.944	160.6318
56.000000	108.902	160.2637
57.000000	108.849	159.8331
58.000000	108.799	159.4026
59.000000	108.746	158.9695
60.000000	108.691	158.5659
60.799999	108.652	158.2679
61.500000	108.620	157.9776
62.200001	108.583	157.6817
63.000000	108.539	157.3952
64.000000	108.492	157.0281
