* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 15, 2025 10:19:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.368	-154.5658
20.600000	103.384	-155.3113
20.900000	103.395	-155.9832
21.200001	103.405	-156.6591
21.400000	103.412	-157.1174
21.799999	103.425	-158.0490
22.000000	103.431	-158.5165
22.400000	103.440	-159.4377
22.700001	103.444	-160.1021
23.000000	103.447	-160.7391
23.299999	103.449	-161.3516
23.600000	103.452	-161.9472
24.000000	103.455	-162.7308
24.299999	103.458	-163.3184
24.700001	103.461	-164.1054
25.000000	103.462	-164.6950
25.400000	103.460	-165.4712
25.799999	103.455	-166.2206
26.200001	103.447	-166.9270
26.500000	103.441	-167.4238
26.900000	103.435	-168.0511
27.200001	103.434	-168.5105
27.600000	103.437	-169.1397
28.000000	103.441	-169.8105
28.500000	103.439	-170.6968
29.000000	103.423	-171.5563
29.500000	103.398	-172.3088
30.000000	103.376	-172.9543
30.400000	103.363	-173.4441
30.700001	103.356	-173.8242
31.100000	103.345	-174.3602
31.500000	103.330	-174.9158
32.000000	103.305	-175.5978
32.500000	103.282	-176.2425
33.000000	103.263	-176.8652
33.500000	103.246	-177.4866
34.000000	103.226	-178.1036
34.500000	103.203	-178.7001
35.000000	103.177	-179.2723
35.500000	103.152	-179.8312
36.000000	103.127	179.6144
36.500000	103.102	179.0664
37.000000	103.076	178.5316
37.500000	103.050	178.0121
38.200001	103.014	177.3020
38.700001	102.988	176.7984
39.500000	102.944	175.9988
40.000000	102.915	175.5195
40.599998	102.879	174.9816
41.200001	102.844	174.4720
41.799999	102.811	173.9619
42.500000	102.770	173.3541
43.099998	102.732	172.8450
43.700001	102.693	172.3651
44.400002	102.650	171.8299
45.000000	102.615	171.3701
45.500000	102.583	170.9823
46.200001	102.537	170.4468
46.799999	102.497	170.0045
47.500000	102.453	169.5022
48.200001	102.409	169.0143
48.700001	102.377	168.6823
49.400002	102.333	168.2378
50.000000	102.296	167.8602
50.799999	102.244	167.3513
51.500000	102.197	166.9114
52.200001	102.150	166.4905
53.000000	102.099	166.0386
53.799999	102.049	165.5916
54.500000	102.001	165.1987
55.200001	101.952	164.8295
56.000000	101.901	164.4192
57.000000	101.837	163.9031
58.000000	101.772	163.4345
59.000000	101.703	162.8868
60.000000	101.621	162.4085
60.799999	101.574	162.1302
61.500000	101.540	161.8506
62.200001	101.497	161.5562
63.000000	101.442	161.2478
64.000000	101.377	160.8383
65.000000	101.314	160.4407
66.000000	101.252	160.0688
67.000000	101.184	159.7054
68.000000	101.118	159.3805
69.000000	101.057	159.0496
70.000000	100.995	158.7318
71.000000	100.932	158.4259
72.000000	100.867	158.1168
73.000000	100.804	157.8347
74.000000	100.745	157.5606
75.000000	100.683	157.2852
76.199997	100.607	156.9690
77.500000	100.530	156.6689
78.800003	100.457	156.3388
80.000000	100.380	156.0760
81.199997	100.311	155.8178
82.500000	100.234	155.5410
83.800003	100.158	155.2914
85.000000	100.088	155.0603
86.199997	100.018	154.8394
87.500000	99.946	154.6055
88.500000	99.890	154.4542
90.000000	99.807	154.2373
91.199997	99.738	154.0497
92.500000	99.670	153.8598
93.800003	99.600	153.6790
95.000000	99.535	153.5180
96.199997	99.470	153.3846
97.500000	99.400	153.2060
98.800003	99.331	153.0672
100.000000	99.273	152.9446
101.500000	99.195	152.8089
103.000000	99.117	152.6584
104.400002	99.050	152.5466
106.000000	98.970	152.4171
107.500000	98.895	152.2997
109.000000	98.823	152.2016
110.599998	98.746	152.1118
112.000000	98.681	152.0120
113.800003	98.600	151.9402
115.000000	98.539	151.8742
117.199997	98.442	151.7828
118.000000	98.404	151.8203
120.599998	98.251	151.6013
122.000000	98.240	151.5895
124.099998	98.138	151.5717
125.000000	98.100	151.5277
126.500000	98.042	151.5248
128.000000	97.973	151.5047
131.500000	97.833	151.4681
132.000000	97.813	151.4632
134.000000	97.734	151.4683
136.000000	97.655	151.4767
138.000000	97.576	151.4902
140.000000	97.500	151.4916
143.000000	97.390	151.5357
145.000000	97.314	151.5715
147.500000	97.229	151.6382
150.000000	97.138	151.6785
152.500000	97.055	151.7778
155.000000	96.971	151.8329
157.500000	96.888	151.9210
160.000000	96.801	151.9944
162.500000	96.724	152.0760
165.000000	96.649	152.1880
167.500000	96.573	152.3040
170.000000	96.497	152.4139
172.500000	96.418	152.5247
175.000000	96.343	152.6818
177.500000	96.280	152.7747
180.000000	96.162	153.2690
182.500000	96.127	153.0013
185.000000	96.063	153.1853
187.500000	95.998	153.3379
190.000000	95.932	153.5093
192.500000	95.862	153.6415
195.000000	95.796	153.8233
197.500000	95.732	153.9656
200.000000	95.671	154.1223
203.000000	95.599	154.3324
206.000000	95.522	154.5604
209.000000	95.448	154.8038
212.000000	95.377	155.0347
214.000000	95.331	155.1937
218.000000	95.240	155.5312
220.000000	95.190	155.7554
224.000000	95.106	156.1470
227.000000	95.041	156.4612
230.000000	94.988	156.8480
233.000000	94.942	157.2794
236.000000	94.902	157.6277
240.000000	94.898	157.8752
243.000000	94.869	158.2706
247.000000	94.836	158.3906
250.000000	94.800	158.4301
254.000000	94.742	158.5597
258.000000	94.671	158.7239
262.000000	94.606	158.9001
265.000000	94.555	159.0923
269.000000	94.491	159.3278
272.000000	94.442	159.5272
276.000000	94.381	159.7864
280.000000	94.321	160.0772
285.000000	94.246	160.4546
290.000000	94.177	160.7928
295.000000	94.109	161.1612
300.000000	94.035	161.5501
304.000000	93.995	161.8479
307.000000	93.956	162.0479
311.000000	93.905	162.3444
315.000000	93.860	162.6511
320.000000	93.803	163.0163
325.000000	93.747	163.4057
330.000000	93.695	163.7627
335.000000	93.642	164.1605
340.000000	93.586	164.5350
345.000000	93.537	164.9035
350.000000	93.491	165.2635
355.000000	93.439	165.6554
360.000000	93.395	165.9823
365.000000	93.352	166.4139
370.000000	93.308	166.7793
375.000000	93.264	167.1613
382.000000	93.206	167.6911
387.000000	93.167	168.0792
395.000000	93.106	168.6834
400.000000	93.070	169.0611
406.000000	93.027	169.5143
412.000000	92.983	169.9718
418.000000	92.950	170.4500
425.000000	92.907	170.9089
431.000000	92.873	171.3410
437.000000	92.837	171.7733
444.000000	92.796	172.2714
450.000000	92.761	172.6641
455.000000	92.734	173.0251
462.000000	92.692	173.4896
468.000000	92.665	173.9135
475.000000	92.626	174.3863
482.000000	92.584	174.9382
487.000000	92.560	175.2531
494.000000	92.528	175.7383
500.000000	92.495	176.1646
508.000000	92.461	176.7110
515.000000	92.428	177.2141
522.000000	92.394	177.7062
530.000000	92.357	178.3136
538.000000	92.321	178.8970
545.000000	92.296	179.3979
552.000000	92.270	179.9137
560.000000	92.246	-179.4655
570.000000	92.212	-178.7486
580.000000	92.183	-178.0230
590.000000	92.163	-177.2910
600.000000	92.114	-176.7319
608.000000	92.122	-175.9958
