* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 15, 2025 10:23:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.983	-152.0290
20.600000	103.004	-152.8220
20.900000	103.020	-153.5408
21.200001	103.035	-154.2639
21.400000	103.046	-154.7522
21.799999	103.065	-155.7359
22.000000	103.073	-156.2240
22.400000	103.086	-157.1729
22.700001	103.093	-157.8473
23.000000	103.100	-158.4887
23.299999	103.107	-159.1047
23.600000	103.115	-159.7077
24.000000	103.125	-160.5112
24.299999	103.132	-161.1191
24.700001	103.138	-161.9313
25.000000	103.141	-162.5309
25.400000	103.140	-163.3029
25.799999	103.138	-164.0340
26.200001	103.134	-164.7280
26.500000	103.132	-165.2342
26.900000	103.130	-165.9119
27.200001	103.129	-166.4364
27.600000	103.126	-167.1687
28.000000	103.120	-167.9284
28.500000	103.105	-168.8623
29.000000	103.088	-169.7022
29.500000	103.076	-170.4272
30.000000	103.073	-171.0961
30.400000	103.072	-171.6389
30.700001	103.068	-172.0604
31.100000	103.057	-172.6327
31.500000	103.041	-173.1973
32.000000	103.019	-173.8771
32.500000	103.001	-174.5404
33.000000	102.987	-175.2049
33.500000	102.971	-175.8651
34.000000	102.951	-176.5039
34.500000	102.928	-177.1172
35.000000	102.903	-177.7144
35.500000	102.877	-178.3013
36.000000	102.852	-178.8770
36.500000	102.829	-179.4406
37.000000	102.806	-179.9906
37.500000	102.782	179.4781
38.200001	102.747	178.7635
38.700001	102.722	178.2556
39.500000	102.680	177.4263
40.000000	102.653	176.9166
40.599998	102.621	176.3314
41.200001	102.589	175.7672
41.799999	102.554	175.2222
42.500000	102.510	174.6177
43.099998	102.473	174.1097
43.700001	102.436	173.5969
44.400002	102.392	173.0194
45.000000	102.357	172.5506
45.500000	102.330	172.1574
46.200001	102.290	171.5941
46.799999	102.250	171.1323
47.500000	102.204	170.6365
48.200001	102.161	170.1487
48.700001	102.131	169.7960
49.400002	102.086	169.3162
50.000000	102.047	168.9227
50.799999	101.997	168.4084
51.500000	101.953	167.9660
52.200001	101.908	167.5313
53.000000	101.857	167.0388
53.799999	101.803	166.5729
54.500000	101.756	166.2013
55.200001	101.712	165.8296
56.000000	101.660	165.3761
57.000000	101.596	164.8365
58.000000	101.537	164.3379
59.000000	101.471	163.9064
60.000000	101.412	163.4849
60.799999	101.360	163.0341
61.500000	101.306	162.6786
62.200001	101.258	162.4119
63.000000	101.213	162.0927
64.000000	101.145	161.6703
65.000000	101.078	161.2924
66.000000	101.015	160.8836
67.000000	100.953	160.5272
68.000000	100.892	160.1564
69.000000	100.825	159.8201
70.000000	100.765	159.5178
71.000000	100.705	159.1694
72.000000	100.640	158.8594
73.000000	100.580	158.5748
74.000000	100.520	158.2882
75.000000	100.458	158.0082
76.199997	100.383	157.6782
77.500000	100.305	157.3398
78.800003	100.228	157.0274
80.000000	100.158	156.7549
81.199997	100.084	156.4713
82.500000	100.011	156.2073
83.800003	99.938	155.9171
85.000000	99.866	155.6907
86.199997	99.799	155.4718
87.500000	99.724	155.2359
88.500000	99.669	155.0625
90.000000	99.583	154.8165
91.199997	99.518	154.6478
92.500000	99.451	154.4387
93.800003	99.383	154.2483
95.000000	99.316	154.0978
96.199997	99.252	153.9477
97.500000	99.183	153.7703
98.800003	99.118	153.6218
100.000000	99.057	153.4786
101.500000	98.981	153.3500
103.000000	98.904	153.1967
104.400002	98.836	153.0778
106.000000	98.759	152.9421
107.500000	98.686	152.8157
109.000000	98.616	152.7136
110.599998	98.538	152.6157
112.000000	98.474	152.5266
113.800003	98.387	152.4334
115.000000	98.337	152.3195
117.199997	98.238	152.2617
118.000000	98.192	152.2027
120.599998	98.105	151.9059
122.000000	98.031	152.1566
124.099998	97.938	152.0073
125.000000	97.905	151.9930
126.500000	97.839	151.9772
128.000000	97.779	151.9123
131.500000	97.638	151.9001
132.000000	97.618	151.8976
134.000000	97.540	151.8829
136.000000	97.462	151.8785
138.000000	97.386	151.8775
140.000000	97.312	151.9127
143.000000	97.200	151.9319
145.000000	97.130	151.9492
147.500000	97.044	151.9996
150.000000	96.956	152.0447
152.500000	96.873	152.1010
155.000000	96.792	152.1688
157.500000	96.709	152.2452
160.000000	96.628	152.3297
162.500000	96.551	152.4342
165.000000	96.474	152.5077
167.500000	96.400	152.6145
170.000000	96.325	152.6931
172.500000	96.249	152.8284
175.000000	96.183	152.9728
177.500000	96.121	153.0381
180.000000	96.042	153.7972
182.500000	95.963	153.2880
185.000000	95.902	153.4622
187.500000	95.842	153.5792
190.000000	95.776	153.6952
192.500000	95.709	153.8243
195.000000	95.654	153.9826
197.500000	95.580	154.1344
200.000000	95.523	154.2923
203.000000	95.449	154.4782
206.000000	95.376	154.7007
209.000000	95.302	154.8970
212.000000	95.231	155.1390
214.000000	95.180	155.2828
218.000000	95.082	155.6223
220.000000	95.035	155.8392
224.000000	94.945	156.3211
227.000000	94.892	156.7685
230.000000	94.858	157.2578
233.000000	94.853	157.6331
236.000000	94.857	157.8218
240.000000	94.828	157.7465
243.000000	94.786	157.8293
247.000000	94.720	157.8961
250.000000	94.666	158.0125
254.000000	94.597	158.1966
258.000000	94.524	158.3961
262.000000	94.457	158.6668
265.000000	94.410	158.8592
269.000000	94.347	159.1110
272.000000	94.303	159.3086
276.000000	94.241	159.5700
280.000000	94.184	159.8474
285.000000	94.113	160.1795
290.000000	94.045	160.5399
295.000000	93.976	160.8887
300.000000	93.908	161.1601
304.000000	93.861	161.5183
307.000000	93.823	161.7368
311.000000	93.780	162.0133
315.000000	93.729	162.3174
320.000000	93.674	162.6788
325.000000	93.616	163.0451
330.000000	93.560	163.4025
335.000000	93.510	163.7891
340.000000	93.456	164.1645
345.000000	93.407	164.5344
350.000000	93.360	164.9167
355.000000	93.314	165.3207
360.000000	93.263	165.6698
365.000000	93.232	166.0806
370.000000	93.190	166.4454
375.000000	93.152	166.8211
382.000000	93.101	167.3299
387.000000	93.067	167.6949
395.000000	93.015	168.2587
400.000000	92.981	168.6189
406.000000	92.944	169.0307
412.000000	92.905	169.4135
418.000000	92.863	169.7955
425.000000	92.826	170.2980
431.000000	92.788	170.7231
437.000000	92.755	171.1630
444.000000	92.720	171.6401
450.000000	92.692	172.0655
455.000000	92.675	172.3828
462.000000	92.643	172.8221
468.000000	92.617	173.1751
475.000000	92.590	173.5806
482.000000	92.548	174.0570
487.000000	92.525	174.3022
494.000000	92.494	174.7139
500.000000	92.467	175.0716
508.000000	92.428	175.5951
515.000000	92.396	176.0125
522.000000	92.367	176.4619
530.000000	92.332	176.9713
538.000000	92.303	177.4766
545.000000	92.267	177.9258
552.000000	92.243	178.3781
560.000000	92.215	178.8805
570.000000	92.178	179.5222
580.000000	92.144	-179.8390
590.000000	92.108	-179.1873
600.000000	92.109	-178.6609
608.000000	92.056	-178.0282
615.000000	92.037	-177.5591
622.000000	92.018	-177.1115
630.000000	91.994	-176.5756
640.000000	91.970	-175.9190
650.000000	91.945	-175.2576
660.000000	91.921	-174.5627
670.000000	91.900	-173.9016
680.000000	91.884	-173.2288
690.000000	91.863	-172.5495
700.000000	91.847	-171.8573
710.000000	91.836	-171.1423
720.000000	91.825	-170.3208
730.000000	91.811	-169.7525
740.000000	91.797	-169.0018
750.000000	91.792	-168.2897
762.000000	91.788	-167.3746
775.000000	91.787	-166.3768
788.000000	91.790	-165.3796
800.000000	91.797	-164.4158
812.000000	91.810	-163.4500
825.000000	91.841	-162.3809
838.000000	91.882	-161.2949
850.000000	91.921	-160.2932
862.000000	91.977	-159.3480
875.000000	92.048	-158.2969
885.000000	92.115	-157.5561
900.000000	92.251	-156.5528
912.000000	92.317	-155.7647
925.000000	92.419	-155.0662
938.000000	92.524	-154.4312
950.000000	92.616	-153.9507
962.000000	92.695	-153.4531
975.000000	92.782	-153.0032
988.000000	92.864	-152.5746
1000.000000	92.937	-152.1725
1015.000000	93.017	-151.6707
1030.000000	93.102	-151.1761
1044.000000	93.182	-150.7081
1060.000000	93.269	-150.1947
1075.000000	93.358	-149.7224
1090.000000	93.444	-149.2685
1106.000000	93.537	-148.8134
1120.000000	93.621	-148.4335
1138.000000	93.727	-147.9767
1150.000000	93.798	-147.7313
1172.000000	93.927	-147.2675
1180.000000	93.973	-147.1263
1206.000000	94.115	-146.6859
1220.000000	94.189	-146.4785
1241.000000	94.296	-146.2149
1250.000000	94.339	-146.0944
1265.000000	94.405	-145.9241
1280.000000	94.472	-145.7300
1315.000000	94.624	-145.1746
1320.000000	94.645	-145.0863
1340.000000	94.752	-144.8883
1360.000000	94.845	-144.7700
1380.000000	94.932	-144.6667
1400.000000	94.999	-144.5395
1430.000000	95.101	-144.3450
1450.000000	95.168	-144.1898
1475.000000	95.241	-143.9963
1500.000000	95.316	-143.8895
1525.000000	95.385	-143.5768
1550.000000	95.454	-143.3517
1575.000000	95.526	-143.1181
1600.000000	95.593	-142.8682
1625.000000	95.661	-142.5924
1650.000000	95.729	-142.3501
1675.000000	95.797	-142.1105
1700.000000	95.867	-141.8298
1725.000000	95.935	-141.5595
1750.000000	96.004	-141.2913
1775.000000	96.076	-141.0272
1800.000000	96.143	-140.7913
1825.000000	96.218	-140.4924
1850.000000	96.290	-140.2338
1875.000000	96.365	-140.0010
1900.000000	96.440	-139.7435
1925.000000	96.515	-139.5100
1950.000000	96.590	-139.2536
1975.000000	96.670	-139.0171
2000.000000	96.748	-138.8077
2030.000000	96.845	-138.5462
2060.000000	96.941	-138.3013
2090.000000	97.042	-138.0758
2120.000000	97.141	-137.8539
2140.000000	97.209	-137.7257
2180.000000	97.346	-137.4636
2200.000000	97.415	-137.3524
2240.000000	97.555	-137.1730
2270.000000	97.661	-137.0353
2300.000000	97.767	-136.9138
2330.000000	97.872	-136.8374
2360.000000	97.984	-136.7854
2400.000000	98.130	-136.7475
2430.000000	98.237	-136.7162
2470.000000	98.386	-136.7097
2500.000000	98.497	-136.7353
2540.000000	98.648	-136.8492
2580.000000	98.798	-136.9602
2620.000000	98.951	-137.1716
2650.000000	99.062	-137.3395
2690.000000	99.213	-137.6118
2720.000000	99.325	-137.8482
2760.000000	99.477	-138.2131
2800.000000	99.622	-138.6445
2850.000000	99.804	-139.2731
2900.000000	99.983	-139.9803
2950.000000	100.158	-140.8140
3000.000000	100.314	-141.7189
3040.000000	100.448	-142.5543
3070.000000	100.539	-143.2192
3110.000000	100.649	-144.1521
3150.000000	100.755	-145.1476
3200.000000	100.870	-146.4862
3250.000000	100.970	-147.9086
3300.000000	101.046	-149.4036
3350.000000	101.106	-150.9665
3400.000000	101.144	-152.5678
3450.000000	101.157	-154.2000
3500.000000	101.144	-155.8230
3550.000000	101.108	-157.4805
3600.000000	101.052	-159.0930
3650.000000	100.969	-160.6057
3700.000000	100.866	-162.1095
3750.000000	100.743	-163.5230
3820.000000	100.544	-165.3597
3870.000000	100.387	-166.5467
3950.000000	100.106	-168.2327
4000.000000	99.920	-169.1455
4060.000000	99.686	-170.1105
4120.000000	99.446	-170.9210
4180.000000	99.201	-171.6012
4250.000000	98.913	-172.1887
4310.000000	98.661	-172.5674
4370.000000	98.413	-172.7957
4440.000000	98.125	-172.9663
4500.000000	97.892	-172.9728
4550.000000	97.697	-172.8957
4620.000000	97.431	-172.6725
4680.000000	97.211	-172.3986
4750.000000	96.954	-172.0354
4820.000000	96.714	-171.5278
4870.000000	96.544	-171.1053
4940.000000	96.317	-170.4348
5000.000000	96.132	-169.8175
5080.000000	95.905	-168.8839
5150.000000	95.716	-167.9714
5220.000000	95.536	-167.0050
5300.000000	95.355	-165.8455
5380.000000	95.194	-164.5933
5450.000000	95.075	-163.4660
5520.000000	94.973	-162.3346
5600.000000	94.884	-160.9889
5700.000000	94.807	-159.4349
5800.000000	94.766	-157.9380
5900.000000	94.763	-156.5357
6000.000000	94.794	-155.3403
6080.000000	94.848	-154.5396
6150.000000	94.905	-154.0438
6220.000000	94.965	-153.7546
6300.000000	95.025	-153.6790
6400.000000	95.063	-153.8843
6500.000000	95.027	-154.3599
6600.000000	94.898	-154.6129
6700.000000	94.716	-154.2689
6800.000000	94.546	-153.2012
6900.000000	94.459	-151.4357
7000.000000	94.496	-149.3163
7100.000000	94.672	-147.2197
7200.000000	94.999	-145.4079
7300.000000	95.446	-144.1977
7400.000000	96.002	-143.7696
7500.000000	96.649	-144.4418
7620.000000	97.515	-147.0142
7750.000000	98.442	-152.6376
7880.000000	99.132	-161.6720
8000.000000	99.272	-172.3461
8120.000000	98.767	176.8224
8250.000000	97.646	167.5782
8380.000000	96.276	161.8358
8500.000000	95.015	159.1388
8620.000000	93.829	158.3878
8750.000000	92.726	159.3525
8850.000000	92.019	160.9135
9000.000000	91.246	164.1516
9120.000000	90.896	166.6882
9250.000000	90.714	168.7310
9380.000000	90.654	169.5441
9500.000000	90.610	169.1838
9620.000000	90.525	168.1044
9750.000000	90.330	166.4671
9880.000000	90.047	164.7465
10000.000000	89.711	163.3796
10150.000000	89.251	161.6796
10300.000000	88.778	161.2012
10440.000000	88.372	160.9119
10600.000000	87.946	160.7434
10750.000000	87.638	160.6455
10900.000000	87.367	160.5130
11060.000000	87.118	160.2214
11200.000000	86.908	159.8244
11380.000000	86.604	159.3751
11500.000000	86.507	160.3210
11720.000000	86.698	158.9984
11800.000000	86.726	157.9051
12060.000000	86.750	154.4110
12200.000000	86.777	152.0106
12410.000000	86.828	147.9352
12500.000000	86.826	146.0590
12650.000000	86.838	142.5594
12800.000000	86.832	138.6439
13150.000000	86.774	128.8960
13200.000000	86.771	127.3540
13400.000000	86.727	121.0681
13600.000000	86.672	114.4536
13800.000000	86.643	107.3531
14000.000000	86.696	100.0807
14300.000000	86.841	87.8458
14500.000000	87.097	79.0510
14750.000000	87.621	66.1942
15000.000000	88.356	50.3610
15250.000000	89.333	30.9828
15500.000000	90.274	5.3738
15750.000000	90.584	-26.9475
16000.000000	89.643	-62.0432
16250.000000	87.709	-93.8732
16500.000000	85.497	-121.0347
16750.000000	83.451	-145.5813
17000.000000	81.628	-168.8938
17250.000000	80.021	167.4146
17500.000000	78.697	143.5012
17750.000000	77.732	116.9270
18000.000000	76.890	87.7581
18250.000000	76.141	55.8903
18500.000000	75.684	19.6373
18750.000000	75.385	-22.7992
19000.000000	75.082	-71.3436
19250.000000	74.975	-130.2212
19500.000000	74.648	150.9613
19750.000000	69.083	83.8511
