* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 19, 2025 1:34:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 50 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.024	-171.7187
20.600000	85.071	-172.2954
20.900000	85.095	-172.8468
21.200001	85.095	-173.4057
21.400000	85.081	-173.7749
21.799999	85.034	-174.5158
22.000000	85.005	-174.9048
22.400000	84.947	-175.7772
22.700001	84.905	-176.5650
23.000000	84.864	-177.4791
23.299999	84.816	-178.4891
23.600000	84.758	-179.5272
24.000000	84.662	179.2022
24.299999	84.581	178.4352
24.700001	84.478	177.7290
25.000000	84.413	177.4044
25.400000	84.350	177.1222
25.799999	84.309	176.8386
26.200001	84.274	176.4306
26.500000	84.244	176.0270
26.900000	84.192	175.3964
27.200001	84.147	174.8897
27.600000	84.088	174.2096
28.000000	84.036	173.5367
28.500000	83.985	172.6893
29.000000	83.937	171.8295
29.500000	83.874	171.0236
30.000000	83.795	170.3902
30.400000	83.732	170.0375
30.700001	83.692	169.8280
31.100000	83.653	169.5367
31.500000	83.624	169.1389
32.000000	83.581	168.4647
32.500000	83.514	167.7257
33.000000	83.435	167.0929
33.500000	83.364	166.5770
34.000000	83.303	166.0653
34.500000	83.234	165.5320
35.000000	83.147	165.1034
35.500000	83.064	164.8632
36.000000	83.013	164.6742
36.500000	82.990	164.3011
37.000000	82.963	163.6899
37.500000	82.910	163.0239
38.200001	82.810	162.3556
38.700001	82.745	162.0464
39.500000	82.643	161.5181
40.000000	82.566	161.1493
40.599998	82.472	160.7194
41.200001	82.389	160.2468
41.799999	82.307	159.7311
42.500000	82.206	159.2412
43.099998	82.134	158.8879
43.700001	82.071	158.3885
44.400002	81.969	157.7188
45.000000	81.877	157.3820
45.500000	81.830	157.1991
46.200001	81.779	156.6560
46.799999	81.669	156.0038
47.500000	81.485	155.7218
48.200001	81.394	155.8008
48.700001	81.387	155.4996
49.400002	81.328	154.6387
50.000000	81.218	154.2600
50.799999	81.138	154.3385
51.500000	81.112	153.9926
52.200001	81.005	153.4852
53.000000	80.865	153.5049
53.799999	80.807	153.4094
54.500000	80.731	152.9425
55.200001	80.621	152.5726
56.000000	80.500	152.1213
57.000000	80.298	151.6267
58.000000	80.201	151.7533
59.000000	80.176	151.1957
60.000000	79.988	150.9550
60.799999	79.861	151.3571
61.500000	79.795	151.3887
62.200001	79.708	151.1887
63.000000	79.605	151.2171
64.000000	79.532	151.2453
65.000000	79.406	151.0686
66.000000	79.293	151.3095
67.000000	79.205	151.1507
68.000000	79.056	151.0474
69.000000	78.987	151.1556
70.000000	78.923	151.1082
71.000000	78.818	151.4092
72.000000	78.712	151.6326
73.000000	78.622	151.7505
74.000000	78.580	151.8288
75.000000	78.509	151.8927
76.199997	78.401	152.2239
77.500000	78.323	152.1622
78.800003	78.234	152.1042
80.000000	78.190	152.2464
81.199997	78.135	152.3446
82.500000	78.047	152.3115
83.800003	77.992	152.2755
85.000000	77.945	152.3470
86.199997	77.895	152.5631
87.500000	77.806	152.3616
88.500000	77.769	152.5139
90.000000	77.765	152.6559
91.199997	77.726	152.6205
92.500000	77.654	152.4994
93.800003	77.608	152.9240
95.000000	77.583	152.9691
96.199997	77.520	153.0158
97.500000	77.503	153.0800
98.800003	77.429	153.0616
100.000000	77.371	153.3343
101.500000	77.304	153.0990
103.000000	77.248	153.3503
104.400002	77.197	153.5149
106.000000	77.165	153.6514
107.500000	77.061	153.5668
109.000000	77.042	153.9072
110.599998	76.977	153.8685
112.000000	76.919	154.3583
113.800003	76.900	154.4207
115.000000	76.850	154.2349
117.199997	76.715	154.8539
118.000000	76.667	154.9172
120.599998	76.667	154.7291
122.000000	76.572	155.8879
124.099998	76.489	155.8356
125.000000	76.477	156.0901
126.500000	76.451	156.0946
128.000000	76.371	156.6101
131.500000	76.276	157.1573
132.000000	76.244	157.3408
134.000000	76.205	157.6571
136.000000	76.139	158.1897
138.000000	76.103	158.6013
140.000000	76.066	158.8643
143.000000	75.988	159.3417
145.000000	75.970	159.7444
147.500000	75.903	159.8814
150.000000	75.876	160.6303
152.500000	75.824	160.9879
155.000000	75.816	161.1615
157.500000	75.767	161.5905
160.000000	75.725	162.0975
162.500000	75.650	162.4417
165.000000	75.617	162.7621
167.500000	75.596	162.9199
170.000000	75.559	163.3196
172.500000	75.513	163.5128
175.000000	75.469	164.0319
177.500000	75.475	164.2628
180.000000	75.417	164.9129
182.500000	75.340	165.0745
185.000000	75.329	165.2797
187.500000	75.263	165.5243
190.000000	75.213	166.1252
192.500000	75.167	166.0974
195.000000	75.135	166.5738
197.500000	75.095	166.7479
200.000000	75.084	167.4595
203.000000	75.034	168.0500
206.000000	74.992	168.4178
209.000000	74.997	168.7930
212.000000	74.949	169.6023
214.000000	74.908	169.7020
218.000000	74.954	170.4041
220.000000	74.928	170.7533
224.000000	74.910	171.4265
227.000000	74.911	171.5552
230.000000	74.914	172.2078
233.000000	74.885	172.4425
236.000000	74.918	172.6094
240.000000	74.721	174.0004
243.000000	74.882	173.2455
247.000000	74.880	173.6187
250.000000	74.827	174.0889
254.000000	74.814	174.3193
258.000000	74.801	175.3293
262.000000	74.766	175.2836
265.000000	74.762	175.3632
269.000000	74.745	175.8943
272.000000	74.741	176.3230
276.000000	74.720	176.6945
280.000000	74.750	177.0765
285.000000	74.650	177.5852
290.000000	74.682	178.4332
295.000000	74.638	179.1107
300.000000	74.668	179.2806
304.000000	74.640	-179.9057
307.000000	74.685	-179.6714
311.000000	74.733	-178.9703
315.000000	74.722	-178.9559
320.000000	74.761	-178.1176
325.000000	74.752	-177.4146
330.000000	74.805	-176.7476
335.000000	74.838	-176.2618
340.000000	74.928	-175.4861
345.000000	74.997	-175.2883
350.000000	75.047	-175.0776
355.000000	75.078	-174.9072
360.000000	75.104	-174.3484
365.000000	75.175	-174.0792
370.000000	75.277	-173.9321
375.000000	75.317	-173.7344
382.000000	75.434	-173.4780
387.000000	75.487	-173.9126
395.000000	75.562	-173.7690
400.000000	75.658	-173.9552
406.000000	75.672	-174.0108
412.000000	75.729	-174.4590
418.000000	75.686	-174.1679
425.000000	75.755	-174.8790
431.000000	75.734	-175.1355
437.000000	75.725	-175.5564
444.000000	75.691	-175.5920
450.000000	75.654	-175.5140
455.000000	75.662	-175.9877
462.000000	75.588	-175.6675
468.000000	75.573	-175.8438
475.000000	75.565	-175.6821
482.000000	75.496	-175.6355
487.000000	75.501	-175.4206
494.000000	75.419	-175.5305
500.000000	75.430	-175.0985
508.000000	75.397	-174.8718
515.000000	75.379	-174.3262
522.000000	75.428	-174.2675
530.000000	75.384	-174.1265
538.000000	75.377	-173.5828
545.000000	75.385	-173.8989
552.000000	75.449	-173.7966
560.000000	75.461	-173.5772
570.000000	75.429	-173.7688
580.000000	75.393	-174.0670
590.000000	75.403	-173.7350
600.000000	75.390	-173.9588
608.000000	75.344	-174.1452
615.000000	75.271	-173.9567
622.000000	75.199	-173.9174
630.000000	75.160	-173.8588
640.000000	75.083	-173.4191
650.000000	75.011	-172.6607
660.000000	74.970	-171.8872
670.000000	74.962	-171.7457
680.000000	74.888	-171.2308
690.000000	74.913	-170.4238
700.000000	74.908	-169.8524
710.000000	74.977	-169.2906
720.000000	74.963	-168.6984
730.000000	75.018	-168.7623
740.000000	75.022	-168.4127
750.000000	75.127	-168.8030
762.000000	75.195	-168.7280
775.000000	75.184	-168.9003
788.000000	75.192	-169.2565
800.000000	75.174	-169.3102
812.000000	75.116	-169.5335
825.000000	74.999	-169.2310
838.000000	74.950	-169.5909
850.000000	74.868	-169.7012
862.000000	74.812	-169.4514
875.000000	74.744	-168.9960
885.000000	74.670	-168.7648
900.000000	74.477	-168.1672
912.000000	74.492	-167.4277
925.000000	74.416	-167.0328
938.000000	74.390	-166.1428
950.000000	74.292	-165.4890
962.000000	74.259	-164.9437
975.000000	74.272	-163.7661
988.000000	74.193	-162.8336
1000.000000	74.157	-162.3740
1015.000000	74.235	-160.8554
1030.000000	74.319	-159.8973
1044.000000	74.360	-159.3049
1060.000000	74.434	-157.9625
1075.000000	74.511	-157.3926
1090.000000	74.642	-157.0475
1106.000000	74.735	-156.7548
1120.000000	74.797	-156.0949
1138.000000	74.955	-155.6517
1150.000000	74.974	-155.8232
1172.000000	75.041	-155.6962
1180.000000	75.076	-155.5194
1206.000000	75.117	-154.6018
1220.000000	75.180	-154.3195
1241.000000	75.296	-154.0702
1250.000000	75.387	-153.8538
1265.000000	75.478	-154.2380
1280.000000	75.531	-153.9328
1315.000000	75.650	-155.4119
1320.000000	75.583	-155.4488
1340.000000	75.423	-155.3284
1360.000000	75.184	-155.1054
1380.000000	75.087	-155.5488
1400.000000	75.214	-155.3368
1430.000000	75.227	-154.7801
1450.000000	75.257	-154.4484
1475.000000	75.313	-154.2625
1500.000000	75.358	-153.7504
1525.000000	75.370	-154.0032
1550.000000	75.386	-154.1842
1575.000000	75.375	-154.2913
1600.000000	75.328	-154.2506
1625.000000	75.283	-154.2267
1650.000000	75.197	-153.5906
1675.000000	75.113	-153.2477
1700.000000	75.006	-152.5346
1725.000000	74.948	-151.0416
1750.000000	74.834	-149.5465
1775.000000	74.868	-147.9264
1800.000000	74.863	-146.1066
1825.000000	74.893	-143.8422
1850.000000	75.007	-141.5135
1875.000000	75.257	-139.1567
1900.000000	75.603	-137.4294
1925.000000	75.938	-136.9117
1950.000000	76.211	-136.7182
1975.000000	76.463	-136.5349
2000.000000	76.567	-136.7190
2030.000000	76.720	-136.3532
2060.000000	76.914	-135.8683
2090.000000	77.116	-134.9904
2120.000000	77.376	-134.2810
2140.000000	77.572	-133.7594
2180.000000	78.024	-133.2117
2200.000000	78.227	-133.6140
2240.000000	78.627	-134.7649
2270.000000	78.894	-135.7205
2300.000000	79.109	-136.6254
2330.000000	79.256	-138.2287
2360.000000	79.358	-139.1991
2400.000000	79.485	-140.1951
2430.000000	79.574	-141.3813
2470.000000	79.664	-142.4628
2500.000000	79.728	-143.3791
2540.000000	79.780	-144.5867
2580.000000	79.821	-145.6443
2620.000000	79.867	-146.4023
2650.000000	79.866	-147.2416
2690.000000	79.891	-148.1749
2720.000000	79.885	-149.0726
2760.000000	79.858	-149.6704
2800.000000	79.832	-150.3354
2850.000000	79.813	-151.6611
2900.000000	79.670	-152.3314
2950.000000	79.555	-152.9181
3000.000000	79.511	-153.4063
3040.000000	79.396	-153.7777
