* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 19, 2025 3:21:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 50 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.550	-166.0625
20.600000	85.623	-167.0483
20.900000	85.657	-168.1070
21.200001	85.658	-169.1365
21.400000	85.644	-169.7320
21.799999	85.610	-170.6304
22.000000	85.600	-170.9498
22.400000	85.600	-171.4715
22.700001	85.614	-171.9204
23.000000	85.623	-172.4983
23.299999	85.615	-173.1933
23.600000	85.586	-173.9270
24.000000	85.534	-174.8017
24.299999	85.513	-175.3376
24.700001	85.540	-175.9849
25.000000	85.600	-176.5479
25.400000	85.699	-177.5053
25.799999	85.765	-178.6012
26.200001	85.765	-179.5647
26.500000	85.724	179.9477
26.900000	85.644	179.6367
27.200001	85.586	179.5623
27.600000	85.526	179.4277
28.000000	85.482	179.0583
28.500000	85.426	178.2318
29.000000	85.369	177.2424
29.500000	85.328	176.2962
30.000000	85.309	175.4293
30.400000	85.297	174.7890
30.700001	85.284	174.3550
31.100000	85.259	173.8541
31.500000	85.233	173.4164
32.000000	85.205	172.8495
32.500000	85.174	172.1717
33.000000	85.131	171.4341
33.500000	85.082	170.7505
34.000000	85.043	170.1428
34.500000	85.016	169.5367
35.000000	84.988	168.8931
35.500000	84.951	168.2607
36.000000	84.909	167.6830
36.500000	84.871	167.1190
37.000000	84.834	166.4988
37.500000	84.791	165.8282
38.200001	84.720	164.9668
38.700001	84.676	164.4676
39.500000	84.629	163.7185
40.000000	84.595	163.1967
40.599998	84.533	162.5562
41.200001	84.459	161.9655
41.799999	84.390	161.4006
42.500000	84.322	160.7095
43.099998	84.264	160.1395
43.700001	84.206	159.6545
44.400002	84.145	159.1121
45.000000	84.093	158.5539
45.500000	84.044	158.0294
46.200001	83.978	157.2937
46.799999	83.933	156.6908
47.500000	83.879	156.0184
48.200001	83.797	155.4849
48.700001	83.723	155.2492
49.400002	83.623	155.0061
50.000000	83.554	154.6559
50.799999	83.470	153.8636
51.500000	83.395	153.1281
52.200001	83.329	152.6046
53.000000	83.263	152.2242
53.799999	83.179	151.8498
54.500000	83.085	151.3866
55.200001	82.985	150.8401
56.000000	82.899	150.2832
57.000000	82.823	149.5831
58.000000	82.669	148.9716
59.000000	82.506	148.4906
60.000000	82.374	147.7166
60.799999	82.289	147.4268
61.500000	82.251	147.3075
62.200001	82.191	147.0222
63.000000	82.066	146.7274
64.000000	81.929	146.3548
65.000000	81.796	145.7738
66.000000	81.681	145.4933
67.000000	81.576	145.0185
68.000000	81.418	144.6665
69.000000	81.308	144.4575
70.000000	81.209	143.9561
71.000000	81.084	143.6652
72.000000	80.955	143.4466
73.000000	80.800	143.2376
74.000000	80.685	143.0282
75.000000	80.559	142.6289
76.199997	80.398	142.6732
77.500000	80.257	142.1438
78.800003	80.066	141.8658
80.000000	79.952	141.5565
81.199997	79.793	141.5743
82.500000	79.644	141.3722
83.800003	79.445	141.3553
85.000000	79.295	141.2722
86.199997	79.098	141.3037
87.500000	78.941	141.3429
88.500000	78.823	141.5131
90.000000	78.631	141.7567
91.199997	78.432	141.9180
92.500000	78.283	142.1935
93.800003	78.149	142.3727
95.000000	77.966	142.7231
96.199997	77.813	142.9622
97.500000	77.642	143.3049
98.800003	77.508	143.4667
100.000000	77.301	143.6352
101.500000	77.166	144.1265
103.000000	76.952	144.6375
104.400002	76.808	145.2000
106.000000	76.663	145.8608
107.500000	76.502	146.3264
109.000000	76.330	146.8034
110.599998	76.144	147.2878
112.000000	76.052	148.0055
113.800003	75.850	148.3406
115.000000	75.712	148.9044
117.199997	75.542	149.9783
118.000000	75.448	150.1415
120.599998	75.312	150.8767
122.000000	75.136	152.2908
124.099998	75.017	153.2981
125.000000	74.931	153.8470
126.500000	74.854	154.4872
128.000000	74.745	155.4893
131.500000	74.517	157.2611
132.000000	74.488	157.5556
134.000000	74.382	158.4140
136.000000	74.291	159.6566
138.000000	74.210	160.7282
140.000000	74.147	161.6638
143.000000	74.036	163.3764
145.000000	73.943	164.4084
147.500000	73.994	165.5391
150.000000	73.906	167.0855
152.500000	73.861	168.6909
155.000000	73.866	169.6088
157.500000	73.874	171.1197
160.000000	73.874	172.4293
162.500000	73.829	173.2548
165.000000	73.906	174.4323
167.500000	73.893	175.5454
170.000000	73.932	176.2826
172.500000	73.989	177.4072
175.000000	74.052	178.0159
177.500000	74.121	178.8236
180.000000	74.218	179.8004
182.500000	74.201	-179.3729
185.000000	74.328	-179.0924
187.500000	74.302	-178.1674
190.000000	74.376	-177.8192
192.500000	74.432	-177.7172
195.000000	74.483	-177.0221
197.500000	74.551	-176.8211
200.000000	74.572	-176.4047
203.000000	74.641	-176.0267
