* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 19, 2025 1:21:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 50 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.882	-139.6302
20.600000	78.882	-141.5828
20.900000	78.798	-142.6468
21.200001	78.692	-142.9751
21.400000	78.637	-142.8549
21.799999	78.603	-142.2740
22.000000	78.624	-142.0396
22.400000	78.707	-142.0101
22.700001	78.757	-142.4453
23.000000	78.768	-143.1180
23.299999	78.735	-143.8038
23.600000	78.677	-144.3053
24.000000	78.615	-144.5701
24.299999	78.615	-144.6059
24.700001	78.687	-144.7979
25.000000	78.770	-145.2343
25.400000	78.870	-146.2099
25.799999	78.929	-147.3660
26.200001	78.959	-148.3864
26.500000	78.985	-148.9824
26.900000	79.048	-149.6334
27.200001	79.117	-150.1117
27.600000	79.214	-150.8261
28.000000	79.291	-151.5989
28.500000	79.339	-152.4873
29.000000	79.346	-153.1871
29.500000	79.337	-153.7721
30.000000	79.336	-154.3734
30.400000	79.350	-154.9189
30.700001	79.374	-155.3869
31.100000	79.421	-156.1077
31.500000	79.470	-156.9167
32.000000	79.507	-157.8959
32.500000	79.513	-158.6103
33.000000	79.518	-159.0168
33.500000	79.550	-159.3870
34.000000	79.594	-160.0426
34.500000	79.619	-160.9832
35.000000	79.615	-161.9111
35.500000	79.612	-162.6069
36.000000	79.636	-163.1642
36.500000	79.671	-163.8181
37.000000	79.682	-164.6366
37.500000	79.660	-165.4766
38.200001	79.627	-166.4485
38.700001	79.639	-167.0589
39.500000	79.683	-168.0991
40.000000	79.686	-168.6886
40.599998	79.672	-169.2365
41.200001	79.671	-169.8135
41.799999	79.689	-170.6610
42.500000	79.694	-171.8243
43.099998	79.682	-172.5831
43.700001	79.673	-173.0880
44.400002	79.660	-173.7712
45.000000	79.622	-174.5594
45.500000	79.584	-175.2030
46.200001	79.572	-175.9546
46.799999	79.600	-176.5886
47.500000	79.606	-177.3653
48.200001	79.548	-177.9862
48.700001	79.495	-178.3442
49.400002	79.437	-178.8718
50.000000	79.417	-179.3207
50.799999	79.445	179.9861
51.500000	79.449	178.9701
52.200001	79.346	177.9299
53.000000	79.213	177.5562
53.799999	79.237	177.4259
54.500000	79.288	176.8295
55.200001	79.268	176.2097
56.000000	79.223	175.6926
57.000000	79.189	174.7237
58.000000	79.149	173.7275
59.000000	79.066	173.1459
60.000000	78.979	173.0546
60.799999	78.955	172.5132
61.500000	78.902	171.7036
62.200001	78.846	171.1375
63.000000	78.833	170.6228
64.000000	78.774	169.8840
65.000000	78.684	169.6270
66.000000	78.656	169.0715
67.000000	78.610	168.2480
68.000000	78.542	167.7039
69.000000	78.465	167.4181
70.000000	78.410	166.9478
71.000000	78.349	166.4210
72.000000	78.308	166.1699
73.000000	78.249	165.6907
74.000000	78.137	165.0314
75.000000	78.045	164.7237
76.199997	78.026	164.5961
77.500000	77.945	163.9675
78.800003	77.824	163.4732
80.000000	77.781	163.0973
81.199997	77.715	162.5878
82.500000	77.638	162.3666
83.800003	77.559	161.9449
85.000000	77.463	161.5547
86.199997	77.402	161.2338
87.500000	77.327	161.2599
88.500000	77.253	161.1207
90.000000	77.161	160.7340
91.199997	77.124	160.5658
92.500000	77.025	160.3878
93.800003	76.965	160.1708
95.000000	76.938	159.7427
96.199997	76.817	159.4650
97.500000	76.705	159.5312
98.800003	76.671	159.3632
100.000000	76.600	159.1915
101.500000	76.536	159.0821
103.000000	76.418	159.1596
104.400002	76.361	159.2639
106.000000	76.277	159.0222
107.500000	76.186	158.8974
109.000000	76.163	158.8091
110.599998	76.106	158.7724
112.000000	76.023	159.0422
113.800003	75.920	158.3553
115.000000	75.876	158.7899
117.199997	75.805	158.6071
118.000000	75.752	158.2569
120.599998	75.778	159.2129
122.000000	75.579	158.9264
124.099998	75.484	158.9911
125.000000	75.458	159.1534
126.500000	75.409	159.0815
128.000000	75.379	159.1781
131.500000	75.232	159.3787
132.000000	75.213	159.2977
134.000000	75.169	159.7087
136.000000	75.060	159.6077
138.000000	75.069	160.1489
140.000000	74.956	160.2737
143.000000	74.920	160.6320
145.000000	74.863	160.8394
147.500000	74.826	161.2880
150.000000	74.755	161.3315
152.500000	74.704	161.6313
155.000000	74.637	162.1288
157.500000	74.611	162.3420
160.000000	74.595	162.6695
162.500000	74.532	162.5649
165.000000	74.525	163.1821
167.500000	74.441	163.6515
170.000000	74.459	164.0613
172.500000	74.502	163.9920
175.000000	74.449	164.4937
177.500000	74.384	164.2863
180.000000	74.424	164.9819
182.500000	74.399	165.2502
185.000000	74.354	165.2569
187.500000	74.384	165.5073
190.000000	74.365	165.7726
192.500000	74.292	165.9901
195.000000	74.309	166.1147
197.500000	74.329	166.4084
200.000000	74.314	166.7358
203.000000	74.303	167.1835
206.000000	74.324	167.5113
209.000000	74.318	167.9641
212.000000	74.389	168.2889
