* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 2, 2024 2:27:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DDDD L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.759	24.2614
20.600000	100.761	23.7658
20.900000	100.758	23.3550
21.200001	100.761	22.9749
21.400000	100.768	22.7254
21.799999	100.795	22.1941
22.000000	100.811	21.8997
22.400000	100.838	21.2572
22.700001	100.848	20.7613
23.000000	100.845	20.2971
23.299999	100.834	19.8963
23.600000	100.822	19.5658
24.000000	100.816	19.1869
24.299999	100.822	18.8869
24.700001	100.841	18.3974
25.000000	100.855	17.9667
25.400000	100.864	17.3770
25.799999	100.865	16.8757
26.200001	100.871	16.5058
26.500000	100.885	16.2772
26.900000	100.915	15.9389
27.200001	100.937	15.6111
27.600000	100.953	15.0814
28.000000	100.944	14.5319
28.500000	100.909	13.9883
29.000000	100.884	13.6563
29.500000	100.892	13.3845
30.000000	100.921	12.9814
30.400000	100.939	12.5463
30.700001	100.942	12.1953
31.100000	100.934	11.7563
31.500000	100.918	11.3918
32.000000	100.904	11.0256
32.500000	100.901	10.6852
33.000000	100.904	10.3146
33.500000	100.903	9.9260
34.000000	100.895	9.5610
34.500000	100.887	9.2286
35.000000	100.882	8.8921
35.500000	100.879	8.5154
36.000000	100.876	8.1066
36.500000	100.870	7.7075
37.000000	100.866	7.3480
37.500000	100.863	7.0223
38.200001	100.859	6.5846
38.700001	100.850	6.2800
39.500000	100.835	5.8186
40.000000	100.828	5.5350
40.599998	100.822	5.1925
41.200001	100.815	4.8665
41.799999	100.808	4.5648
42.500000	100.799	4.2064
43.099998	100.787	3.8696
43.700001	100.768	3.5326
44.400002	100.751	3.1688
45.000000	100.743	2.8398
45.500000	100.735	2.5395
46.200001	100.713	2.1867
46.799999	100.700	2.0364
47.500000	100.710	1.8767
48.200001	100.713	1.5176
48.700001	100.687	1.2459
49.400002	100.641	1.0829
50.000000	100.636	0.9911
50.799999	100.655	0.5147
51.500000	100.632	-0.0015
52.200001	100.598	-0.2427
53.000000	100.593	-0.4611
53.799999	100.582	-0.8803
54.500000	100.557	-1.1822
55.200001	100.546	-1.3949
56.000000	100.542	-1.6875
57.000000	100.521	-2.0901
58.000000	100.483	-2.5550
59.000000	100.431	-2.8155
60.000000	100.429	-2.9605
60.799999	100.425	-3.3255
61.500000	100.396	-3.6247
62.200001	100.371	-3.7971
63.000000	100.361	-3.9975
64.000000	100.341	-4.3024
65.000000	100.313	-4.5830
66.000000	100.286	-4.8434
67.000000	100.265	-5.0829
68.000000	100.239	-5.3381
69.000000	100.212	-5.6020
70.000000	100.185	-5.8740
71.000000	100.162	-6.0737
72.000000	100.141	-6.3018
73.000000	100.111	-6.5597
74.000000	100.082	-6.8167
75.000000	100.055	-7.0175
76.199997	100.031	-7.2441
77.500000	99.996	-7.5522
78.800003	99.960	-7.8281
80.000000	99.926	-8.0301
81.199997	99.897	-8.2696
82.500000	99.857	-8.4997
83.800003	99.827	-8.7291
85.000000	99.792	-8.9470
86.199997	99.761	-9.1384
87.500000	99.726	-9.3608
88.500000	99.698	-9.5246
90.000000	99.659	-9.7498
91.199997	99.628	-9.9061
92.500000	99.593	-10.0999
93.800003	99.553	-10.2742
95.000000	99.529	-10.4575
96.199997	99.495	-10.5917
97.500000	99.464	-10.7639
98.800003	99.425	-10.9527
100.000000	99.396	-11.0120
101.500000	99.345	-11.2229
103.000000	99.311	-11.3343
104.400002	99.277	-11.5770
106.000000	99.233	-11.6791
107.500000	99.193	-11.8506
109.000000	99.152	-11.9768
110.599998	99.111	-12.1024
112.000000	99.072	-12.2407
113.800003	99.028	-12.3782
115.000000	98.994	-12.4755
117.199997	98.934	-12.6369
118.000000	98.917	-12.6163
120.599998	98.822	-12.8308
122.000000	98.823	-12.9835
124.099998	98.769	-13.0339
125.000000	98.742	-13.1070
126.500000	98.708	-13.1540
128.000000	98.666	-13.2270
131.500000	98.581	-13.3868
132.000000	98.566	-13.4160
134.000000	98.519	-13.4768
136.000000	98.470	-13.5304
138.000000	98.425	-13.5811
140.000000	98.375	-13.6260
143.000000	98.306	-13.7290
145.000000	98.260	-13.7499
147.500000	98.203	-13.7673
150.000000	98.138	-13.7976
152.500000	98.089	-13.8178
155.000000	98.034	-13.8383
157.500000	97.976	-13.8623
160.000000	97.924	-13.8431
162.500000	97.856	-13.8412
165.000000	97.805	-13.8565
167.500000	97.752	-13.8466
170.000000	97.691	-13.8057
172.500000	97.630	-13.7450
175.000000	97.560	-13.6601
177.500000	97.501	-13.4933
180.000000	97.383	-13.3810
182.500000	97.375	-13.1136
185.000000	97.322	-12.7109
187.500000	97.306	-12.2809
190.000000	97.312	-11.9213
192.500000	97.336	-11.8126
195.000000	97.340	-11.8747
197.500000	97.325	-12.0083
200.000000	97.297	-12.1314
203.000000	97.253	-12.2034
206.000000	97.203	-12.2113
209.000000	97.155	-12.1791
212.000000	97.104	-12.1386
214.000000	97.075	-12.1001
218.000000	97.013	-12.0049
220.000000	96.984	-11.9420
224.000000	96.925	-11.8095
227.000000	96.879	-11.6923
230.000000	96.837	-11.6008
233.000000	96.798	-11.4862
236.000000	96.754	-11.3468
240.000000	96.700	-11.0568
243.000000	96.666	-11.0712
247.000000	96.612	-10.8934
250.000000	96.574	-10.7601
254.000000	96.526	-10.5743
258.000000	96.476	-10.3780
262.000000	96.428	-10.1966
265.000000	96.390	-10.0219
269.000000	96.347	-9.8204
272.000000	96.315	-9.6620
276.000000	96.270	-9.4493
280.000000	96.228	-9.2391
285.000000	96.176	-8.9858
290.000000	96.129	-8.7042
295.000000	96.078	-8.3969
300.000000	96.027	-7.9565
304.000000	95.995	-7.8922
307.000000	95.968	-7.7090
311.000000	95.930	-7.5213
315.000000	95.893	-7.2669
320.000000	95.852	-6.9842
325.000000	95.810	-6.6947
330.000000	95.773	-6.4007
335.000000	95.735	-6.1119
340.000000	95.693	-5.8208
345.000000	95.657	-5.5101
350.000000	95.620	-5.1880
355.000000	95.581	-4.8863
360.000000	95.549	-4.6390
365.000000	95.515	-4.2620
370.000000	95.480	-3.9583
375.000000	95.449	-3.6726
382.000000	95.407	-3.2207
387.000000	95.375	-2.9050
395.000000	95.329	-2.3929
400.000000	95.297	-2.0624
406.000000	95.266	-1.6557
412.000000	95.239	-1.2588
418.000000	95.207	-0.7813
425.000000	95.185	-0.3466
431.000000	95.168	0.0511
437.000000	95.149	0.4069
444.000000	95.126	0.8200
450.000000	95.104	1.1357
455.000000	95.086	1.4180
462.000000	95.059	1.8158
468.000000	95.040	2.1757
475.000000	95.016	2.6048
482.000000	94.994	2.9742
487.000000	94.974	3.3025
494.000000	94.953	3.7090
500.000000	94.932	4.0805
508.000000	94.903	4.5542
515.000000	94.889	4.9720
522.000000	94.867	5.4208
530.000000	94.847	5.8565
538.000000	94.820	6.3048
545.000000	94.813	6.7466
552.000000	94.792	7.1554
560.000000	94.769	7.6473
570.000000	94.746	8.2354
580.000000	94.721	8.8248
590.000000	94.701	9.4273
600.000000	94.679	10.1048
608.000000	94.655	10.5320
615.000000	94.638	10.9884
622.000000	94.624	11.4296
630.000000	94.606	11.9410
640.000000	94.589	12.6115
650.000000	94.575	13.2857
660.000000	94.554	14.1790
670.000000	94.554	14.6737
680.000000	94.545	15.3611
690.000000	94.546	16.0525
700.000000	94.543	16.7373
710.000000	94.546	17.4362
