* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 7, 2024 4:50:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.408974	-136.5288
20.600000	102.458412	-137.2443
20.900000	102.502823	-137.9061
21.200001	102.548401	-138.5951
21.400000	102.580246	-139.0785
21.799999	102.645248	-140.0990
22.000000	102.676926	-140.6254
22.400000	102.736130	-141.6702
22.700001	102.776489	-142.4059
23.000000	102.815170	-143.0790
23.299999	102.854477	-143.6897
23.600000	102.895905	-144.2579
24.000000	102.952972	-145.0034
24.299999	102.992851	-145.5843
24.700001	103.035019	-146.3961
25.000000	103.056190	-147.0098
25.400000	103.073975	-147.7913
25.799999	103.090942	-148.5073
26.200001	103.118935	-149.1892
26.500000	103.149750	-149.7191
26.900000	103.199059	-150.4930
27.200001	103.236328	-151.1273
27.600000	103.278671	-152.0034
28.000000	103.310234	-152.8499
28.500000	103.340652	-153.7894
29.000000	103.372078	-154.6030
29.500000	103.407288	-155.3626
30.000000	103.439674	-156.1295
30.400000	103.459221	-156.7540
30.700001	103.469719	-157.2223
31.100000	103.479523	-157.8383
31.500000	103.487190	-158.4394
32.000000	103.498093	-159.1684
32.500000	103.513947	-159.8794
33.000000	103.535072	-160.5869
33.500000	103.558029	-161.2994
34.000000	103.578171	-162.0083
34.500000	103.593643	-162.6981
35.000000	103.605621	-163.3650
35.500000	103.615799	-164.0180
36.000000	103.625511	-164.6628
36.500000	103.636841	-165.2984
37.000000	103.651550	-165.9309
37.500000	103.667824	-166.5708
38.200001	103.683884	-167.4588
38.700001	103.688423	-168.0513
39.500000	103.693130	-168.9487
40.000000	103.694328	-169.5407
40.599998	103.687202	-170.2740
41.200001	103.676659	-170.9393
41.799999	103.679817	-171.5194
42.500000	103.703308	-172.2221
43.099998	103.717903	-172.8993
43.700001	103.714951	-173.5637
44.400002	103.704185	-174.2571
45.000000	103.701584	-174.8382
45.500000	103.702927	-175.3441
46.200001	103.704056	-176.0531
46.799999	103.702751	-176.6257
47.500000	103.697678	-177.2632
48.200001	103.687241	-177.9032
48.700001	103.677437	-178.3704
49.400002	103.665192	-179.0236
50.000000	103.660629	-179.5653
50.799999	103.660828	179.7252
51.500000	103.651192	179.1147
52.200001	103.627586	178.5752
53.000000	103.608589	178.0086
53.799999	103.605240	177.3035
54.500000	103.594917	176.6235
55.200001	103.580200	176.0518
56.000000	103.572678	175.4795
57.000000	103.554237	174.7065
58.000000	103.530029	173.9648
59.000000	103.516571	173.1378
60.000000	103.483719	172.3501
60.799999	103.459534	171.8550
61.500000	103.445747	171.4178
62.200001	103.430771	170.9489
63.000000	103.412506	170.4059
64.000000	103.391541	169.7053
65.000000	103.366234	169.0222
66.000000	103.342621	168.3995
67.000000	103.320320	167.7480
68.000000	103.288834	167.0788
69.000000	103.258797	166.4503
70.000000	103.232140	165.7980
71.000000	103.198677	165.1621
72.000000	103.163826	164.5644
73.000000	103.127686	163.9903
74.000000	103.098267	163.4200
75.000000	103.068604	162.8177
76.199997	103.027000	162.1483
77.500000	102.978081	161.4449
78.800003	102.933197	160.7408
80.000000	102.889328	160.1023
81.199997	102.844101	159.5021
82.500000	102.797028	158.8227
83.800003	102.749084	158.1489
85.000000	102.704277	157.5859
86.199997	102.659660	157.0046
87.500000	102.614052	156.3699
88.500000	102.574142	155.9107
90.000000	102.513763	155.2610
91.199997	102.471405	154.7137
92.500000	102.429222	154.1313
93.800003	102.372902	153.6033
95.000000	102.321220	153.0927
96.199997	102.276123	152.5670
97.500000	102.232384	152.0369
98.800003	102.178261	151.4803
100.000000	102.125107	151.0051
