* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -40.9 dBFS, measurement signal peak level -11.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 9, 2024 5:09:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0629 ms (-22 mm, -0.85 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.001976	-171.5892
20.600000	105.046860	-171.7395
20.900000	105.043678	-171.8791
21.200001	105.007317	-171.9580
21.400000	104.975739	-171.9675
21.799999	104.925392	-171.9720
22.000000	104.915512	-172.0241
22.400000	104.927750	-172.3305
22.700001	104.953918	-172.7654
23.000000	104.980927	-173.3196
23.299999	104.999451	-173.9011
23.600000	105.006302	-174.4180
24.000000	105.002327	-174.9138
24.299999	104.996826	-175.1461
24.700001	104.994629	-175.3539
25.000000	104.998550	-175.5131
25.400000	105.008614	-175.8168
25.799999	105.017044	-176.2597
26.200001	105.015854	-176.7997
26.500000	105.005920	-177.2093
26.900000	104.983055	-177.6717
27.200001	104.964104	-177.9171
27.600000	104.948219	-178.1239
28.000000	104.951668	-178.2874
28.500000	104.979591	-178.6318
29.000000	105.008629	-179.2301
29.500000	105.019104	-179.9500
30.000000	105.016708	179.4365
30.400000	105.017792	179.0841
30.700001	105.023399	178.8786
31.100000	105.033745	178.6317
31.500000	105.038559	178.3749
32.000000	105.027397	178.0294
32.500000	105.000389	177.6713
33.000000	104.971329	177.2900
33.500000	104.950317	176.8572
34.000000	104.938744	176.3738
34.500000	104.933769	175.8784
35.000000	104.932793	175.4171
35.500000	104.934189	175.0099
36.000000	104.935448	174.6480
36.500000	104.932289	174.3137
37.000000	104.920891	174.0045
37.500000	104.902420	173.7321
38.200001	104.880096	173.3890
38.700001	104.876045	173.0958
39.500000	104.879616	172.4310
40.000000	104.874580	171.9583
40.599998	104.858215	171.4653
41.200001	104.837936	171.0968
41.799999	104.819153	170.8099
42.500000	104.801270	170.4822
43.099998	104.788513	170.1313
43.700001	104.773384	169.6902
44.400002	104.750404	169.1225
45.000000	104.731659	168.6487
45.500000	104.718605	168.2843
46.200001	104.702522	167.8642
46.799999	104.693504	167.5987
47.500000	104.688881	167.2831
48.200001	104.673218	166.8594
48.700001	104.649811	166.5453
49.400002	104.615829	166.1981
50.000000	104.599045	165.9655
50.799999	104.589577	165.6173
51.500000	104.580002	165.2218
52.200001	104.570587	164.8085
53.000000	104.576042	164.3782
53.799999	104.566422	163.8936
54.500000	104.506874	163.5513
55.200001	104.458771	163.3176
56.000000	104.469849	162.6150
57.000000	104.442467	161.9902
58.000000	104.545807	163.1156
59.000000	104.656189	162.4656
60.000000	104.390442	161.0308
60.799999	104.280746	160.6261
61.500000	104.304314	160.0339
62.200001	104.297119	159.5555
63.000000	104.269257	159.4052
64.000000	104.224861	158.8756
65.000000	104.183037	158.4139
66.000000	104.189392	157.9848
67.000000	104.125908	157.6218
68.000000	104.084076	157.2436
69.000000	104.050400	156.6188
70.000000	104.019478	156.2728
71.000000	103.991714	155.8889
72.000000	103.949173	155.4565
73.000000	103.916367	155.0449
74.000000	103.883339	154.6602
75.000000	103.849495	154.2451
76.199997	103.799438	153.7384
77.500000	103.758011	153.3079
78.800003	103.710915	152.8331
80.000000	103.663521	152.3896
81.199997	103.622932	151.9570
82.500000	103.579468	151.4558
83.800003	103.520905	150.9974
85.000000	103.478424	150.5576
86.199997	103.428108	150.1439
87.500000	103.376442	149.7054
88.500000	103.334602	149.3648
90.000000	103.284866	148.8829
91.199997	103.234207	148.4607
92.500000	103.182106	148.0332
93.800003	103.129059	147.6227
95.000000	103.080780	147.2608
96.199997	103.032265	146.9185
97.500000	102.978996	146.5106
98.800003	102.929420	146.1483
100.000000	102.878197	145.7774
101.500000	102.820221	145.3404
103.000000	102.758072	144.9268
104.400002	102.690376	144.4999
106.000000	102.634109	144.1288
107.500000	102.571625	143.7520
109.000000	102.507240	143.3226
110.599998	102.450493	142.9665
112.000000	102.374054	142.6147
113.800003	102.315002	142.0980
115.000000	102.258308	141.9478
117.199997	102.150864	141.4319
118.000000	102.126656	141.3030
120.599998	102.059875	140.6842
122.000000	101.969833	140.3913
124.099998	101.869301	139.8123
125.000000	101.841461	139.7471
126.500000	101.777649	139.2882
128.000000	101.708511	139.0703
131.500000	101.548409	138.3709
132.000000	101.521103	138.3270
134.000000	101.449249	138.0181
136.000000	101.335899	137.6297
138.000000	101.265778	137.4897
140.000000	101.157249	137.0388
143.000000	101.041550	136.9311
145.000000	100.923851	136.6555
147.500000	100.827034	136.7406
150.000000	100.746277	136.6490
152.500000	100.651222	136.7014
155.000000	100.667503	136.8900
157.500000	100.597252	136.2809
160.000000	100.576447	136.4129
162.500000	100.575829	135.5034
165.000000	100.403931	134.8769
167.500000	100.306808	135.1151
170.000000	100.317070	134.6999
172.500000	100.196411	134.1832
175.000000	100.116371	134.3387
177.500000	100.104111	134.7535
180.000000	100.150009	134.1265
182.500000	100.099396	133.3602
185.000000	100.036362	132.7914
187.500000	99.964020	132.3405
190.000000	99.892883	131.8002
192.500000	99.802368	131.2659
195.000000	99.700653	130.8664
197.500000	99.613365	130.5212
200.000000	99.527946	130.1747
203.000000	99.421494	129.8018
206.000000	99.315453	129.4110
209.000000	99.213364	129.1224
212.000000	99.110573	128.9061
214.000000	99.044357	128.7674
218.000000	98.896530	128.5291
220.000000	98.820633	128.3718
224.000000	98.688110	128.1039
227.000000	98.598938	127.9587
230.000000	98.506302	127.8222
233.000000	98.404900	127.6930
236.000000	98.319458	127.5032
240.000000	98.201019	127.3936
243.000000	98.107239	127.2754
247.000000	97.996529	127.2380
250.000000	97.906082	127.0905
254.000000	97.805908	127.0700
258.000000	97.687180	126.9183
262.000000	97.585617	126.9465
265.000000	97.507492	126.8477
269.000000	97.406708	126.8476
272.000000	97.337494	126.8415
276.000000	97.239288	126.7872
280.000000	97.142441	126.8042
285.000000	97.027283	126.7930
290.000000	96.917992	126.8087
295.000000	96.811272	126.8833
300.000000	96.705933	126.9565
304.000000	96.625328	126.9951
307.000000	96.560226	127.0123
311.000000	96.484818	127.0988
315.000000	96.407257	127.1401
320.000000	96.317841	127.2891
325.000000	96.229675	127.4212
330.000000	96.145683	127.5405
335.000000	96.063087	127.6980
340.000000	95.986404	127.8474
345.000000	95.915726	127.9811
350.000000	95.843079	128.1377
355.000000	95.777390	128.2689
360.000000	95.711555	128.4521
365.000000	95.647606	128.6347
370.000000	95.586159	128.8017
375.000000	95.529938	129.0105
382.000000	95.455315	129.3515
387.000000	95.410179	129.6083
395.000000	95.356514	130.0297
400.000000	95.338531	130.2535
406.000000	95.325127	130.4748
412.000000	95.315331	130.6057
418.000000	95.303223	130.6360
425.000000	95.278656	130.6550
431.000000	95.252045	130.6520
437.000000	95.222626	130.6648
444.000000	95.189003	130.7103
450.000000	95.160835	130.7276
455.000000	95.132568	130.7691
462.000000	95.102577	130.8503
468.000000	95.074699	130.9099
475.000000	95.049347	130.9814
482.000000	95.027420	131.0935
487.000000	95.014069	131.1536
494.000000	94.994370	131.2216
500.000000	94.982086	131.3006
508.000000	94.964531	131.3686
515.000000	94.955109	131.4288
522.000000	94.948715	131.5014
530.000000	94.935921	131.5969
538.000000	94.931587	131.6506
545.000000	94.929008	131.6754
552.000000	94.927773	131.7306
560.000000	94.930908	131.7476
570.000000	94.935921	131.7831
580.000000	94.938995	131.8162
590.000000	94.946373	131.8585
600.000000	94.953423	131.8373
608.000000	94.968086	131.8303
615.000000	94.975555	131.8170
622.000000	94.985229	131.7941
630.000000	94.996948	131.7549
640.000000	95.014725	131.7488
650.000000	95.033730	131.6762
660.000000	95.050743	131.6333
670.000000	95.069740	131.5693
680.000000	95.088440	131.5252
690.000000	95.104279	131.4660
700.000000	95.124405	131.4165
710.000000	95.140152	131.3475
720.000000	95.159637	131.2798
730.000000	95.174065	131.2466
740.000000	95.189430	131.2114
750.000000	95.198296	131.2032
762.000000	95.214920	131.2262
775.000000	95.233765	131.3165
788.000000	95.253105	131.4628
800.000000	95.274223	131.7145
812.000000	95.310783	132.0399
825.000000	95.364555	132.4224
838.000000	95.441299	132.9019
850.000000	95.533340	133.3305
862.000000	95.644302	133.7001
875.000000	95.791634	134.0052
885.000000	95.915009	134.1791
900.000000	96.105431	134.1988
912.000000	96.262909	134.1158
925.000000	96.423798	133.8890
938.000000	96.579521	133.6181
950.000000	96.722389	133.2864
962.000000	96.852493	132.9236
975.000000	96.991440	132.4634
988.000000	97.121979	131.9949
1000.000000	97.246559	131.5111
1015.000000	97.378845	130.9214
1030.000000	97.513786	130.3175
1044.000000	97.632065	129.7260
1060.000000	97.767242	129.0414
1075.000000	97.884949	128.3538
1090.000000	98.000084	127.6903
1106.000000	98.112762	126.9347
1120.000000	98.209557	126.2906
1138.000000	98.325226	125.4286
1150.000000	98.399498	124.8618
1172.000000	98.523376	123.7933
1180.000000	98.566772	123.3968
1206.000000	98.696228	122.1562
1220.000000	98.755386	121.4902
1241.000000	98.836655	120.5086
1250.000000	98.869263	120.0906
1265.000000	98.916595	119.3891
1280.000000	98.965332	118.7471
1315.000000	99.054840	117.2734
1320.000000	99.064392	117.0772
1340.000000	99.100746	116.3209
1360.000000	99.130150	115.6180
1380.000000	99.156433	114.9491
1400.000000	99.181152	114.3107
1430.000000	99.215347	113.4619
1450.000000	99.230698	112.9733
1475.000000	99.251434	112.3971
1500.000000	99.267174	111.9282
1525.000000	99.280777	111.4899
1550.000000	99.302292	111.1478
1575.000000	99.323471	110.8384
1600.000000	99.344681	110.5899
1625.000000	99.371849	110.3859
1650.000000	99.399773	110.2395
1675.000000	99.431549	110.1389
1700.000000	99.467064	110.0462
1725.000000	99.509872	110.0051
1750.000000	99.558205	109.9686
1775.000000	99.608627	109.9878
1800.000000	99.665985	110.0150
1825.000000	99.724266	110.0645
1850.000000	99.788773	110.1013
1875.000000	99.856789	110.1617
1900.000000	99.933273	110.2407
1925.000000	100.014130	110.3018
1950.000000	100.100471	110.3552
1975.000000	100.188370	110.4257
2000.000000	100.284637	110.4615
2030.000000	100.401688	110.5399
2060.000000	100.524239	110.5873
2090.000000	100.660278	110.5909
2120.000000	100.801750	110.5823
2140.000000	100.899307	110.5472
2180.000000	101.102348	110.3783
2200.000000	101.205811	110.2598
2240.000000	101.414291	109.9381
2270.000000	101.572685	109.6176
2300.000000	101.729713	109.2565
2330.000000	101.885391	108.8459
2360.000000	102.039078	108.3502
2400.000000	102.241188	107.6259
2430.000000	102.390167	106.9903
2470.000000	102.583641	106.0460
2500.000000	102.720581	105.2647
2540.000000	102.888725	104.1115
2580.000000	103.036514	102.8559
2620.000000	103.163971	101.5311
2650.000000	103.249474	100.4941
2690.000000	103.339790	99.0420
2720.000000	103.387726	97.9362
2760.000000	103.426697	96.4720
2800.000000	103.433304	95.0247
2850.000000	103.406952	93.3187
2900.000000	103.340576	91.7940
2950.000000	103.245232	90.5203
3000.000000	103.140976	89.5793
3040.000000	103.063927	88.9946
3070.000000	103.012543	88.5909
3110.000000	102.937103	88.0483
3150.000000	102.851631	87.6197
3200.000000	102.761940	87.2569
3250.000000	102.676895	86.9474
3300.000000	102.588173	86.6814
3350.000000	102.491829	86.5275
3400.000000	102.393257	86.4886
3450.000000	102.297554	86.5931
3500.000000	102.210999	86.8190
3550.000000	102.133316	87.1412
3600.000000	102.061905	87.5374
3650.000000	102.002701	88.0284
3700.000000	101.954918	88.5346
3750.000000	101.910202	89.1089
3820.000000	101.844711	90.0283
3870.000000	101.799347	90.8830
3950.000000	101.796440	92.6589
4000.000000	101.814163	93.8553
4060.000000	101.937302	95.3503
4120.000000	102.119316	96.4622
4180.000000	102.286697	97.3146
4250.000000	102.520935	98.2667
4310.000000	102.752922	98.7628
4370.000000	102.985863	98.9453
4440.000000	103.246864	98.8708
4500.000000	103.455040	98.6233
4550.000000	103.618629	98.3589
4620.000000	103.848236	97.9127
4680.000000	104.061142	97.3963
4750.000000	104.327850	96.4199
4820.000000	104.575348	94.8984
4870.000000	104.724426	93.5449
4940.000000	104.876320	91.2726
5000.000000	104.948097	89.0673
5080.000000	104.911209	85.8872
5150.000000	104.755623	83.2323
