* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -11.8 dBFS, measurement signal peak level -11.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 9, 2024 5:08:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0916 ms (-31 mm, -1.24 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.591331	-171.3940
20.600000	103.613861	-171.6125
20.900000	103.648376	-171.5610
21.200001	103.696793	-171.3749
21.400000	103.736267	-171.2408
21.799999	103.817886	-171.1127
22.000000	103.851120	-171.1653
22.400000	103.886063	-171.5027
22.700001	103.879288	-171.8885
23.000000	103.852448	-172.3111
23.299999	103.819778	-172.7318
23.600000	103.794693	-173.1585
24.000000	103.781105	-173.7974
24.299999	103.778267	-174.3327
24.700001	103.769356	-175.0190
25.000000	103.758339	-175.3997
25.400000	103.753922	-175.6483
25.799999	103.782700	-175.7228
26.200001	103.838791	-175.8859
26.500000	103.876678	-176.1555
26.900000	103.893822	-176.6025
27.200001	103.880463	-176.8537
27.600000	103.861023	-176.9335
28.000000	103.882401	-176.8548
28.500000	103.971016	-177.1240
29.000000	104.015732	-178.1655
29.500000	103.914734	-179.4243
30.000000	103.726448	-179.9454
30.400000	103.631172	-179.7401
30.700001	103.634850	-179.5415
31.100000	103.719620	-179.6826
31.500000	103.811409	179.5814
32.000000	103.831978	178.4539
32.500000	103.770325	178.0419
33.000000	103.763092	178.4391
33.500000	103.860336	178.7004
34.000000	103.946297	178.1382
34.500000	103.910660	177.1685
35.000000	103.793846	176.6263
35.500000	103.729904	176.6547
36.000000	103.773308	176.5770
36.500000	103.836639	175.9345
37.000000	103.819809	175.1149
37.500000	103.730896	174.7666
38.200001	103.651054	175.0604
38.700001	103.665413	175.0613
39.500000	103.670509	174.1324
40.000000	103.639229	173.4998
40.599998	103.630638	173.0486
41.200001	103.670197	172.7613
41.799999	103.710991	172.5487
42.500000	103.727592	172.4754
43.099998	103.730362	172.3709
43.700001	103.720406	171.9718
44.400002	103.685188	171.2785
45.000000	103.661598	170.7851
45.500000	103.661125	170.4856
46.200001	103.664742	170.1228
46.799999	103.639015	169.8428
47.500000	103.586815	169.5934
48.200001	103.564377	169.3086
48.700001	103.578094	168.9887
49.400002	103.609680	168.4318
50.000000	103.618591	168.0210
50.799999	103.596863	167.6816
51.500000	103.568092	167.3907
52.200001	103.541672	166.9294
53.000000	103.515083	166.3478
53.799999	103.500900	165.9113
54.500000	103.486961	165.5488
55.200001	103.453613	165.1766
56.000000	103.422729	164.8475
57.000000	103.417313	164.3774
58.000000	103.346138	164.1414
59.000000	103.312935	164.2484
60.000000	103.334396	163.3530
60.799999	103.288849	162.5374
61.500000	103.258850	162.3190
62.200001	103.261703	162.1655
63.000000	103.240105	161.7569
64.000000	103.181068	161.2985
65.000000	103.166229	160.9393
66.000000	103.164139	160.6085
67.000000	103.146912	160.1992
68.000000	103.102631	159.7864
69.000000	103.084366	159.4646
70.000000	103.059631	158.9521
71.000000	103.009682	158.5715
72.000000	102.995773	158.2178
73.000000	102.971184	157.7686
74.000000	102.933807	157.4420
75.000000	102.904884	156.9986
76.199997	102.860817	156.4494
77.500000	102.823112	156.0548
78.800003	102.778999	155.5880
80.000000	102.731117	155.1489
81.199997	102.700256	154.7701
82.500000	102.654778	154.2803
83.800003	102.605766	153.8180
85.000000	102.565338	153.4332
86.199997	102.526093	153.0502
87.500000	102.476913	152.6096
88.500000	102.444511	152.3030
90.000000	102.399338	151.8344
91.199997	102.352699	151.4395
92.500000	102.305664	151.0851
93.800003	102.254524	150.7003
95.000000	102.213860	150.3913
96.199997	102.174988	149.9884
97.500000	102.124496	149.6495
