* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2024 1:55:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.883	-115.9615
20.600000	97.958	-116.3919
20.900000	98.047	-116.8109
21.200001	98.146	-117.3389
21.400000	98.214	-117.7688
21.799999	98.340	-118.7702
22.000000	98.396	-119.3054
22.400000	98.493	-120.3591
22.700001	98.559	-121.0774
23.000000	98.623	-121.7225
23.299999	98.688	-122.3098
23.600000	98.751	-122.8627
24.000000	98.829	-123.5712
24.299999	98.880	-124.0781
24.700001	98.937	-124.7063
25.000000	98.977	-125.1445
25.400000	99.035	-125.7172
25.799999	99.101	-126.3315
26.200001	99.169	-127.0146
26.500000	99.218	-127.5556
26.900000	99.278	-128.2623
27.200001	99.320	-128.7505
27.600000	99.377	-129.3354
28.000000	99.438	-129.8772
28.500000	99.517	-130.5708
29.000000	99.587	-131.3138
29.500000	99.644	-132.0537
30.000000	99.696	-132.7355
30.400000	99.742	-133.2524
30.700001	99.779	-133.6453
31.100000	99.828	-134.1907
31.500000	99.872	-134.7455
32.000000	99.918	-135.3970
32.500000	99.964	-135.9736
33.000000	100.017	-136.5280
33.500000	100.074	-137.1249
34.000000	100.122	-137.7473
34.500000	100.160	-138.3203
35.000000	100.197	-138.8154
35.500000	100.240	-139.2875
36.000000	100.284	-139.7969
36.500000	100.320	-140.3338
37.000000	100.349	-140.8499
37.500000	100.378	-141.3336
38.200001	100.423	-142.0121
38.700001	100.457	-142.5093
39.500000	100.510	-143.2801
40.000000	100.544	-143.7355
40.599998	100.583	-144.2425
41.200001	100.625	-144.7196
41.799999	100.672	-145.2592
42.500000	100.708	-146.0095
43.099998	100.714	-146.5606
43.700001	100.729	-146.8976
44.400002	100.784	-147.2951
45.000000	100.825	-147.8394
45.500000	100.834	-148.2997
46.200001	100.839	-148.7047
46.799999	100.883	-148.9902
47.500000	100.948	-149.6691
48.200001	100.945	-150.5759
48.700001	100.898	-151.0091
49.400002	100.860	-151.1104
50.000000	100.913	-151.1231
50.799999	101.037	-151.7601
51.500000	101.065	-152.5570
52.200001	101.039	-152.8452
53.000000	101.076	-152.9432
53.799999	101.135	-153.6893
54.500000	101.130	-154.4126
55.200001	101.131	-154.7460
56.000000	101.177	-155.1057
57.000000	101.201	-155.7159
58.000000	101.222	-156.3281
59.000000	101.193	-157.0864
60.000000	101.165	-157.1508
60.799999	101.228	-157.2912
