* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2024 1:52:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Atmospheric tips
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.208	-119.2299
20.600000	98.308	-119.7668
20.900000	98.421	-120.3435
21.200001	98.530	-121.0253
21.400000	98.593	-121.5176
21.799999	98.688	-122.4746
22.000000	98.721	-122.8907
22.400000	98.774	-123.5558
22.700001	98.817	-123.9452
23.000000	98.871	-124.3307
23.299999	98.937	-124.7997
23.600000	99.005	-125.4017
24.000000	99.085	-126.3807
24.299999	99.130	-127.1529
24.700001	99.176	-128.0820
25.000000	99.210	-128.6471
25.400000	99.270	-129.2424
25.799999	99.347	-129.7655
26.200001	99.430	-130.3231
26.500000	99.485	-130.7838
26.900000	99.543	-131.4268
27.200001	99.577	-131.9044
27.600000	99.616	-132.5157
28.000000	99.659	-133.1051
28.500000	99.722	-133.8360
29.000000	99.791	-134.5565
29.500000	99.859	-135.2364
30.000000	99.922	-135.8696
30.400000	99.967	-136.3622
30.700001	99.997	-136.7349
31.100000	100.031	-137.2408
31.500000	100.060	-137.7502
32.000000	100.096	-138.3716
32.500000	100.136	-138.9577
33.000000	100.184	-139.5111
33.500000	100.237	-140.0560
34.000000	100.286	-140.6183
34.500000	100.326	-141.1966
35.000000	100.354	-141.7608
35.500000	100.379	-142.2885
36.000000	100.409	-142.7924
36.500000	100.443	-143.2973
37.000000	100.477	-143.8001
37.500000	100.507	-144.2741
38.200001	100.546	-144.8901
38.700001	100.574	-145.3479
39.500000	100.611	-146.1610
40.000000	100.629	-146.6679
40.599998	100.654	-147.2199
41.200001	100.686	-147.7145
41.799999	100.723	-148.1675
42.500000	100.762	-148.6677
43.099998	100.790	-149.1279
43.700001	100.807	-149.6494
44.400002	100.813	-150.2462
45.000000	100.828	-150.6597
45.500000	100.861	-150.9732
46.200001	100.925	-151.5156
46.799999	100.955	-152.0834
47.500000	100.940	-152.6189
48.200001	100.920	-152.8749
48.700001	100.939	-153.0529
49.400002	101.000	-153.5963
50.000000	101.040	-154.2466
50.799999	101.054	-154.8858
51.500000	101.061	-155.1453
52.200001	101.072	-155.4145
53.000000	101.072	-155.8505
53.799999	101.081	-156.3080
54.500000	101.106	-156.7197
55.200001	101.131	-157.1284
56.000000	101.151	-157.5930
57.000000	101.149	-158.2154
58.000000	101.144	-158.6677
59.000000	101.178	-159.1000
60.000000	101.203	-159.6391
60.799999	101.213	-159.9643
61.500000	101.226	-160.2234
62.200001	101.234	-160.5151
63.000000	101.237	-160.8653
64.000000	101.248	-161.3394
65.000000	101.268	-161.8756
66.000000	101.279	-162.3120
67.000000	101.285	-162.6544
68.000000	101.277	-163.0707
69.000000	101.282	-163.5031
70.000000	101.310	-164.0291
71.000000	101.313	-164.3885
72.000000	101.313	-164.5984
73.000000	101.312	-164.9947
74.000000	101.316	-165.3628
75.000000	101.335	-165.6164
76.199997	101.334	-165.9844
77.500000	101.318	-166.4819
78.800003	101.336	-166.9084
80.000000	101.346	-167.2643
81.199997	101.341	-167.6609
82.500000	101.341	-168.0582
83.800003	101.339	-168.4166
85.000000	101.341	-168.7630
86.199997	101.344	-169.1558
87.500000	101.342	-169.4848
88.500000	101.344	-169.7434
90.000000	101.332	-170.1436
91.199997	101.330	-170.4483
92.500000	101.329	-170.7995
93.800003	101.330	-171.1233
95.000000	101.325	-171.4085
96.199997	101.323	-171.6845
97.500000	101.310	-172.0143
98.800003	101.310	-172.2894
100.000000	101.306	-172.5890
101.500000	101.299	-172.9096
103.000000	101.295	-173.2490
104.400002	101.285	-173.5345
106.000000	101.278	-173.8981
107.500000	101.274	-174.1649
109.000000	101.262	-174.4766
110.599998	101.252	-174.7883
112.000000	101.243	-175.0738
113.800003	101.234	-175.4099
115.000000	101.223	-175.6115
117.199997	101.210	-176.0418
118.000000	101.208	-176.1530
120.599998	101.178	-176.5461
122.000000	101.176	-176.8696
124.099998	101.158	-177.1776
125.000000	101.152	-177.3323
126.500000	101.139	-177.5836
128.000000	101.130	-177.8026
131.500000	101.098	-178.3221
132.000000	101.095	-178.3971
134.000000	101.075	-178.7211
136.000000	101.058	-179.0060
138.000000	101.043	-179.2934
140.000000	101.021	-179.5516
143.000000	100.994	-179.9625
145.000000	100.974	179.7797
147.500000	100.950	179.4637
150.000000	100.919	179.1240
152.500000	100.894	178.8600
155.000000	100.866	178.5563
157.500000	100.840	178.2944
160.000000	100.800	177.9638
162.500000	100.776	177.7322
165.000000	100.739	177.4866
167.500000	100.704	177.2477
170.000000	100.661	177.0278
172.500000	100.622	176.8441
175.000000	100.584	176.7082
177.500000	100.542	176.6179
180.000000	100.488	176.7175
182.500000	100.469	176.5522
185.000000	100.457	176.6003
187.500000	100.457	176.5746
190.000000	100.457	176.4520
192.500000	100.457	176.2837
195.000000	100.456	176.0436
197.500000	100.439	175.8340
200.000000	100.424	175.5938
203.000000	100.398	175.3174
206.000000	100.370	175.0684
209.000000	100.335	174.8584
212.000000	100.303	174.6461
214.000000	100.287	174.4850
218.000000	100.236	174.2277
220.000000	100.215	174.1223
224.000000	100.166	173.8900
227.000000	100.133	173.7193
230.000000	100.095	173.5678
233.000000	100.064	173.4317
236.000000	100.029	173.3055
240.000000	99.992	173.1485
243.000000	99.946	172.9871
247.000000	99.899	172.8662
250.000000	99.865	172.7614
254.000000	99.818	172.6292
258.000000	99.770	172.5215
262.000000	99.722	172.4027
265.000000	99.684	172.3333
269.000000	99.640	172.2447
272.000000	99.605	172.1680
276.000000	99.558	172.0933
280.000000	99.511	172.0373
285.000000	99.453	171.9546
290.000000	99.394	171.9309
295.000000	99.339	171.8824
300.000000	99.280	171.8494
304.000000	99.234	171.8405
307.000000	99.202	171.8397
311.000000	99.161	171.8450
315.000000	99.121	171.8463
320.000000	99.068	171.8141
325.000000	99.018	171.8295
330.000000	98.967	171.8386
335.000000	98.910	171.8521
340.000000	98.854	171.8716
345.000000	98.799	171.9114
350.000000	98.742	171.9587
355.000000	98.686	172.0405
360.000000	98.631	172.1464
365.000000	98.580	172.2582
370.000000	98.531	172.4124
375.000000	98.489	172.5612
382.000000	98.432	172.7383
387.000000	98.394	172.8595
395.000000	98.330	173.0129
400.000000	98.290	173.1182
406.000000	98.238	173.2142
412.000000	98.188	173.3645
418.000000	98.136	173.4874
425.000000	98.074	173.6594
431.000000	98.023	173.8164
437.000000	97.973	173.9843
444.000000	97.915	174.1923
450.000000	97.863	174.3853
455.000000	97.822	174.5483
462.000000	97.765	174.7938
468.000000	97.719	175.0065
475.000000	97.664	175.2442
482.000000	97.611	175.5217
487.000000	97.570	175.6957
494.000000	97.521	175.9808
500.000000	97.477	176.2278
508.000000	97.419	176.5609
515.000000	97.371	176.8514
522.000000	97.321	177.1649
530.000000	97.268	177.5291
538.000000	97.216	177.8961
545.000000	97.170	178.2205
552.000000	97.127	178.5618
560.000000	97.079	178.9402
570.000000	97.021	179.4626
580.000000	96.964	179.9521
590.000000	96.908	-179.5286
600.000000	96.854	-178.9808
608.000000	96.814	-178.5540
615.000000	96.782	-178.1802
622.000000	96.745	-177.7888
630.000000	96.708	-177.3438
640.000000	96.665	-176.7702
650.000000	96.620	-176.1921
660.000000	96.584	-175.6315
670.000000	96.543	-175.0124
680.000000	96.506	-174.4202
690.000000	96.472	-173.8145
700.000000	96.440	-173.1876
710.000000	96.410	-172.5753
720.000000	96.381	-171.9281
730.000000	96.355	-171.3128
740.000000	96.332	-170.6696
750.000000	96.309	-170.0251
762.000000	96.280	-169.2372
775.000000	96.255	-168.3750
788.000000	96.229	-167.4804
800.000000	96.209	-166.6292
812.000000	96.197	-165.6899
825.000000	96.190	-164.6991
838.000000	96.197	-163.6831
850.000000	96.206	-162.7879
862.000000	96.228	-161.8569
875.000000	96.257	-160.8916
885.000000	96.279	-160.1636
900.000000	96.325	-159.0767
