* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2026, 9:05:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.669	-162.0116
20.299999	110.677	-162.6557
20.600000	110.680	-163.2838
20.900000	110.680	-163.8800
21.200001	110.681	-164.4389
21.400000	110.684	-164.7987
21.799999	110.694	-165.5140
22.000000	110.700	-165.8817
22.400000	110.711	-166.6513
22.700001	110.713	-167.2457
23.000000	110.708	-167.8277
23.299999	110.698	-168.3714
23.600000	110.687	-168.8663
24.000000	110.675	-169.4589
24.299999	110.672	-169.8806
24.700001	110.676	-170.4558
25.000000	110.680	-170.9158
25.400000	110.682	-171.5647
25.799999	110.677	-172.2220
26.200001	110.664	-172.8481
26.500000	110.653	-173.2844
26.900000	110.639	-173.8245
27.200001	110.631	-174.2114
27.600000	110.626	-174.7253
28.000000	110.622	-175.2565
28.500000	110.616	-175.9500
29.000000	110.604	-176.6490
29.500000	110.585	-177.3186
30.000000	110.565	-177.9461
30.400000	110.550	-178.4279
30.700001	110.539	-178.7839
31.100000	110.524	-179.2531
31.500000	110.508	-179.7110
32.000000	110.489	179.7393
32.500000	110.471	179.2040
33.000000	110.455	178.6586
33.500000	110.435	178.0991
34.000000	110.411	177.5525
34.500000	110.384	177.0446
35.000000	110.360	176.5663
35.500000	110.339	176.0854
36.000000	110.318	175.5880
36.500000	110.295	175.0906
37.000000	110.269	174.6113
37.500000	110.245	174.1451
38.200001	110.210	173.4948
38.700001	110.182	173.0439
39.500000	110.140	172.3705
40.000000	110.117	171.9515
40.599998	110.087	171.4337
41.200001	110.051	170.9420
41.799999	110.017	170.4988
42.500000	109.986	169.9653
43.099998	109.955	169.4425
43.700001	109.910	168.9385
44.400002	109.855	168.4767
45.000000	109.824	168.1187
45.500000	109.804	167.7521
46.200001	109.763	167.1644
46.799999	109.715	166.7384
47.500000	109.672	166.3538
48.200001	109.646	165.8898
48.700001	109.620	165.4974
49.400002	109.568	165.0331
50.000000	109.532	164.7312
50.799999	109.494	164.2556
51.500000	109.442	163.8583
52.200001	109.401	163.6299
53.000000	109.392	163.2002
53.799999	109.343	162.4525
54.500000	109.255	162.0178
55.200001	109.193	161.8232
56.000000	109.152	161.4372
57.000000	109.071	160.8431
58.000000	108.999	160.4098
59.000000	108.937	159.8971
60.000000	108.873	159.3872
60.799999	108.818	158.9850
61.500000	108.768	158.6774
