* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2026, 9:11:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.767	-163.3026
20.299999	110.769	-163.9156
20.600000	110.770	-164.5083
20.900000	110.771	-165.0853
21.200001	110.773	-165.6518
21.400000	110.774	-166.0256
21.799999	110.776	-166.7638
22.000000	110.776	-167.1274
22.400000	110.775	-167.8409
22.700001	110.774	-168.3630
23.000000	110.773	-168.8758
23.299999	110.772	-169.3836
23.600000	110.770	-169.8897
24.000000	110.767	-170.5636
24.299999	110.762	-171.0648
24.700001	110.753	-171.7179
25.000000	110.745	-172.1899
25.400000	110.733	-172.7920
25.799999	110.722	-173.3687
26.200001	110.713	-173.9320
26.500000	110.707	-174.3527
26.900000	110.700	-174.9150
27.200001	110.693	-175.3368
27.600000	110.683	-175.8948
28.000000	110.671	-176.4418
28.500000	110.655	-177.1058
29.000000	110.639	-177.7509
29.500000	110.622	-178.3832
30.000000	110.603	-179.0035
30.400000	110.588	-179.4879
30.700001	110.575	-179.8430
31.100000	110.559	179.6930
31.500000	110.543	179.2363
32.000000	110.522	178.6714
32.500000	110.500	178.1153
33.000000	110.477	177.5737
33.500000	110.454	177.0457
34.000000	110.430	176.5240
34.500000	110.406	176.0060
35.000000	110.381	175.4984
35.500000	110.354	175.0085
36.000000	110.329	174.5334
36.500000	110.304	174.0651
37.000000	110.279	173.5986
37.500000	110.254	173.1344
38.200001	110.217	172.4907
38.700001	110.189	172.0409
39.500000	110.142	171.3588
40.000000	110.114	170.9510
40.599998	110.081	170.4613
41.200001	110.046	169.9715
41.799999	110.009	169.5021
42.500000	109.967	168.9825
43.099998	109.933	168.5395
43.700001	109.899	168.0920
44.400002	109.856	167.5699
45.000000	109.816	167.1335
45.500000	109.782	166.7993
46.200001	109.740	166.3739
46.799999	109.713	165.9731
47.500000	109.673	165.4080
48.200001	109.612	164.8877
48.700001	109.568	164.6153
49.400002	109.524	164.2750
50.000000	109.492	163.9172
50.799999	109.439	163.4210
51.500000	109.393	163.0327
52.200001	109.350	162.6226
53.000000	109.292	162.1658
53.799999	109.237	161.7696
54.500000	109.192	161.4009
55.200001	109.142	161.0357
56.000000	109.086	160.6575
57.000000	109.018	160.1657
58.000000	108.949	159.7014
59.000000	108.877	159.1956
60.000000	108.795	158.7992
60.799999	108.747	158.5182
61.500000	108.705	158.1836
62.200001	108.651	157.8632
63.000000	108.591	157.5754
64.000000	108.524	157.1990
65.000000	108.452	156.8322
66.000000	108.382	156.4838
67.000000	108.309	156.1263
68.000000	108.234	155.8189
69.000000	108.166	155.4967
70.000000	108.089	155.1565
71.000000	108.016	154.8954
72.000000	107.946	154.5513
73.000000	107.861	154.3070
74.000000	107.801	154.1315
75.000000	107.738	153.8091
76.199997	107.650	153.5390
77.500000	107.561	153.2211
78.800003	107.471	152.9778
80.000000	107.385	152.7029
81.199997	107.298	152.5158
82.500000	107.211	152.2554
83.800003	107.117	152.0455
85.000000	107.035	151.8584
86.199997	106.954	151.6971
87.500000	106.865	151.5016
88.500000	106.795	151.4133
90.000000	106.699	151.2243
91.199997	106.613	151.1069
92.500000	106.529	150.9960
93.800003	106.444	150.8773
95.000000	106.367	150.7731
96.199997	106.288	150.6923
97.500000	106.206	150.6210
98.800003	106.121	150.5838
100.000000	106.049	150.5378
101.500000	105.953	150.4981
103.000000	105.863	150.4532
104.400002	105.779	150.4412
106.000000	105.682	150.4169
107.500000	105.597	150.4417
109.000000	105.510	150.4391
110.599998	105.415	150.4720
112.000000	105.336	150.5159
113.800003	105.239	150.5768
115.000000	105.171	150.6516
117.199997	105.052	150.7783
118.000000	105.014	150.8102
120.599998	104.875	151.1111
122.000000	104.804	151.0308
124.099998	104.701	151.1642
125.000000	104.651	151.2799
126.500000	104.594	151.4225
128.000000	104.521	151.5392
131.500000	104.360	151.9037
132.000000	104.337	151.9648
134.000000	104.251	152.1723
136.000000	104.172	152.4038
