* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 9, 2024 5:13:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.742210	1.4110
20.600000	94.747894	0.2408
20.900000	94.737930	-0.8874
21.200001	94.718361	-1.9865
21.400000	94.704353	-2.6699
21.799999	94.687752	-3.8875
22.000000	94.689552	-4.4279
22.400000	94.713715	-5.4193
22.700001	94.741882	-6.1282
23.000000	94.767601	-6.8166
23.299999	94.782524	-7.4666
23.600000	94.783630	-8.0507
24.000000	94.769653	-8.7116
24.299999	94.756142	-9.1612
24.700001	94.742027	-9.8140
25.000000	94.732689	-10.4180
25.400000	94.713791	-11.4076
25.799999	94.680954	-12.5338
26.200001	94.638969	-13.6693
26.500000	94.609215	-14.4753
26.900000	94.579361	-15.4875
27.200001	94.564011	-16.2209
27.600000	94.544495	-17.1842
28.000000	94.517555	-18.1108
28.500000	94.473083	-19.1600
29.000000	94.433258	-20.1092
29.500000	94.407272	-21.0816
30.000000	94.382729	-22.1456
30.400000	94.354424	-23.0048
30.700001	94.328468	-23.6052
31.100000	94.293358	-24.3223
31.500000	94.263672	-24.9788
32.000000	94.232422	-25.8159
32.500000	94.196205	-26.7295
33.000000	94.149689	-27.6769
33.500000	94.101395	-28.6013
34.000000	94.060532	-29.4967
34.500000	94.025681	-30.3673
35.000000	93.991241	-31.1819
35.500000	93.957733	-31.9202
36.000000	93.928345	-32.6311
36.500000	93.899612	-33.3910
37.000000	93.863342	-34.2137
37.500000	93.817703	-35.0400
38.200001	93.754105	-36.1054
38.700001	93.719070	-36.8192
39.500000	93.675186	-37.9885
40.000000	93.646217	-38.7573
40.599998	93.603394	-39.7129
41.200001	93.547485	-40.6747
41.799999	93.479599	-41.5776
42.500000	93.400925	-42.5093
43.099998	93.346581	-43.2668
43.700001	93.300919	-44.0596
44.400002	93.246025	-44.9995
45.000000	93.196762	-45.7574
45.500000	93.157013	-46.3601
46.200001	93.102745	-47.2107
46.799999	93.055061	-47.9651
47.500000	92.998703	-48.8540
48.200001	92.941803	-49.7115
48.700001	92.900734	-50.2801
49.400002	92.845322	-51.0332
50.000000	92.798492	-51.7048
50.799999	92.727097	-52.6590
51.500000	92.661537	-53.4467
52.200001	92.608940	-54.1845
53.000000	92.553101	-55.0783
53.799999	92.480217	-55.9464
54.500000	92.420006	-56.6097
55.200001	92.375122	-57.2946
56.000000	92.320618	-58.1543
57.000000	92.238678	-59.1790
58.000000	92.156937	-60.2183
59.000000	92.073112	-61.1946
60.000000	92.006279	-62.1182
60.799999	91.939117	-62.8783
61.500000	91.875732	-63.4481
62.200001	91.830505	-64.0375
63.000000	91.778831	-64.8826
64.000000	91.686455	-65.8095
65.000000	91.624046	-66.5083
66.000000	91.565125	-67.3789
67.000000	91.489174	-68.2606
68.000000	91.407692	-69.1067
69.000000	91.344559	-69.7050
70.000000	91.316177	-70.5878
71.000000	91.207085	-71.6332
72.000000	91.118675	-72.2300
73.000000	91.075172	-73.0782
74.000000	90.995552	-73.7924
75.000000	90.941254	-74.4352
76.199997	90.864372	-75.4251
77.500000	90.782959	-76.3929
78.800003	90.663834	-77.1113
80.000000	90.576920	-78.0052
81.199997	90.511360	-79.0394
82.500000	90.456085	-79.7281
83.800003	90.394890	-80.4660
85.000000	90.289246	-81.3482
86.199997	90.232407	-81.9702
87.500000	90.166695	-82.9055
88.500000	90.091393	-83.4148
90.000000	90.016037	-84.1725
91.199997	89.927521	-85.0149
92.500000	89.860199	-85.8484
93.800003	89.821152	-86.5505
95.000000	89.778519	-87.0661
96.199997	89.690880	-87.7577
97.500000	89.608986	-88.7078
98.800003	89.550102	-89.5466
100.000000	89.506653	-89.8939
101.500000	89.421829	-90.6118
103.000000	89.368385	-91.4722
104.400002	89.270546	-92.2172
106.000000	89.193398	-92.8993
107.500000	89.120880	-93.8383
109.000000	89.055305	-94.3867
110.599998	88.992592	-95.2845
112.000000	88.935776	-95.9465
113.800003	88.858604	-96.7838
115.000000	88.787148	-97.4297
117.199997	88.680847	-98.3699
118.000000	88.652306	-98.6275
120.599998	88.525635	-99.8837
122.000000	88.529556	-100.4970
124.099998	88.452614	-101.2738
125.000000	88.412766	-101.6833
126.500000	88.359695	-102.2131
