* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2026 3:22:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.726	-166.8556
20.299999	109.731	-167.3874
20.600000	109.732	-167.9234
20.900000	109.729	-168.4428
21.200001	109.723	-168.9298
21.400000	109.719	-169.2351
21.799999	109.716	-169.8210
22.000000	109.717	-170.1144
22.400000	109.720	-170.7234
22.700001	109.721	-171.2040
23.000000	109.717	-171.6926
23.299999	109.709	-172.1712
23.600000	109.697	-172.6245
24.000000	109.681	-173.1824
24.299999	109.671	-173.5759
24.700001	109.660	-174.0891
25.000000	109.653	-174.4746
25.400000	109.644	-174.9886
25.799999	109.633	-175.4927
26.200001	109.623	-175.9825
26.500000	109.616	-176.3450
26.900000	109.608	-176.8303
27.200001	109.601	-177.1977
27.600000	109.589	-177.6854
28.000000	109.574	-178.1592
28.500000	109.553	-178.7194
29.000000	109.533	-179.2471
29.500000	109.513	-179.7527
30.000000	109.493	179.7563
30.400000	109.478	179.3709
30.700001	109.467	179.0850
31.100000	109.451	178.7078
31.500000	109.434	178.3377
32.000000	109.414	177.8870
32.500000	109.395	177.4422
33.000000	109.376	176.9894
33.500000	109.354	176.5290
34.000000	109.329	176.0807
34.500000	109.303	175.6599
35.000000	109.278	175.2596
35.500000	109.255	174.8635
36.000000	109.233	174.4679
36.500000	109.210	174.0789
37.000000	109.187	173.6965
37.500000	109.164	173.3165
38.200001	109.130	172.7992
38.700001	109.105	172.4507
39.500000	109.067	171.9111
40.000000	109.044	171.5732
40.599998	109.015	171.1727
41.200001	108.987	170.7712
41.799999	108.955	170.3626
42.500000	108.913	169.9213
43.099998	108.880	169.5913
43.700001	108.853	169.2466
44.400002	108.817	168.8058
45.000000	108.782	168.4709
45.500000	108.757	168.2182
46.200001	108.728	167.8068
46.799999	108.691	167.4318
47.500000	108.642	167.1229
48.200001	108.615	166.8496
48.700001	108.599	166.5628
49.400002	108.555	166.1577
50.000000	108.517	165.9362
50.799999	108.493	165.5830
51.500000	108.455	165.1177
52.200001	108.394	164.8307
53.000000	108.367	164.6333
53.799999	108.350	164.0732
54.500000	108.281	163.5688
55.200001	108.208	163.3999
56.000000	108.174	163.2773
57.000000	108.137	162.8093
58.000000	108.069	162.4312
59.000000	108.021	162.1574
60.000000	107.979	161.7561
60.799999	107.927	161.3997
61.500000	107.873	161.1970
62.200001	107.832	161.0788
63.000000	107.803	160.8593
64.000000	107.751	160.4232
65.000000	107.677	160.1057
66.000000	107.620	159.8929
67.000000	107.575	159.6156
68.000000	107.524	159.2744
69.000000	107.461	158.9689
70.000000	107.402	158.7684
71.000000	107.353	158.5594
72.000000	107.303	158.3260
73.000000	107.254	158.0726
74.000000	107.195	157.8007
75.000000	107.133	157.6147
76.199997	107.072	157.3811
77.500000	107.004	157.1112
78.800003	106.934	156.8358
80.000000	106.869	156.6333
81.199997	106.805	156.4079
82.500000	106.733	156.2090
83.800003	106.663	156.0282
85.000000	106.605	155.8672
86.199997	106.546	155.6771
87.500000	106.481	155.5015
88.500000	106.432	155.3672
90.000000	106.357	155.1554
91.199997	106.295	155.0157
92.500000	106.230	154.8564
93.800003	106.163	154.6948
95.000000	106.101	154.5789
96.199997	106.042	154.4602
97.500000	105.977	154.3501
98.800003	105.917	154.2490
100.000000	105.860	154.1504
101.500000	105.793	154.0461
103.000000	105.723	153.9518
104.400002	105.662	153.9027
106.000000	105.592	153.8731
107.500000	105.522	153.8144
109.000000	105.448	153.7911
110.599998	105.369	153.7290
112.000000	105.303	153.6707
113.800003	105.228	153.5768
115.000000	105.177	153.5321
117.199997	105.089	153.5145
118.000000	105.057	153.5249
120.599998	104.946	153.4973
122.000000	104.886	153.5426
124.099998	104.801	153.5196
125.000000	104.767	153.5309
126.500000	104.708	153.5251
128.000000	104.650	153.5722
131.500000	104.514	153.6426
132.000000	104.493	153.6576
134.000000	104.423	153.7069
136.000000	104.349	153.7892
138.000000	104.275	153.8562
140.000000	104.207	153.9236
143.000000	104.099	154.0543
145.000000	104.032	154.1321
147.500000	103.952	154.2920
150.000000	103.870	154.4254
