* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 1, 2024 5:03:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UUDD L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.642609	-150.4634
20.600000	99.703270	-150.9653
20.900000	99.750771	-151.4529
21.200001	99.787216	-151.9512
21.400000	99.806503	-152.2788
21.799999	99.839211	-152.9032
22.000000	99.855667	-153.1979
22.400000	99.893585	-153.7662
22.700001	99.927879	-154.1971
23.000000	99.965057	-154.6476
23.299999	100.001442	-155.1193
23.600000	100.033485	-155.5993
24.000000	100.066925	-156.2126
24.299999	100.087128	-156.6297
24.700001	100.113953	-157.1265
25.000000	100.137848	-157.4803
25.400000	100.175705	-157.9768
25.799999	100.215027	-158.5369
26.200001	100.248482	-159.1432
26.500000	100.268013	-159.5921
26.900000	100.290268	-160.1366
27.200001	100.308418	-160.4935
27.600000	100.339409	-160.9267
28.000000	100.377396	-161.3596
28.500000	100.424438	-161.9515
29.000000	100.459572	-162.5732
29.500000	100.484680	-163.1620
30.000000	100.511490	-163.7126
30.400000	100.537674	-164.1606
30.700001	100.558243	-164.5143
31.100000	100.583252	-165.0010
31.500000	100.603851	-165.4740
32.000000	100.627617	-166.0105
32.500000	100.656189	-166.5049
33.000000	100.689415	-167.0217
33.500000	100.719269	-167.5899
34.000000	100.739670	-168.1743
34.500000	100.753036	-168.7280
35.000000	100.766197	-169.2430
35.500000	100.782669	-169.7448
36.000000	100.801163	-170.2542
36.500000	100.819595	-170.7712
37.000000	100.837196	-171.2878
37.500000	100.853622	-171.7995
38.200001	100.873711	-172.5008
38.700001	100.886543	-172.9899
39.500000	100.906235	-173.7751
40.000000	100.916580	-174.2727
40.599998	100.926697	-174.8469
41.200001	100.939026	-175.3761
41.799999	100.956123	-175.8936
42.500000	100.973267	-176.5379
43.099998	100.978424	-177.1049
43.700001	100.979980	-177.6518
44.400002	100.986412	-178.2866
45.000000	100.993240	-178.8364
45.500000	100.997658	-179.2690
46.200001	101.005829	-179.8239
46.799999	101.015121	179.6932
47.500000	101.019966	179.0851
48.200001	101.018463	178.4833
48.700001	101.019814	178.0659
49.400002	101.024338	177.4622
50.000000	101.022354	176.9451
50.799999	101.012558	176.3431
51.500000	101.011169	175.8654
52.200001	101.015373	175.3145
53.000000	101.008156	174.6037
53.799999	100.993416	173.9771
54.500000	100.993690	173.4836
55.200001	100.995270	172.9304
56.000000	100.976547	172.3073
57.000000	100.956734	171.6050
58.000000	100.942978	170.8251
59.000000	100.950966	170.3170
