* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 1, 2024 4:59:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UUDD R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.709572	-156.0754
20.600000	99.741417	-156.6791
20.900000	99.764015	-157.2333
21.200001	99.783760	-157.7840
21.400000	99.796936	-158.1490
21.799999	99.824966	-158.8723
22.000000	99.839920	-159.2295
22.400000	99.870728	-159.9300
22.700001	99.893570	-160.4376
23.000000	99.915794	-160.9268
23.299999	99.937592	-161.3984
23.600000	99.959435	-161.8578
24.000000	99.988998	-162.4663
24.299999	100.010872	-162.9279
24.700001	100.038116	-163.5500
25.000000	100.056488	-164.0117
25.400000	100.079071	-164.6045
25.799999	100.101944	-165.1656
26.200001	100.126801	-165.7116
26.500000	100.146042	-166.1272
26.900000	100.169502	-166.7021
27.200001	100.183708	-167.1466
27.600000	100.197929	-167.7424
28.000000	100.209335	-168.3304
28.500000	100.224548	-169.0604
29.000000	100.240974	-169.8038
29.500000	100.253906	-170.5427
30.000000	100.263229	-171.2190
30.400000	100.273155	-171.6991
30.700001	100.284615	-172.0398
31.100000	100.304840	-172.5047
31.500000	100.325500	-173.0122
32.000000	100.341949	-173.6976
32.500000	100.344498	-174.3751
33.000000	100.341774	-174.9901
33.500000	100.344254	-175.5589
34.000000	100.353188	-176.1359
34.500000	100.361755	-176.7426
35.000000	100.364128	-177.3509
35.500000	100.361572	-177.9263
36.000000	100.359970	-178.4696
36.500000	100.363327	-179.0129
37.000000	100.370323	-179.5855
37.500000	100.376274	179.8156
38.200001	100.376938	179.0005
38.700001	100.373375	178.4747
39.500000	100.367310	177.6979
40.000000	100.361763	177.2013
40.599998	100.349251	176.5809
41.200001	100.332802	175.9651
41.799999	100.320045	175.3686
42.500000	100.314537	174.6658
43.099998	100.311958	174.0354
43.700001	100.303215	173.4042
44.400002	100.283638	172.7305
45.000000	100.265602	172.2166
45.500000	100.253365	171.7942
46.200001	100.237724	171.1515
46.799999	100.221306	170.5569
47.500000	100.199966	169.8659
48.200001	100.178726	169.2123
48.700001	100.162598	168.7800
49.400002	100.140518	168.2193
50.000000	100.124413	167.7277
50.799999	100.098495	167.0005
51.500000	100.066833	166.3866
52.200001	100.038452	165.8506
53.000000	100.012337	165.2278
53.799999	99.980316	164.5644
54.500000	99.952698	163.9905
55.200001	99.925903	163.4211
56.000000	99.889069	162.8363
57.000000	99.847420	162.1131
58.000000	99.794830	161.2723
59.000000	99.771042	160.6632
60.000000	99.771156	159.8498
60.799999	99.697266	159.1719
61.500000	99.622017	158.8350
62.200001	99.587601	158.4557
63.000000	99.557640	157.7745
64.000000	99.493713	157.0881
65.000000	99.449959	156.5245
66.000000	99.392128	155.7725
67.000000	99.333847	155.1544
68.000000	99.288818	154.5447
69.000000	99.224457	153.9455
70.000000	99.164757	153.3065
71.000000	99.098946	152.6370
72.000000	99.045334	152.1335
73.000000	98.994606	151.5667
74.000000	98.921448	151.0328
75.000000	98.859207	150.5067
76.199997	98.786438	149.8156
77.500000	98.707397	149.1365
78.800003	98.618523	148.4736
80.000000	98.547523	147.8517
81.199997	98.473038	147.2018
82.500000	98.378754	146.6232
83.800003	98.295708	146.0260
85.000000	98.214958	145.4565
86.199997	98.131325	144.9328
87.500000	98.042534	144.3435
88.500000	97.972580	143.9194
90.000000	97.869720	143.3023
91.199997	97.785225	142.7931
92.500000	97.693474	142.2434
93.800003	97.601044	141.7601
95.000000	97.516495	141.2743
96.199997	97.433617	140.8499
97.500000	97.341499	140.3855
98.800003	97.244591	139.9217
100.000000	97.159622	139.4865
101.500000	97.049118	138.9972
103.000000	96.941795	138.5284
104.400002	96.838249	138.0735
106.000000	96.721764	137.5976
107.500000	96.610504	137.1656
109.000000	96.494080	136.6777
110.599998	96.380234	136.2405
112.000000	96.269295	135.9732
113.800003	96.144287	135.4812
115.000000	96.045120	135.1965
117.199997	95.878754	134.6859
118.000000	95.821152	134.7715
120.599998	95.502060	133.7938
122.000000	95.538239	133.5155
124.099998	95.365082	133.3772
125.000000	95.280449	133.1052
126.500000	95.178581	132.9468
128.000000	95.061340	132.6752
131.500000	94.826363	132.1451
132.000000	94.795029	132.0402
134.000000	94.625900	131.8365
136.000000	94.483093	131.5301
138.000000	94.328583	131.4517
140.000000	94.197418	131.2633
143.000000	93.980446	130.9294
145.000000	93.837082	130.7804
147.500000	93.646759	130.5737
150.000000	93.454857	130.4019
152.500000	93.293091	130.2347
155.000000	93.092529	130.2303
157.500000	92.904922	130.1537
160.000000	92.728287	130.2362
162.500000	92.518715	130.2573
165.000000	92.373627	130.3128
167.500000	92.205978	130.4139
170.000000	92.047417	130.5509
172.500000	91.885696	130.7598
175.000000	91.709824	130.9821
177.500000	91.554443	131.1952
180.000000	91.359093	131.3258
182.500000	91.238098	131.5382
185.000000	91.091011	131.8069
187.500000	90.937973	132.1192
190.000000	90.781555	132.3353
192.500000	90.625420	132.5675
195.000000	90.487549	132.8871
197.500000	90.333946	133.2441
200.000000	90.183319	133.5800
203.000000	90.018753	134.0507
206.000000	89.849274	134.5796
209.000000	89.690712	135.0967
212.000000	89.538498	135.6194
214.000000	89.439636	136.0188
218.000000	89.235413	136.7256
220.000000	89.133247	137.1279
224.000000	88.941109	137.9860
227.000000	88.804459	138.6102
230.000000	88.670891	139.2820
233.000000	88.537453	139.9024
236.000000	88.412674	140.6757
240.000000	88.248917	141.6468
243.000000	88.146378	142.3540
247.000000	87.989532	143.2977
250.000000	87.895531	144.0515
254.000000	87.763031	145.0166
258.000000	87.636543	146.0845
262.000000	87.516571	147.0562
265.000000	87.439606	147.8834
269.000000	87.334396	148.9412
272.000000	87.263542	149.7062
276.000000	87.179688	150.6990
280.000000	87.090546	151.7403
285.000000	87.006256	152.9426
290.000000	86.915329	154.1960
295.000000	86.848373	155.4695
300.000000	86.740173	156.5598
304.000000	86.732666	157.5921
307.000000	86.696503	158.3011
311.000000	86.654175	159.2428
315.000000	86.619598	160.0763
320.000000	86.585487	161.1942
325.000000	86.548027	162.2827
330.000000	86.522537	163.3403
335.000000	86.493652	164.3046
340.000000	86.474930	165.3448
345.000000	86.455505	166.2933
350.000000	86.449242	167.2343
355.000000	86.439415	168.1657
360.000000	86.432732	169.0618
365.000000	86.424995	169.9374
370.000000	86.427628	170.8372
375.000000	86.428001	171.6768
382.000000	86.444313	172.8174
387.000000	86.443481	173.5509
395.000000	86.466797	174.7739
400.000000	86.482773	175.4902
406.000000	86.500481	176.3186
412.000000	86.524307	177.0928
418.000000	86.555244	177.7444
425.000000	86.562050	178.6431
431.000000	86.579903	179.2785
437.000000	86.587425	-179.9788
444.000000	86.609360	-179.2614
450.000000	86.630081	-178.5659
455.000000	86.645599	-178.0442
462.000000	86.664551	-177.3616
468.000000	86.676674	-176.7313
475.000000	86.695343	-176.0671
482.000000	86.725655	-175.3394
487.000000	86.737640	-174.9064
494.000000	86.751694	-174.2520
500.000000	86.766190	-173.6950
508.000000	86.788742	-173.0043
515.000000	86.812782	-172.4031
522.000000	86.832779	-171.7818
530.000000	86.857224	-171.1335
538.000000	86.875618	-170.4913
545.000000	86.891502	-169.9093
552.000000	86.909973	-169.3578
560.000000	86.933350	-168.7376
570.000000	86.968864	-167.9217
580.000000	86.986732	-167.1882
590.000000	87.011963	-166.4054
600.000000	87.036758	-165.6609
608.000000	87.057098	-165.1288
615.000000	87.073181	-164.5823
622.000000	87.096352	-164.0913
630.000000	87.114410	-163.5019
640.000000	87.138596	-162.8086
650.000000	87.160034	-162.0732
660.000000	87.167526	-161.0789
670.000000	87.210388	-160.7113
680.000000	87.244446	-159.9644
690.000000	87.268021	-159.2535
700.000000	87.293304	-158.5529
710.000000	87.319557	-157.9090
720.000000	87.349091	-157.1682
730.000000	87.378922	-156.4674
740.000000	87.404099	-155.7809
750.000000	87.435005	-155.0850
762.000000	87.479279	-154.2306
775.000000	87.521095	-153.3389
788.000000	87.562943	-152.3631
800.000000	87.606361	-151.5729
812.000000	87.659286	-150.7339
825.000000	87.703293	-149.8151
838.000000	87.760071	-148.8623
850.000000	87.810120	-148.0459
862.000000	87.865570	-147.1024
875.000000	87.932022	-146.0852
885.000000	88.009338	-145.2553
900.000000	88.177917	-144.2271
912.000000	88.205200	-143.6109
925.000000	88.296677	-142.8026
938.000000	88.379913	-142.0298
950.000000	88.469772	-141.3702
962.000000	88.558128	-140.7124
975.000000	88.635773	-140.0447
988.000000	88.715591	-139.2453
1000.000000	88.794319	-138.4892
1015.000000	88.930130	-137.4870
1030.000000	89.074120	-136.7619
1044.000000	89.199890	-136.0413
1060.000000	89.340195	-135.3184
1075.000000	89.482544	-134.6445
1090.000000	89.622787	-134.0586
1106.000000	89.775314	-133.4973
1120.000000	89.908379	-133.0282
1138.000000	90.077003	-132.5015
1150.000000	90.180527	-132.1820
1172.000000	90.377052	-131.6773
1180.000000	90.449707	-131.4983
1206.000000	90.666672	-131.0456
1220.000000	90.781212	-130.8172
1241.000000	90.951241	-130.5134
1250.000000	91.019699	-130.4024
1265.000000	91.129410	-130.2077
1280.000000	91.233780	-130.0477
1315.000000	91.475052	-129.7079
1320.000000	91.510674	-129.6732
1340.000000	91.636803	-129.4467
1360.000000	91.755791	-129.3042
1380.000000	91.878082	-129.0041
1400.000000	91.986671	-128.9682
1430.000000	92.150528	-128.7001
1450.000000	92.256180	-128.4872
1475.000000	92.380714	-128.2652
1500.000000	92.516037	-127.9958
1525.000000	92.634216	-127.7556
1550.000000	92.754944	-127.5079
