* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2026, 6:33:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.874	-158.7535
20.299999	105.887	-159.2287
20.600000	105.901	-159.6909
20.900000	105.915	-160.1430
21.200001	105.929	-160.5889
21.400000	105.939	-160.8845
21.799999	105.959	-161.4738
22.000000	105.969	-161.7675
22.400000	105.985	-162.3494
22.700001	105.996	-162.7757
23.000000	106.004	-163.1877
23.299999	106.011	-163.5815
23.600000	106.018	-163.9550
24.000000	106.028	-164.4238
24.299999	106.036	-164.7596
24.700001	106.050	-165.1987
25.000000	106.061	-165.5310
25.400000	106.077	-165.9868
25.799999	106.089	-166.4574
26.200001	106.098	-166.9314
26.500000	106.100	-167.2782
26.900000	106.101	-167.7163
27.200001	106.101	-168.0235
27.600000	106.102	-168.4108
28.000000	106.105	-168.7870
28.500000	106.112	-169.2650
29.000000	106.117	-169.7579
29.500000	106.119	-170.2475
30.000000	106.118	-170.7124
30.400000	106.118	-171.0650
30.700001	106.119	-171.3238
31.100000	106.121	-171.6694
31.500000	106.123	-172.0202
32.000000	106.123	-172.4607
32.500000	106.120	-172.8869
33.000000	106.116	-173.2842
33.500000	106.113	-173.6530
34.000000	106.113	-174.0116
34.500000	106.116	-174.3840
35.000000	106.119	-174.7821
35.500000	106.116	-175.1906
36.000000	106.107	-175.5770
36.500000	106.098	-175.9236
37.000000	106.092	-176.2463
37.500000	106.089	-176.5722
38.200001	106.082	-177.0337
38.700001	106.076	-177.3457
39.500000	106.072	-177.8407
40.000000	106.069	-178.1753
40.599998	106.057	-178.5653
41.200001	106.045	-178.8997
41.799999	106.041	-179.2280
42.500000	106.035	-179.6891
43.099998	106.015	179.9163
43.700001	105.992	179.6224
44.400002	105.980	179.3419
45.000000	105.980	179.0326
45.500000	105.973	178.7318
46.200001	105.953	178.3561
46.799999	105.939	178.1096
47.500000	105.937	177.8072
48.200001	105.934	177.4103
48.700001	105.923	177.1128
49.400002	105.899	176.7699
50.000000	105.884	176.5301
50.799999	105.870	176.1850
51.500000	105.853	175.8789
52.200001	105.839	175.6203
53.000000	105.834	175.2820
53.799999	105.820	174.8542
54.500000	105.794	174.5261
55.200001	105.772	174.2739
56.000000	105.755	173.9988
57.000000	105.739	173.6180
58.000000	105.720	173.1915
59.000000	105.691	172.7919
60.000000	105.664	172.4526
60.799999	105.647	172.1791
61.500000	105.631	171.9395
62.200001	105.615	171.7045
63.000000	105.596	171.4380
64.000000	105.573	171.1151
65.000000	105.550	170.7940
66.000000	105.524	170.4701
67.000000	105.495	170.1739
68.000000	105.470	169.8947
69.000000	105.446	169.5979
70.000000	105.420	169.2958
71.000000	105.394	169.0067
72.000000	105.367	168.7180
73.000000	105.340	168.4650
74.000000	105.318	168.2085
75.000000	105.293	167.9330
76.199997	105.264	167.6419
77.500000	105.232	167.2791
78.800003	105.190	166.9930
80.000000	105.164	166.7308
81.199997	105.132	166.4256
82.500000	105.095	166.1318
83.800003	105.060	165.8450
85.000000	105.028	165.5815
86.199997	104.997	165.3270
87.500000	104.961	165.0559
88.500000	104.936	164.8650
90.000000	104.898	164.5496
91.199997	104.865	164.3184
92.500000	104.831	164.0724
93.800003	104.797	163.8370
95.000000	104.766	163.6112
96.199997	104.734	163.4011
97.500000	104.701	163.1740
98.800003	104.667	162.9537
100.000000	104.636	162.7479
101.500000	104.594	162.5100
103.000000	104.555	162.2651
104.400002	104.518	162.0482
106.000000	104.475	161.8040
107.500000	104.438	161.5760
109.000000	104.397	161.3494
110.599998	104.354	161.1422
112.000000	104.319	160.9455
113.800003	104.270	160.7045
115.000000	104.237	160.5362
117.199997	104.184	160.2495
118.000000	104.162	160.1899
120.599998	104.093	159.7171
122.000000	104.059	159.6770
124.099998	104.006	159.4467
125.000000	103.982	159.3454
126.500000	103.944	159.1941
128.000000	103.907	159.0177
131.500000	103.816	158.6483
132.000000	103.804	158.5952
134.000000	103.750	158.4124
136.000000	103.702	158.2186
138.000000	103.649	158.0304
140.000000	103.596	157.8463
143.000000	103.516	157.6025
145.000000	103.465	157.4315
147.500000	103.399	157.2583
150.000000	103.332	157.1052
152.500000	103.263	156.9511
155.000000	103.202	156.8394
157.500000	103.139	156.7177
160.000000	103.080	156.6084
162.500000	103.022	156.5293
165.000000	102.967	156.4588
167.500000	102.915	156.3599
170.000000	102.858	156.2386
172.500000	102.798	156.1023
175.000000	102.733	155.9966
177.500000	102.662	155.9734
180.000000	102.587	156.0330
182.500000	102.517	156.1399
185.000000	102.461	156.4191
187.500000	102.436	156.7981
190.000000	102.463	157.0787
192.500000	102.511	157.0035
195.000000	102.540	156.5961
197.500000	102.529	156.0756
200.000000	102.487	155.6357
203.000000	102.418	155.2096
206.000000	102.344	154.8988
209.000000	102.270	154.6671
212.000000	102.196	154.4731
214.000000	102.148	154.3618
218.000000	102.054	154.1882
220.000000	102.009	154.0984
224.000000	101.919	153.9510
227.000000	101.848	153.8633
230.000000	101.785	153.7972
233.000000	101.719	153.7131
236.000000	101.654	153.6404
240.000000	101.578	153.7068
243.000000	101.506	153.5794
247.000000	101.419	153.5063
250.000000	101.360	153.4795
254.000000	101.278	153.4569
258.000000	101.198	153.4454
262.000000	101.120	153.4509
265.000000	101.062	153.4537
269.000000	100.983	153.4405
272.000000	100.924	153.4792
276.000000	100.848	153.4747
280.000000	100.774	153.5006
285.000000	100.678	153.5564
290.000000	100.585	153.6166
295.000000	100.492	153.6973
300.000000	100.402	153.7668
304.000000	100.328	153.8492
307.000000	100.274	153.9155
311.000000	100.204	153.9905
315.000000	100.131	154.1065
320.000000	100.042	154.2349
325.000000	99.957	154.3727
330.000000	99.870	154.5444
335.000000	99.790	154.7120
340.000000	99.707	154.9027
345.000000	99.627	155.0912
350.000000	99.554	155.3094
355.000000	99.483	155.5045
360.000000	99.410	155.7387
365.000000	99.344	155.8864
370.000000	99.275	156.0818
375.000000	99.206	156.2549
382.000000	99.105	156.4770
387.000000	99.036	156.6855
395.000000	98.919	156.9911
400.000000	98.850	157.1968
406.000000	98.764	157.4815
412.000000	98.680	157.7739
418.000000	98.598	158.0615
425.000000	98.508	158.4001
431.000000	98.430	158.7217
437.000000	98.352	159.0381
444.000000	98.264	159.4345
450.000000	98.191	159.7650
455.000000	98.127	160.0628
462.000000	98.046	160.4767
468.000000	97.975	160.8369
475.000000	97.895	161.2402
