* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2026, 6:29:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.875	-157.3864
20.299999	105.890	-157.8460
20.600000	105.905	-158.2909
20.900000	105.921	-158.7245
21.200001	105.937	-159.1517
21.400000	105.947	-159.4351
21.799999	105.967	-159.9987
22.000000	105.976	-160.2776
22.400000	105.992	-160.8235
22.700001	106.003	-161.2179
23.000000	106.014	-161.5983
23.299999	106.025	-161.9677
23.600000	106.036	-162.3313
24.000000	106.052	-162.8162
24.299999	106.063	-163.1822
24.700001	106.075	-163.6682
25.000000	106.082	-164.0237
25.400000	106.089	-164.4769
25.799999	106.097	-164.9053
26.200001	106.107	-165.3196
26.500000	106.115	-165.6306
26.900000	106.127	-166.0538
27.200001	106.134	-166.3772
27.600000	106.141	-166.8075
28.000000	106.146	-167.2239
28.500000	106.150	-167.7123
29.000000	106.155	-168.1742
29.500000	106.163	-168.6309
30.000000	106.169	-169.0922
30.400000	106.171	-169.4562
30.700001	106.172	-169.7188
31.100000	106.173	-170.0504
31.500000	106.174	-170.3642
32.000000	106.179	-170.7487
32.500000	106.185	-171.1421
33.000000	106.188	-171.5448
33.500000	106.189	-171.9427
34.000000	106.189	-172.3246
34.500000	106.188	-172.6926
35.000000	106.187	-173.0540
35.500000	106.186	-173.4113
36.000000	106.185	-173.7632
36.500000	106.184	-174.1125
37.000000	106.183	-174.4632
37.500000	106.180	-174.8118
38.200001	106.174	-175.2781
38.700001	106.170	-175.5930
39.500000	106.165	-176.0804
40.000000	106.162	-176.3720
40.599998	106.161	-176.7111
41.200001	106.162	-177.0653
41.799999	106.159	-177.4377
42.500000	106.149	-177.8380
43.099998	106.143	-178.1469
43.700001	106.140	-178.4827
44.400002	106.125	-178.8786
45.000000	106.110	-179.1246
45.500000	106.110	-179.2995
46.200001	106.124	-179.6815
46.799999	106.119	179.8576
47.500000	106.083	179.4237
48.200001	106.056	179.1937
48.700001	106.053	179.0304
49.400002	106.051	178.7056
50.000000	106.041	178.4140
50.799999	106.030	178.0655
51.500000	106.021	177.7444
52.200001	106.006	177.4326
53.000000	105.992	177.1214
53.799999	105.981	176.7957
54.500000	105.967	176.5013
55.200001	105.952	176.2303
56.000000	105.938	175.9283
57.000000	105.919	175.5237
58.000000	105.894	175.1448
59.000000	105.876	174.8070
60.000000	105.861	174.4147
60.799999	105.841	174.1097
61.500000	105.825	173.8835
62.200001	105.814	173.6537
63.000000	105.798	173.3666
64.000000	105.774	173.0418
65.000000	105.755	172.7416
66.000000	105.734	172.4135
67.000000	105.710	172.1114
68.000000	105.689	171.8125
69.000000	105.666	171.5084
70.000000	105.643	171.2203
71.000000	105.621	170.9346
72.000000	105.598	170.6609
73.000000	105.576	170.3841
74.000000	105.551	170.1235
75.000000	105.530	169.8839
76.199997	105.505	169.5599
77.500000	105.473	169.2260
78.800003	105.441	168.9080
80.000000	105.414	168.6263
81.199997	105.386	168.3420
82.500000	105.357	168.0319
83.800003	105.322	167.7380
85.000000	105.295	167.4881
86.199997	105.266	167.2278
87.500000	105.236	166.9463
88.500000	105.210	166.7422
90.000000	105.176	166.4381
91.199997	105.146	166.2145
92.500000	105.118	165.9560
93.800003	105.084	165.7140
95.000000	105.057	165.4955
96.199997	105.028	165.2751
97.500000	104.996	165.0456
98.800003	104.966	164.8225
100.000000	104.936	164.6052
101.500000	104.900	164.3655
103.000000	104.863	164.1085
104.400002	104.828	163.8884
106.000000	104.791	163.6393
107.500000	104.753	163.4019
109.000000	104.719	163.1975
110.599998	104.680	162.9581
112.000000	104.645	162.7654
113.800003	104.603	162.5038
115.000000	104.570	162.3259
117.199997	104.519	162.0133
118.000000	104.498	161.9659
120.599998	104.436	161.5479
122.000000	104.409	161.4625
124.099998	104.353	161.2514
125.000000	104.333	161.1346
126.500000	104.296	160.9573
128.000000	104.258	160.7863
131.500000	104.179	160.4147
132.000000	104.167	160.3662
134.000000	104.118	160.1665
136.000000	104.071	159.9735
138.000000	104.022	159.7686
140.000000	103.977	159.6064
143.000000	103.907	159.3497
145.000000	103.857	159.1997
147.500000	103.803	159.0057
150.000000	103.744	158.8129
152.500000	103.686	158.6167
155.000000	103.633	158.4578
157.500000	103.572	158.2698
160.000000	103.515	158.1128
162.500000	103.459	157.9895
165.000000	103.405	157.8559
167.500000	103.352	157.7254
170.000000	103.300	157.5762
172.500000	103.245	157.4157
175.000000	103.189	157.2738
177.500000	103.129	157.1310
180.000000	103.065	157.0027
182.500000	103.000	156.9166
185.000000	102.932	156.8533
187.500000	102.861	156.8282
190.000000	102.789	156.8751
192.500000	102.719	157.0142
195.000000	102.657	157.2775
197.500000	102.619	157.6725
200.000000	102.623	158.0861
203.000000	102.683	158.2755
206.000000	102.740	157.9321
209.000000	102.744	157.3508
212.000000	102.704	156.8196
214.000000	102.667	156.5261
218.000000	102.577	156.0692
220.000000	102.534	155.9019
224.000000	102.442	155.6224
227.000000	102.375	155.4628
230.000000	102.308	155.3229
233.000000	102.243	155.1856
236.000000	102.180	155.0878
240.000000	102.099	155.1117
243.000000	102.035	154.9014
247.000000	101.951	154.8008
250.000000	101.892	154.7531
254.000000	101.812	154.6913
258.000000	101.735	154.6392
262.000000	101.658	154.6063
265.000000	101.600	154.5724
269.000000	101.520	154.5618
272.000000	101.467	154.5286
276.000000	101.392	154.5183
280.000000	101.318	154.5337
285.000000	101.226	154.5556
290.000000	101.134	154.5735
295.000000	101.043	154.6224
300.000000	100.959	154.6683
304.000000	100.886	154.7159
307.000000	100.835	154.7785
311.000000	100.764	154.8522
315.000000	100.695	154.9295
320.000000	100.612	155.0308
325.000000	100.528	155.1481
330.000000	100.449	155.3110
335.000000	100.372	155.4511
340.000000	100.301	155.5995
345.000000	100.229	155.7383
350.000000	100.157	155.8615
355.000000	100.087	155.9967
360.000000	100.013	156.1220
365.000000	99.946	156.2282
370.000000	99.872	156.3549
375.000000	99.799	156.5043
382.000000	99.697	156.7031
387.000000	99.626	156.8828
395.000000	99.511	157.1469
400.000000	99.442	157.3472
406.000000	99.356	157.5943
412.000000	99.277	157.8211
418.000000	99.195	158.0803
425.000000	99.102	158.3792
431.000000	99.025	158.6656
437.000000	98.947	158.9437
444.000000	98.860	159.2511
450.000000	98.783	159.5764
455.000000	98.721	159.8314
462.000000	98.641	160.1929
468.000000	98.566	160.5275
475.000000	98.485	160.8822
482.000000	98.409	161.3109
487.000000	98.352	161.5709
494.000000	98.274	161.9947
500.000000	98.211	162.3439
508.000000	98.125	162.8071
515.000000	98.056	163.2493
522.000000	97.983	163.7109
530.000000	97.904	164.2184
538.000000	97.831	164.7095
545.000000	97.762	165.1797
552.000000	97.700	165.6461
560.000000	97.628	166.1961
570.000000	97.541	166.8796
580.000000	97.457	167.5826
590.000000	97.381	168.2784
600.000000	97.297	168.9094
608.000000	97.246	169.5665
615.000000	97.193	170.1209
622.000000	97.148	170.6440
630.000000	97.093	171.2267
640.000000	97.029	172.0110
650.000000	96.964	172.7885
660.000000	96.913	173.5830
670.000000	96.857	174.3502
680.000000	96.807	175.1232
690.000000	96.761	175.9578
700.000000	96.719	176.7574
710.000000	96.674	177.5866
720.000000	96.644	178.3705
730.000000	96.609	179.2432
740.000000	96.579	-179.9288
750.000000	96.552	-179.0735
762.000000	96.535	-178.0671
775.000000	96.510	-176.9529
788.000000	96.495	-175.8641
800.000000	96.486	-174.8443
812.000000	96.485	-173.8026
825.000000	96.485	-172.7235
838.000000	96.500	-171.6269
850.000000	96.515	-170.6179
862.000000	96.542	-169.6129
875.000000	96.571	-168.4997
885.000000	96.600	-167.6838
900.000000	96.642	-166.4709
912.000000	96.697	-165.5251
925.000000	96.761	-164.5079
938.000000	96.825	-163.5110
950.000000	96.889	-162.6216
962.000000	96.967	-161.7601
975.000000	97.050	-160.8413
988.000000	97.140	-160.0031
1000.000000	97.231	-159.2022
1015.000000	97.348	-158.3138
1030.000000	97.467	-157.4294
1044.000000	97.590	-156.7209
1060.000000	97.737	-155.9347
1075.000000	97.876	-155.2639
1090.000000	98.018	-154.6782
1106.000000	98.173	-154.1151
1120.000000	98.313	-153.6926
1138.000000	98.491	-153.2467
1150.000000	98.607	-152.9842
1172.000000	98.824	-152.6246
1180.000000	98.901	-152.5189
1206.000000	99.150	-152.3329
1220.000000	99.281	-152.2774
1241.000000	99.467	-152.2797
1250.000000	99.552	-152.3387
1265.000000	99.681	-152.4508
1280.000000	99.809	-152.5763
1315.000000	100.084	-153.0826
1320.000000	100.121	-153.1905
1340.000000	100.265	-153.5486
1360.000000	100.402	-153.9965
1380.000000	100.534	-154.4774
1400.000000	100.652	-155.0233
1430.000000	100.812	-155.9017
1450.000000	100.911	-156.5034
1475.000000	101.020	-157.3015
1500.000000	101.116	-158.1821
1525.000000	101.202	-159.0318
1550.000000	101.274	-159.9104
1575.000000	101.338	-160.7864
1600.000000	101.392	-161.6995
1625.000000	101.432	-162.6042
1650.000000	101.468	-163.5315
1675.000000	101.489	-164.4531
1700.000000	101.507	-165.3761
1725.000000	101.513	-166.2889
1750.000000	101.514	-167.2331
1775.000000	101.500	-168.1516
1800.000000	101.487	-169.0915
1825.000000	101.457	-169.9988
1850.000000	101.418	-170.8918
1875.000000	101.372	-171.7693
1900.000000	101.315	-172.6133
1925.000000	101.253	-173.4228
1950.000000	101.183	-174.1611
1975.000000	101.104	-174.8621
2000.000000	101.019	-175.5601
2030.000000	100.916	-176.2502
2060.000000	100.811	-176.8547
2090.000000	100.702	-177.3904
2120.000000	100.591	-177.8256
2140.000000	100.523	-178.0478
2180.000000	100.390	-178.4265
2200.000000	100.324	-178.5522
2240.000000	100.210	-178.7171
2270.000000	100.135	-178.7463
2300.000000	100.074	-178.7289
2330.000000	100.024	-178.6743
2360.000000	99.985	-178.5695
2400.000000	99.959	-178.4032
2430.000000	99.953	-178.2432
2470.000000	99.972	-178.0456
2500.000000	100.008	-177.9243
2540.000000	100.081	-177.8112
2580.000000	100.172	-177.7278
2620.000000	100.299	-177.7785
2650.000000	100.405	-177.9054
2690.000000	100.568	-178.1987
2720.000000	100.706	-178.5413
2760.000000	100.907	-179.1702
2800.000000	101.115	179.9410
2850.000000	101.379	178.4832
2900.000000	101.630	176.5702
2950.000000	101.845	174.2830
3000.000000	102.003	171.7125
3040.000000	102.081	169.5287
3070.000000	102.113	167.9203
3110.000000	102.118	165.8589
3150.000000	102.098	163.8960
3200.000000	102.052	161.6958
3250.000000	101.998	159.5983
3300.000000	101.928	157.4913
3350.000000	101.819	155.4385
3400.000000	101.656	153.5529
3450.000000	101.451	152.0768
3500.000000	101.224	151.0815
3550.000000	100.999	150.6124
3600.000000	100.797	150.6176
3650.000000	100.633	151.0365
3700.000000	100.520	151.7584
3750.000000	100.462	152.7084
3820.000000	100.471	154.2593
3870.000000	100.544	155.4308
3950.000000	100.757	157.2469
4000.000000	100.948	158.2572
4060.000000	101.231	159.3020
4120.000000	101.555	160.1031
4180.000000	101.914	160.5709
4250.000000	102.365	160.7263
4310.000000	102.756	160.4548
4370.000000	103.153	159.8462
4440.000000	103.596	158.6348
4500.000000	103.946	157.2314
4550.000000	104.201	155.7974
4620.000000	104.493	153.4807
4680.000000	104.674	151.3471
4750.000000	104.792	148.7866
4820.000000	104.810	146.3023
4870.000000	104.763	144.6673
4940.000000	104.632	142.7274
5000.000000	104.471	141.4044
5080.000000	104.200	140.2025
5150.000000	103.940	139.6581
5220.000000	103.671	139.5756
5300.000000	103.373	140.0039
5380.000000	103.091	140.8990
5450.000000	102.875	142.0479
5520.000000	102.689	143.3963
5600.000000	102.516	145.1880
5700.000000	102.353	147.4922
5800.000000	102.226	149.7559
5900.000000	102.075	151.9852
6000.000000	101.875	154.4833
6080.000000	101.715	156.9464
6150.000000	101.588	159.4602
6220.000000	101.497	162.2377
6300.000000	101.439	165.6123
6400.000000	101.438	170.1065
6500.000000	101.522	174.6750
6600.000000	101.692	179.2552
6700.000000	101.941	-176.2487
6800.000000	102.267	-171.9687
6900.000000	102.664	-167.8838
7000.000000	103.127	-164.0571
7100.000000	103.671	-160.6257
7200.000000	104.291	-157.7135
7300.000000	104.976	-155.4759
7400.000000	105.707	-154.1267
7500.000000	106.463	-153.7952
7620.000000	107.334	-154.9233
7750.000000	108.119	-158.1075
7880.000000	108.592	-162.7240
8000.000000	108.694	-167.2942
8120.000000	108.513	-171.1979
8250.000000	108.143	-173.8983
8380.000000	107.727	-175.2227
8500.000000	107.367	-175.6078
8620.000000	107.042	-175.5333
8750.000000	106.722	-175.0516
8850.000000	106.499	-174.4803
9000.000000	106.230	-173.2614
9120.000000	106.078	-172.1402
9250.000000	106.006	-170.9783
9380.000000	106.026	-170.1772
9500.000000	106.118	-170.0678
9620.000000	106.255	-170.8232
9750.000000	106.388	-172.8872
9880.000000	106.416	-176.3284
10000.000000	106.259	179.4341
10150.000000	105.704	173.6527
10300.000000	104.769	168.6377
10440.000000	103.659	165.4829
10600.000000	102.272	163.9857
10750.000000	100.979	164.3105
10900.000000	99.761	166.0650
11060.000000	98.575	168.9488
11200.000000	97.652	172.0913
11380.000000	96.605	176.5323
11500.000000	95.978	179.6097
11720.000000	94.994	-174.6647
11800.000000	94.658	-172.6742
12060.000000	93.668	-166.0061
12200.000000	93.237	-162.0077
12410.000000	92.766	-156.7768
12500.000000	92.609	-154.5492
12650.000000	92.377	-151.2573
12800.000000	92.223	-147.9708
13150.000000	92.217	-142.3370
13200.000000	92.253	-141.8328
13400.000000	92.489	-140.8227
13600.000000	92.798	-141.4567
13800.000000	93.155	-144.5435
14000.000000	93.361	-149.6340
14300.000000	93.185	-160.7675
14500.000000	92.697	-169.0280
14750.000000	91.766	-178.8517
15000.000000	90.674	172.9077
15250.000000	89.650	164.5188
15500.000000	88.698	157.1313
15750.000000	87.889	149.3947
16000.000000	87.460	140.4785
16250.000000	87.135	129.7499
16500.000000	87.006	116.8251
16750.000000	87.138	101.2338
17000.000000	87.266	81.9260
17250.000000	87.369	58.8364
17500.000000	87.187	31.7630
17750.000000	86.728	2.3848
18000.000000	85.981	-29.3680
18250.000000	85.237	-63.2214
18500.000000	84.356	-100.2365
18750.000000	83.526	-141.7191
19000.000000	82.681	170.3654
19250.000000	81.652	113.2589
19500.000000	80.168	46.7246
19750.000000	77.900	-31.8433
