* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2026, 6:52:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.231	-168.0220
20.299999	104.218	-168.8169
20.600000	104.196	-169.5468
20.900000	104.169	-170.1843
21.200001	104.145	-170.7331
21.400000	104.135	-171.0665
21.799999	104.128	-171.7217
22.000000	104.129	-172.0685
22.400000	104.136	-172.8229
22.700001	104.137	-173.4337
23.000000	104.133	-174.0580
23.299999	104.123	-174.6734
23.600000	104.111	-175.2669
24.000000	104.093	-176.0247
24.299999	104.079	-176.5754
24.700001	104.062	-177.2925
25.000000	104.048	-177.8165
25.400000	104.032	-178.4975
25.799999	104.017	-179.1694
26.200001	104.002	-179.8438
26.500000	103.987	179.6555
26.900000	103.963	179.0266
27.200001	103.943	178.6061
27.600000	103.923	178.1157
28.000000	103.915	177.6577
28.500000	103.921	177.0109
29.000000	103.919	176.2274
29.500000	103.891	175.4185
30.000000	103.844	174.7529
30.400000	103.809	174.3446
30.700001	103.790	174.0697
31.100000	103.775	173.6801
31.500000	103.763	173.2260
32.000000	103.739	172.5954
32.500000	103.704	171.9691
33.000000	103.666	171.3777
33.500000	103.629	170.7940
34.000000	103.594	170.1951
34.500000	103.558	169.5848
35.000000	103.522	168.9676
35.500000	103.485	168.3469
36.000000	103.445	167.7473
36.500000	103.407	167.1946
37.000000	103.375	166.6730
37.500000	103.346	166.1462
38.200001	103.298	165.4471
38.700001	103.264	165.0592
39.500000	103.241	164.5268
40.000000	103.237	164.0777
40.599998	103.209	163.4511
41.200001	103.158	162.9388
41.799999	103.115	162.5589
42.500000	103.080	162.0401
43.099998	103.038	161.5078
43.700001	102.988	161.0206
44.400002	102.939	160.4323
45.000000	102.890	159.8241
45.500000	102.832	159.3599
46.200001	102.759	158.9202
46.799999	102.731	158.5568
47.500000	102.702	157.8967
48.200001	102.635	157.2314
48.700001	102.582	156.9394
49.400002	102.537	156.6543
50.000000	102.517	156.2952
50.799999	102.467	155.6851
51.500000	102.404	155.2458
52.200001	102.348	154.8547
53.000000	102.279	154.3239
53.799999	102.190	153.8390
54.500000	102.119	153.5274
55.200001	102.066	153.2101
56.000000	102.016	152.7625
57.000000	101.957	152.0814
58.000000	101.874	151.3592
59.000000	101.784	150.9008
60.000000	101.731	150.5201
60.799999	101.691	150.0903
61.500000	101.642	149.7060
62.200001	101.587	149.3791
63.000000	101.529	149.0422
64.000000	101.460	148.5852
65.000000	101.387	148.1201
66.000000	101.315	147.6776
67.000000	101.245	147.2575
68.000000	101.181	146.8361
69.000000	101.111	146.4041
70.000000	101.039	146.0291
71.000000	100.971	145.6500
72.000000	100.899	145.2617
73.000000	100.828	144.8855
74.000000	100.761	144.4871
75.000000	100.688	144.0459
76.199997	100.598	143.6304
77.500000	100.516	143.1138
78.800003	100.422	142.7141
80.000000	100.352	142.2316
81.199997	100.248	141.8616
82.500000	100.173	141.5049
83.800003	100.077	141.0530
85.000000	99.995	140.6977
86.199997	99.912	140.3459
87.500000	99.827	139.9368
88.500000	99.755	139.6241
90.000000	99.643	139.2070
91.199997	99.564	138.9115
92.500000	99.473	138.5156
93.800003	99.382	138.2010
95.000000	99.300	137.8610
96.199997	99.214	137.5773
97.500000	99.128	137.2305
98.800003	99.035	136.8707
100.000000	98.948	136.5479
101.500000	98.841	136.1273
103.000000	98.726	135.7207
104.400002	98.618	135.3392
106.000000	98.488	134.9336
107.500000	98.354	134.5475
109.000000	98.211	134.1804
110.599998	98.038	133.8935
112.000000	97.885	133.7271
113.800003	97.681	133.7473
115.000000	97.531	133.8859
117.199997	97.303	134.3992
118.000000	97.252	134.6996
120.599998	97.054	135.7137
122.000000	97.079	135.6752
124.099998	97.038	135.7621
125.000000	97.000	135.8197
126.500000	96.978	135.8102
128.000000	96.914	135.6822
131.500000	96.758	135.1328
132.000000	96.730	135.0089
134.000000	96.600	134.7066
136.000000	96.458	134.3657
138.000000	96.259	134.2068
140.000000	96.066	134.1434
143.000000	95.752	134.6836
145.000000	95.577	135.5256
147.500000	95.415	136.7484
150.000000	95.276	137.7859
152.500000	95.236	138.7001
155.000000	95.177	139.5633
157.500000	95.145	140.4736
160.000000	95.117	141.4090
162.500000	95.148	142.4983
165.000000	95.261	143.4095
167.500000	95.428	143.6566
170.000000	95.570	143.1407
172.500000	95.640	142.2947
175.000000	95.631	141.4175
177.500000	95.582	140.6463
180.000000	95.500	139.9693
182.500000	95.440	139.5891
185.000000	95.371	139.2755
187.500000	95.298	138.9328
190.000000	95.255	138.6168
192.500000	95.228	138.1731
195.000000	95.195	137.5237
197.500000	95.160	136.5499
200.000000	95.111	135.2981
203.000000	94.985	133.3008
206.000000	94.749	130.8125
209.000000	94.338	128.0687
212.000000	93.712	125.3665
214.000000	93.152	123.9167
218.000000	91.647	122.5657
220.000000	90.677	123.4301
224.000000	88.450	131.0583
227.000000	87.077	144.3961
230.000000	86.898	162.3755
233.000000	88.030	177.6200
236.000000	89.671	-173.0049
240.000000	91.752	-166.4788
243.000000	93.308	-164.9466
247.000000	95.193	-164.9713
250.000000	96.548	-166.6147
254.000000	98.221	-171.2978
258.000000	99.633	-178.5937
262.000000	100.667	172.1198
265.000000	101.155	164.4075
269.000000	101.412	153.9291
272.000000	101.333	146.4312
276.000000	100.927	137.5471
280.000000	100.275	130.2982
285.000000	99.291	123.7708
290.000000	98.256	119.7369
295.000000	97.275	117.6888
300.000000	96.385	117.3775
304.000000	95.799	118.4370
307.000000	95.650	118.9379
311.000000	95.090	121.0245
315.000000	95.669	119.8675
320.000000	94.809	116.1810
325.000000	94.144	116.8098
330.000000	93.667	117.9853
335.000000	93.293	119.2556
340.000000	92.983	120.4805
345.000000	92.725	121.6863
350.000000	92.512	122.8500
355.000000	92.320	123.9533
360.000000	92.154	124.9896
365.000000	92.021	125.9025
370.000000	91.892	126.7910
375.000000	91.785	127.5985
382.000000	91.648	128.6997
387.000000	91.553	129.4131
395.000000	91.421	130.4390
400.000000	91.342	131.0743
406.000000	91.260	131.7248
412.000000	91.179	132.4207
418.000000	91.114	133.0161
425.000000	91.037	133.6951
431.000000	90.980	134.2510
437.000000	90.923	134.8564
444.000000	90.851	135.4601
450.000000	90.808	135.9789
455.000000	90.756	136.3052
462.000000	90.709	136.9268
468.000000	90.668	137.3594
475.000000	90.619	137.8971
482.000000	90.576	138.4072
487.000000	90.546	138.7662
494.000000	90.507	139.2592
