* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2026, 6:49:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.624	-168.6621
20.299999	104.609	-169.3146
20.600000	104.594	-169.9232
20.900000	104.583	-170.4964
21.200001	104.575	-171.0484
21.400000	104.573	-171.4132
21.799999	104.574	-172.1560
22.000000	104.576	-172.5411
22.400000	104.580	-173.3449
22.700001	104.581	-173.9745
23.000000	104.577	-174.6158
23.299999	104.567	-175.2531
23.600000	104.553	-175.8688
24.000000	104.528	-176.6301
24.299999	104.510	-177.1493
24.700001	104.489	-177.7839
25.000000	104.479	-178.2390
25.400000	104.472	-178.8527
25.799999	104.467	-179.4976
26.200001	104.457	179.8340
26.500000	104.445	179.3366
26.900000	104.425	178.7046
27.200001	104.408	178.2610
27.600000	104.387	177.7004
28.000000	104.368	177.1547
28.500000	104.344	176.4756
29.000000	104.317	175.8152
29.500000	104.290	175.1904
30.000000	104.268	174.5776
30.400000	104.251	174.0713
30.700001	104.237	173.6819
31.100000	104.214	173.1672
31.500000	104.188	172.6817
32.000000	104.158	172.1190
32.500000	104.134	171.5606
33.000000	104.110	170.9682
33.500000	104.078	170.3740
34.000000	104.042	169.8380
34.500000	104.012	169.3566
35.000000	103.989	168.8584
35.500000	103.965	168.3036
36.000000	103.930	167.7406
36.500000	103.889	167.2389
37.000000	103.851	166.7999
37.500000	103.822	166.3642
38.200001	103.786	165.6919
38.700001	103.755	165.1874
39.500000	103.701	164.3812
40.000000	103.663	163.8806
40.599998	103.610	163.3256
41.200001	103.560	162.8615
41.799999	103.524	162.4391
42.500000	103.496	161.8555
43.099998	103.460	161.2663
43.700001	103.408	160.7335
44.400002	103.351	160.2886
45.000000	103.325	159.9058
45.500000	103.305	159.4756
46.200001	103.249	158.8376
46.799999	103.193	158.4533
47.500000	103.153	158.0440
48.200001	103.108	157.4463
48.700001	103.050	157.0766
49.400002	102.985	156.8424
50.000000	102.972	156.5818
50.799999	102.938	155.8267
51.500000	102.855	155.3054
52.200001	102.800	155.0419
53.000000	102.764	154.4897
53.799999	102.685	153.9283
54.500000	102.632	153.6650
55.200001	102.604	153.2672
56.000000	102.547	152.7126
57.000000	102.480	152.1931
58.000000	102.406	151.5740
59.000000	102.332	151.2253
60.000000	102.292	150.6682
60.799999	102.222	150.1761
61.500000	102.163	149.9081
62.200001	102.119	149.6047
63.000000	102.058	149.2021
64.000000	101.978	148.7834
65.000000	101.905	148.3696
66.000000	101.839	147.9604
67.000000	101.771	147.4607
68.000000	101.691	147.0590
69.000000	101.631	146.6855
70.000000	101.565	146.2092
71.000000	101.489	145.8310
72.000000	101.426	145.4948
73.000000	101.361	145.0901
74.000000	101.287	144.7635
75.000000	101.227	144.4593
76.199997	101.143	144.0452
77.500000	101.064	143.6740
78.800003	100.977	143.2079
80.000000	100.898	142.7939
81.199997	100.805	142.4415
82.500000	100.733	142.1061
83.800003	100.646	141.6934
85.000000	100.574	141.3697
86.199997	100.497	141.0382
87.500000	100.418	140.6791
88.500000	100.351	140.4133
90.000000	100.263	140.0627
91.199997	100.185	139.7472
92.500000	100.110	139.4880
93.800003	100.031	139.1526
95.000000	99.957	138.9246
96.199997	99.888	138.6381
97.500000	99.806	138.3557
98.800003	99.732	138.0937
100.000000	99.663	137.8445
101.500000	99.582	137.5518
103.000000	99.495	137.2477
104.400002	99.416	137.0204
106.000000	99.329	136.7058
107.500000	99.243	136.4636
109.000000	99.166	136.1866
110.599998	99.084	135.9220
112.000000	99.007	135.6722
113.800003	98.912	135.4163
115.000000	98.852	135.2464
117.199997	98.746	134.7734
118.000000	98.704	134.7245
120.599998	98.585	134.1953
122.000000	98.554	134.0197
124.099998	98.440	133.6359
125.000000	98.400	133.4533
126.500000	98.321	133.1696
128.000000	98.249	132.8010
131.500000	98.071	132.0064
132.000000	98.050	131.9044
134.000000	97.953	131.4580
136.000000	97.851	131.0135
138.000000	97.740	130.4596
140.000000	97.614	129.9943
143.000000	97.434	129.2817
