* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 30, 2026, 9:33:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.373	25.5474
20.299999	106.393	25.2230
20.600000	106.415	24.9096
20.900000	106.438	24.5981
21.200001	106.460	24.2812
21.400000	106.475	24.0665
21.799999	106.501	23.6354
22.000000	106.512	23.4231
22.400000	106.533	23.0150
22.700001	106.546	22.7271
23.000000	106.561	22.4538
23.299999	106.575	22.1901
23.600000	106.591	21.9303
24.000000	106.613	21.5830
24.299999	106.629	21.3191
24.700001	106.649	20.9648
25.000000	106.663	20.7010
25.400000	106.679	20.3576
25.799999	106.694	20.0285
26.200001	106.708	19.7150
26.500000	106.719	19.4897
26.900000	106.733	19.2016
27.200001	106.743	18.9941
27.600000	106.758	18.7276
28.000000	106.774	18.4690
28.500000	106.795	18.1473
29.000000	106.816	17.8176
29.500000	106.835	17.4817
30.000000	106.851	17.1533
30.400000	106.862	16.9046
30.700001	106.870	16.7270
31.100000	106.880	16.4987
31.500000	106.891	16.2750
32.000000	106.905	15.9965
32.500000	106.918	15.7196
33.000000	106.930	15.4494
33.500000	106.942	15.1892
34.000000	106.954	14.9360
34.500000	106.968	14.6803
35.000000	106.981	14.4152
35.500000	106.992	14.1460
36.000000	106.999	13.8894
36.500000	107.006	13.6571
37.000000	107.014	13.4448
37.500000	107.023	13.2394
38.200001	107.037	12.9521
38.700001	107.048	12.7453
39.500000	107.064	12.3982
40.000000	107.070	12.1785
40.599998	107.075	11.9392
41.200001	107.083	11.7219
41.799999	107.094	11.4847
42.500000	107.102	11.1861
43.099998	107.107	10.9728
43.700001	107.123	10.7790
44.400002	107.150	10.4564
45.000000	107.161	10.0870
45.500000	107.155	9.8083
46.200001	107.138	9.5815
46.799999	107.136	9.5135
47.500000	107.154	9.4223
48.200001	107.174	9.2372
48.700001	107.180	9.0973
49.400002	107.185	8.9813
50.000000	107.202	8.9026
50.799999	107.229	8.6356
51.500000	107.227	8.3117
52.200001	107.207	8.1095
53.000000	107.199	7.9905
53.799999	107.203	7.8048
54.500000	107.202	7.6174
55.200001	107.205	7.4404
56.000000	107.211	7.2101
57.000000	107.215	6.9210
58.000000	107.218	6.6701
59.000000	107.222	6.4642
60.000000	107.232	6.2592
60.799999	107.236	6.0650
61.500000	107.235	5.9127
62.200001	107.235	5.7763
63.000000	107.237	5.6133
64.000000	107.238	5.3995
65.000000	107.237	5.1895
66.000000	107.240	4.9971
67.000000	107.244	4.7826
68.000000	107.244	4.5882
69.000000	107.247	4.4114
70.000000	107.247	4.2288
71.000000	107.249	4.0678
72.000000	107.249	3.8709
73.000000	107.246	3.7086
74.000000	107.249	3.5306
75.000000	107.246	3.3427
76.199997	107.246	3.1565
77.500000	107.245	2.9391
78.800003	107.246	2.7480
80.000000	107.245	2.5603
81.199997	107.242	2.3796
82.500000	107.240	2.2061
83.800003	107.239	1.9994
85.000000	107.236	1.8328
86.199997	107.235	1.6632
87.500000	107.232	1.4817
88.500000	107.231	1.3498
90.000000	107.227	1.1493
91.199997	107.223	1.0022
92.500000	107.221	0.8321
93.800003	107.216	0.6656
95.000000	107.213	0.5202
96.199997	107.209	0.3728
97.500000	107.205	0.2284
98.800003	107.202	0.0760
100.000000	107.198	-0.0545
101.500000	107.193	-0.2244
103.000000	107.187	-0.3878
104.400002	107.183	-0.5472
106.000000	107.176	-0.7261
107.500000	107.170	-0.8704
109.000000	107.166	-1.0315
110.599998	107.157	-1.1902
112.000000	107.151	-1.3257
113.800003	107.143	-1.5161
115.000000	107.140	-1.6294
117.199997	107.137	-1.8127
118.000000	107.128	-1.9077
120.599998	107.135	-2.1488
122.000000	107.108	-2.2363
124.099998	107.096	-2.4354
125.000000	107.092	-2.5078
126.500000	107.085	-2.6387
128.000000	107.079	-2.7847
131.500000	107.059	-3.0568
132.000000	107.057	-3.0901
134.000000	107.046	-3.2578
136.000000	107.035	-3.4097
138.000000	107.024	-3.5618
140.000000	107.012	-3.6990
143.000000	106.994	-3.9145
145.000000	106.982	-4.0495
147.500000	106.965	-4.2109
150.000000	106.949	-4.3788
152.500000	106.932	-4.5345
155.000000	106.915	-4.6794
157.500000	106.897	-4.8132
160.000000	106.879	-4.9310
162.500000	106.859	-5.0382
165.000000	106.841	-5.1215
167.500000	106.823	-5.1918
170.000000	106.811	-5.2273
172.500000	106.805	-5.2668
175.000000	106.804	-5.3230
177.500000	106.808	-5.4335
180.000000	106.804	-5.6036
182.500000	106.801	-5.7874
185.000000	106.790	-5.9664
187.500000	106.776	-6.1269
190.000000	106.756	-6.2676
192.500000	106.739	-6.3813
195.000000	106.723	-6.4872
197.500000	106.708	-6.5811
200.000000	106.695	-6.6758
203.000000	106.681	-6.8163
206.000000	106.664	-6.9733
209.000000	106.643	-7.1228
212.000000	106.617	-7.2668
214.000000	106.599	-7.3663
218.000000	106.556	-7.5139
220.000000	106.534	-7.5526
224.000000	106.484	-7.6007
227.000000	106.442	-7.5781
230.000000	106.402	-7.4677
233.000000	106.361	-7.2464
236.000000	106.333	-6.8640
240.000000	106.361	-6.1938
243.000000	106.442	-5.5998
247.000000	106.626	-5.6405
250.000000	106.726	-6.3197
254.000000	106.762	-7.3481
258.000000	106.732	-8.1382
262.000000	106.684	-8.6917
265.000000	106.645	-8.9924
269.000000	106.597	-9.3116
