* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 2:07:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.650	-152.5911
20.299999	95.665	-153.0352
20.600000	95.680	-153.4618
20.900000	95.695	-153.8756
21.200001	95.711	-154.2830
21.400000	95.722	-154.5539
21.799999	95.741	-155.0957
22.000000	95.750	-155.3647
22.400000	95.764	-155.8906
22.700001	95.774	-156.2664
23.000000	95.783	-156.6244
23.299999	95.793	-156.9692
23.600000	95.805	-157.3100
24.000000	95.822	-157.7743
24.299999	95.833	-158.1323
24.700001	95.844	-158.6093
25.000000	95.849	-158.9494
25.400000	95.855	-159.3628
25.799999	95.864	-159.7376
26.200001	95.878	-160.1078
26.500000	95.891	-160.4036
26.900000	95.906	-160.8270
27.200001	95.913	-161.1532
27.600000	95.916	-161.5647
28.000000	95.915	-161.9241
28.500000	95.917	-162.3069
29.000000	95.928	-162.6752
29.500000	95.941	-163.0713
30.000000	95.951	-163.4820
30.400000	95.957	-163.8009
30.700001	95.961	-164.0320
31.100000	95.966	-164.3360
31.500000	95.972	-164.6423
32.000000	95.976	-165.0226
32.500000	95.978	-165.3812
33.000000	95.981	-165.7148
33.500000	95.987	-166.0437
34.000000	95.993	-166.3840
34.500000	95.996	-166.7255
35.000000	95.996	-167.0468
35.500000	95.997	-167.3422
36.000000	96.000	-167.6267
36.500000	96.004	-167.9171
37.000000	96.008	-168.2152
37.500000	96.008	-168.5093
38.200001	96.007	-168.8921
38.700001	96.008	-169.1499
39.500000	96.012	-169.5718
40.000000	96.012	-169.8386
40.599998	96.011	-170.1370
41.200001	96.011	-170.4142
41.799999	96.014	-170.6959
42.500000	96.014	-171.0296
43.099998	96.012	-171.2903
43.700001	96.012	-171.5300
44.400002	96.015	-171.8240
45.000000	96.014	-172.0998
45.500000	96.010	-172.3275
46.200001	96.001	-172.6048
46.799999	95.998	-172.8147
47.500000	96.001	-173.1074
48.200001	95.994	-173.4395
48.700001	95.986	-173.6226
49.400002	95.990	-173.8290
50.000000	96.003	-174.1035
50.799999	95.992	-174.5008
51.500000	95.987	-174.6055
52.200001	96.029	-174.7863
53.000000	96.051	-175.4652
53.799999	95.984	-175.9181
54.500000	95.948	-175.8325
