* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 2:11:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.053	-146.9073
20.299999	94.076	-147.4541
20.600000	94.097	-147.9835
20.900000	94.118	-148.4962
21.200001	94.138	-148.9945
21.400000	94.151	-149.3199
21.799999	94.176	-149.9560
22.000000	94.188	-150.2668
22.400000	94.210	-150.8731
22.700001	94.226	-151.3139
23.000000	94.242	-151.7433
23.299999	94.257	-152.1622
23.600000	94.272	-152.5716
24.000000	94.291	-153.1036
24.299999	94.305	-153.4922
24.700001	94.323	-153.9971
25.000000	94.336	-154.3686
25.400000	94.354	-154.8599
25.799999	94.371	-155.3512
26.200001	94.384	-155.8395
26.500000	94.392	-156.1961
26.900000	94.399	-156.6460
27.200001	94.404	-156.9590
27.600000	94.413	-157.3495
28.000000	94.425	-157.7280
28.500000	94.444	-158.2212
29.000000	94.461	-158.7498
29.500000	94.469	-159.2807
30.000000	94.471	-159.7648
30.400000	94.474	-160.1105
30.700001	94.478	-160.3562
31.100000	94.486	-160.6844
31.500000	94.496	-161.0263
32.000000	94.505	-161.4648
32.500000	94.510	-161.8871
33.000000	94.515	-162.2775
33.500000	94.523	-162.6521
34.000000	94.532	-163.0342
34.500000	94.538	-163.4232
35.000000	94.540	-163.7959
35.500000	94.541	-164.1367
36.000000	94.545	-164.4549
36.500000	94.550	-164.7721
37.000000	94.556	-165.0994
37.500000	94.559	-165.4308
38.200001	94.560	-165.8788
38.700001	94.561	-166.1818
39.500000	94.562	-166.6500
40.000000	94.564	-166.9408
40.599998	94.565	-167.2902
41.200001	94.566	-167.6317
41.799999	94.566	-167.9564
42.500000	94.567	-168.3189
43.099998	94.569	-168.6270
43.700001	94.569	-168.9303
44.400002	94.569	-169.2702
45.000000	94.569	-169.5538
45.500000	94.567	-169.7857
46.200001	94.564	-170.0968
46.799999	94.561	-170.3540
47.500000	94.558	-170.6550
48.200001	94.554	-170.9578
48.700001	94.552	-171.1826
49.400002	94.544	-171.5075
50.000000	94.533	-171.7435
50.799999	94.532	-171.9833
51.500000	94.547	-172.2999
52.200001	94.542	-172.7421
53.000000	94.506	-173.0432
53.799999	94.503	-173.1029
54.500000	94.527	-173.3118
55.200001	94.531	-173.6543
56.000000	94.517	-173.9271
57.000000	94.514	-174.2045
58.000000	94.502	-174.5094
59.000000	94.499	-174.7378
60.000000	94.502	-175.0822
60.799999	94.494	-175.3568
61.500000	94.488	-175.5787
62.200001	94.480	-175.7886
63.000000	94.475	-175.9778
64.000000	94.479	-176.2876
65.000000	94.458	-176.5931
66.000000	94.453	-176.7098
67.000000	94.461	-177.0286
68.000000	94.441	-177.3201
69.000000	94.435	-177.5668
70.000000	94.417	-177.8584
71.000000	94.407	-178.0383
72.000000	94.408	-178.3039
73.000000	94.397	-178.5755
74.000000	94.385	-178.7832
75.000000	94.378	-178.9504
76.199997	94.375	-179.2087
77.500000	94.360	-179.4660
78.800003	94.356	-179.7652
80.000000	94.334	-179.9972
81.199997	94.342	179.7725
82.500000	94.315	179.4160
83.800003	94.309	179.2773
