* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 3:10:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CP-100
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.560	-178.1508
20.600000	105.563	-178.6980
20.900000	105.561	-179.1998
21.200001	105.557	-179.7175
21.400000	105.554	179.9252
21.799999	105.548	179.1938
22.000000	105.544	178.8283
22.400000	105.537	178.1140
22.700001	105.533	177.5980
23.000000	105.529	177.0909
23.299999	105.527	176.5794
23.600000	105.524	176.0522
24.000000	105.516	175.3239
24.299999	105.504	174.7746
24.700001	105.485	174.0721
25.000000	105.471	173.5851
25.400000	105.458	172.9902
25.799999	105.454	172.4306
26.200001	105.454	171.8699
26.500000	105.453	171.4370
26.900000	105.444	170.8477
27.200001	105.432	170.4058
27.600000	105.409	169.8274
28.000000	105.385	169.2599
28.500000	105.359	168.5476
29.000000	105.339	167.8188
29.500000	105.323	167.0927
30.000000	105.305	166.4105
30.400000	105.288	165.9120
30.700001	105.273	165.5626
31.100000	105.253	165.1133
31.500000	105.231	164.6589
32.000000	105.203	164.0541
32.500000	105.174	163.4046
33.000000	105.141	162.7444
33.500000	105.108	162.1171
34.000000	105.077	161.5424
34.500000	105.049	161.0053
35.000000	105.022	160.4735
35.500000	104.993	159.9263
36.000000	104.962	159.3658
36.500000	104.928	158.8076
37.000000	104.895	158.2661
37.500000	104.863	157.7451
38.200001	104.821	157.0363
38.700001	104.791	156.5338
39.500000	104.738	155.7387
40.000000	104.704	155.2542
40.599998	104.666	154.6802
41.200001	104.628	154.1040
41.799999	104.588	153.5299
42.500000	104.538	152.8843
43.099998	104.495	152.3542
43.700001	104.453	151.8313
44.400002	104.405	151.2224
45.000000	104.362	150.7109
45.500000	104.325	150.2958
46.200001	104.274	149.7227
46.799999	104.232	149.2289
47.500000	104.183	148.6541
48.200001	104.134	148.0992
48.700001	104.099	147.7220
49.400002	104.050	147.2129
50.000000	104.008	146.7771
50.799999	103.950	146.1786
51.500000	103.897	145.6488
52.200001	103.845	145.1352
53.000000	103.787	144.5817
53.799999	103.731	144.0551
54.500000	103.682	143.5928
55.200001	103.632	143.1130
56.000000	103.572	142.5647
57.000000	103.499	141.9381
58.000000	103.432	141.3366
59.000000	103.362	140.7034
60.000000	103.286	140.0931
60.799999	103.228	139.6252
61.500000	103.179	139.2195
62.200001	103.129	138.8199
63.000000	103.073	138.3712
64.000000	103.002	137.8262
65.000000	102.932	137.2920
66.000000	102.862	136.7688
67.000000	102.793	136.2672
68.000000	102.726	135.7613
69.000000	102.656	135.2637
70.000000	102.586	134.7740
71.000000	102.518	134.3089
72.000000	102.453	133.8513
73.000000	102.385	133.3940
74.000000	102.319	132.9567
75.000000	102.256	132.5021
76.199997	102.174	131.9899
77.500000	102.090	131.4512
78.800003	102.008	130.9245
80.000000	101.933	130.4555
81.199997	101.854	129.9999
82.500000	101.775	129.4657
83.800003	101.697	128.9913
85.000000	101.626	128.5613
86.199997	101.545	128.1310
87.500000	101.468	127.6664
88.500000	101.409	127.3113
90.000000	101.320	126.8350
91.199997	101.251	126.4458
92.500000	101.176	126.0334
93.800003	101.104	125.6339
95.000000	101.034	125.2494
96.199997	100.968	124.8939
97.500000	100.896	124.4884
98.800003	100.827	124.1112
100.000000	100.762	123.7706
101.500000	100.678	123.3730
103.000000	100.600	122.9640
104.400002	100.533	122.5899
106.000000	100.451	122.2445
107.500000	100.371	121.6786
109.000000	100.293	121.4428
110.599998	100.219	120.9848
112.000000	100.145	120.6429
113.800003	100.063	120.2939
115.000000	100.001	119.9681
117.199997	99.904	119.5178
118.000000	99.863	119.3768
120.599998	99.731	118.7543
122.000000	99.688	118.5778
124.099998	99.588	118.1056
125.000000	99.542	117.9343
126.500000	99.482	117.7180
128.000000	99.417	117.4878
131.500000	99.274	116.8456
132.000000	99.254	116.7945
134.000000	99.169	116.4641
136.000000	99.107	116.4155
138.000000	99.033	116.1899
140.000000	98.989	116.0137
143.000000	98.936	115.4001
145.000000	98.889	115.0083
147.500000	98.806	114.5445
150.000000	98.765	114.0235
152.500000	98.661	113.5760
155.000000	98.598	113.1158
157.500000	98.518	112.6848
160.000000	98.425	112.2353
162.500000	98.366	111.8174
165.000000	98.285	111.3331
167.500000	98.270	111.0509
170.000000	98.176	110.7451
172.500000	98.121	110.4602
175.000000	98.078	110.1313
177.500000	97.995	109.7589
180.000000	97.945	109.4223
182.500000	97.888	109.0448
185.000000	97.835	108.6809
187.500000	97.781	108.3988
190.000000	97.731	108.0510
192.500000	97.675	107.7532
195.000000	97.630	107.4352
197.500000	97.584	107.1392
200.000000	97.532	106.8419
203.000000	97.482	106.4705
206.000000	97.435	106.0919
209.000000	97.383	105.7772
212.000000	97.335	105.4229
214.000000	97.304	105.2169
218.000000	97.250	104.7198
220.000000	97.219	104.5534
224.000000	97.157	104.1021
227.000000	97.129	103.7310
230.000000	97.083	103.4065
233.000000	97.046	103.1249
236.000000	97.014	102.7841
240.000000	96.970	102.3860
243.000000	96.941	102.0651
247.000000	96.905	101.6706
250.000000	96.877	101.3425
254.000000	96.838	100.9467
258.000000	96.808	100.5603
262.000000	96.771	100.1646
265.000000	96.752	99.8376
269.000000	96.726	99.4816
272.000000	96.706	99.1749
276.000000	96.681	98.7685
280.000000	96.660	98.3784
285.000000	96.636	97.9061
290.000000	96.611	97.4099
295.000000	96.591	96.9485
300.000000	96.580	96.4478
304.000000	96.565	96.0884
307.000000	96.553	95.8063
311.000000	96.546	95.4037
315.000000	96.535	95.0259
320.000000	96.528	94.5632
325.000000	96.517	94.0970
330.000000	96.508	93.6349
335.000000	96.504	93.1976
340.000000	96.504	92.7274
345.000000	96.505	92.3017
350.000000	96.503	91.8627
355.000000	96.514	91.4217
360.000000	96.531	90.9333
365.000000	96.544	90.4387
370.000000	96.557	89.9129
375.000000	96.573	89.3545
382.000000	96.578	88.5538
387.000000	96.582	88.0049
395.000000	96.579	87.1453
400.000000	96.572	86.6796
406.000000	96.571	86.0337
412.000000	96.569	85.4601
418.000000	96.565	84.9266
425.000000	96.562	84.3062
431.000000	96.565	83.8323
437.000000	96.569	83.3036
444.000000	96.575	82.7600
450.000000	96.593	82.2913
455.000000	96.596	81.8822
462.000000	96.609	81.3349
468.000000	96.627	80.8626
475.000000	96.645	80.2726
482.000000	96.666	79.6819
487.000000	96.674	79.2745
494.000000	96.693	78.6818
500.000000	96.706	78.1890
508.000000	96.730	77.5000
515.000000	96.740	76.9232
522.000000	96.758	76.3426
530.000000	96.773	75.6531
538.000000	96.788	74.9990
545.000000	96.804	74.4264
552.000000	96.811	73.8710
560.000000	96.825	73.2162
570.000000	96.834	72.4086
580.000000	96.844	71.6373
590.000000	96.847	70.8539
600.000000	96.855	70.1400
608.000000	96.854	69.5309
615.000000	96.853	69.0251
622.000000	96.850	68.5264
630.000000	96.849	67.9942
640.000000	96.843	67.3325
650.000000	96.836	66.7097
660.000000	96.826	66.0594
670.000000	96.811	65.4518
680.000000	96.802	64.8870
690.000000	96.786	64.3401
700.000000	96.769	63.7800
710.000000	96.754	63.2946
720.000000	96.734	62.8188
730.000000	96.713	62.3822
740.000000	96.693	61.9633
750.000000	96.675	61.5619
762.000000	96.645	61.1428
775.000000	96.620	60.7304
788.000000	96.591	60.3535
800.000000	96.563	60.0652
812.000000	96.543	59.7972
825.000000	96.523	59.5429
838.000000	96.499	59.3337
850.000000	96.486	59.1678
862.000000	96.468	59.0745
875.000000	96.452	58.9693
885.000000	96.445	58.9202
900.000000	96.441	58.9104
912.000000	96.442	58.8621
925.000000	96.438	58.8953
938.000000	96.454	58.9174
950.000000	96.468	58.9504
962.000000	96.486	59.0070
975.000000	96.508	59.1041
988.000000	96.543	59.1222
1000.000000	96.565	59.3045
1015.000000	96.616	59.2131
1030.000000	96.667	59.2530
1044.000000	96.719	59.2751
1060.000000	96.784	59.2908
1075.000000	96.844	59.2583
1090.000000	96.913	59.2025
1106.000000	96.983	59.1009
1120.000000	97.047	59.0164
1138.000000	97.127	58.8434
1150.000000	97.182	58.7014
1172.000000	97.275	58.4166
1180.000000	97.310	58.3035
1206.000000	97.413	57.9050
1220.000000	97.466	57.6701
1241.000000	97.541	57.3201
1250.000000	97.567	57.1474
1265.000000	97.615	56.8875
1280.000000	97.661	56.6388
1315.000000	97.751	56.0382
1320.000000	97.762	55.9687
1340.000000	97.810	55.6737
1360.000000	97.851	55.3690
1380.000000	97.891	55.1087
1400.000000	97.929	54.8894
1430.000000	97.979	54.5981
1450.000000	98.014	54.4330
1475.000000	98.059	54.2557
1500.000000	98.099	54.1395
1525.000000	98.150	54.0661
1550.000000	98.204	54.0035
1575.000000	98.261	53.9335
1600.000000	98.323	53.8646
1625.000000	98.383	53.8168
1650.000000	98.447	53.7598
1675.000000	98.511	53.7498
1700.000000	98.575	53.7177
1725.000000	98.648	53.7295
1750.000000	98.723	53.7199
1775.000000	98.795	53.7254
1800.000000	98.879	53.7687
1825.000000	98.965	53.7162
1850.000000	99.046	53.7182
1875.000000	99.143	53.6701
1900.000000	99.232	53.6182
1925.000000	99.334	53.6044
1950.000000	99.428	53.5351
1975.000000	99.518	53.4502
2000.000000	99.610	53.3516
2030.000000	99.753	53.2248
2060.000000	99.881	53.0715
2090.000000	100.008	52.8771
2120.000000	100.137	52.6888
2140.000000	100.223	52.5428
2180.000000	100.399	52.2822
2200.000000	100.494	52.1406
2240.000000	100.688	51.8526
2270.000000	100.847	51.5946
2300.000000	101.019	51.2339
2330.000000	101.194	50.8277
2360.000000	101.381	50.2973
2400.000000	101.635	49.3678
2430.000000	101.821	48.5232
2470.000000	102.060	47.2162
2500.000000	102.237	46.0744
2540.000000	102.456	44.3393
2580.000000	102.648	42.3131
2620.000000	102.799	40.0168
2650.000000	102.870	38.1677
2690.000000	102.899	35.6601
2720.000000	102.871	33.8548
2760.000000	102.775	31.6918
2800.000000	102.639	29.9301
2850.000000	102.456	28.2587
2900.000000	102.286	27.0471
2950.000000	102.143	26.0098
3000.000000	102.000	25.0762
3040.000000	101.889	24.4702
3070.000000	101.802	24.0989
3110.000000	101.691	23.6754
3150.000000	101.582	23.3818
3200.000000	101.461	23.1393
3250.000000	101.356	23.0219
3300.000000	101.268	23.0316
3350.000000	101.200	23.0911
3400.000000	101.153	23.1887
3450.000000	101.127	23.3377
3500.000000	101.121	23.4244
3550.000000	101.131	23.4739
3600.000000	101.159	23.4346
3650.000000	101.200	23.3484
3700.000000	101.243	23.1638
3750.000000	101.305	22.8553
3820.000000	101.390	22.2372
3870.000000	101.452	21.6080
3950.000000	101.522	20.1836
4000.000000	101.503	19.0583
4060.000000	101.501	17.7280
4120.000000	101.397	16.4000
4180.000000	101.226	15.3281
4250.000000	100.982	14.7039
4310.000000	100.771	14.8134
4370.000000	100.621	15.4324
4440.000000	100.548	16.4720
4500.000000	100.586	17.2758
4550.000000	100.670	17.6320
4620.000000	100.824	17.5868
4680.000000	100.943	16.9692
4750.000000	101.026	15.7907
4820.000000	101.028	14.3674
4870.000000	100.976	13.3617
4940.000000	100.844	12.1129
5000.000000	100.696	11.2660
5080.000000	100.460	10.6432
5150.000000	100.266	10.5465
5220.000000	100.100	10.6773
5300.000000	99.974	10.9709
5380.000000	99.905	11.1746
5450.000000	99.864	11.0946
5520.000000	99.835	10.7414
5600.000000	99.771	9.9669
5700.000000	99.598	8.5820
5800.000000	99.364	7.7717
5900.000000	99.124	5.6074
6000.000000	98.355	4.0796
6080.000000	97.841	6.2807
6150.000000	97.536	7.8881
6220.000000	97.281	9.5282
6300.000000	97.032	11.5417
6400.000000	96.789	14.2052
6500.000000	96.620	17.0953
6600.000000	96.520	20.0612
6700.000000	96.498	23.1123
6800.000000	96.532	26.1993
6900.000000	96.659	29.4456
7000.000000	96.904	32.7775
7100.000000	97.295	35.7454
7200.000000	97.790	37.9507
7300.000000	98.359	39.5085
7400.000000	98.978	40.4434
7500.000000	99.678	40.7587
7620.000000	100.651	39.7489
7750.000000	101.762	36.0215
7880.000000	102.729	29.1248
8000.000000	103.229	20.3017
8120.000000	103.262	10.2816
8250.000000	102.679	0.7197
8380.000000	101.746	-6.3275
8500.000000	100.785	-10.5995
8620.000000	99.798	-13.0609
8750.000000	98.792	-14.0593
8850.000000	98.083	-13.9124
9000.000000	97.171	-12.6036
9120.000000	96.551	-10.9287
9250.000000	96.007	-8.7094
9380.000000	95.575	-6.2871
9500.000000	95.277	-3.9573
9620.000000	95.067	-1.5846
9750.000000	94.926	0.7444
9880.000000	94.852	2.8214
10000.000000	94.800	4.4445
10150.000000	94.935	6.6661
10300.000000	95.097	7.9076
