* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2026 3:09:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.683	19.7644
20.299999	111.689	19.1202
20.600000	111.698	18.4875
20.900000	111.709	17.8530
21.200001	111.719	17.2079
21.400000	111.724	16.7712
21.799999	111.729	15.8967
22.000000	111.728	15.4686
22.400000	111.720	14.6533
22.700001	111.711	14.0928
23.000000	111.703	13.5757
23.299999	111.699	13.0898
23.600000	111.699	12.6149
24.000000	111.705	11.9633
24.299999	111.710	11.4483
24.700001	111.712	10.7338
25.000000	111.708	10.1971
25.400000	111.696	9.5095
25.799999	111.683	8.8681
26.200001	111.672	8.2591
26.500000	111.665	7.8065
26.900000	111.657	7.1927
27.200001	111.650	6.7248
27.600000	111.636	6.1069
28.000000	111.619	5.5150
28.500000	111.597	4.8239
29.000000	111.579	4.1640
29.500000	111.565	3.5031
30.000000	111.550	2.8337
30.400000	111.536	2.3037
30.700001	111.524	1.9157
31.100000	111.508	1.4128
31.500000	111.493	0.9220
32.000000	111.473	0.3179
32.500000	111.452	-0.2757
33.000000	111.430	-0.8532
33.500000	111.408	-1.4156
34.000000	111.386	-1.9711
34.500000	111.361	-2.5212
35.000000	111.335	-3.0542
35.500000	111.307	-3.5595
36.000000	111.282	-4.0453
36.500000	111.260	-4.5336
37.000000	111.237	-5.0356
37.500000	111.210	-5.5388
38.200001	111.170	-6.2084
38.700001	111.141	-6.6594
39.500000	111.097	-7.3643
40.000000	111.068	-7.7941
40.599998	111.034	-8.2869
41.200001	111.001	-8.7626
41.799999	110.969	-9.2369
42.500000	110.931	-9.7879
43.099998	110.896	-10.2489
43.700001	110.861	-10.7006
44.400002	110.819	-11.2175
45.000000	110.782	-11.6500
45.500000	110.751	-12.0041
46.200001	110.708	-12.4903
46.799999	110.671	-12.8986
47.500000	110.631	-13.3861
48.200001	110.586	-13.8927
48.700001	110.548	-14.2320
49.400002	110.497	-14.6301
50.000000	110.463	-14.9427
50.799999	110.425	-15.4332
51.500000	110.381	-15.9026
52.200001	110.330	-16.3103
53.000000	110.277	-16.7088
53.799999	110.231	-17.1180
54.500000	110.189	-17.4945
55.200001	110.144	-17.8696
56.000000	110.089	-18.2674
57.000000	110.028	-18.7256
58.000000	109.970	-19.2358
59.000000	109.904	-19.7262
60.000000	109.841	-20.1749
60.799999	109.790	-20.5302
61.500000	109.746	-20.8153
62.200001	109.705	-21.1066
63.000000	109.654	-21.4555
64.000000	109.587	-21.8279
65.000000	109.529	-22.1984
66.000000	109.465	-22.5926
67.000000	109.403	-22.9386
68.000000	109.342	-23.3087
69.000000	109.277	-23.6422
70.000000	109.218	-23.9490
71.000000	109.159	-24.2843
72.000000	109.097	-24.5927
73.000000	109.038	-24.8869
74.000000	108.978	-25.1984
75.000000	108.913	-25.5047
76.199997	108.838	-25.7963
77.500000	108.765	-26.1525
78.800003	108.687	-26.4941
80.000000	108.616	-26.8043
81.199997	108.544	-27.0698
82.500000	108.471	-27.3628
83.800003	108.394	-27.6464
85.000000	108.325	-27.8984
86.199997	108.255	-28.1418
87.500000	108.182	-28.3992
88.500000	108.124	-28.5895
90.000000	108.041	-28.8571
91.199997	107.975	-29.0660
92.500000	107.904	-29.2853
93.800003	107.832	-29.4903
95.000000	107.767	-29.6725
96.199997	107.701	-29.8426
97.500000	107.633	-30.0262
98.800003	107.564	-30.2014
100.000000	107.501	-30.3611
101.500000	107.422	-30.5437
103.000000	107.344	-30.7172
104.400002	107.273	-30.8730
106.000000	107.190	-31.0400
107.500000	107.116	-31.1852
109.000000	107.040	-31.3304
110.599998	106.961	-31.4645
112.000000	106.892	-31.5883
113.800003	106.804	-31.7351
115.000000	106.746	-31.8209
117.199997	106.647	-31.9614
118.000000	106.606	-32.0170
120.599998	106.493	-32.2092
122.000000	106.421	-32.2397
124.099998	106.325	-32.3340
125.000000	106.287	-32.3743
126.500000	106.218	-32.4421
128.000000	106.154	-32.5021
131.500000	106.000	-32.6289
132.000000	105.978	-32.6356
134.000000	105.895	-32.6924
136.000000	105.812	-32.7082
138.000000	105.732	-32.7713
140.000000	105.646	-32.7824
143.000000	105.523	-32.7912
145.000000	105.442	-32.8287
147.500000	105.348	-32.8115
150.000000	105.250	-32.8012
152.500000	105.155	-32.7806
155.000000	105.060	-32.7569
157.500000	104.967	-32.7026
160.000000	104.875	-32.6538
162.500000	104.782	-32.6203
165.000000	104.693	-32.5475
167.500000	104.604	-32.4668
170.000000	104.516	-32.3723
172.500000	104.428	-32.2634
175.000000	104.337	-32.1409
177.500000	104.251	-32.0059
180.000000	104.168	-31.7814
182.500000	104.086	-31.5950
185.000000	104.011	-31.3693
187.500000	103.948	-31.1217
190.000000	103.890	-30.8979
192.500000	103.841	-30.7151
195.000000	103.794	-30.5906
197.500000	103.740	-30.5094
200.000000	103.685	-30.4201
203.000000	103.611	-30.3255
206.000000	103.539	-30.2057
209.000000	103.466	-30.0672
212.000000	103.394	-29.9165
214.000000	103.350	-29.8339
218.000000	103.257	-29.6418
220.000000	103.209	-29.5513
224.000000	103.116	-29.3826
227.000000	103.045	-29.2220
230.000000	102.976	-29.0603
233.000000	102.907	-28.8846
236.000000	102.840	-28.6899
240.000000	102.751	-28.3803
243.000000	102.685	-28.2481
247.000000	102.600	-27.9947
250.000000	102.539	-27.7750
254.000000	102.458	-27.4930
258.000000	102.379	-27.1810
262.000000	102.301	-26.8904
265.000000	102.248	-26.6489
269.000000	102.177	-26.3558
272.000000	102.126	-26.1494
276.000000	102.058	-25.8424
280.000000	101.994	-25.5592
285.000000	101.914	-25.1920
290.000000	101.834	-24.8440
295.000000	101.756	-24.4622
300.000000	101.678	-24.1312
304.000000	101.617	-23.8471
307.000000	101.573	-23.6131
311.000000	101.511	-23.3177
315.000000	101.451	-23.0053
320.000000	101.381	-22.6289
325.000000	101.311	-22.2196
330.000000	101.245	-21.8116
335.000000	101.184	-21.4333
340.000000	101.125	-21.0049
345.000000	101.064	-20.6201
350.000000	101.010	-20.2251
355.000000	100.952	-19.8680
360.000000	100.899	-19.4884
365.000000	100.841	-19.1234
370.000000	100.791	-18.7553
375.000000	100.735	-18.3423
382.000000	100.660	-17.8365
387.000000	100.608	-17.4390
395.000000	100.533	-16.8146
400.000000	100.483	-16.4233
406.000000	100.426	-15.9342
412.000000	100.369	-15.4799
418.000000	100.316	-15.0073
425.000000	100.260	-14.3960
431.000000	100.213	-13.8945
437.000000	100.171	-13.3772
444.000000	100.126	-12.8263
450.000000	100.093	-12.3512
455.000000	100.065	-11.9798
462.000000	100.023	-11.5173
468.000000	99.984	-11.0951
475.000000	99.943	-10.5965
482.000000	99.896	-10.1236
487.000000	99.867	-9.7670
494.000000	99.822	-9.2466
500.000000	99.785	-8.8158
508.000000	99.738	-8.2460
515.000000	99.700	-7.7227
522.000000	99.663	-7.2119
530.000000	99.621	-6.6395
538.000000	99.580	-6.0478
545.000000	99.545	-5.5168
552.000000	99.511	-5.0239
560.000000	99.473	-4.4418
570.000000	99.431	-3.6986
580.000000	99.389	-2.9548
590.000000	99.350	-2.2213
600.000000	99.315	-1.4972
608.000000	99.284	-0.8850
615.000000	99.259	-0.3895
622.000000	99.238	0.1138
630.000000	99.211	0.7439
640.000000	99.180	1.4791
650.000000	99.152	2.2061
660.000000	99.127	2.9757
670.000000	99.105	3.7012
680.000000	99.080	4.4452
690.000000	99.059	5.1839
700.000000	99.037	5.9407
710.000000	99.022	6.6955
720.000000	99.005	7.4216
730.000000	98.989	8.1981
740.000000	98.981	8.9768
750.000000	98.972	9.7425
762.000000	98.959	10.6574
775.000000	98.954	11.6753
788.000000	98.950	12.6909
800.000000	98.949	13.6389
812.000000	98.952	14.5915
825.000000	98.958	15.6311
838.000000	98.972	16.6878
850.000000	98.986	17.6701
862.000000	99.005	18.6566
875.000000	99.032	19.7385
885.000000	99.057	20.5675
900.000000	99.101	21.8328
912.000000	99.144	22.8742
925.000000	99.197	24.0238
938.000000	99.266	25.1260
950.000000	99.334	26.1781
962.000000	99.418	27.1873
975.000000	99.515	28.2457
988.000000	99.628	29.2708
1000.000000	99.741	30.1601
1015.000000	99.893	31.1230
1030.000000	100.058	31.9537
1044.000000	100.210	32.6068
1060.000000	100.381	33.2266
1075.000000	100.531	33.6926
1090.000000	100.676	34.0412
1106.000000	100.814	34.3897
1120.000000	100.928	34.6770
1138.000000	101.068	34.9699
1150.000000	101.158	35.1762
1172.000000	101.311	35.5102
1180.000000	101.366	35.6178
1206.000000	101.530	35.9576
1220.000000	101.617	36.1424
1241.000000	101.739	36.3911
1250.000000	101.790	36.4764
1265.000000	101.873	36.6517
1280.000000	101.952	36.7969
1315.000000	102.129	37.1143
1320.000000	102.156	37.1659
1340.000000	102.248	37.3181
1360.000000	102.341	37.4824
1380.000000	102.426	37.6676
1400.000000	102.510	37.8260
1430.000000	102.630	38.0599
1450.000000	102.709	38.2193
1475.000000	102.801	38.4058
1500.000000	102.895	38.6277
1525.000000	102.986	38.7929
1550.000000	103.074	38.9964
1575.000000	103.159	39.2071
1600.000000	103.245	39.4006
1625.000000	103.332	39.5830
1650.000000	103.416	39.7797
1675.000000	103.499	39.9626
1700.000000	103.583	40.1391
1725.000000	103.666	40.3078
1750.000000	103.750	40.4651
1775.000000	103.833	40.6192
1800.000000	103.914	40.7473
1825.000000	103.996	40.8881
1850.000000	104.077	40.9994
1875.000000	104.157	41.1073
1900.000000	104.235	41.1970
1925.000000	104.317	41.2848
1950.000000	104.392	41.3597
1975.000000	104.469	41.4096
2000.000000	104.546	41.4583
2030.000000	104.632	41.5026
2060.000000	104.720	41.5295
2090.000000	104.806	41.5410
2120.000000	104.888	41.5378
2140.000000	104.942	41.5247
2180.000000	105.046	41.4902
2200.000000	105.096	41.4587
2240.000000	105.193	41.4070
2270.000000	105.265	41.3464
2300.000000	105.332	41.2823
2330.000000	105.399	41.2169
2360.000000	105.462	41.1447
2400.000000	105.542	41.0465
2430.000000	105.601	40.9687
2470.000000	105.674	40.8865
2500.000000	105.728	40.7916
2540.000000	105.798	40.7055
2580.000000	105.864	40.6105
2620.000000	105.930	40.5431
2650.000000	105.977	40.4906
2690.000000	106.042	40.4202
2720.000000	106.087	40.3621
2760.000000	106.150	40.2930
2800.000000	106.212	40.2242
2850.000000	106.293	40.1421
2900.000000	106.372	40.0676
2950.000000	106.456	39.9520
3000.000000	106.542	39.8349
3040.000000	106.613	39.7280
3070.000000	106.665	39.6388
3110.000000	106.737	39.4743
3150.000000	106.810	39.2896
3200.000000	106.902	39.0285
3250.000000	106.993	38.7046
3300.000000	107.082	38.3337
3350.000000	107.167	37.8864
3400.000000	107.249	37.4166
3450.000000	107.320	36.8664
3500.000000	107.389	36.2960
3550.000000	107.442	35.7034
3600.000000	107.494	35.1151
3650.000000	107.546	34.5528
3700.000000	107.599	33.9587
3750.000000	107.657	33.2799
3820.000000	107.727	32.1780
3870.000000	107.767	31.2637
3950.000000	107.792	29.7034
4000.000000	107.787	28.7040
4060.000000	107.762	27.4746
4120.000000	107.713	26.2598
4180.000000	107.643	25.0887
4250.000000	107.541	23.7567
4310.000000	107.438	22.6722
4370.000000	107.316	21.6230
4440.000000	107.152	20.4987
4500.000000	106.993	19.5856
4550.000000	106.846	18.8842
4620.000000	106.625	18.0452
4680.000000	106.417	17.4895
4750.000000	106.166	17.0744
4820.000000	105.916	16.8829
4870.000000	105.748	16.8598
4940.000000	105.519	16.9199
5000.000000	105.335	17.0586
5080.000000	105.092	17.2790
5150.000000	104.887	17.5687
5220.000000	104.680	17.9451
5300.000000	104.449	18.4861
5380.000000	104.229	19.1396
5450.000000	104.037	19.8173
5520.000000	103.859	20.5825
5600.000000	103.665	21.5826
5700.000000	103.445	22.9631
5800.000000	103.249	24.4940
5900.000000	103.088	26.2111
6000.000000	102.958	27.9913
6080.000000	102.881	29.5022
6150.000000	102.834	30.8439
6220.000000	102.806	32.2523
6300.000000	102.802	33.8232
6400.000000	102.835	35.8318
6500.000000	102.913	37.7817
6600.000000	103.033	39.7227
6700.000000	103.210	41.5609
6800.000000	103.435	43.2514
6900.000000	103.715	44.7761
7000.000000	104.048	46.1284
7100.000000	104.447	47.1503
7200.000000	104.915	47.7911
7300.000000	105.439	47.8770
7400.000000	106.014	47.2807
7500.000000	106.623	45.8850
