* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2026 3:13:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.434	18.8848
20.299999	111.435	18.2113
20.600000	111.435	17.5632
20.900000	111.433	16.9424
21.200001	111.433	16.3442
21.400000	111.434	15.9527
21.799999	111.437	15.1727
22.000000	111.439	14.7805
22.400000	111.440	13.9930
22.700001	111.439	13.4078
23.000000	111.435	12.8360
23.299999	111.431	12.2823
23.600000	111.427	11.7455
24.000000	111.422	11.0454
24.299999	111.420	10.5237
24.700001	111.416	9.8276
25.000000	111.411	9.3092
25.400000	111.403	8.6319
25.799999	111.392	7.9775
26.200001	111.381	7.3453
26.500000	111.372	6.8835
26.900000	111.359	6.2848
27.200001	111.348	5.8517
27.600000	111.334	5.2994
28.000000	111.321	4.7724
28.500000	111.309	4.1287
29.000000	111.300	3.4739
29.500000	111.288	2.8017
30.000000	111.272	2.1289
30.400000	111.256	1.6014
30.700001	111.243	1.2138
31.100000	111.224	0.7073
31.500000	111.204	0.2127
32.000000	111.176	-0.3851
32.500000	111.148	-0.9562
33.000000	111.120	-1.5027
33.500000	111.094	-2.0311
34.000000	111.069	-2.5493
34.500000	111.047	-3.0673
35.000000	111.025	-3.5957
35.500000	111.001	-4.1337
36.000000	110.972	-4.6633
36.500000	110.941	-5.1624
37.000000	110.910	-5.6258
37.500000	110.883	-6.0680
38.200001	110.849	-6.6855
38.700001	110.825	-7.1368
39.500000	110.785	-7.8728
40.000000	110.755	-8.3244
40.599998	110.715	-8.8260
41.200001	110.678	-9.2771
41.799999	110.647	-9.7151
42.500000	110.615	-10.2630
43.099998	110.582	-10.7575
43.700001	110.544	-11.2416
44.400002	110.494	-11.7648
45.000000	110.451	-12.1688
45.500000	110.419	-12.4830
46.200001	110.379	-12.9300
46.799999	110.346	-13.3421
47.500000	110.301	-13.8189
48.200001	110.257	-14.2610
48.700001	110.229	-14.5815
49.400002	110.183	-15.0494
50.000000	110.138	-15.4086
50.799999	110.084	-15.7927
51.500000	110.049	-16.1502
52.200001	110.008	-16.5526
53.000000	109.959	-16.9587
53.799999	109.919	-17.4069
54.500000	109.870	-17.9022
55.200001	109.797	-18.2905
56.000000	109.730	-18.4989
57.000000	109.693	-18.8934
58.000000	109.634	-19.5101
59.000000	109.561	-19.9636
60.000000	109.507	-20.3912
60.799999	109.460	-20.7775
61.500000	109.413	-21.0871
62.200001	109.367	-21.3524
63.000000	109.319	-21.6550
64.000000	109.251	-22.0411
65.000000	109.184	-22.3407
66.000000	109.130	-22.6887
67.000000	109.065	-23.0878
68.000000	109.000	-23.4199
69.000000	108.938	-23.7680
70.000000	108.875	-24.0750
71.000000	108.819	-24.3751
72.000000	108.757	-24.7036
73.000000	108.691	-24.9703
74.000000	108.633	-25.2210
75.000000	108.575	-25.5058
76.199997	108.500	-25.8516
77.500000	108.421	-26.1979
78.800003	108.341	-26.5179
80.000000	108.274	-26.7949
81.199997	108.202	-27.0828
82.500000	108.127	-27.3334
83.800003	108.054	-27.6122
85.000000	107.982	-27.8475
86.199997	107.914	-28.0642
87.500000	107.841	-28.3225
88.500000	107.783	-28.4855
90.000000	107.704	-28.7645
91.199997	107.630	-28.9539
92.500000	107.564	-29.1165
93.800003	107.494	-29.3405
95.000000	107.426	-29.5085
96.199997	107.363	-29.6660
97.500000	107.294	-29.8462
98.800003	107.224	-30.0151
100.000000	107.161	-30.1549
101.500000	107.084	-30.3304
103.000000	107.004	-30.4973
104.400002	106.934	-30.6283
106.000000	106.853	-30.7859
107.500000	106.779	-30.9351
109.000000	106.704	-31.0540
110.599998	106.625	-31.1707
112.000000	106.560	-31.2706
113.800003	106.470	-31.3947
115.000000	106.416	-31.4834
117.199997	106.315	-31.6292
118.000000	106.277	-31.6818
120.599998	106.162	-31.8574
122.000000	106.100	-31.8630
124.099998	105.999	-31.9077
125.000000	105.963	-31.9607
126.500000	105.891	-32.0100
128.000000	105.828	-32.0687
131.500000	105.682	-32.1402
132.000000	105.661	-32.1592
134.000000	105.575	-32.1985
136.000000	105.491	-32.2264
138.000000	105.409	-32.2624
140.000000	105.332	-32.2957
143.000000	105.214	-32.2709
145.000000	105.134	-32.2951
147.500000	105.040	-32.2716
150.000000	104.944	-32.2359
152.500000	104.854	-32.2049
155.000000	104.761	-32.1719
157.500000	104.668	-32.1097
160.000000	104.585	-32.0750
162.500000	104.497	-31.9986
165.000000	104.411	-31.9282
167.500000	104.329	-31.8595
170.000000	104.246	-31.7894
172.500000	104.164	-31.6884
175.000000	104.083	-31.5868
177.500000	104.003	-31.4970
180.000000	103.925	-31.3737
182.500000	103.848	-31.2993
185.000000	103.769	-31.1553
187.500000	103.691	-31.0250
190.000000	103.620	-30.9099
192.500000	103.540	-30.7410
195.000000	103.466	-30.6141
197.500000	103.399	-30.4378
200.000000	103.324	-30.2719
203.000000	103.235	-30.0243
206.000000	103.150	-29.7583
209.000000	103.068	-29.4592
212.000000	102.999	-29.1086
214.000000	102.959	-28.8816
218.000000	102.889	-28.4636
220.000000	102.860	-28.2907
224.000000	102.800	-28.0501
227.000000	102.751	-27.9052
230.000000	102.701	-27.7701
233.000000	102.647	-27.6555
236.000000	102.587	-27.5222
240.000000	102.510	-27.2607
243.000000	102.448	-27.1615
247.000000	102.364	-26.9379
250.000000	102.306	-26.7354
254.000000	102.230	-26.5115
258.000000	102.152	-26.2444
262.000000	102.081	-25.9799
265.000000	102.027	-25.7874
269.000000	101.956	-25.5125
272.000000	101.903	-25.3051
276.000000	101.830	-25.0033
280.000000	101.761	-24.7418
285.000000	101.680	-24.3572
290.000000	101.599	-23.9916
295.000000	101.521	-23.6051
300.000000	101.445	-23.2443
304.000000	101.384	-22.9173
307.000000	101.336	-22.6792
311.000000	101.279	-22.3730
315.000000	101.226	-22.0550
320.000000	101.156	-21.6603
325.000000	101.086	-21.2415
330.000000	101.021	-20.8601
335.000000	100.956	-20.4106
340.000000	100.892	-19.9580
345.000000	100.834	-19.5041
350.000000	100.786	-19.0638
355.000000	100.740	-18.6249
360.000000	100.700	-18.1849
365.000000	100.660	-17.7683
370.000000	100.615	-17.4326
375.000000	100.580	-17.1102
382.000000	100.516	-16.5714
387.000000	100.475	-16.2971
395.000000	100.405	-15.6773
400.000000	100.360	-15.3896
406.000000	100.308	-14.9315
