* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 2, 2025 3:48:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.143	-143.6808
20.600000	101.173	-144.2851
20.900000	101.194	-144.8166
21.200001	101.213	-145.3576
21.400000	101.227	-145.7373
21.799999	101.257	-146.5588
22.000000	101.274	-147.0011
22.400000	101.310	-147.9303
22.700001	101.336	-148.6357
23.000000	101.361	-149.3162
23.299999	101.384	-149.9457
23.600000	101.405	-150.5081
24.000000	101.434	-151.1567
24.299999	101.456	-151.5938
24.700001	101.483	-152.1655
25.000000	101.500	-152.6171
25.400000	101.512	-153.2609
25.799999	101.513	-153.9218
26.200001	101.510	-154.5536
26.500000	101.513	-154.9962
26.900000	101.530	-155.5649
27.200001	101.552	-155.9991
27.600000	101.588	-156.6109
28.000000	101.620	-157.2472
28.500000	101.644	-158.0071
29.000000	101.655	-158.6649
29.500000	101.664	-159.2480
30.000000	101.676	-159.8391
30.400000	101.685	-160.3436
30.700001	101.691	-160.7336
31.100000	101.698	-161.2524
31.500000	101.704	-161.7602
32.000000	101.713	-162.3821
32.500000	101.722	-162.9923
33.000000	101.727	-163.5768
33.500000	101.733	-164.1281
34.000000	101.740	-164.6644
34.500000	101.745	-165.2027
35.000000	101.744	-165.7296
35.500000	101.737	-166.2177
36.000000	101.732	-166.6659
36.500000	101.733	-167.1046
37.000000	101.738	-167.5632
37.500000	101.743	-168.0427
38.200001	101.745	-168.7080
38.700001	101.742	-169.1566
39.500000	101.737	-169.8483
40.000000	101.732	-170.2943
40.599998	101.724	-170.8387
41.200001	101.715	-171.3434
41.799999	101.711	-171.7988
42.500000	101.712	-172.3532
43.099998	101.703	-172.8649
43.700001	101.686	-173.3245
44.400002	101.679	-173.7938
45.000000	101.682	-174.2617
45.500000	101.675	-174.6877
46.200001	101.643	-175.1595
46.799999	101.626	-175.4380
47.500000	101.628	-175.8899
48.200001	101.617	-176.5256
48.700001	101.597	-176.9182
49.400002	101.581	-177.2967
50.000000	101.583	-177.6106
50.799999	101.575	-178.0976
51.500000	101.556	-178.4949
52.200001	101.537	-178.9246
53.000000	101.501	-179.4698
53.799999	101.463	-179.8993
54.500000	101.449	179.7567
55.200001	101.442	179.3406
56.000000	101.428	178.8751
57.000000	101.410	178.3987
58.000000	101.392	177.9090
59.000000	101.359	177.3797
60.000000	101.323	176.9420
60.799999	101.308	176.5900
61.500000	101.292	176.1956
62.200001	101.262	175.7982
63.000000	101.226	175.4398
64.000000	101.197	175.0846
65.000000	101.183	174.6956
66.000000	101.157	174.2178
67.000000	101.114	173.8125
68.000000	101.081	173.4437
69.000000	101.048	173.0328
70.000000	101.014	172.6976
71.000000	100.988	172.3938
72.000000	100.963	172.0106
73.000000	100.927	171.5537
74.000000	100.884	171.1745
75.000000	100.852	170.8945
76.199997	100.818	170.5211
77.500000	100.767	170.1152
78.800003	100.731	169.7465
80.000000	100.691	169.3657
81.199997	100.652	169.0034
82.500000	100.605	168.6040
83.800003	100.567	168.2599
85.000000	100.526	167.9347
86.199997	100.483	167.6235
87.500000	100.437	167.2793
88.500000	100.404	167.0208
90.000000	100.355	166.6959
91.199997	100.314	166.4067
92.500000	100.265	166.1093
93.800003	100.224	165.8205
95.000000	100.179	165.5715
96.199997	100.142	165.3112
97.500000	100.092	165.0671
98.800003	100.052	164.8737
100.000000	100.008	164.6035
101.500000	99.954	164.3049
103.000000	99.901	164.0349
104.400002	99.852	163.7835
106.000000	99.801	163.5120
107.500000	99.748	163.3006
109.000000	99.694	163.0406
110.599998	99.641	162.8002
112.000000	99.591	162.5997
113.800003	99.527	162.3460
115.000000	99.484	162.1943
117.199997	99.407	161.9141
118.000000	99.380	161.8240
120.599998	99.282	161.5055
122.000000	99.239	161.3662
124.099998	99.163	161.1554
125.000000	99.130	161.0703
126.500000	99.075	160.9595
128.000000	99.018	160.8257
131.500000	98.890	160.6481
132.000000	98.871	160.6278
134.000000	98.801	160.5838
136.000000	98.730	160.6000
138.000000	98.674	160.6508
140.000000	98.621	160.6993
