* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 11, 2025 6:29:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.784	-156.7760
20.600000	102.796	-157.5457
20.900000	102.799	-158.2404
21.200001	102.800	-158.9276
21.400000	102.801	-159.3845
21.799999	102.808	-160.2968
22.000000	102.812	-160.7512
22.400000	102.824	-161.6508
22.700001	102.834	-162.3118
23.000000	102.843	-162.9588
23.299999	102.852	-163.5920
23.600000	102.858	-164.2130
24.000000	102.861	-165.0221
24.299999	102.859	-165.6104
24.700001	102.853	-166.3598
25.000000	102.847	-166.8909
25.400000	102.842	-167.5624
25.799999	102.840	-168.2144
26.200001	102.843	-168.8778
26.500000	102.845	-169.3952
26.900000	102.843	-170.1083
27.200001	102.836	-170.6491
27.600000	102.822	-171.3539
28.000000	102.804	-172.0232
28.500000	102.782	-172.8098
29.000000	102.766	-173.5707
29.500000	102.751	-174.3307
30.000000	102.733	-175.0842
30.400000	102.715	-175.6670
30.700001	102.701	-176.0874
31.100000	102.682	-176.6286
31.500000	102.666	-177.1590
32.000000	102.649	-177.8273
32.500000	102.631	-178.5087
33.000000	102.609	-179.1852
33.500000	102.582	-179.8304
34.000000	102.554	179.5655
34.500000	102.527	178.9856
35.000000	102.502	178.4024
35.500000	102.476	177.8066
36.000000	102.446	177.2177
36.500000	102.413	176.6616
37.000000	102.381	176.1398
37.500000	102.354	175.6271
38.200001	102.317	174.8838
38.700001	102.287	174.3486
39.500000	102.235	173.5509
40.000000	102.203	173.0854
40.599998	102.164	172.5280
41.200001	102.121	171.9711
41.799999	102.076	171.4362
42.500000	102.030	170.8375
43.099998	101.992	170.3294
43.700001	101.953	169.8412
44.400002	101.904	169.3121
45.000000	101.863	168.8512
45.500000	101.826	168.4359
46.200001	101.767	167.8444
46.799999	101.716	167.3860
47.500000	101.664	166.9016
48.200001	101.614	166.4163
48.700001	101.575	166.0704
49.400002	101.518	165.6055
50.000000	101.471	165.2038
50.799999	101.409	164.6527
51.500000	101.353	164.2138
52.200001	101.303	163.8140
53.000000	101.248	163.3239
53.799999	101.181	162.8381
54.500000	101.121	162.4710
55.200001	101.068	162.1068
56.000000	101.005	161.6665
