* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2025 1:31:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.172	8.2088
20.600000	104.172	7.6565
20.900000	104.165	7.1298
21.200001	104.155	6.5889
21.400000	104.147	6.2268
21.799999	104.131	5.5262
22.000000	104.123	5.1986
22.400000	104.110	4.5990
22.700001	104.104	4.1929
23.000000	104.101	3.8086
23.299999	104.097	3.4292
23.600000	104.093	3.0424
24.000000	104.081	2.5095
24.299999	104.067	2.1034
24.700001	104.045	1.5664
25.000000	104.028	1.1723
25.400000	104.008	0.6584
25.799999	103.993	0.1529
26.200001	103.979	-0.3447
26.500000	103.969	-0.7091
26.900000	103.955	-1.1775
27.200001	103.943	-1.5143
27.600000	103.925	-1.9476
28.000000	103.907	-2.3693
28.500000	103.883	-2.8889
29.000000	103.861	-3.4065
29.500000	103.839	-3.9272
30.000000	103.817	-4.4522
30.400000	103.796	-4.8684
30.700001	103.778	-5.1715
31.100000	103.753	-5.5573
31.500000	103.728	-5.9235
32.000000	103.701	-6.3705
32.500000	103.676	-6.8257
33.000000	103.651	-7.2910
33.500000	103.624	-7.7498
34.000000	103.596	-8.1889
34.500000	103.567	-8.6105
35.000000	103.538	-9.0224
35.500000	103.508	-9.4267
36.000000	103.477	-9.8236
36.500000	103.448	-10.2169
37.000000	103.419	-10.6098
37.500000	103.388	-10.9981
38.200001	103.343	-11.5214
38.700001	103.311	-11.8833
39.500000	103.260	-12.4546
40.000000	103.228	-12.8016
40.599998	103.190	-13.2050
41.200001	103.153	-13.6071
41.799999	103.112	-14.0090
42.500000	103.060	-14.4530
43.099998	103.016	-14.8112
43.700001	102.976	-15.1742
44.400002	102.930	-15.6062
45.000000	102.891	-15.9560
45.500000	102.859	-16.2283
46.200001	102.812	-16.6017
46.799999	102.770	-16.9288
47.500000	102.720	-17.3204
48.200001	102.671	-17.7145
48.700001	102.637	-17.9871
49.400002	102.588	-18.3548
50.000000	102.543	-18.6707
50.799999	102.477	-19.0722
51.500000	102.426	-19.3802
52.200001	102.389	-19.7100
53.000000	102.336	-20.1355
53.799999	102.259	-20.4677
54.500000	102.192	-20.6812
55.200001	102.136	-20.9231
56.000000	102.086	-21.2347
57.000000	102.028	-21.6319
58.000000	101.947	-21.9951
59.000000	101.869	-22.3966
60.000000	101.790	-22.8936
60.799999	101.728	-23.1106
61.500000	101.687	-23.2457
62.200001	101.641	-23.4692
63.000000	101.571	-23.7566
64.000000	101.483	-24.0311
65.000000	101.410	-24.2819
66.000000	101.339	-24.5738
67.000000	101.262	-24.8426
68.000000	101.191	-25.0748
69.000000	101.112	-25.3217
70.000000	101.030	-25.5159
71.000000	100.956	-25.7415
72.000000	100.878	-25.9444
73.000000	100.805	-26.1201
74.000000	100.728	-26.3527
75.000000	100.647	-26.5204
76.199997	100.562	-26.6951
77.500000	100.447	-26.8661
78.800003	100.359	-26.9996
80.000000	100.275	-27.2176
81.199997	100.189	-27.3132
82.500000	100.084	-27.4642
83.800003	99.987	-27.5747
85.000000	99.902	-27.6694
86.199997	99.816	-27.7395
87.500000	99.722	-27.8069
88.500000	99.649	-27.8498
90.000000	99.541	-27.9015
91.199997	99.453	-27.9277
92.500000	99.364	-27.9391
93.800003	99.270	-27.9544
95.000000	99.188	-27.9363
96.199997	99.107	-27.9015
97.500000	99.019	-27.8750
98.800003	98.928	-27.8395
100.000000	98.848	-27.7853
101.500000	98.751	-27.6895
103.000000	98.653	-27.5869
104.400002	98.560	-27.5097
106.000000	98.461	-27.3535
107.500000	98.367	-27.2236
109.000000	98.273	-27.0542
110.599998	98.178	-26.8848
112.000000	98.094	-26.7149
113.800003	97.989	-26.4883
115.000000	97.922	-26.3328
117.199997	97.796	-26.0098
118.000000	97.751	-25.9103
120.599998	97.628	-25.4700
122.000000	97.538	-25.2096
124.099998	97.436	-24.8840
125.000000	97.390	-24.7123
126.500000	97.317	-24.4488
128.000000	97.246	-24.1548
131.500000	97.089	-23.4531
132.000000	97.065	-23.3661
134.000000	96.979	-22.9494
136.000000	96.894	-22.5418
138.000000	96.817	-22.0874
140.000000	96.738	-21.6416
143.000000	96.630	-20.9947
145.000000	96.563	-20.5484
147.500000	96.480	-19.9507
150.000000	96.403	-19.3744
152.500000	96.332	-18.7888
155.000000	96.266	-18.1924
157.500000	96.203	-17.6155
160.000000	96.140	-17.0417
162.500000	96.083	-16.4429
165.000000	96.029	-15.8435
167.500000	95.985	-15.2833
170.000000	95.942	-14.7031
172.500000	95.900	-14.1547
175.000000	95.859	-13.5849
177.500000	95.830	-12.9974
180.000000	95.795	-12.4425
182.500000	95.760	-11.9364
185.000000	95.739	-11.4167
187.500000	95.713	-10.9254
190.000000	95.696	-10.4150
192.500000	95.674	-9.9149
195.000000	95.657	-9.4173
197.500000	95.642	-8.9474
200.000000	95.626	-8.4528
203.000000	95.610	-7.9162
206.000000	95.600	-7.3833
209.000000	95.587	-6.8598
212.000000	95.577	-6.3495
214.000000	95.571	-6.0014
218.000000	95.562	-5.3805
220.000000	95.556	-5.0608
224.000000	95.547	-4.4679
227.000000	95.546	-4.0022
230.000000	95.540	-3.5408
233.000000	95.533	-3.1048
236.000000	95.530	-2.6751
240.000000	95.533	-1.9353
243.000000	95.536	-1.6264
247.000000	95.540	-1.0088
250.000000	95.555	-0.5892
254.000000	95.577	-0.0300
258.000000	95.610	0.4283
262.000000	95.636	0.8138
265.000000	95.653	1.0497
269.000000	95.665	1.3628
272.000000	95.674	1.6059
276.000000	95.686	1.9064
280.000000	95.695	2.1998
285.000000	95.701	2.5755
290.000000	95.709	2.9427
295.000000	95.713	3.2891
300.000000	95.725	3.6211
304.000000	95.722	3.9113
307.000000	95.726	4.1071
311.000000	95.726	4.3659
315.000000	95.730	4.6363
320.000000	95.728	4.9498
325.000000	95.729	5.2332
330.000000	95.730	5.5475
