* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2025 1:29:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.614	10.5649
20.600000	103.598	10.0440
20.900000	103.578	9.6241
21.200001	103.563	9.2231
21.400000	103.557	8.9455
21.799999	103.553	8.3356
22.000000	103.551	8.0013
22.400000	103.545	7.2979
22.700001	103.535	6.7743
23.000000	103.521	6.2769
23.299999	103.507	5.8100
23.600000	103.495	5.3616
24.000000	103.482	4.7561
24.299999	103.473	4.2798
24.700001	103.457	3.6228
25.000000	103.442	3.1400
25.400000	103.421	2.5487
25.799999	103.404	2.0322
26.200001	103.396	1.5626
26.500000	103.394	1.2121
26.900000	103.392	0.7228
27.200001	103.387	0.3404
27.600000	103.372	-0.1673
28.000000	103.351	-0.6497
28.500000	103.322	-1.2145
29.000000	103.297	-1.7766
29.500000	103.274	-2.3624
30.000000	103.248	-2.9487
30.400000	103.225	-3.3934
30.700001	103.208	-3.7095
31.100000	103.186	-4.1171
31.500000	103.166	-4.5237
32.000000	103.139	-5.0391
32.500000	103.110	-5.5490
33.000000	103.080	-6.0366
33.500000	103.053	-6.5028
34.000000	103.026	-6.9584
34.500000	102.997	-7.4068
35.000000	102.966	-7.8453
35.500000	102.933	-8.2762
36.000000	102.900	-8.7082
36.500000	102.868	-9.1468
37.000000	102.837	-9.5858
37.500000	102.806	-10.0114
38.200001	102.762	-10.5644
38.700001	102.730	-10.9356
39.500000	102.676	-11.5396
40.000000	102.637	-11.9316
40.599998	102.591	-12.3878
41.200001	102.552	-12.8176
41.799999	102.520	-13.2482
42.500000	102.477	-13.7546
43.099998	102.430	-14.1465
43.700001	102.384	-14.5052
44.400002	102.335	-14.9517
45.000000	102.293	-15.3436
45.500000	102.258	-15.6384
46.200001	102.211	-16.0235
46.799999	102.162	-16.3625
47.500000	102.096	-16.7241
48.200001	102.046	-17.0795
48.700001	102.022	-17.4130
49.400002	101.980	-17.9254
50.000000	101.937	-18.2242
50.799999	101.902	-18.5054
51.500000	101.866	-18.9458
52.200001	101.783	-19.4274
53.000000	101.677	-19.7035
53.799999	101.615	-19.9622
54.500000	101.572	-20.3428
55.200001	101.522	-20.6884
56.000000	101.470	-20.9705
57.000000	101.395	-21.3085
58.000000	101.307	-21.6718
59.000000	101.241	-22.1733
60.000000	101.174	-22.7293
60.799999	101.100	-22.9722
61.500000	101.037	-23.0686
62.200001	100.979	-23.2288
63.000000	100.915	-23.5195
64.000000	100.843	-23.8711
65.000000	100.770	-24.1377
66.000000	100.685	-24.3924
67.000000	100.586	-24.6836
68.000000	100.509	-24.8754
69.000000	100.449	-25.2353
70.000000	100.354	-25.5365
71.000000	100.277	-25.6788
72.000000	100.205	-25.8760
73.000000	100.136	-26.0219
74.000000	100.052	-26.2811
75.000000	99.954	-26.4429
76.199997	99.860	-26.7051
77.500000	99.748	-26.8179
78.800003	99.658	-26.9773
80.000000	99.555	-27.1257
81.199997	99.468	-27.2304
82.500000	99.370	-27.3929
83.800003	99.265	-27.5273
85.000000	99.173	-27.6020
86.199997	99.080	-27.6521
87.500000	98.983	-27.7358
88.500000	98.904	-27.7779
90.000000	98.793	-27.7775
91.199997	98.704	-27.8086
92.500000	98.606	-27.8270
93.800003	98.513	-27.7575
95.000000	98.426	-27.7607
96.199997	98.339	-27.7168
97.500000	98.250	-27.7080
98.800003	98.154	-27.5954
100.000000	98.075	-27.5226
101.500000	97.973	-27.4236
103.000000	97.870	-27.3145
104.400002	97.774	-27.1791
106.000000	97.674	-27.0004
107.500000	97.573	-26.8413
109.000000	97.478	-26.6609
110.599998	97.379	-26.4437
112.000000	97.293	-26.2475
113.800003	97.184	-25.9616
115.000000	97.113	-25.7632
117.199997	96.988	-25.4055
118.000000	96.947	-25.2623
120.599998	96.806	-24.6481
122.000000	96.723	-24.5327
124.099998	96.620	-24.0962
125.000000	96.571	-23.8915
126.500000	96.501	-23.6035
128.000000	96.430	-23.2395
131.500000	96.276	-22.4834
132.000000	96.251	-22.3612
134.000000	96.163	-21.9098
136.000000	96.084	-21.4095
138.000000	96.004	-20.9496
140.000000	95.932	-20.4417
143.000000	95.827	-19.7045
145.000000	95.764	-19.1984
147.500000	95.683	-18.5384
150.000000	95.612	-17.9191
152.500000	95.543	-17.2874
155.000000	95.482	-16.6454
157.500000	95.427	-16.0084
160.000000	95.371	-15.3730
162.500000	95.325	-14.7398
165.000000	95.279	-14.1194
167.500000	95.238	-13.5055
170.000000	95.200	-12.9225
172.500000	95.168	-12.3100
175.000000	95.135	-11.7005
177.500000	95.107	-11.1311
180.000000	95.080	-10.5806
182.500000	95.063	-10.0321
185.000000	95.044	-9.4853
187.500000	95.027	-8.9224
190.000000	95.010	-8.4219
192.500000	95.002	-7.9094
195.000000	94.986	-7.4169
