* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 26, 2026, 2:47:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.377	-153.0933
20.299999	102.416	-153.4559
20.600000	102.472	-153.8396
20.900000	102.541	-154.3197
21.200001	102.612	-154.9454
21.400000	102.651	-155.4334
21.799999	102.704	-156.4951
22.000000	102.715	-157.0149
22.400000	102.717	-157.9182
22.700001	102.713	-158.4375
23.000000	102.719	-158.8473
23.299999	102.742	-159.2274
23.600000	102.778	-159.6481
24.000000	102.832	-160.3362
24.299999	102.865	-160.9305
24.700001	102.888	-161.7342
25.000000	102.895	-162.2730
25.400000	102.904	-162.8639
25.799999	102.926	-163.3609
26.200001	102.968	-163.8787
26.500000	103.004	-164.3349
26.900000	103.048	-165.0430
27.200001	103.070	-165.6144
27.600000	103.084	-166.3609
28.000000	103.085	-167.0237
28.500000	103.088	-167.7166
29.000000	103.105	-168.3453
29.500000	103.133	-169.0178
30.000000	103.157	-169.7671
30.400000	103.168	-170.3809
30.700001	103.171	-170.8208
31.100000	103.174	-171.3621
31.500000	103.182	-171.8651
32.000000	103.199	-172.4961
32.500000	103.219	-173.1770
33.000000	103.232	-173.8881
33.500000	103.237	-174.5720
34.000000	103.242	-175.2051
34.500000	103.251	-175.8198
35.000000	103.261	-176.4493
35.500000	103.268	-177.0860
36.000000	103.270	-177.7005
36.500000	103.274	-178.2916
37.000000	103.279	-178.8903
37.500000	103.282	-179.5148
38.200001	103.275	179.6139
38.700001	103.265	179.0372
39.500000	103.255	178.1709
40.000000	103.252	177.6203
40.599998	103.247	176.9425
41.200001	103.238	176.2697
41.799999	103.229	175.6069
42.500000	103.216	174.8351
43.099998	103.200	174.1876
43.700001	103.182	173.5806
44.400002	103.164	172.9217
45.000000	103.156	172.3524
45.500000	103.150	171.8405
46.200001	103.133	171.0790
46.799999	103.108	170.4454
47.500000	103.075	169.7725
48.200001	103.045	169.1421
48.700001	103.026	168.7028
49.400002	103.005	168.0850
50.000000	102.989	167.5107
50.799999	102.954	166.6938
51.500000	102.908	166.0771
52.200001	102.874	165.5770
53.000000	102.853	164.9490
53.799999	102.824	164.2213
54.500000	102.789	163.6145
55.200001	102.753	163.0342
56.000000	102.711	162.3832
57.000000	102.662	161.6177
58.000000	102.618	160.7722
59.000000	102.555	159.9280
60.000000	102.493	159.2202
60.799999	102.452	158.6533
61.500000	102.414	158.1501
62.200001	102.376	157.6639
63.000000	102.333	157.1027
64.000000	102.272	156.3937
65.000000	102.207	155.7357
66.000000	102.142	155.0950
67.000000	102.077	154.4797
68.000000	102.016	153.8281
69.000000	101.943	153.1557
70.000000	101.865	152.5872
71.000000	101.804	152.0602
72.000000	101.749	151.4264
73.000000	101.672	150.7547
74.000000	101.592	150.2763
75.000000	101.540	149.7576
76.199997	101.451	148.9952
77.500000	101.350	148.4015
78.800003	101.263	147.7523
80.000000	101.175	147.1355
81.199997	101.080	146.5573
82.500000	100.988	145.9655
83.800003	100.884	145.3153
85.000000	100.792	144.8375
86.199997	100.701	144.3055
87.500000	100.604	143.8229
88.500000	100.533	143.3788
90.000000	100.406	142.8033
91.199997	100.314	142.3767
92.500000	100.213	141.9166
93.800003	100.112	141.4445
95.000000	100.019	141.0695
96.199997	99.933	140.6484
97.500000	99.830	140.2126
98.800003	99.728	139.7796
100.000000	99.626	139.4257
101.500000	99.506	139.0260
103.000000	99.385	138.6310
104.400002	99.277	138.2992
106.000000	99.151	137.8864
107.500000	99.033	137.5531
109.000000	98.913	137.2277
110.599998	98.786	136.9292
112.000000	98.680	136.6453
113.800003	98.531	136.2723
115.000000	98.435	136.1163
117.199997	98.266	135.7677
118.000000	98.199	135.6150
120.599998	98.021	135.3246
122.000000	97.887	135.0611
124.099998	97.734	134.8393
125.000000	97.655	134.7398
126.500000	97.551	134.6770
128.000000	97.431	134.5067
131.500000	97.159	134.3364
132.000000	97.124	134.2857
134.000000	96.973	134.1896
136.000000	96.831	134.1207
138.000000	96.670	134.1493
140.000000	96.535	134.0445
143.000000	96.320	134.1243
145.000000	96.176	134.0674
147.500000	96.000	134.1709
150.000000	95.828	134.3265
152.500000	95.667	134.4356
155.000000	95.484	134.6240
157.500000	95.325	134.8566
160.000000	95.149	135.1875
162.500000	95.007	135.5764
165.000000	94.855	135.9266
167.500000	94.739	136.3225
170.000000	94.632	136.7552
172.500000	94.516	137.0279
175.000000	94.394	137.2779
177.500000	94.263	137.5962
180.000000	94.163	137.8347
182.500000	94.016	138.2065
185.000000	93.897	138.5400
187.500000	93.766	138.9274
190.000000	93.664	139.3315
192.500000	93.557	139.7901
195.000000	93.438	140.2645
197.500000	93.337	140.6426
200.000000	93.243	141.1036
203.000000	93.132	141.6410
206.000000	93.018	142.2060
209.000000	92.913	142.7745
212.000000	92.818	143.3447
214.000000	92.752	143.7472
218.000000	92.626	144.4657
220.000000	92.578	144.9583
224.000000	92.447	145.7194
227.000000	92.375	146.2827
230.000000	92.309	146.9455
233.000000	92.247	147.4370
236.000000	92.167	148.0626
240.000000	92.052	149.0859
243.000000	92.026	149.4864
247.000000	91.952	150.2288
250.000000	91.908	150.8953
254.000000	91.854	151.5602
258.000000	91.800	152.2440
262.000000	91.764	152.9790
265.000000	91.725	153.5008
269.000000	91.689	154.0465
272.000000	91.657	154.5213
276.000000	91.616	155.1368
280.000000	91.580	155.7119
285.000000	91.542	156.4506
290.000000	91.493	157.1774
295.000000	91.464	157.8732
300.000000	91.425	158.5364
304.000000	91.405	159.1029
307.000000	91.391	159.4737
311.000000	91.379	159.9824
315.000000	91.359	160.4421
320.000000	91.356	161.0050
325.000000	91.339	161.5632
330.000000	91.338	162.1315
335.000000	91.303	162.6095
340.000000	91.293	162.9444
345.000000	91.295	163.4288
350.000000	91.275	163.8940
355.000000	91.264	164.3408
360.000000	91.245	164.7507
365.000000	91.215	164.9707
370.000000	91.236	165.5618
375.000000	91.196	165.8421
382.000000	91.177	166.1495
387.000000	91.155	166.8059
395.000000	91.159	167.2468
400.000000	91.134	167.5305
406.000000	91.121	168.0168
412.000000	91.109	168.3975
418.000000	91.086	168.6913
425.000000	91.085	169.1068
431.000000	91.041	169.4196
437.000000	91.031	169.8621
444.000000	91.018	170.2428
450.000000	90.993	170.5481
455.000000	90.985	170.8468
462.000000	90.967	171.2193
468.000000	90.963	171.4975
475.000000	90.929	172.0325
482.000000	90.884	172.3293
487.000000	90.921	172.5705
494.000000	90.865	173.1000
500.000000	90.869	173.1409
508.000000	90.822	173.7485
515.000000	90.820	174.0909
522.000000	90.769	174.3415
530.000000	90.766	174.7883
538.000000	90.752	175.2148
545.000000	90.710	175.5417
552.000000	90.695	175.9723
560.000000	90.671	176.3356
570.000000	90.648	176.8198
580.000000	90.613	177.3882
590.000000	90.588	177.9543
600.000000	90.563	178.5258
608.000000	90.538	178.8887
615.000000	90.516	179.1976
622.000000	90.493	179.6238
630.000000	90.482	-179.9997
640.000000	90.452	-179.4387
650.000000	90.425	-178.9404
660.000000	90.417	-178.3738
670.000000	90.385	-177.9231
680.000000	90.363	-177.3383
690.000000	90.344	-176.8287
700.000000	90.310	-176.2141
710.000000	90.298	-175.6791
720.000000	90.262	-175.0760
730.000000	90.244	-174.4511
740.000000	90.237	-173.9422
750.000000	90.219	-173.3318
762.000000	90.195	-172.6160
775.000000	90.190	-171.8983
788.000000	90.181	-171.0319
800.000000	90.165	-170.2224
812.000000	90.167	-169.4902
825.000000	90.152	-168.7313
838.000000	90.148	-167.9615
850.000000	90.139	-167.2280
862.000000	90.154	-166.2482
875.000000	90.175	-165.5288
885.000000	90.205	-164.7522
900.000000	90.210	-163.8189
912.000000	90.249	-163.1247
925.000000	90.272	-162.2302
938.000000	90.289	-161.2040
950.000000	90.347	-160.5763
962.000000	90.400	-159.8496
975.000000	90.431	-159.0782
988.000000	90.486	-158.2345
1000.000000	90.553	-157.4304
1015.000000	90.651	-156.5630
1030.000000	90.664	-156.0873
1044.000000	90.755	-155.4784
1060.000000	90.863	-154.5488
1075.000000	90.962	-153.8201
1090.000000	91.045	-153.3692
1106.000000	91.107	-152.4998
1120.000000	91.192	-152.1342
1138.000000	91.281	-151.3050
1150.000000	91.400	-151.1507
1172.000000	91.560	-150.4147
1180.000000	91.575	-150.5818
1206.000000	91.697	-149.6279
1220.000000	91.775	-149.4526
1241.000000	91.890	-148.9666
1250.000000	91.902	-148.7303
1265.000000	91.986	-148.4778
1280.000000	92.049	-148.1776
1315.000000	92.218	-147.4350
1320.000000	92.216	-147.3358
1340.000000	92.314	-147.0135
1360.000000	92.378	-146.6651
1380.000000	92.461	-146.1670
1400.000000	92.527	-145.8413
1430.000000	92.635	-145.1898
1450.000000	92.709	-144.7854
1475.000000	92.808	-144.2814
1500.000000	92.914	-143.5051
1525.000000	93.022	-142.9368
1550.000000	93.114	-142.4850
1575.000000	93.255	-141.9186
1600.000000	93.400	-141.4099
1625.000000	93.544	-140.9727
1650.000000	93.694	-140.6720
1675.000000	93.839	-140.4424
1700.000000	93.977	-140.2496
1725.000000	94.121	-140.1770
1750.000000	94.257	-140.1976
1775.000000	94.365	-140.1420
1800.000000	94.495	-140.4061
1825.000000	94.586	-140.3517
1850.000000	94.685	-140.4730
1875.000000	94.755	-140.5315
1900.000000	94.844	-140.6186
1925.000000	94.919	-140.6692
1950.000000	94.990	-140.6005
1975.000000	95.062	-140.6201
2000.000000	95.132	-140.5796
2030.000000	95.203	-140.5034
2060.000000	95.291	-140.4294
2090.000000	95.378	-140.3089
2120.000000	95.459	-140.2297
2140.000000	95.519	-140.1354
2180.000000	95.638	-140.0322
2200.000000	95.703	-139.9731
2240.000000	95.824	-139.8379
2270.000000	95.926	-139.7854
2300.000000	96.016	-139.6761
2330.000000	96.126	-139.6521
2360.000000	96.230	-139.6559
2400.000000	96.359	-139.6912
2430.000000	96.468	-139.6768
2470.000000	96.606	-139.7885
2500.000000	96.715	-139.8527
2540.000000	96.853	-140.0422
2580.000000	96.990	-140.2411
2620.000000	97.139	-140.5387
2650.000000	97.240	-140.7543
2690.000000	97.379	-141.0708
2720.000000	97.483	-141.4099
2760.000000	97.612	-141.8778
2800.000000	97.735	-142.3991
2850.000000	97.890	-143.1038
2900.000000	98.032	-143.8876
2950.000000	98.161	-144.7827
3000.000000	98.287	-145.7321
3040.000000	98.376	-146.5627
3070.000000	98.433	-147.2085
3110.000000	98.507	-148.0836
3150.000000	98.567	-149.0005
3200.000000	98.626	-150.2247
3250.000000	98.668	-151.4253
3300.000000	98.687	-152.6779
3350.000000	98.689	-153.8936
3400.000000	98.676	-155.0924
3450.000000	98.646	-156.3168
3500.000000	98.587	-157.4491
3550.000000	98.519	-158.6120
3600.000000	98.436	-159.6636
3650.000000	98.339	-160.5905
3700.000000	98.230	-161.5126
3750.000000	98.107	-162.3395
3820.000000	97.920	-163.2879
3870.000000	97.768	-163.8790
3950.000000	97.543	-164.5769
4000.000000	97.391	-164.8727
4060.000000	97.216	-165.1176
4120.000000	97.046	-165.2381
4180.000000	96.893	-165.3454
4250.000000	96.712	-165.3708
4310.000000	96.563	-165.3704
4370.000000	96.405	-165.2695
4440.000000	96.217	-165.0835
4500.000000	96.076	-164.8669
4550.000000	95.950	-164.7023
4620.000000	95.782	-164.2947
4680.000000	95.650	-163.8718
4750.000000	95.491	-163.3112
4820.000000	95.341	-162.6376
4870.000000	95.243	-162.1754
4940.000000	95.133	-161.3116
5000.000000	95.050	-160.4725
5080.000000	94.976	-159.3746
5150.000000	94.944	-158.4425
5220.000000	94.966	-157.5150
5300.000000	95.026	-156.7852
5380.000000	95.120	-156.3361
5450.000000	95.249	-156.3034
5520.000000	95.360	-156.8966
5600.000000	95.473	-158.0927
5700.000000	95.488	-160.6932
5800.000000	95.257	-163.7648
5900.000000	94.733	-166.3274
6000.000000	94.054	-167.2263
6080.000000	93.503	-166.5928
6150.000000	93.075	-165.3147
6220.000000	92.709	-163.5716
6300.000000	92.374	-161.1882
6400.000000	92.135	-157.9424
6500.000000	91.993	-154.6730
6600.000000	91.990	-151.6370
6700.000000	92.062	-148.8393
6800.000000	92.225	-146.2395
6900.000000	92.474	-144.1322
7000.000000	92.768	-142.2290
7100.000000	93.152	-140.8058
7200.000000	93.612	-140.0345
7300.000000	94.121	-139.7927
7400.000000	94.696	-140.2946
7500.000000	95.307	-141.7783
7620.000000	96.056	-144.9438
7750.000000	96.820	-150.4433
7880.000000	97.377	-158.2005
8000.000000	97.554	-166.8901
8120.000000	97.350	-175.7178
8250.000000	96.743	175.7221
8380.000000	95.903	168.8715
8500.000000	95.037	164.0338
8620.000000	94.125	160.3985
8750.000000	93.144	157.7672
8850.000000	92.407	156.5363
9000.000000	91.361	155.5870
9120.000000	90.620	155.9386
9250.000000	89.889	156.5856
9380.000000	89.245	157.7152
9500.000000	88.719	158.9692
9620.000000	88.295	160.5321
9750.000000	87.839	162.4841
9880.000000	87.477	164.3359
10000.000000	87.223	166.1923
10150.000000	86.991	168.5196
10300.000000	86.817	170.9987
10440.000000	86.740	173.1763
10600.000000	86.763	175.6637
10750.000000	86.786	177.6731
10900.000000	86.982	179.7130
11060.000000	87.255	-178.4727
11200.000000	87.581	-177.2526
11380.000000	88.134	-176.2657
11500.000000	88.581	-176.0964
11720.000000	89.612	-176.7345
11800.000000	90.061	-177.5010
12060.000000	91.778	176.8932
12200.000000	92.863	171.1530
12410.000000	94.488	156.7734
12500.000000	95.012	148.0799
12650.000000	95.366	130.9280
12800.000000	94.829	113.1605
13150.000000	91.636	82.8907
13200.000000	91.140	79.8523
13400.000000	89.302	70.0301
13600.000000	87.690	61.9961
13800.000000	86.358	54.9281
14000.000000	85.289	47.8338
14300.000000	84.142	36.0126
14500.000000	83.410	27.2274
14750.000000	83.037	15.8359
15000.000000	83.063	2.8575
15250.000000	82.985	-12.2340
15500.000000	83.116	-28.7979
15750.000000	83.397	-47.0150
16000.000000	83.764	-66.8262
16250.000000	84.019	-88.2744
16500.000000	84.160	-111.4938
16750.000000	84.154	-136.4238
17000.000000	83.966	-162.8851
17250.000000	83.567	168.2702
17500.000000	82.858	137.7910
17750.000000	81.927	103.6860
18000.000000	80.559	66.4723
18250.000000	78.537	25.6716
18500.000000	75.765	-18.2732
18750.000000	71.827	-66.5083
19000.000000	67.145	-115.3652
19250.000000	60.976	-163.3287
19500.000000	53.806	157.3497
19750.000000	50.464	121.2783
