* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 26, 2026, 2:43:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; standard bore
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.047	-151.7636
20.299999	102.094	-152.3203
20.600000	102.139	-152.8906
20.900000	102.182	-153.4713
21.200001	102.222	-154.0577
21.400000	102.246	-154.4478
21.799999	102.288	-155.2140
22.000000	102.307	-155.5832
22.400000	102.341	-156.2804
22.700001	102.367	-156.7647
23.000000	102.396	-157.2240
23.299999	102.429	-157.6764
23.600000	102.466	-158.1399
24.000000	102.518	-158.7959
24.299999	102.556	-159.3199
24.700001	102.600	-160.0468
25.000000	102.629	-160.5962
25.400000	102.660	-161.3148
25.799999	102.687	-162.0055
26.200001	102.711	-162.6646
26.500000	102.727	-163.1368
26.900000	102.749	-163.7351
27.200001	102.766	-164.1618
27.600000	102.792	-164.7105
28.000000	102.823	-165.2575
28.500000	102.865	-165.9754
29.000000	102.904	-166.7493
29.500000	102.933	-167.5536
30.000000	102.950	-168.3313
30.400000	102.960	-168.9047
30.700001	102.967	-169.3056
31.100000	102.981	-169.8214
31.500000	102.999	-170.3460
32.000000	103.023	-171.0481
32.500000	103.040	-171.7890
33.000000	103.046	-172.5107
33.500000	103.050	-173.1764
34.000000	103.057	-173.8066
34.500000	103.068	-174.4461
35.000000	103.078	-175.1057
35.500000	103.084	-175.7625
36.000000	103.090	-176.4055
36.500000	103.095	-177.0503
37.000000	103.096	-177.7012
37.500000	103.091	-178.3265
38.200001	103.083	-179.1045
38.700001	103.086	-179.6233
39.500000	103.098	179.4788
40.000000	103.100	178.8797
40.599998	103.096	178.1746
41.200001	103.088	177.4958
41.799999	103.077	176.8309
42.500000	103.060	176.0919
43.099998	103.047	175.4946
43.700001	103.039	174.8871
44.400002	103.026	174.1413
45.000000	103.011	173.4926
45.500000	102.997	172.9463
46.200001	102.967	172.1731
46.799999	102.931	171.5721
47.500000	102.897	171.0114
48.200001	102.887	170.4507
48.700001	102.884	169.9571
49.400002	102.864	169.2141
50.000000	102.839	168.6463
50.799999	102.814	167.9276
51.500000	102.788	167.2667
52.200001	102.757	166.6673
53.000000	102.732	166.0037
53.799999	102.699	165.2560
54.500000	102.658	164.6893
55.200001	102.632	164.1958
56.000000	102.612	163.4648
57.000000	102.541	162.5220
58.000000	102.483	161.8923
59.000000	102.456	161.0372
60.000000	102.378	160.1180
60.799999	102.315	159.6285
61.500000	102.281	159.2123
62.200001	102.249	158.7055
63.000000	102.200	158.1036
64.000000	102.130	157.4322
65.000000	102.068	156.8377
66.000000	102.016	156.1642
67.000000	101.948	155.4625
68.000000	101.882	154.8463
69.000000	101.819	154.2108
70.000000	101.752	153.6048
71.000000	101.687	153.0228
72.000000	101.622	152.4492
73.000000	101.555	151.8694
74.000000	101.481	151.3051
75.000000	101.407	150.7590
76.199997	101.313	150.1196
77.500000	101.218	149.5051
78.800003	101.134	148.8198
80.000000	101.048	148.1867
81.199997	100.958	147.6051
82.500000	100.869	147.0528
83.800003	100.773	146.4369
85.000000	100.681	145.9453
86.199997	100.586	145.4279
87.500000	100.486	144.9407
88.500000	100.412	144.5215
90.000000	100.296	143.9350
91.199997	100.203	143.4829
92.500000	100.105	143.0341
93.800003	100.002	142.5858
95.000000	99.912	142.2162
96.199997	99.818	141.7954
97.500000	99.713	141.4087
98.800003	99.615	141.0146
100.000000	99.519	140.6521
101.500000	99.401	140.2521
103.000000	99.282	139.8534
104.400002	99.172	139.5276
106.000000	99.048	139.1232
107.500000	98.931	138.8077
109.000000	98.815	138.4749
110.599998	98.690	138.1679
112.000000	98.580	137.8452
113.800003	98.430	137.5532
115.000000	98.349	137.3578
117.199997	98.198	137.0432
118.000000	98.122	136.8953
120.599998	97.990	136.4680
122.000000	97.813	136.4790
124.099998	97.647	136.2360
125.000000	97.581	136.1692
126.500000	97.468	135.9929
128.000000	97.359	135.8489
131.500000	97.109	135.6881
132.000000	97.069	135.6548
134.000000	96.923	135.5772
136.000000	96.770	135.5054
138.000000	96.628	135.4691
140.000000	96.495	135.4546
143.000000	96.282	135.4952
145.000000	96.136	135.5506
147.500000	95.970	135.6415
150.000000	95.802	135.7105
152.500000	95.638	135.8920
155.000000	95.479	136.1006
157.500000	95.316	136.3339
160.000000	95.160	136.5984
162.500000	95.018	136.9055
165.000000	94.882	137.2027
167.500000	94.749	137.5052
170.000000	94.623	137.8365
172.500000	94.491	138.1555
175.000000	94.359	138.4319
177.500000	94.235	138.7058
180.000000	94.125	138.6076
182.500000	94.012	139.4102
185.000000	93.897	139.8942
187.500000	93.770	140.2937
190.000000	93.655	140.6563
192.500000	93.551	141.0778
195.000000	93.445	141.5445
197.500000	93.343	142.0357
200.000000	93.245	142.4885
203.000000	93.132	143.0930
206.000000	93.020	143.6884
209.000000	92.923	144.2984
212.000000	92.830	144.9462
214.000000	92.765	145.3779
218.000000	92.658	146.2769
220.000000	92.605	146.6782
224.000000	92.516	147.5392
227.000000	92.472	148.2426
230.000000	92.420	148.8188
233.000000	92.379	149.2216
236.000000	92.344	149.6245
240.000000	92.326	150.8729
243.000000	92.216	150.7186
247.000000	92.132	151.1843
250.000000	92.080	151.7130
254.000000	92.004	152.3434
258.000000	91.949	153.0010
262.000000	91.889	153.6449
265.000000	91.842	154.1442
269.000000	91.798	154.7334
272.000000	91.762	155.1834
276.000000	91.717	155.8094
280.000000	91.684	156.4176
285.000000	91.635	157.1094
290.000000	91.597	157.8248
295.000000	91.570	158.5157
300.000000	91.474	159.6105
304.000000	91.506	159.6100
307.000000	91.501	159.9840
311.000000	91.476	160.4547
315.000000	91.445	160.8875
320.000000	91.423	161.4682
325.000000	91.401	161.9875
330.000000	91.386	162.4868
335.000000	91.368	163.0322
340.000000	91.341	163.4705
345.000000	91.328	163.9537
350.000000	91.312	164.4770
355.000000	91.292	164.8268
360.000000	91.306	165.1066
365.000000	91.273	165.6573
370.000000	91.255	166.0493
375.000000	91.249	166.4811
382.000000	91.221	166.9929
387.000000	91.213	167.3916
395.000000	91.193	167.9259
400.000000	91.177	168.2904
406.000000	91.157	168.6935
412.000000	91.150	169.0799
418.000000	91.129	169.4507
425.000000	91.118	169.8571
431.000000	91.099	170.1974
437.000000	91.085	170.6019
444.000000	91.069	171.0379
450.000000	91.052	171.3295
455.000000	91.040	171.6490
462.000000	91.025	172.0326
468.000000	91.003	172.3500
475.000000	90.987	172.7101
482.000000	90.968	173.0242
487.000000	90.964	173.3692
494.000000	90.940	173.7078
500.000000	90.924	174.0302
508.000000	90.900	174.4512
515.000000	90.880	174.7343
522.000000	90.850	175.1532
530.000000	90.824	175.5178
538.000000	90.815	175.9777
545.000000	90.780	176.2121
552.000000	90.767	176.5639
560.000000	90.738	176.9838
570.000000	90.718	177.5036
580.000000	90.669	177.9762
590.000000	90.636	178.5002
